label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,Right,legacy_asl_A_0,0.000000,0.000000,0.424390,-0.274750,0.748013,-0.671690,0.750574,-1.098734,0.692143,-1.435987,0.447371,-1.025262,0.432739,-1.325615,0.379696,-1.071340,0.380526,-0.792839,0.155631,-0.987761,0.140708,-1.287789,0.131262,-0.942780,0.183178,-0.634968,-0.116152,-0.904823,-0.122167,-1.157731,-0.090853,-0.780342,-0.025864,-0.500373,-0.399363,-0.776254,-0.380156,-0.969960,-0.303338,-0.685724,-0.218473,-0.476671
A,Right,legacy_asl_A_1,0.000000,0.000000,0.418451,-0.236448,0.692053,-0.632500,0.735000,-0.998320,0.654108,-1.280899,0.403593,-1.026475,0.439181,-1.259247,0.460188,-0.982334,0.481310,-0.707504,0.123783,-0.992305,0.182339,-1.218752,0.224700,-0.883480,0.262412,-0.575581,-0.153016,-0.906851,-0.079920,-1.133060,-0.010142,-0.783573,0.034282,-0.480588,-0.430184,-0.773034,-0.321720,-0.984365,-0.244433,-0.709961,-0.204617,-0.457959
A,Right,legacy_asl_A_2,0.000000,0.000000,0.441968,-0.214363,0.765077,-0.601843,0.776157,-0.988859,0.758052,-1.318729,0.438277,-1.015356,0.482082,-1.318986,0.489959,-1.029451,0.483450,-0.738650,0.159489,-0.987045,0.230663,-1.301966,0.247549,-0.932947,0.253223,-0.615283,-0.110849,-0.908661,-0.024804,-1.174598,0.012366,-0.794282,0.025133,-0.509408,-0.385772,-0.777717,-0.267186,-1.029024,-0.207188,-0.738214,-0.191645,-0.498930
A,Right,legacy_asl_A_3,0.000000,0.000000,0.367585,-0.122916,0.752148,-0.558815,0.839730,-0.993723,0.794966,-1.360762,0.480077,-0.987295,0.544636,-1.190144,0.463937,-0.870800,0.390933,-0.573803,0.177282,-0.979557,0.275184,-1.171000,0.194849,-0.730623,0.142389,-0.396595,-0.117321,-0.928131,-0.042881,-1.056062,-0.068101,-0.612092,-0.083586,-0.308926,-0.425967,-0.839656,-0.345802,-0.957486,-0.312507,-0.613560,-0.297671,-0.381072
A,Right,legacy_asl_A_4,0.000000,0.000000,0.423519,-0.147627,0.794452,-0.581263,0.854773,-1.010253,0.806466,-1.372589,0.465633,-0.996610,0.545990,-1.252721,0.530817,-0.928332,0.490696,-0.625105,0.170313,-0.982896,0.263366,-1.221709,0.252729,-0.796151,0.229565,-0.462481,-0.120908,-0.927282,-0.026203,-1.094091,-0.014765,-0.655119,-0.029784,-0.338156,-0.425989,-0.839504,-0.331015,-1.032534,-0.262525,-0.731118,-0.243843,-0.482620
A,Right,legacy_asl_A_5,0.000000,0.000000,0.373860,-0.310277,0.623089,-0.768596,0.609253,-1.167006,0.527033,-1.502457,0.318425,-1.066150,0.301674,-1.335315,0.327560,-1.072254,0.359508,-0.803384,0.048967,-0.998590,0.055217,-1.269524,0.112644,-0.900017,0.166963,-0.609632,-0.206736,-0.894636,-0.190752,-1.169782,-0.106819,-0.782969,-0.045290,-0.510634,-0.465901,-0.742936,-0.404581,-0.977730,-0.309382,-0.692587,-0.258719,-0.475487
A,Right,legacy_asl_A_6,0.000000,0.000000,0.362113,-0.139517,0.719795,-0.555331,0.827297,-0.976382,0.835237,-1.331797,0.506207,-0.987930,0.553098,-1.275076,0.454720,-0.980052,0.406850,-0.697708,0.220406,-0.974628,0.245951,-1.258011,0.175335,-0.849040,0.166969,-0.524675,-0.042573,-0.911810,-0.048242,-1.126523,-0.057567,-0.703454,-0.025974,-0.420627,-0.313622,-0.814318,-0.315894,-0.954837,-0.281324,-0.627850,-0.219779,-0.423205
A,Right,legacy_asl_A_7,0.000000,0.000000,0.396358,-0.168438,0.747191,-0.598865,0.844432,-1.021094,0.817647,-1.375897,0.465061,-1.015758,0.483123,-1.311168,0.426373,-1.004241,0.403630,-0.700301,0.165132,-0.984041,0.191523,-1.283595,0.163470,-0.869193,0.180997,-0.536395,-0.115766,-0.891290,-0.097197,-1.140250,-0.080160,-0.707953,-0.044362,-0.410799,-0.395113,-0.755411,-0.377179,-0.937041,-0.315399,-0.624964,-0.256671,-0.413620
A,Right,legacy_asl_A_8,0.000000,0.000000,0.420124,-0.130501,0.813166,-0.518311,0.898004,-0.922016,0.888890,-1.248574,0.578742,-0.973482,0.657619,-1.254528,0.602957,-0.982975,0.548143,-0.697333,0.281609,-0.956982,0.381452,-1.245985,0.335596,-0.874335,0.294494,-0.546465,-0.001503,-0.891369,0.103403,-1.126809,0.090249,-0.735760,0.068953,-0.439320,-0.290511,-0.786687,-0.165963,-0.983417,-0.150807,-0.687483,-0.162719,-0.453510
A,Right,legacy_asl_A_9,0.000000,0.000000,0.419443,-0.228362,0.776969,-0.573582,0.835469,-0.947722,0.780449,-1.260467,0.472383,-0.985667,0.544381,-1.244905,0.493736,-0.948855,0.452134,-0.692732,0.207171,-0.978304,0.280187,-1.228328,0.249179,-0.853971,0.226471,-0.563781,-0.051729,-0.929600,0.021697,-1.160323,0.015186,-0.776151,-0.001566,-0.484995,-0.329209,-0.841248,-0.250843,-1.090734,-0.199076,-0.821567,-0.185651,-0.579291
