label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
B,Right,legacy_asl_B_0,0.000000,0.000000,0.329308,-0.168361,0.569536,-0.447373,0.410079,-0.719772,0.177605,-0.838164,0.435261,-0.902039,0.476830,-1.275943,0.459820,-1.507727,0.429421,-1.718463,0.226258,-0.969262,0.249329,-1.377693,0.241701,-1.644226,0.218825,-1.878557,0.036916,-0.949172,0.046716,-1.332580,0.055158,-1.579508,0.041574,-1.795838,-0.168929,-0.855208,-0.151265,-1.166874,-0.125353,-1.363031,-0.115413,-1.541317
B,Right,legacy_asl_B_1,0.000000,0.000000,0.286212,-0.153372,0.426035,-0.507278,0.170981,-0.735303,-0.116735,-0.741395,0.394025,-0.935620,0.402066,-1.299054,0.381766,-1.524513,0.344941,-1.706935,0.185823,-0.981111,0.198761,-1.371457,0.189814,-1.623315,0.160569,-1.828202,0.006722,-0.946227,-0.003036,-1.313583,-0.000180,-1.552954,-0.020170,-1.751887,-0.183866,-0.843844,-0.183753,-1.145829,-0.171437,-1.338653,-0.174816,-1.508420
B,Right,legacy_asl_B_2,0.000000,0.000000,0.338276,-0.065845,0.605342,-0.297559,0.580034,-0.548030,0.384786,-0.668470,0.418846,-0.904314,0.451740,-1.317796,0.442543,-1.582397,0.422904,-1.810234,0.207882,-0.964165,0.231075,-1.423269,0.231971,-1.720085,0.230668,-1.964738,0.010493,-0.949854,0.026170,-1.390137,0.038780,-1.658464,0.045988,-1.880061,-0.191044,-0.864890,-0.181476,-1.214111,-0.157318,-1.423910,-0.132416,-1.611306
B,Right,legacy_asl_B_3,0.000000,0.000000,0.355881,-0.154332,0.576799,-0.476882,0.479651,-0.800732,0.249816,-0.960155,0.376602,-0.936716,0.399398,-1.342176,0.373174,-1.590362,0.339146,-1.804196,0.166918,-0.982957,0.188532,-1.424213,0.169947,-1.720103,0.141545,-1.954758,-0.026873,-0.952315,-0.010785,-1.379475,-0.009610,-1.651364,-0.024260,-1.862909,-0.242620,-0.861857,-0.227423,-1.201905,-0.214445,-1.423723,-0.206577,-1.618148
B,Right,legacy_asl_B_4,0.000000,0.000000,0.325106,-0.084245,0.597069,-0.315589,0.574433,-0.605835,0.337597,-0.723053,0.380783,-0.925869,0.399095,-1.319418,0.372942,-1.567220,0.340265,-1.778913,0.163106,-0.966542,0.184518,-1.401117,0.169407,-1.684997,0.148980,-1.920097,-0.036658,-0.926780,-0.025376,-1.343164,-0.017048,-1.613605,-0.019868,-1.827424,-0.249214,-0.831891,-0.223458,-1.156611,-0.203526,-1.367858,-0.186707,-1.550210
B,Right,legacy_asl_B_5,0.000000,0.000000,0.332789,-0.144809,0.623249,-0.426247,0.576266,-0.741178,0.381609,-0.936123,0.539812,-0.869904,0.586386,-1.286035,0.566584,-1.559354,0.528469,-1.788411,0.311189,-0.935647,0.355562,-1.388030,0.343227,-1.688124,0.314901,-1.927445,0.098781,-0.919627,0.121401,-1.350607,0.130098,-1.626200,0.122045,-1.844674,-0.130746,-0.837003,-0.115300,-1.177449,-0.090412,-1.388027,-0.071042,-1.567765
B,Right,legacy_asl_B_6,0.000000,0.000000,0.367273,-0.116321,0.635912,-0.418012,0.565259,-0.709740,0.319278,-0.780964,0.371989,-0.936210,0.365463,-1.321042,0.333377,-1.563165,0.296593,-1.758981,0.155219,-0.986315,0.144293,-1.409175,0.126872,-1.684428,0.093967,-1.896289,-0.036584,-0.964005,-0.066701,-1.365352,-0.066918,-1.610167,-0.085146,-1.807756,-0.240791,-0.874418,-0.243299,-1.213472,-0.229849,-1.417136,-0.224951,-1.594732
B,Right,legacy_asl_B_7,0.000000,0.000000,0.291752,-0.145824,0.566451,-0.397291,0.540901,-0.647653,0.369101,-0.774661,0.352820,-0.947987,0.354557,-1.305140,0.324594,-1.518714,0.286671,-1.706339,0.145854,-0.985753,0.159000,-1.381400,0.138775,-1.631073,0.106751,-1.838322,-0.040318,-0.951817,-0.046459,-1.332318,-0.054543,-1.567366,-0.069848,-1.760439,-0.237349,-0.847310,-0.247301,-1.158137,-0.240677,-1.346473,-0.236545,-1.510979
B,Right,legacy_asl_B_8,0.000000,0.000000,0.330906,-0.079873,0.623857,-0.274816,0.603938,-0.556268,0.388432,-0.728356,0.439944,-0.886060,0.471086,-1.285972,0.448878,-1.543544,0.422542,-1.770391,0.212267,-0.951907,0.241739,-1.379128,0.242150,-1.664523,0.237476,-1.902538,0.003891,-0.926816,0.031203,-1.333471,0.053423,-1.594959,0.064643,-1.807017,-0.209558,-0.835568,-0.181619,-1.148168,-0.160793,-1.353904,-0.143539,-1.537905
B,Right,legacy_asl_B_9,0.000000,0.000000,0.286918,-0.161140,0.465052,-0.506916,0.189532,-0.759956,-0.131226,-0.789765,0.511364,-0.887412,0.557354,-1.281180,0.547813,-1.546886,0.523920,-1.762968,0.276323,-0.957886,0.327123,-1.369139,0.338059,-1.657632,0.341358,-1.895267,0.067049,-0.943812,0.102425,-1.334705,0.128131,-1.598725,0.139812,-1.815362,-0.157668,-0.866099,-0.119639,-1.184014,-0.092142,-1.390659,-0.077650,-1.569117
B,Right,legacy_asl_B_10,0.000000,0.000000,0.334866,-0.148535,0.576642,-0.494500,0.476432,-0.852341,0.216858,-1.042054,0.392116,-0.930270,0.408462,-1.360608,0.377670,-1.628324,0.343958,-1.858197,0.172608,-0.976139,0.200522,-1.456752,0.180332,-1.754327,0.160899,-2.001951,-0.026955,-0.957241,-0.010155,-1.408464,-0.009315,-1.698889,-0.014056,-1.917621,-0.242268,-0.887745,-0.222505,-1.242206,-0.214082,-1.472858,-0.208626,-1.674668
B,Right,legacy_asl_B_11,0.000000,0.000000,0.306990,-0.148092,0.557314,-0.423669,0.466186,-0.698319,0.259180,-0.864872,0.382689,-0.936832,0.384632,-1.322247,0.348639,-1.547276,0.318843,-1.745774,0.153798,-0.981404,0.158753,-1.418409,0.137790,-1.692336,0.122929,-1.921171,-0.045634,-0.945837,-0.041952,-1.363348,-0.042641,-1.621657,-0.045329,-1.843085,-0.252432,-0.835516,-0.235243,-1.160535,-0.218043,-1.365478,-0.202996,-1.559799
B,Right,legacy_asl_B_12,0.000000,0.000000,0.338411,-0.198272,0.576303,-0.476243,0.584793,-0.744846,0.517707,-0.964341,0.333304,-0.941953,0.380276,-1.314622,0.376326,-1.555672,0.345411,-1.762728,0.134315,-0.990603,0.188168,-1.404971,0.190894,-1.679149,0.163818,-1.901543,-0.044950,-0.962571,-0.024002,-1.364462,-0.005790,-1.621797,-0.012129,-1.828163,-0.234816,-0.857912,-0.224458,-1.181018,-0.202785,-1.397033,-0.182885,-1.584756
B,Right,legacy_asl_B_13,0.000000,0.000000,0.288626,-0.110187,0.458992,-0.415347,0.215807,-0.635081,-0.058563,-0.681330,0.397823,-0.920094,0.419030,-1.341674,0.403518,-1.621909,0.367595,-1.840975,0.185067,-0.973722,0.210868,-1.425230,0.206843,-1.730602,0.191485,-1.961563,0.002582,-0.945045,0.005568,-1.375036,0.006550,-1.649596,-0.002296,-1.859922,-0.187219,-0.843129,-0.163846,-1.184332,-0.151098,-1.397883,-0.149314,-1.572624
B,Right,legacy_asl_B_14,0.000000,0.000000,0.398727,-0.170158,0.676489,-0.458426,0.589427,-0.738176,0.392584,-0.890670,0.444024,-0.907608,0.463077,-1.345398,0.438855,-1.617346,0.403387,-1.847963,0.212043,-0.970071,0.230835,-1.444444,0.218879,-1.757266,0.196268,-2.014792,0.000485,-0.973211,0.012542,-1.436514,0.019943,-1.730833,0.013753,-1.972961,-0.216092,-0.921479,-0.199838,-1.304511,-0.176944,-1.541275,-0.161329,-1.745270
B,Right,legacy_asl_B_15,0.000000,0.000000,0.365426,-0.068259,0.600321,-0.380944,0.487718,-0.663727,0.297373,-0.787324,0.554785,-0.858349,0.622409,-1.239408,0.616119,-1.486213,0.599964,-1.701255,0.335334,-0.937152,0.399435,-1.350073,0.424925,-1.621273,0.446859,-1.846592,0.137543,-0.921028,0.177461,-1.313797,0.209874,-1.552128,0.244413,-1.758305,-0.053717,-0.832706,-0.018947,-1.127408,0.021876,-1.301038,0.064199,-1.458496
