label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
C,Right,legacy_asl_C_0,0.000000,0.000000,0.395075,-0.087952,0.694003,-0.245977,0.989905,-0.319435,1.254320,-0.370261,0.324175,-0.891868,0.740295,-1.044478,1.030828,-1.077637,1.256035,-1.088782,0.263916,-0.962254,0.735490,-1.152713,1.065906,-1.177792,1.318651,-1.136409,0.252824,-0.950219,0.673390,-1.188668,0.986924,-1.213303,1.225026,-1.182624,0.297584,-0.866433,0.602580,-1.134054,0.826086,-1.216339,1.013331,-1.230963
C,Right,legacy_asl_C_1,0.000000,0.000000,0.428427,0.085085,0.776868,0.006511,1.092957,-0.055345,1.375677,-0.112397,0.679323,-0.663952,1.040336,-0.885570,1.331640,-0.922409,1.569937,-0.924763,0.629022,-0.757120,1.006070,-1.022125,1.327076,-1.108767,1.584175,-1.113093,0.545943,-0.817707,0.875494,-1.115401,1.194041,-1.217241,1.455829,-1.237799,0.432904,-0.844665,0.707990,-1.121682,0.959331,-1.257534,1.181724,-1.334157
C,Right,legacy_asl_C_2,0.000000,0.000000,0.386549,0.052950,0.721779,-0.125041,1.045443,-0.196814,1.333537,-0.177782,0.395587,-0.853586,0.783542,-1.111950,1.109027,-1.130798,1.335408,-1.077778,0.269701,-0.960153,0.718456,-1.199059,1.035093,-1.165036,1.263807,-1.069991,0.214549,-0.981705,0.642832,-1.190639,0.947291,-1.167514,1.152988,-1.087973,0.214282,-0.930280,0.562240,-1.109579,0.805775,-1.123411,0.976356,-1.090796
C,Right,legacy_asl_C_3,0.000000,0.000000,0.387147,-0.018218,0.699826,-0.177729,0.993938,-0.287020,1.279048,-0.336972,0.259713,-0.891563,0.692086,-1.058266,1.037356,-1.087580,1.297478,-1.069102,0.191737,-0.981384,0.719792,-1.167430,1.088064,-1.165844,1.361220,-1.115591,0.195353,-1.006721,0.717358,-1.234301,1.072588,-1.242195,1.321741,-1.187085,0.257194,-0.984086,0.645949,-1.245707,0.921487,-1.307187,1.136979,-1.289537
C,Right,legacy_asl_C_4,0.000000,0.000000,0.376549,-0.064430,0.742103,-0.248394,1.077369,-0.312352,1.376902,-0.302293,0.338454,-0.911381,0.783257,-1.043353,1.149770,-1.058292,1.432858,-1.020627,0.273215,-0.961347,0.751854,-1.124934,1.121266,-1.126056,1.415413,-1.056975,0.284363,-0.941558,0.744163,-1.142748,1.094045,-1.170157,1.367829,-1.121344,0.368060,-0.860563,0.718823,-1.067706,0.978890,-1.130714,1.185586,-1.120683
C,Right,legacy_asl_C_5,0.000000,0.000000,0.480649,-0.025832,0.820917,-0.135475,1.091424,-0.196052,1.375966,-0.232625,0.672843,-0.754562,0.983441,-0.966074,1.266951,-0.990923,1.505963,-0.969407,0.595910,-0.802958,0.938220,-1.058336,1.254226,-1.104097,1.516833,-1.081511,0.480094,-0.805540,0.790971,-1.102247,1.101759,-1.190176,1.369195,-1.202979,0.347047,-0.760647,0.541844,-1.055397,0.773660,-1.188943,0.982814,-1.254092
C,Right,legacy_asl_C_6,0.000000,0.000000,0.450093,0.110660,0.836478,-0.013266,1.199932,-0.087648,1.525086,-0.073664,0.454357,-0.816772,0.848487,-1.166313,1.244747,-1.251094,1.555774,-1.244948,0.326531,-0.941639,0.842968,-1.261914,1.265771,-1.292312,1.584862,-1.223872,0.271910,-0.971808,0.782715,-1.259048,1.202465,-1.301981,1.516229,-1.251269,0.279706,-0.928364,0.688290,-1.163247,1.016579,-1.224994,1.280101,-1.215440
C,Right,legacy_asl_C_7,0.000000,0.000000,0.366458,-0.046580,0.697997,-0.215308,1.009550,-0.269581,1.293637,-0.243644,0.300829,-0.945695,0.733058,-1.079445,1.059514,-1.020116,1.296407,-0.915073,0.279854,-0.959706,0.777906,-1.120090,1.104916,-1.028490,1.340544,-0.882091,0.337895,-0.902197,0.797615,-1.091981,1.126997,-1.032605,1.351567,-0.906620,0.468443,-0.778113,0.811991,-0.997910,1.064621,-1.017082,1.253573,-0.958485
C,Right,legacy_asl_C_8,0.000000,0.000000,0.404552,-0.069081,0.740604,-0.260026,1.033739,-0.418799,1.327855,-0.537341,0.495003,-0.834608,0.750464,-1.057533,1.004700,-1.111336,1.217887,-1.116940,0.410227,-0.903995,0.696032,-1.145859,0.965562,-1.203856,1.212221,-1.193255,0.309750,-0.950496,0.585921,-1.220366,0.846355,-1.293379,1.084590,-1.284568,0.190670,-0.976357,0.398018,-1.267512,0.612793,-1.391883,0.822017,-1.431767
C,Right,legacy_asl_C_9,0.000000,0.000000,0.453868,0.066839,0.775738,-0.023907,1.036918,-0.102010,1.307919,-0.139790,0.597657,-0.751770,0.906215,-0.946211,1.177824,-0.972053,1.396539,-0.969126,0.522851,-0.845922,0.874279,-1.116120,1.179008,-1.166464,1.418782,-1.146264,0.444464,-0.905006,0.777150,-1.199323,1.072454,-1.266992,1.309740,-1.261333,0.367558,-0.928817,0.616406,-1.189395,0.838349,-1.295590,1.019924,-1.346145
C,Right,legacy_asl_C_10,0.000000,0.000000,0.348554,-0.024462,0.660211,-0.157366,0.949264,-0.226105,1.231136,-0.258547,0.299413,-0.887795,0.705563,-0.977480,1.034851,-0.981618,1.284271,-0.952526,0.244458,-0.968696,0.739833,-1.056483,1.082055,-1.031031,1.348229,-0.976185,0.245680,-0.984327,0.727609,-1.132957,1.060925,-1.130122,1.305889,-1.088291,0.299097,-0.949431,0.642404,-1.163841,0.895528,-1.219620,1.101091,-1.213966
C,Right,legacy_asl_C_11,0.000000,0.000000,0.397263,-0.132766,0.683315,-0.310379,0.947860,-0.400239,1.190116,-0.464216,0.250437,-0.918803,0.600753,-1.103214,0.885294,-1.136388,1.112879,-1.133716,0.197055,-0.967282,0.605086,-1.184424,0.919068,-1.203873,1.170135,-1.136723,0.203650,-0.959500,0.598383,-1.200021,0.913408,-1.226171,1.151935,-1.176332,0.279848,-0.901367,0.570818,-1.170697,0.805204,-1.247610,1.001136,-1.241755
