label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
D,Right,legacy_asl_D_0,0.000000,0.000000,0.357649,-0.226681,0.569214,-0.464856,0.723260,-0.648817,0.776899,-0.858618,0.049081,-0.987557,0.140512,-1.369955,0.203336,-1.638782,0.233938,-1.847730,-0.045377,-0.993220,0.305762,-1.266953,0.573184,-1.174192,0.696773,-1.013353,-0.089542,-0.966711,0.300591,-1.253028,0.552192,-1.105529,0.653376,-0.896735,-0.068851,-0.913752,0.268368,-1.170514,0.497341,-1.094702,0.611843,-0.939288
D,Right,legacy_asl_D_1,0.000000,0.000000,0.288973,-0.306660,0.418143,-0.560062,0.568104,-0.750270,0.622422,-0.940296,-0.233989,-0.960132,-0.012148,-1.352789,0.083697,-1.628976,0.130991,-1.864509,-0.325198,-0.940157,0.190564,-1.190215,0.464522,-0.991602,0.561133,-0.796413,-0.297123,-0.868291,0.222524,-1.122684,0.471949,-0.922463,0.558788,-0.718448,-0.178596,-0.765966,0.199854,-1.008229,0.427696,-0.929636,0.556048,-0.797965
D,Right,legacy_asl_D_2,0.000000,0.000000,0.379758,-0.241232,0.597784,-0.487483,0.794371,-0.664135,0.945447,-0.866480,0.015305,-0.978885,0.163026,-1.362100,0.284035,-1.562952,0.350661,-1.680267,-0.053491,-0.992924,0.394835,-1.219077,0.736740,-1.087908,0.930289,-0.886507,-0.073825,-0.965116,0.350207,-1.231479,0.630449,-1.104905,0.766102,-0.940106,-0.028377,-0.918958,0.144671,-1.317191,0.223095,-1.552942,0.244790,-1.701516
D,Right,legacy_asl_D_3,0.000000,0.000000,0.291240,-0.259333,0.452704,-0.578400,0.625425,-0.802635,0.727300,-1.038314,-0.190785,-0.968427,0.020626,-1.362991,0.121411,-1.643918,0.169265,-1.867178,-0.259965,-0.965255,0.086139,-1.340358,0.423119,-1.295126,0.620435,-1.142800,-0.234608,-0.932122,0.137012,-1.336950,0.494632,-1.242185,0.698369,-1.042402,-0.114295,-0.887533,0.141300,-1.254987,0.408628,-1.239691,0.576564,-1.102114
D,Right,legacy_asl_D_4,0.000000,0.000000,0.365901,-0.123432,0.624743,-0.344459,0.823660,-0.511535,0.948948,-0.721655,0.086975,-0.973106,0.301538,-1.364323,0.417825,-1.620588,0.474803,-1.817220,0.016100,-0.998911,0.539327,-1.221400,0.812200,-1.040322,0.894174,-0.821599,0.030007,-0.962943,0.544697,-1.234002,0.805465,-1.012969,0.889559,-0.773847,0.131154,-0.889001,0.439113,-1.249980,0.640873,-1.236393,0.748848,-1.132637
D,Right,legacy_asl_D_5,0.000000,0.000000,0.357526,-0.174621,0.639860,-0.410812,0.782529,-0.637489,0.751825,-0.924283,0.343190,-0.978578,0.344565,-1.438335,0.339595,-1.688508,0.305985,-1.892975,0.218949,-0.974284,0.336149,-1.331717,0.541154,-1.177154,0.642527,-0.952640,0.100226,-0.953253,0.214853,-1.339551,0.468917,-1.247644,0.614685,-1.058860,-0.001199,-0.913361,0.105266,-1.271930,0.300362,-1.322547,0.440280,-1.277398
D,Right,legacy_asl_D_6,0.000000,0.000000,0.362982,-0.176247,0.619799,-0.423404,0.766761,-0.651574,0.774257,-0.918867,0.195047,-0.987230,0.209489,-1.415229,0.230474,-1.700329,0.237531,-1.922786,0.080728,-0.996128,0.302037,-1.308229,0.574621,-1.234517,0.730506,-1.043998,-0.041012,-0.974123,0.265316,-1.265342,0.530267,-1.133208,0.654219,-0.917315,-0.150465,-0.919946,0.153464,-1.152194,0.392565,-1.095864,0.522936,-0.956874
D,Right,legacy_asl_D_7,0.000000,0.000000,0.339378,-0.238902,0.552458,-0.452238,0.713137,-0.618736,0.705116,-0.858949,0.090654,-1.007298,0.128516,-1.398643,0.146041,-1.659594,0.115567,-1.863693,-0.024880,-0.997811,0.236537,-1.309187,0.482299,-1.165050,0.576598,-0.973777,-0.088774,-0.955088,0.205829,-1.296182,0.498310,-1.135366,0.613632,-0.910516,-0.097483,-0.870626,0.125996,-1.230783,0.361989,-1.211858,0.499005,-1.093807
D,Right,legacy_asl_D_8,0.000000,0.000000,0.370603,-0.213174,0.581583,-0.416787,0.739573,-0.577449,0.787909,-0.821689,0.127703,-0.988072,0.199398,-1.369029,0.224501,-1.602752,0.210913,-1.797479,0.036189,-0.993289,0.217364,-1.352717,0.339398,-1.485270,0.383295,-1.556385,-0.000570,-0.948705,0.310952,-1.254664,0.586076,-1.118777,0.723557,-0.935838,0.037757,-0.860923,0.225159,-1.212066,0.405811,-1.308012,0.532532,-1.301730
D,Right,legacy_asl_D_9,0.000000,0.000000,0.350924,-0.216434,0.582460,-0.472975,0.728444,-0.689383,0.735513,-0.950425,0.112466,-0.991347,0.076732,-1.410051,0.054994,-1.698691,0.023917,-1.930123,-0.001712,-0.998862,0.212659,-1.297642,0.490712,-1.242398,0.657764,-1.086215,-0.107130,-0.975267,0.163109,-1.294968,0.453867,-1.188770,0.618727,-0.987550,-0.178978,-0.924967,0.109950,-1.191239,0.366011,-1.155741,0.526496,-1.017034
