label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
E,Right,legacy_asl_E_0,0.000000,0.000000,0.364170,-0.195175,0.610063,-0.516499,0.358184,-0.775758,0.014984,-0.716032,0.431104,-0.960074,0.399157,-1.343189,0.362575,-1.170436,0.370600,-0.957704,0.178573,-0.983608,0.143683,-1.358363,0.118757,-1.081896,0.143880,-0.862668,-0.040180,-0.953638,-0.099573,-1.340141,-0.083417,-1.078035,-0.044696,-0.849554,-0.254555,-0.857988,-0.299593,-1.137470,-0.254176,-0.977737,-0.208938,-0.788711
E,Right,legacy_asl_E_1,0.000000,0.000000,0.336271,-0.156520,0.568715,-0.481821,0.267242,-0.741719,-0.076033,-0.726570,0.499642,-0.921726,0.525415,-1.335344,0.485593,-1.103035,0.485344,-0.886647,0.250197,-0.968005,0.285228,-1.390566,0.243797,-1.089653,0.237926,-0.866031,0.026380,-0.962158,0.025095,-1.395900,0.010714,-1.103010,0.008890,-0.864253,-0.205504,-0.907605,-0.196372,-1.225549,-0.164563,-1.024651,-0.144209,-0.811412
E,Right,legacy_asl_E_2,0.000000,0.000000,0.379056,-0.089441,0.706320,-0.334718,0.621112,-0.542389,0.423545,-0.635579,0.484148,-0.926928,0.474544,-1.335622,0.430949,-1.241079,0.423106,-1.008666,0.197744,-0.979043,0.214715,-1.456850,0.167090,-1.268473,0.176706,-0.982789,-0.063895,-0.960035,-0.077755,-1.435526,-0.108056,-1.270128,-0.083842,-1.009097,-0.318439,-0.867993,-0.418111,-1.227486,-0.390377,-1.193064,-0.311852,-1.030763
E,Right,legacy_asl_E_3,0.000000,0.000000,0.357704,-0.260641,0.604185,-0.544945,0.452276,-0.808190,0.172257,-0.851590,0.466298,-0.901974,0.547755,-1.184713,0.559359,-1.067239,0.547522,-0.882358,0.254662,-0.963688,0.310437,-1.331592,0.336242,-1.164599,0.313878,-0.945478,0.045943,-0.978832,0.064192,-1.346534,0.119042,-1.180794,0.110480,-0.959165,-0.192215,-0.942318,-0.159775,-1.250100,-0.084936,-1.158742,-0.069171,-0.984431
E,Right,legacy_asl_E_4,0.000000,0.000000,0.456342,-0.151792,0.672096,-0.411427,0.505145,-0.602777,0.170061,-0.680711,0.501329,-0.959111,0.583791,-1.259592,0.608486,-1.012716,0.578917,-0.778840,0.238444,-0.966448,0.307156,-1.415500,0.350570,-1.100016,0.321685,-0.856721,-0.029543,-0.944221,0.005059,-1.334520,0.098838,-1.031633,0.080054,-0.796328,-0.313267,-0.899637,-0.225794,-1.134618,-0.123334,-0.928310,-0.125516,-0.749798
E,Right,legacy_asl_E_5,0.000000,0.000000,0.375699,-0.192312,0.609656,-0.517726,0.439004,-0.754848,0.155369,-0.709719,0.272078,-0.993390,0.329988,-1.324500,0.429471,-1.123219,0.435619,-0.897793,0.052685,-0.994603,0.071784,-1.442556,0.219846,-1.196330,0.236671,-0.932813,-0.154385,-0.944331,-0.172690,-1.388679,0.016139,-1.173738,0.055791,-0.935846,-0.379111,-0.836827,-0.315593,-1.176902,-0.143414,-1.055635,-0.088850,-0.874437
E,Right,legacy_asl_E_6,0.000000,0.000000,0.362535,-0.182647,0.565793,-0.543577,0.310457,-0.782804,0.016379,-0.783897,0.531938,-0.932376,0.542491,-1.322305,0.445385,-1.111703,0.416098,-0.881123,0.263020,-0.964332,0.293071,-1.440746,0.211619,-1.168677,0.205131,-0.925321,0.018653,-0.958174,0.002401,-1.393073,-0.021168,-1.156704,-0.015522,-0.929492,-0.225820,-0.903692,-0.270244,-1.236938,-0.236878,-1.118334,-0.195954,-0.941346
E,Right,legacy_asl_E_7,0.000000,0.000000,0.388152,-0.187095,0.655326,-0.515002,0.367405,-0.756061,0.022070,-0.750392,0.525129,-0.933844,0.539353,-1.372898,0.448795,-1.180494,0.417156,-0.941967,0.247494,-0.968794,0.255514,-1.413029,0.165831,-1.142741,0.161568,-0.891905,0.003855,-0.952339,-0.024715,-1.378841,-0.061981,-1.136644,-0.043383,-0.885922,-0.232996,-0.883424,-0.261567,-1.180198,-0.249018,-1.048221,-0.209937,-0.867423
E,Right,legacy_asl_E_8,0.000000,0.000000,0.366580,-0.215832,0.612044,-0.506162,0.455057,-0.747683,0.180789,-0.777188,0.341335,-0.946163,0.402022,-1.276327,0.498192,-1.107273,0.475463,-0.880502,0.138947,-0.990111,0.183158,-1.404910,0.293095,-1.205890,0.260071,-0.951230,-0.063608,-0.989872,-0.037850,-1.409968,0.085782,-1.225941,0.074105,-0.987573,-0.288335,-0.938290,-0.246772,-1.299184,-0.114488,-1.233930,-0.076286,-1.073590
E,Right,legacy_asl_E_9,0.000000,0.000000,0.375213,-0.193519,0.593164,-0.537642,0.413723,-0.845984,0.161737,-0.947811,0.603546,-0.910285,0.528190,-1.250065,0.412638,-0.976357,0.439013,-0.778296,0.317925,-0.944573,0.297206,-1.332248,0.218803,-1.004998,0.277070,-0.827193,0.068661,-0.921435,0.026868,-1.291606,0.001495,-0.961590,0.103481,-0.799463,-0.162203,-0.837351,-0.217658,-1.085448,-0.191369,-0.867421,-0.084859,-0.729234
E,Right,legacy_asl_E_10,0.000000,0.000000,0.327522,-0.086315,0.590887,-0.390674,0.332815,-0.620277,-0.012447,-0.600924,0.633490,-0.838256,0.672421,-1.167479,0.554357,-0.974786,0.485564,-0.781553,0.379327,-0.924674,0.437742,-1.297767,0.326895,-1.028437,0.299232,-0.818342,0.141784,-0.950202,0.143450,-1.289348,0.081712,-0.987354,0.087288,-0.767435,-0.111327,-0.927865,-0.092442,-1.145799,-0.105854,-0.934163,-0.086356,-0.741509
E,Right,legacy_asl_E_11,0.000000,0.000000,0.334096,-0.254311,0.512028,-0.615169,0.249967,-0.779529,-0.065505,-0.679070,0.192464,-1.023454,0.213117,-1.379199,0.362870,-1.128214,0.357199,-0.886622,-0.001131,-0.990469,-0.022897,-1.453626,0.172817,-1.195983,0.169159,-0.952202,-0.188290,-0.914574,-0.217322,-1.362059,-0.004209,-1.106442,0.004735,-0.868120,-0.380060,-0.786191,-0.318677,-1.134926,-0.128663,-0.959717,-0.109518,-0.743912
E,Right,legacy_asl_E_12,0.000000,0.000000,0.344659,-0.055366,0.564850,-0.395764,0.248644,-0.669734,-0.110518,-0.660171,0.609381,-0.853751,0.648702,-1.224292,0.553976,-0.967709,0.519491,-0.750510,0.348919,-0.936958,0.389480,-1.353742,0.304160,-1.059405,0.296069,-0.823811,0.105996,-0.949504,0.108508,-1.357474,0.052927,-1.032979,0.051602,-0.786991,-0.143763,-0.903962,-0.143682,-1.178204,-0.145577,-0.935450,-0.123526,-0.718258
