label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
F,Right,legacy_asl_F_0,0.000000,0.000000,0.340802,-0.203268,0.589329,-0.530768,0.698250,-0.809763,0.756282,-1.037191,0.168091,-0.894888,0.309915,-1.134754,0.478740,-1.208716,0.652770,-1.216319,-0.075540,-0.995518,0.046737,-1.375917,0.230632,-1.594435,0.436481,-1.750769,-0.331410,-1.004142,-0.369185,-1.444669,-0.269765,-1.710754,-0.096740,-1.902514,-0.576774,-0.908922,-0.822204,-1.163373,-0.826995,-1.355006,-0.720163,-1.505879
F,Right,legacy_asl_F_1,0.000000,0.000000,0.288604,-0.297516,0.444594,-0.602300,0.546974,-0.911497,0.540586,-1.217391,-0.110738,-0.926394,0.024498,-1.272458,0.254028,-1.325327,0.450203,-1.286157,-0.274755,-0.954106,-0.236362,-1.373043,0.019343,-1.565324,0.270557,-1.625459,-0.439715,-0.921520,-0.543639,-1.359612,-0.367113,-1.585708,-0.151444,-1.705513,-0.569996,-0.810689,-0.852666,-1.036986,-0.889485,-1.235575,-0.835321,-1.397700
F,Right,legacy_asl_F_2,0.000000,0.000000,0.201330,-0.318966,0.277192,-0.651188,0.311213,-0.917796,0.340020,-1.226886,-0.346962,-0.804984,-0.097611,-1.062340,0.166855,-1.071770,0.425218,-1.012440,-0.472300,-0.876088,-0.315151,-1.249749,0.002093,-1.394052,0.315560,-1.395874,-0.593396,-0.900483,-0.657997,-1.398435,-0.460981,-1.645234,-0.196715,-1.771038,-0.685309,-0.899339,-1.018748,-1.122749,-1.031979,-1.323571,-0.904150,-1.491055
F,Right,legacy_asl_F_3,0.000000,0.000000,0.373303,-0.233246,0.516372,-0.682723,0.538552,-1.097713,0.482037,-1.427994,-0.276347,-0.788584,-0.210303,-1.236801,0.014458,-1.452485,0.239128,-1.525712,-0.528981,-0.802407,-0.528570,-1.310556,-0.331318,-1.641217,-0.117688,-1.796315,-0.679579,-0.777229,-0.893813,-1.224601,-0.839036,-1.606883,-0.735545,-1.852992,-0.760957,-0.692172,-1.098812,-0.955821,-1.203831,-1.229118,-1.218809,-1.448405
F,Right,legacy_asl_F_4,0.000000,0.000000,0.291593,-0.274469,0.513194,-0.565870,0.566303,-0.854123,0.512037,-1.155734,-0.088801,-0.884200,0.050575,-1.160435,0.230931,-1.267168,0.410781,-1.295716,-0.309919,-0.948780,-0.257510,-1.349213,-0.080771,-1.610364,0.110797,-1.808992,-0.523342,-0.931595,-0.661931,-1.365223,-0.619993,-1.671876,-0.493933,-1.921639,-0.710282,-0.814418,-1.047900,-1.036322,-1.094221,-1.239468,-1.015740,-1.428210
F,Right,legacy_asl_F_5,0.000000,0.000000,0.388494,-0.320610,0.658756,-0.752966,0.609462,-1.195700,0.469533,-1.585940,-0.074022,-0.827517,0.010912,-1.218094,0.158924,-1.482422,0.323215,-1.694496,-0.441053,-0.861410,-0.508076,-1.413689,-0.403858,-1.766119,-0.243543,-2.037266,-0.730171,-0.828287,-0.988506,-1.283237,-0.980770,-1.628588,-0.855118,-1.913308,-0.941606,-0.710956,-1.333218,-0.955589,-1.364214,-1.175227,-1.243880,-1.372218
F,Right,legacy_asl_F_6,0.000000,0.000000,0.235685,-0.241713,0.408407,-0.536540,0.448384,-0.843720,0.466496,-1.186707,-0.283317,-0.753856,-0.055692,-1.048231,0.174130,-1.178170,0.400711,-1.218177,-0.457032,-0.882057,-0.345538,-1.263533,-0.076900,-1.521374,0.204191,-1.620710,-0.603287,-0.938612,-0.698908,-1.427077,-0.488066,-1.702888,-0.217237,-1.842010,-0.706855,-0.948876,-1.096294,-1.152244,-1.134947,-1.366504,-1.038658,-1.530577
F,Right,legacy_asl_F_7,0.000000,0.000000,0.326509,-0.292682,0.518431,-0.604778,0.464576,-0.938960,0.352634,-1.193974,0.202910,-0.966448,0.251381,-1.204277,0.285749,-1.289139,0.313517,-1.311683,-0.048408,-0.992395,-0.047821,-1.376940,-0.030654,-1.578655,0.012639,-1.753946,-0.278740,-0.935516,-0.384821,-1.330155,-0.431545,-1.583766,-0.424266,-1.788341,-0.509732,-0.787670,-0.649139,-1.033997,-0.694507,-1.207382,-0.687504,-1.363753
F,Right,legacy_asl_F_8,0.000000,0.000000,0.318626,-0.273027,0.540028,-0.626103,0.610592,-0.958226,0.602936,-1.231077,0.108866,-0.938914,0.220717,-1.173475,0.370230,-1.253336,0.509151,-1.278088,-0.125190,-0.991783,-0.086108,-1.395738,0.031597,-1.618064,0.162618,-1.794843,-0.353818,-0.953290,-0.447685,-1.374597,-0.419286,-1.648100,-0.332926,-1.866434,-0.571352,-0.809693,-0.791708,-1.065873,-0.838010,-1.257159,-0.813538,-1.433474
F,Right,legacy_asl_F_9,0.000000,0.000000,0.375503,-0.266414,0.610261,-0.566194,0.712172,-0.908341,0.792387,-1.255616,0.018771,-0.879524,0.238311,-1.171970,0.492850,-1.283704,0.734106,-1.320034,-0.198142,-0.980047,-0.095397,-1.417360,0.155160,-1.626167,0.428779,-1.710683,-0.429009,-0.997761,-0.486840,-1.485797,-0.327367,-1.758067,-0.084766,-1.921248,-0.645919,-0.911939,-0.945669,-1.188330,-0.961818,-1.416807,-0.849593,-1.589807
F,Right,legacy_asl_F_10,0.000000,0.000000,0.384519,-0.150401,0.669739,-0.402234,0.858238,-0.671249,0.947296,-0.962141,0.308661,-0.851034,0.521257,-1.065040,0.704149,-1.060404,0.848322,-0.958696,0.110354,-0.993770,0.275685,-1.368373,0.505457,-1.462545,0.728063,-1.442287,-0.120803,-1.053389,-0.092304,-1.504265,0.082283,-1.710382,0.303380,-1.799565,-0.360461,-1.001608,-0.529971,-1.326951,-0.479544,-1.522728,-0.340290,-1.630627
