label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
G,Right,legacy_asl_G_0,0.000000,0.000000,0.310579,-0.345771,0.343638,-0.898404,0.085647,-1.231424,-0.158473,-1.464859,-0.317412,-1.084542,-0.722343,-1.449564,-1.043417,-1.647302,-1.301100,-1.788190,-0.536508,-0.830794,-0.791956,-1.026965,-0.541994,-0.748116,-0.303329,-0.519233,-0.694444,-0.567145,-0.920301,-0.725765,-0.624423,-0.447611,-0.382747,-0.248079,-0.843546,-0.285868,-1.055354,-0.461594,-0.822633,-0.287213,-0.614917,-0.144535
G,Right,legacy_asl_G_1,0.000000,0.000000,0.256441,-0.367762,0.121696,-0.925380,-0.224431,-1.187482,-0.545585,-1.337070,-0.553150,-0.943881,-1.083868,-1.240008,-1.485226,-1.431557,-1.808072,-1.559510,-0.730441,-0.628327,-0.890660,-0.815287,-0.514693,-0.571350,-0.213877,-0.360071,-0.839221,-0.304002,-0.955240,-0.446917,-0.573828,-0.234601,-0.300607,-0.073176,-0.914653,0.044871,-1.058574,-0.120616,-0.754201,-0.019249,-0.532578,0.079671
G,Right,legacy_asl_G_2,0.000000,0.000000,0.221348,-0.364353,0.152943,-0.889658,-0.147702,-1.193906,-0.399670,-1.426435,-0.443278,-0.979156,-0.852277,-1.267569,-1.172768,-1.463071,-1.411874,-1.618979,-0.654554,-0.736714,-0.921105,-0.962016,-0.612396,-0.692140,-0.326257,-0.462764,-0.794211,-0.466584,-0.993306,-0.588915,-0.623636,-0.326373,-0.348352,-0.154050,-0.904819,-0.157372,-1.119517,-0.333210,-0.833508,-0.188310,-0.604504,-0.069191
G,Right,legacy_asl_G_3,0.000000,0.000000,0.251902,-0.309098,0.333275,-0.760246,0.249165,-1.072204,0.119366,-1.307014,-0.278591,-1.061268,-0.581619,-1.405436,-0.834764,-1.591724,-1.050640,-1.702159,-0.481259,-0.863537,-0.633779,-1.116774,-0.383783,-0.944795,-0.185631,-0.767240,-0.639338,-0.616424,-0.726864,-0.824985,-0.455654,-0.593840,-0.278091,-0.394511,-0.777549,-0.333140,-0.876087,-0.557669,-0.626347,-0.414328,-0.452319,-0.259222
G,Right,legacy_asl_G_4,0.000000,0.000000,0.236212,-0.324430,0.125207,-0.860504,-0.181469,-1.154264,-0.431589,-1.400197,-0.507906,-0.947473,-0.938787,-1.300571,-1.283423,-1.520020,-1.563381,-1.682476,-0.704575,-0.659939,-0.854694,-0.817959,-0.497738,-0.559379,-0.211608,-0.365548,-0.821386,-0.358566,-0.894201,-0.479593,-0.530758,-0.260025,-0.284178,-0.116257,-0.903199,-0.034037,-1.015844,-0.188877,-0.720002,-0.058100,-0.515468,0.041627
G,Right,legacy_asl_G_5,0.000000,0.000000,0.203182,-0.332979,0.112959,-0.845402,-0.175991,-1.140206,-0.381171,-1.398481,-0.497295,-0.981031,-0.923529,-1.291211,-1.230563,-1.452822,-1.500530,-1.557257,-0.667449,-0.718778,-0.858517,-0.935358,-0.510946,-0.733359,-0.263605,-0.556551,-0.769913,-0.443280,-0.896162,-0.570415,-0.525054,-0.405843,-0.301046,-0.280347,-0.851650,-0.134144,-0.972276,-0.278276,-0.669211,-0.208346,-0.476281,-0.141320
G,Right,legacy_asl_G_6,0.000000,0.000000,0.250681,-0.308279,0.144016,-0.818226,-0.161454,-1.095764,-0.382225,-1.335038,-0.589027,-0.928360,-1.082619,-1.188169,-1.441743,-1.341158,-1.709838,-1.433680,-0.750408,-0.631066,-1.016457,-0.817936,-0.677738,-0.623371,-0.378865,-0.457422,-0.827842,-0.323954,-1.003951,-0.459471,-0.654020,-0.254151,-0.411357,-0.098685,-0.887858,0.012346,-1.084882,-0.161439,-0.783849,-0.039245,-0.553678,0.070883
G,Right,legacy_asl_G_7,0.000000,0.000000,0.144627,-0.365955,-0.020129,-0.867319,-0.340428,-1.093941,-0.641253,-1.184817,-0.647203,-0.885171,-1.086452,-1.169204,-1.402595,-1.341921,-1.659964,-1.464776,-0.769405,-0.605712,-0.933013,-0.807482,-0.590438,-0.642249,-0.315585,-0.467070,-0.825892,-0.306337,-0.927006,-0.468269,-0.569032,-0.330109,-0.316368,-0.185762,-0.873214,0.024528,-1.013034,-0.162163,-0.731663,-0.115101,-0.516351,-0.023843
G,Right,legacy_asl_G_8,0.000000,0.000000,0.147158,-0.367375,0.105771,-0.861138,-0.112618,-1.130713,-0.418626,-1.238767,-0.582312,-0.940153,-1.012798,-1.189274,-1.338170,-1.306687,-1.599514,-1.391327,-0.732254,-0.645696,-1.070438,-0.758296,-0.802936,-0.601002,-0.530850,-0.490932,-0.807281,-0.355207,-0.962389,-0.348725,-0.629786,-0.198911,-0.406221,-0.144202,-0.844620,-0.068908,-0.964875,-0.107866,-0.677306,-0.003182,-0.487029,0.025070
G,Right,legacy_asl_G_9,0.000000,0.000000,0.270546,-0.345780,0.311632,-0.888958,0.074473,-1.240647,-0.173826,-1.456355,-0.302832,-1.085421,-0.683711,-1.441238,-0.990274,-1.631084,-1.232035,-1.769483,-0.518728,-0.842111,-0.806969,-1.040873,-0.551143,-0.763682,-0.293394,-0.542681,-0.670727,-0.577922,-0.885567,-0.688130,-0.578302,-0.425264,-0.341013,-0.255681,-0.804909,-0.290891,-0.998179,-0.460354,-0.752450,-0.290497,-0.559576,-0.168538
