label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
H,Right,legacy_asl_H_0,0.000000,0.000000,0.099716,-0.366328,-0.123047,-0.779543,-0.482124,-0.877735,-0.785420,-0.787399,-0.559977,-0.916613,-0.956492,-1.204925,-1.251044,-1.372530,-1.493663,-1.514255,-0.703209,-0.683406,-1.148264,-0.981141,-1.454585,-1.201426,-1.704589,-1.387124,-0.748474,-0.403581,-0.924382,-0.596635,-0.594804,-0.506037,-0.348097,-0.403988,-0.732941,-0.093004,-0.841821,-0.299052,-0.564942,-0.260911,-0.360480,-0.172345
H,Right,legacy_asl_H_1,0.000000,0.000000,0.093320,-0.360997,-0.205800,-0.746751,-0.618198,-0.814967,-0.967843,-0.796667,-0.515014,-0.948906,-0.967687,-1.256636,-1.301124,-1.411762,-1.587497,-1.535129,-0.682297,-0.689433,-1.198259,-0.993918,-1.557480,-1.194331,-1.848398,-1.356762,-0.736233,-0.389298,-0.978926,-0.501814,-0.607199,-0.393963,-0.331526,-0.316567,-0.720408,-0.056215,-0.893435,-0.199711,-0.588615,-0.132367,-0.360017,-0.063357
H,Right,legacy_asl_H_2,0.000000,0.000000,0.077688,-0.324859,-0.094227,-0.678765,-0.412535,-0.758526,-0.707011,-0.725850,-0.515375,-0.901925,-0.844664,-1.160955,-1.069666,-1.300169,-1.273203,-1.418165,-0.680083,-0.713939,-1.050665,-0.993284,-1.297402,-1.185226,-1.502381,-1.327316,-0.749556,-0.486659,-0.822282,-0.585934,-0.521293,-0.491732,-0.311297,-0.409290,-0.749393,-0.238687,-0.673760,-0.336041,-0.393374,-0.278755,-0.204101,-0.223957
H,Right,legacy_asl_H_3,0.000000,0.000000,0.166532,-0.303159,0.012339,-0.684651,-0.332648,-0.823866,-0.660245,-0.856387,-0.323497,-1.016053,-0.674296,-1.327361,-0.922084,-1.507938,-1.128657,-1.658095,-0.510042,-0.844781,-0.920557,-1.188213,-1.182225,-1.421491,-1.388299,-1.604648,-0.604015,-0.602471,-0.776652,-0.799426,-0.477193,-0.612474,-0.276466,-0.485517,-0.638406,-0.321861,-0.674054,-0.485767,-0.396312,-0.352573,-0.218411,-0.256054
H,Right,legacy_asl_H_4,0.000000,0.000000,0.019626,-0.387461,-0.275135,-0.704820,-0.629323,-0.755607,-0.918063,-0.668260,-0.598643,-0.880075,-0.974986,-1.137829,-1.269474,-1.284561,-1.514933,-1.383447,-0.748107,-0.647679,-1.189784,-0.924793,-1.513490,-1.104102,-1.798199,-1.243927,-0.799946,-0.349168,-1.053648,-0.512401,-0.725563,-0.438798,-0.489649,-0.354347,-0.771064,-0.009296,-0.947298,-0.208061,-0.688908,-0.192962,-0.500003,-0.119035
H,Right,legacy_asl_H_5,0.000000,0.000000,-0.103198,-0.442432,-0.435477,-0.750038,-0.821730,-0.799053,-1.114413,-0.690093,-0.252389,-0.687755,-0.760862,-0.976270,-1.094949,-1.024543,-1.324226,-1.059971,-0.299975,-0.365176,-0.765782,-0.600940,-1.060588,-0.670100,-1.200029,-0.718721,-0.385111,-0.057650,-0.890940,-0.305227,-1.085472,-0.417254,-1.148481,-0.516196,-0.479039,0.192232,-0.938921,-0.069295,-1.069310,-0.209496,-1.089026,-0.305531
H,Right,legacy_asl_H_6,0.000000,0.000000,0.173967,-0.312751,-0.019820,-0.701150,-0.405640,-0.787739,-0.738753,-0.763060,-0.406569,-0.980260,-0.771926,-1.279495,-1.033326,-1.447921,-1.261333,-1.578587,-0.600043,-0.782193,-1.025457,-1.098977,-1.289284,-1.306094,-1.514636,-1.465567,-0.689916,-0.527074,-0.819991,-0.664058,-0.485295,-0.503703,-0.269923,-0.398540,-0.722690,-0.235094,-0.702836,-0.352695,-0.392332,-0.230021,-0.204623,-0.146752
H,Right,legacy_asl_H_7,0.000000,0.000000,0.170966,-0.329836,-0.007567,-0.758821,-0.421493,-0.870518,-0.778990,-0.802954,-0.416306,-0.968963,-0.792215,-1.328005,-1.095043,-1.551679,-1.345618,-1.729138,-0.619693,-0.746045,-1.067429,-1.143903,-1.367573,-1.420232,-1.612104,-1.651681,-0.712735,-0.468394,-0.892982,-0.665425,-0.589094,-0.537351,-0.362370,-0.415331,-0.741568,-0.147260,-0.851301,-0.362137,-0.570400,-0.287767,-0.363575,-0.173682
H,Right,legacy_asl_H_8,0.000000,0.000000,0.156091,-0.341110,0.032641,-0.706107,-0.292268,-0.806476,-0.623327,-0.802915,-0.371107,-0.977822,-0.745235,-1.332287,-1.020542,-1.520741,-1.258404,-1.699651,-0.580291,-0.753924,-0.988880,-1.130594,-1.280046,-1.367636,-1.520566,-1.587912,-0.689405,-0.468136,-0.818461,-0.621028,-0.435151,-0.438891,-0.149012,-0.309242,-0.722715,-0.165414,-0.781792,-0.286271,-0.458277,-0.185161,-0.217403,-0.098488
H,Right,legacy_asl_H_9,0.000000,0.000000,0.108595,-0.296378,-0.064101,-0.649018,-0.399887,-0.746463,-0.730219,-0.726460,-0.485283,-0.878036,-0.843540,-1.175270,-1.076796,-1.342727,-1.295945,-1.487422,-0.679522,-0.680756,-1.070504,-1.013534,-1.322854,-1.239404,-1.537681,-1.415186,-0.768177,-0.432739,-0.821589,-0.584122,-0.506734,-0.480223,-0.291768,-0.389429,-0.780988,-0.162167,-0.653524,-0.273471,-0.352005,-0.206295,-0.176594,-0.146609
