label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
I,Right,legacy_asl_I_0,0.000000,0.000000,0.374831,-0.255565,0.557677,-0.693556,0.351145,-1.071219,0.021687,-1.095751,0.511185,-0.926201,0.440569,-1.278640,0.345519,-1.010474,0.357070,-0.830638,0.257291,-0.963734,0.133137,-1.262020,0.088100,-0.945896,0.119430,-0.767475,0.026243,-0.966788,-0.104066,-1.233785,-0.102272,-0.920375,-0.058866,-0.680374,-0.206945,-0.955835,-0.216351,-1.307055,-0.218458,-1.536397,-0.204785,-1.736140
I,Right,legacy_asl_I_1,0.000000,0.000000,0.422919,-0.165710,0.689432,-0.564984,0.512089,-0.946842,0.213485,-1.066335,0.582821,-0.871794,0.624289,-1.234464,0.535822,-1.005882,0.483953,-0.799122,0.324977,-0.945492,0.327814,-1.316136,0.268755,-1.033924,0.239660,-0.791325,0.074773,-0.976953,0.057357,-1.333754,0.071183,-1.076116,0.083521,-0.807583,-0.177254,-0.974610,-0.178350,-1.341120,-0.177256,-1.587547,-0.173508,-1.784873
I,Right,legacy_asl_I_2,0.000000,0.000000,0.301075,-0.249929,0.442560,-0.590422,0.192697,-0.772277,-0.084065,-0.742901,0.174686,-1.029010,0.185147,-1.298303,0.222678,-0.999115,0.219644,-0.830640,-0.059339,-0.993979,-0.062965,-1.248856,0.029169,-0.893060,0.052273,-0.745474,-0.279216,-0.922894,-0.296676,-1.125483,-0.133491,-0.808891,-0.060849,-0.609636,-0.495463,-0.834437,-0.669918,-1.184561,-0.748436,-1.391008,-0.839364,-1.624795
I,Right,legacy_asl_I_3,0.000000,0.000000,0.398517,-0.236029,0.655427,-0.615701,0.549196,-0.979677,0.278449,-1.108074,0.466050,-0.936158,0.499120,-1.236523,0.415345,-1.040606,0.376194,-0.849448,0.232990,-0.970785,0.231074,-1.287930,0.200617,-1.012515,0.201432,-0.787675,0.018998,-0.969630,0.010509,-1.251722,0.033956,-0.956524,0.062767,-0.697862,-0.202878,-0.948595,-0.177680,-1.299777,-0.152156,-1.533630,-0.122233,-1.754727
I,Right,legacy_asl_I_4,0.000000,0.000000,0.310615,-0.223763,0.446986,-0.582940,0.156122,-0.767087,-0.136945,-0.784146,0.202116,-1.009774,0.185301,-1.382585,0.204352,-1.182588,0.208969,-0.984441,-0.072732,-0.988573,-0.126800,-1.352403,-0.033025,-1.081488,0.012670,-0.919578,-0.318145,-0.914340,-0.395721,-1.183918,-0.233471,-0.914540,-0.146568,-0.705170,-0.551097,-0.812014,-0.807829,-1.144956,-0.969473,-1.357575,-1.139576,-1.577117
I,Right,legacy_asl_I_5,0.000000,0.000000,0.309678,-0.245019,0.460022,-0.688210,0.241391,-1.052279,-0.054317,-1.103700,0.493825,-0.941874,0.426223,-1.293952,0.338919,-1.039352,0.344981,-0.875808,0.251569,-0.966244,0.138626,-1.248664,0.109097,-0.934557,0.154263,-0.782185,0.034436,-0.954322,-0.093362,-1.158728,-0.078605,-0.863825,-0.027345,-0.646104,-0.189783,-0.934715,-0.206674,-1.299433,-0.217690,-1.529331,-0.212412,-1.733581
I,Right,legacy_asl_I_6,0.000000,0.000000,0.406793,-0.208437,0.683582,-0.656339,0.528058,-1.051835,0.195765,-1.174615,0.344989,-0.960156,0.372583,-1.216648,0.374077,-0.985712,0.359390,-0.764608,0.096328,-0.993386,0.101704,-1.262415,0.163595,-0.919211,0.197100,-0.643465,-0.141981,-0.996153,-0.121987,-1.305370,-0.015083,-0.961476,0.048729,-0.651180,-0.412295,-0.957701,-0.388898,-1.382701,-0.368530,-1.665462,-0.352458,-1.928218
I,Right,legacy_asl_I_7,0.000000,0.000000,0.398719,-0.173607,0.635865,-0.587084,0.475788,-0.991491,0.171541,-1.102743,0.533179,-0.891676,0.539506,-1.216726,0.455583,-0.950980,0.439051,-0.773394,0.292833,-0.955846,0.244241,-1.258590,0.189294,-0.941343,0.187941,-0.728210,0.064350,-0.984737,-0.021850,-1.241202,-0.025558,-0.918507,-0.002853,-0.660696,-0.172926,-1.002703,-0.147877,-1.347380,-0.144446,-1.567661,-0.141050,-1.773590
I,Right,legacy_asl_I_8,0.000000,0.000000,0.253469,-0.223423,0.330929,-0.567025,0.043851,-0.766447,-0.241156,-0.763982,0.148041,-1.016485,0.037632,-1.255589,0.098848,-0.969757,0.162865,-0.845431,-0.097818,-0.990178,-0.201760,-1.233410,-0.122930,-0.892683,-0.057514,-0.805001,-0.325893,-0.908736,-0.435363,-1.109912,-0.318080,-0.801914,-0.222650,-0.617720,-0.535975,-0.796997,-0.710227,-1.130287,-0.826076,-1.316819,-0.925115,-1.508956
I,Right,legacy_asl_I_9,0.000000,0.000000,0.326321,-0.197828,0.515014,-0.566656,0.288728,-0.854639,0.003802,-0.931407,0.392064,-0.957122,0.394582,-1.279593,0.354576,-1.011789,0.338005,-0.826483,0.131011,-0.989470,0.105416,-1.312226,0.116565,-0.983571,0.147260,-0.826748,-0.105704,-0.961608,-0.143784,-1.227079,-0.062862,-0.951009,-0.010229,-0.761178,-0.334204,-0.902612,-0.408996,-1.266527,-0.447329,-1.485040,-0.487056,-1.707533
