label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
K,Right,legacy_asl_K_0,0.000000,0.000000,0.282321,-0.211224,0.387974,-0.630450,0.189366,-0.996299,0.003097,-1.266627,0.480211,-0.964324,0.638608,-1.442818,0.703587,-1.749103,0.753867,-2.012485,0.179071,-0.974841,0.114563,-1.510582,0.053827,-1.836356,0.000500,-2.109011,-0.084545,-0.856937,-0.181662,-1.141418,-0.102167,-0.783067,-0.047127,-0.539726,-0.313201,-0.660368,-0.359313,-0.863740,-0.281023,-0.584343,-0.227735,-0.383934
K,Right,legacy_asl_K_1,0.000000,0.000000,0.266110,-0.296231,0.303961,-0.723303,0.045128,-1.041083,-0.205458,-1.263618,0.223418,-1.042529,0.333094,-1.490758,0.372101,-1.780266,0.396382,-2.028120,-0.049453,-0.994909,-0.186329,-1.514420,-0.273621,-1.838983,-0.354788,-2.100583,-0.274869,-0.834882,-0.315931,-1.089199,-0.153989,-0.787751,-0.069425,-0.565815,-0.478276,-0.615925,-0.454172,-0.855139,-0.313057,-0.613015,-0.255354,-0.417090
K,Right,legacy_asl_K_2,0.000000,0.000000,0.247910,-0.305386,0.234951,-0.740878,-0.073450,-1.029607,-0.352558,-1.221824,0.124422,-1.052510,0.186306,-1.524191,0.189120,-1.816425,0.183827,-2.072302,-0.134975,-0.985203,-0.309168,-1.495559,-0.416672,-1.810899,-0.515446,-2.080135,-0.336797,-0.802290,-0.419975,-1.057845,-0.212538,-0.785838,-0.094914,-0.578013,-0.507618,-0.559036,-0.514837,-0.779394,-0.325743,-0.566714,-0.228296,-0.386085
K,Right,legacy_asl_K_3,0.000000,0.000000,0.293250,-0.225073,0.358947,-0.651980,0.078939,-0.993046,-0.162696,-1.244519,0.333353,-1.018544,0.442761,-1.473234,0.478502,-1.759405,0.514355,-2.008477,0.038584,-0.992160,-0.056532,-1.502761,-0.106341,-1.822324,-0.142481,-2.094137,-0.199283,-0.844349,-0.253710,-1.053686,-0.123253,-0.731079,-0.048026,-0.513254,-0.404198,-0.634199,-0.408310,-0.848354,-0.294123,-0.574147,-0.236759,-0.371694
K,Right,legacy_asl_K_4,0.000000,0.000000,0.281686,-0.246008,0.327433,-0.705529,0.012149,-1.041177,-0.275585,-1.243140,0.350270,-1.027972,0.408992,-1.505489,0.422036,-1.814898,0.434749,-2.082055,0.045195,-0.996234,-0.073543,-1.489923,-0.150651,-1.811036,-0.210896,-2.077447,-0.199899,-0.854716,-0.318885,-1.096224,-0.186018,-0.764674,-0.099388,-0.537718,-0.413677,-0.651324,-0.463657,-0.866282,-0.347330,-0.603029,-0.273427,-0.408799
K,Right,legacy_asl_K_5,0.000000,0.000000,0.377346,-0.168622,0.604323,-0.652616,0.464290,-1.053114,0.203461,-1.241001,0.523090,-0.962904,0.700866,-1.411872,0.800182,-1.718245,0.899588,-1.988747,0.196479,-0.967380,0.127585,-1.493352,0.064155,-1.828770,0.031400,-2.103335,-0.114499,-0.868336,-0.149430,-1.154713,-0.049122,-0.778190,0.019608,-0.497665,-0.412033,-0.695166,-0.403096,-0.908692,-0.298168,-0.589251,-0.237006,-0.347013
K,Right,legacy_asl_K_6,0.000000,0.000000,0.310215,-0.310562,0.327517,-0.779125,-0.001518,-1.105556,-0.309612,-1.275314,0.289454,-1.051743,0.334803,-1.545679,0.338966,-1.857698,0.335758,-2.122335,-0.017161,-0.998356,-0.167915,-1.512251,-0.268987,-1.832249,-0.369247,-2.090754,-0.252539,-0.845040,-0.376046,-1.102634,-0.200864,-0.807788,-0.099082,-0.582055,-0.463685,-0.621086,-0.502811,-0.867698,-0.353591,-0.618552,-0.268240,-0.399120
K,Right,legacy_asl_K_7,0.000000,0.000000,0.286562,-0.298857,0.288355,-0.730071,0.032750,-1.040465,-0.223082,-1.269906,0.167137,-1.045724,0.243668,-1.519725,0.258661,-1.814575,0.272252,-2.070764,-0.099355,-0.986946,-0.228954,-1.521120,-0.304982,-1.857329,-0.367865,-2.127727,-0.324969,-0.812152,-0.330620,-1.079851,-0.137831,-0.781069,-0.031407,-0.554780,-0.522274,-0.582273,-0.457743,-0.806739,-0.266980,-0.583358,-0.173753,-0.396486
K,Right,legacy_asl_K_8,0.000000,0.000000,0.251480,-0.376228,0.239518,-0.838688,-0.080885,-1.134620,-0.389466,-1.293634,0.029410,-1.049576,0.010544,-1.524965,-0.027499,-1.804311,-0.051993,-2.044074,-0.221127,-0.971512,-0.427214,-1.482161,-0.536957,-1.789837,-0.621946,-2.015966,-0.414708,-0.800155,-0.497321,-1.091861,-0.267180,-0.846213,-0.128789,-0.629635,-0.575452,-0.573820,-0.575293,-0.846181,-0.373912,-0.678314,-0.261713,-0.502266
K,Right,legacy_asl_K_9,0.000000,0.000000,0.202250,-0.361038,0.231191,-0.745165,-0.032307,-0.965787,-0.257335,-1.122295,0.154424,-1.063339,0.173756,-1.493224,0.153455,-1.766046,0.137571,-2.007489,-0.109813,-0.993549,-0.280952,-1.433850,-0.386187,-1.705083,-0.462279,-1.949193,-0.307725,-0.824916,-0.471236,-1.014668,-0.334563,-0.764597,-0.228617,-0.593398,-0.465339,-0.601427,-0.581833,-0.745870,-0.455150,-0.591837,-0.347427,-0.483275
