label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
L,Right,legacy_asl_L_0,0.000000,0.000000,0.459765,0.118479,1.011103,-0.067017,1.455782,-0.281745,1.822264,-0.393767,0.798016,-0.667428,0.915362,-1.237986,0.943943,-1.638480,0.941416,-1.956608,0.443393,-0.815298,0.417668,-1.131626,0.254269,-0.743979,0.177284,-0.420730,0.108590,-0.866975,0.044655,-1.102044,-0.080211,-0.745071,-0.112877,-0.473022,-0.185283,-0.843815,-0.271616,-1.026160,-0.335945,-0.737397,-0.326935,-0.504592
L,Right,legacy_asl_L_1,0.000000,0.000000,0.460379,-0.121984,0.862583,-0.329334,1.173163,-0.586719,1.418293,-0.750502,0.563465,-0.929458,0.562574,-1.379268,0.531728,-1.657865,0.495440,-1.903250,0.286579,-0.950752,0.279603,-1.209743,0.263449,-0.833408,0.267267,-0.572741,0.017871,-0.892747,0.025898,-1.164410,0.031715,-0.788619,0.044477,-0.538648,-0.239126,-0.779947,-0.220892,-1.005003,-0.179810,-0.719665,-0.143484,-0.520460
L,Right,legacy_asl_L_2,0.000000,0.000000,0.425083,-0.081639,0.853092,-0.334413,1.166487,-0.603263,1.420369,-0.776792,0.645004,-0.890567,0.691437,-1.312478,0.640254,-1.584297,0.590576,-1.802931,0.372644,-0.923698,0.337283,-1.239138,0.264428,-0.928487,0.241353,-0.675858,0.104272,-0.887063,0.066110,-1.154105,0.035483,-0.814006,0.039740,-0.574667,-0.157028,-0.798973,-0.176611,-1.007124,-0.176779,-0.737374,-0.155512,-0.533405
L,Right,legacy_asl_L_3,0.000000,0.000000,0.471631,-0.118321,0.865787,-0.309043,1.149267,-0.595660,1.355283,-0.793069,0.622102,-0.892431,0.694963,-1.330861,0.699555,-1.605449,0.689983,-1.851228,0.371088,-0.928590,0.413151,-1.166461,0.354420,-0.794054,0.325066,-0.558061,0.113619,-0.898709,0.156676,-1.126507,0.125557,-0.773336,0.108135,-0.550524,-0.138576,-0.814735,-0.094766,-1.027362,-0.066662,-0.748399,-0.037741,-0.567222
L,Right,legacy_asl_L_4,0.000000,0.000000,0.431460,-0.174910,0.788461,-0.361106,1.094779,-0.575455,1.318383,-0.740928,0.497138,-0.940519,0.536871,-1.364175,0.509712,-1.622189,0.473189,-1.851374,0.246155,-0.962886,0.291168,-1.214164,0.248671,-0.842352,0.230439,-0.612463,-0.012423,-0.903104,0.037090,-1.172244,0.023187,-0.794143,0.011558,-0.582273,-0.270805,-0.779612,-0.220272,-1.026776,-0.160021,-0.741164,-0.148720,-0.547198
L,Right,legacy_asl_L_5,0.000000,0.000000,0.496610,0.041506,1.069922,-0.081127,1.485522,-0.311097,1.782641,-0.472854,0.895572,-0.708557,0.994329,-1.189783,0.979319,-1.500564,0.976995,-1.750497,0.585785,-0.802141,0.574172,-1.098211,0.428062,-0.747254,0.375114,-0.476988,0.292972,-0.838556,0.274438,-1.105390,0.151746,-0.756352,0.111935,-0.497886,0.002770,-0.843419,-0.005532,-1.058627,-0.066589,-0.767013,-0.067440,-0.541370
L,Right,legacy_asl_L_6,0.000000,0.000000,0.481695,-0.209681,0.836525,-0.380858,1.087321,-0.660156,1.233172,-0.885626,0.484559,-0.968337,0.489497,-1.399293,0.438640,-1.640055,0.373584,-1.857239,0.242483,-0.970070,0.288812,-1.240910,0.275359,-0.895898,0.267945,-0.658101,-0.005093,-0.907724,0.030299,-1.212506,0.036852,-0.862389,0.040255,-0.630970,-0.243603,-0.782377,-0.207356,-1.055617,-0.140286,-0.815647,-0.122515,-0.613534
L,Right,legacy_asl_L_7,0.000000,0.000000,0.483823,-0.048720,0.944416,-0.225784,1.273504,-0.453211,1.524632,-0.645159,0.589085,-0.901070,0.650927,-1.403864,0.664974,-1.727694,0.671729,-2.002620,0.313691,-0.943089,0.396808,-1.220183,0.365639,-0.842536,0.323268,-0.535156,0.028490,-0.912106,0.123443,-1.190685,0.105960,-0.793719,0.069115,-0.500422,-0.271365,-0.849992,-0.151253,-1.094297,-0.110035,-0.810842,-0.116455,-0.571810
L,Right,legacy_asl_L_8,0.000000,0.000000,0.435052,-0.032558,0.908869,-0.271659,1.250994,-0.517781,1.504905,-0.700199,0.590890,-0.900491,0.633632,-1.370117,0.609038,-1.674133,0.599590,-1.928662,0.296652,-0.934300,0.320073,-1.176639,0.250999,-0.769967,0.219608,-0.471373,0.009134,-0.897754,0.025178,-1.079898,-0.001302,-0.683721,-0.008634,-0.433617,-0.277001,-0.828973,-0.244336,-0.972883,-0.230984,-0.668013,-0.221831,-0.472290
L,Right,legacy_asl_L_9,0.000000,0.000000,0.420933,-0.048441,0.872025,-0.275138,1.199616,-0.517077,1.454035,-0.684075,0.639147,-0.878313,0.690767,-1.332608,0.669311,-1.618881,0.662065,-1.858383,0.369449,-0.917889,0.352311,-1.154435,0.267939,-0.786167,0.233375,-0.505710,0.102227,-0.894979,0.074808,-1.095007,0.038795,-0.725253,0.037363,-0.475778,-0.167098,-0.832977,-0.168367,-1.018855,-0.163180,-0.740499,-0.140419,-0.537306
