label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
M,Right,legacy_asl_M_0,0.000000,0.000000,0.250640,-0.052925,0.456365,-0.132001,0.506645,-0.173817,0.514145,-0.142014,0.218846,-0.920300,0.232697,-0.464768,0.222965,-0.139885,0.222223,0.048364,-0.101823,-0.914839,-0.070309,-0.529338,-0.039493,-0.156662,-0.004830,0.083037,-0.369210,-0.791305,-0.335059,-0.459897,-0.265751,-0.130525,-0.201744,0.075001,-0.565126,-0.610129,-0.552088,-0.360347,-0.446965,-0.129699,-0.364259,-0.011220
M,Right,legacy_asl_M_1,0.000000,0.000000,0.268177,-0.210428,0.387769,-0.448119,0.361986,-0.633775,0.314675,-0.706557,0.167723,-0.990866,0.296219,-0.699070,0.327751,-0.381813,0.326289,-0.195309,-0.082649,-0.974328,0.059478,-0.657356,0.128654,-0.311160,0.176609,-0.060593,-0.303347,-0.869583,-0.177077,-0.573378,-0.065492,-0.268527,0.020777,-0.043635,-0.492079,-0.713091,-0.419069,-0.497848,-0.310954,-0.289759,-0.231975,-0.151477
M,Right,legacy_asl_M_2,0.000000,0.000000,0.220783,-0.164796,0.312048,-0.353724,0.215492,-0.491996,0.051783,-0.545514,0.178479,-0.960105,0.241623,-1.014714,0.224061,-0.833513,0.210168,-0.621370,-0.103264,-0.977804,-0.063526,-0.819179,-0.014691,-0.483059,0.038791,-0.215869,-0.348875,-0.861984,-0.303748,-0.643942,-0.214557,-0.386953,-0.146190,-0.196503,-0.541924,-0.676681,-0.535141,-0.501329,-0.444545,-0.324120,-0.378215,-0.212995
M,Right,legacy_asl_M_3,0.000000,0.000000,-0.302522,0.335742,-0.520341,0.748107,-0.552939,1.164836,-0.449142,1.404660,-0.395136,0.117629,-0.338604,0.881444,-0.310749,1.378649,-0.315653,1.767382,-0.087079,-0.060953,-0.092760,0.773785,-0.125242,1.366601,-0.164613,1.822328,0.173202,-0.068144,0.131343,0.753726,0.032688,1.309584,-0.058009,1.718721,0.387430,0.045331,0.367122,0.772393,0.302623,1.234006,0.238719,1.589703
M,Right,legacy_asl_M_4,0.000000,0.000000,0.304103,-0.258335,0.493894,-0.481515,0.586285,-0.629878,0.521274,-0.710109,0.309581,-0.992071,0.318439,-0.908800,0.277521,-0.711935,0.274512,-0.565184,0.069053,-0.996686,0.113481,-0.785318,0.114047,-0.560337,0.129720,-0.384210,-0.145599,-0.910670,-0.088787,-0.717824,-0.053692,-0.520913,-0.019311,-0.352270,-0.309411,-0.786247,-0.280006,-0.672482,-0.244282,-0.522398,-0.202473,-0.393809
M,Right,legacy_asl_M_5,0.000000,0.000000,0.433115,0.231972,0.780052,0.534434,0.820899,0.866215,0.707173,1.162612,0.590860,-0.442959,0.528041,0.472374,0.425046,1.081547,0.344787,1.469075,0.115653,-0.497105,0.041627,0.497895,-0.000581,1.139804,-0.035813,1.513312,-0.312778,-0.381337,-0.342928,0.519100,-0.310005,1.074533,-0.297396,1.365507,-0.642744,-0.187875,-0.642846,0.477120,-0.574293,0.941669,-0.540443,1.211156
M,Right,legacy_asl_M_6,0.000000,0.000000,0.370965,0.124597,0.592879,0.375725,0.581072,0.664076,0.441776,0.886783,0.489587,-0.267597,0.420446,0.436777,0.399434,0.919101,0.357931,1.281386,0.132314,-0.287265,0.152861,0.490479,0.180259,1.004675,0.172803,1.374514,-0.191121,-0.150151,-0.093382,0.555127,-0.027776,1.022152,0.016051,1.353696,-0.460525,0.074039,-0.306912,0.598141,-0.181691,0.885826,-0.090448,1.083279
M,Right,legacy_asl_M_7,0.000000,0.000000,0.281618,-0.089105,0.483690,-0.146332,0.482884,-0.190987,0.330943,-0.170009,0.262578,-0.916852,0.209305,-0.368348,0.150418,0.022768,0.105988,0.309821,-0.056782,-0.926698,-0.054949,-0.348788,-0.067303,0.048806,-0.071205,0.365623,-0.323015,-0.815847,-0.286450,-0.258982,-0.242966,0.067096,-0.197470,0.328483,-0.522130,-0.632992,-0.477630,-0.270202,-0.394742,-0.002753,-0.327551,0.184524
M,Right,legacy_asl_M_8,0.000000,0.000000,0.251315,-0.073610,0.407438,-0.117183,0.450270,-0.062534,0.452370,0.065227,0.246689,-0.919231,0.318201,-0.464265,0.331026,-0.064133,0.345061,0.237366,-0.093540,-0.892723,-0.017254,-0.468862,0.061612,-0.048644,0.134996,0.273516,-0.379366,-0.734617,-0.309241,-0.365818,-0.177293,0.016838,-0.063327,0.286403,-0.590849,-0.511404,-0.541035,-0.189531,-0.393153,0.054723,-0.275647,0.192314
M,Right,legacy_asl_M_9,0.000000,0.000000,0.248692,0.028294,0.348766,-0.001863,0.322573,0.017649,0.208534,0.096114,0.236952,-0.548167,0.192582,-0.377218,0.169140,-0.124271,0.133928,0.066177,-0.011505,-0.626059,-0.051338,-0.329701,-0.057451,-0.026028,-0.062639,0.184999,-0.200505,-0.547853,-0.244164,-0.282418,-0.220878,0.018581,-0.189935,0.218313,-0.334597,-0.402880,-0.357436,-0.213532,-0.307024,0.004841,-0.239824,0.153323
M,Right,legacy_asl_M_10,0.000000,0.000000,0.300011,-0.000742,0.501783,-0.016319,0.403718,0.110861,0.230499,0.318399,0.193507,-0.831979,0.127168,-0.167078,0.025593,0.312964,-0.046410,0.675349,-0.181922,-0.832123,-0.210982,-0.155303,-0.230410,0.353884,-0.225178,0.756958,-0.489090,-0.705589,-0.448613,-0.091826,-0.412288,0.357351,-0.380269,0.726759,-0.725910,-0.509597,-0.726844,-0.102962,-0.625294,0.265520,-0.556913,0.555353
M,Right,legacy_asl_M_11,0.000000,0.000000,0.180135,0.205591,0.249847,0.286962,0.268615,0.319369,0.179673,0.270861,-0.068598,-0.498130,-0.012442,-0.458063,0.023197,-0.119212,0.036421,0.152913,-0.235362,-0.593223,-0.130639,-0.570463,-0.091922,-0.128894,-0.049542,0.190154,-0.324630,-0.553625,-0.223614,-0.508190,-0.199559,-0.045734,-0.181292,0.295856,-0.392079,-0.419458,-0.311284,-0.296842,-0.264019,0.028329,-0.205308,0.285079
M,Right,legacy_asl_M_12,0.000000,0.000000,0.342527,-0.121135,0.620143,-0.248642,0.741352,-0.353503,0.641521,-0.401660,0.267521,-0.970814,0.380254,-0.421174,0.409967,-0.027853,0.423640,0.268634,-0.106475,-0.911576,0.070773,-0.296171,0.172953,0.109748,0.259079,0.444211,-0.405848,-0.756161,-0.178542,-0.151055,-0.059029,0.186495,0.037119,0.455127,-0.631026,-0.546864,-0.423998,-0.121541,-0.262746,0.143210,-0.141973,0.332342
M,Right,legacy_asl_M_13,0.000000,0.000000,0.246302,-0.120062,0.382132,-0.281275,0.369430,-0.450914,0.254096,-0.564214,0.370121,-0.874902,0.408421,-0.886404,0.348971,-0.604410,0.270151,-0.354770,0.125126,-0.926779,0.158695,-0.907393,0.143219,-0.552678,0.124947,-0.272878,-0.116152,-0.892632,-0.095029,-0.863399,-0.065046,-0.514144,-0.050291,-0.240329,-0.350691,-0.800704,-0.329710,-0.721963,-0.268462,-0.467059,-0.223957,-0.292502
M,Right,legacy_asl_M_14,0.000000,0.000000,0.275798,0.081679,0.424534,0.171902,0.447259,0.285717,0.353567,0.434494,0.307947,-0.428546,0.320364,-0.042384,0.342665,0.269198,0.334946,0.509805,0.044075,-0.482322,0.076229,-0.006950,0.133490,0.346212,0.162146,0.598371,-0.191764,-0.363329,-0.116200,0.045267,-0.052296,0.381513,0.003591,0.618047,-0.369104,-0.164381,-0.271354,0.118318,-0.176795,0.330685,-0.089064,0.477146
M,Right,legacy_asl_M_15,0.000000,0.000000,-0.224078,-0.039389,-0.395178,-0.193041,-0.428153,-0.352098,-0.328657,-0.496703,-0.279462,-0.915279,-0.029516,-0.765585,0.020730,-0.456323,-0.003894,-0.226169,-0.068146,-0.971435,0.174137,-0.808849,0.172200,-0.456011,0.116586,-0.220825,0.133290,-0.924842,0.331288,-0.760846,0.292688,-0.453384,0.234791,-0.250433,0.315622,-0.812893,0.447075,-0.723530,0.395961,-0.472073,0.333972,-0.311025
M,Right,legacy_asl_M_16,0.000000,0.000000,-0.358429,0.220592,-0.555647,0.394695,-0.450539,0.658867,-0.302198,0.856572,-0.372509,-0.236310,-0.317924,0.393923,-0.266467,0.867802,-0.239206,1.212211,-0.018692,-0.407308,0.029579,0.322834,0.036934,0.890005,0.022673,1.216859,0.295784,-0.384115,0.410640,0.298922,0.338059,0.800102,0.233641,1.061718,0.563920,-0.239416,0.694465,0.333094,0.614688,0.623327,0.490228,0.720016
M,Right,legacy_asl_M_17,0.000000,0.000000,0.448272,0.187790,0.651790,0.438251,0.655185,0.763817,0.572175,1.033589,0.520726,-0.175780,0.653132,0.671155,0.600491,1.233183,0.478124,1.604747,0.098749,-0.234306,0.147739,0.733507,0.143406,1.386742,0.114017,1.810320,-0.338728,-0.145859,-0.271033,0.782652,-0.153197,1.331624,-0.100762,1.698652,-0.720870,0.019772,-0.622801,0.709366,-0.434784,1.133799,-0.337976,1.431918
M,Right,legacy_asl_M_18,0.000000,0.000000,0.354477,-0.182913,0.554740,-0.547134,0.555121,-0.923774,0.454527,-1.210302,0.375158,-0.934531,0.281412,-1.118761,0.253877,-1.132986,0.253242,-1.112337,0.037207,-0.969260,-0.039991,-1.093774,-0.041426,-0.999650,-0.030906,-0.898477,-0.264897,-0.919394,-0.320679,-1.039157,-0.295574,-0.964905,-0.269444,-0.896266,-0.511663,-0.814635,-0.552568,-0.915577,-0.513231,-0.855128,-0.497539,-0.819512
M,Right,legacy_asl_M_19,0.000000,0.000000,-0.112566,-0.139960,-0.159949,-0.362155,-0.130283,-0.508664,-0.052944,-0.585857,-0.150357,-0.924573,-0.089955,-0.837133,-0.094915,-0.539438,-0.113606,-0.286092,-0.051401,-0.991220,-0.030143,-0.880163,-0.051413,-0.553817,-0.070028,-0.267526,0.055302,-0.964400,0.019714,-0.848133,-0.005282,-0.545002,-0.011924,-0.292860,0.160931,-0.880205,0.099292,-0.783210,0.047776,-0.547297,0.027711,-0.364980
M,Right,legacy_asl_M_20,0.000000,0.000000,0.329219,0.004284,0.604521,0.025066,0.713799,0.123835,0.629788,0.322420,0.426407,-0.829903,0.488692,-0.153106,0.437738,0.336366,0.407788,0.678234,0.009849,-0.828047,0.118272,-0.124911,0.151344,0.382498,0.176570,0.769462,-0.350432,-0.691329,-0.198830,-0.045713,-0.120261,0.388265,-0.071482,0.713536,-0.630831,-0.487992,-0.495816,-0.088904,-0.385627,0.217654,-0.334079,0.447208
M,Right,legacy_asl_M_21,0.000000,0.000000,0.228853,-0.072456,0.396028,-0.165430,0.405515,-0.219722,0.392429,-0.213385,0.198271,-0.927229,0.201439,-0.514218,0.212110,-0.210019,0.220673,-0.051011,-0.112142,-0.915395,-0.094744,-0.573748,-0.046737,-0.215818,-0.004342,0.001729,-0.368858,-0.787466,-0.349617,-0.488665,-0.264004,-0.174954,-0.193794,0.012655,-0.554672,-0.605994,-0.551229,-0.373910,-0.436445,-0.160474,-0.349350,-0.060595
M,Right,legacy_asl_M_22,0.000000,0.000000,-0.270865,-0.160773,-0.447636,-0.399048,-0.459978,-0.598316,-0.359459,-0.742056,-0.378742,-0.891787,-0.251204,-0.890328,-0.183951,-0.575170,-0.176190,-0.290265,-0.136877,-0.974360,-0.041086,-0.931991,-0.001786,-0.558552,-0.004549,-0.236503,0.105256,-0.983885,0.133794,-0.921067,0.134285,-0.568820,0.119643,-0.269045,0.329047,-0.941320,0.338509,-0.911139,0.287252,-0.652078,0.244431,-0.431772
M,Right,legacy_asl_M_23,0.000000,0.000000,0.174491,-0.200739,0.270845,-0.456035,0.240216,-0.679103,0.169328,-0.807080,0.067150,-0.934320,0.208996,-0.958182,0.258118,-0.697822,0.262938,-0.496638,-0.038111,-0.982305,0.129442,-0.942284,0.180852,-0.664665,0.196431,-0.440852,-0.114220,-0.948326,0.047859,-0.879967,0.116310,-0.629548,0.136641,-0.415333,-0.167603,-0.864107,-0.010607,-0.806294,0.039374,-0.604797,0.053198,-0.433806
M,Right,legacy_asl_M_24,0.000000,0.000000,0.221918,-0.115046,0.346228,-0.283249,0.319777,-0.434853,0.261562,-0.483826,0.353066,-0.938694,0.285022,-0.664517,0.212600,-0.360515,0.163642,-0.161705,0.092844,-0.975484,0.051794,-0.743376,0.011086,-0.427422,-0.009298,-0.188169,-0.163900,-0.907624,-0.191211,-0.703579,-0.176473,-0.413568,-0.154896,-0.201786,-0.385294,-0.771630,-0.393424,-0.632485,-0.346862,-0.427721,-0.309276,-0.297366
M,Right,legacy_asl_M_25,0.000000,0.000000,-0.328933,0.244539,-0.548985,0.471331,-0.493565,0.813282,-0.406252,1.155321,-0.520426,-0.302347,-0.554876,0.376823,-0.552424,0.920355,-0.525660,1.349821,-0.063524,-0.455354,-0.145896,0.348659,-0.197120,0.935232,-0.266236,1.355660,0.348297,-0.412320,0.390033,0.345679,0.342734,0.834641,0.240891,1.159966,0.702955,-0.257050,0.822466,0.265674,0.768745,0.537273,0.648700,0.702788
M,Right,legacy_asl_M_26,0.000000,0.000000,0.442202,0.047333,0.883765,0.183301,1.156763,0.356584,1.369163,0.546270,0.457531,-0.631999,0.448227,0.280167,0.392078,0.896812,0.341692,1.358769,-0.114731,-0.580226,-0.131151,0.353530,-0.172715,1.017531,-0.173233,1.550998,-0.575878,-0.439947,-0.559418,0.423543,-0.553114,1.027770,-0.522774,1.499142,-0.922476,-0.249400,-0.936659,0.304395,-0.881375,0.803941,-0.831360,1.218455
M,Right,legacy_asl_M_27,0.000000,0.000000,-0.005076,0.143477,-0.034496,0.320191,-0.052529,0.585509,-0.091653,0.784062,-0.048463,-0.487531,-0.127085,0.064957,-0.142577,0.522022,-0.132792,0.860125,0.013372,-0.605528,0.042353,-0.024298,0.074731,0.502889,0.106866,0.848115,0.097167,-0.536906,0.227866,0.011170,0.229969,0.518487,0.225452,0.838006,0.202983,-0.337318,0.323353,0.121626,0.328902,0.491932,0.329531,0.747179
M,Right,legacy_asl_M_28,0.000000,0.000000,-0.312313,0.169817,-0.489031,0.274723,-0.376175,0.454962,-0.240848,0.605640,-0.376898,-0.326207,-0.381870,0.250622,-0.340611,0.724029,-0.298915,1.098918,-0.013615,-0.453479,0.009482,0.202536,0.052639,0.750471,0.060321,1.148224,0.297850,-0.430054,0.370722,0.140587,0.340313,0.637681,0.284525,0.990103,0.558350,-0.309692,0.679303,0.017262,0.679440,0.301413,0.653643,0.496566
M,Right,legacy_asl_M_29,0.000000,0.000000,0.357778,-0.063239,0.658356,-0.150657,0.815834,-0.210843,0.704547,-0.198117,0.357470,-0.905278,0.460539,-0.397539,0.497305,0.012473,0.520340,0.295900,-0.066413,-0.854809,0.078625,-0.226735,0.215578,0.231649,0.317163,0.564282,-0.420689,-0.677286,-0.252147,-0.059730,-0.079991,0.371908,0.049906,0.681957,-0.683363,-0.438186,-0.517385,-0.012088,-0.322945,0.313951,-0.181446,0.547335
M,Right,legacy_asl_M_30,0.000000,0.000000,0.091230,0.141782,0.152278,0.255974,0.204417,0.487494,0.232777,0.720167,0.083742,-0.547439,0.117585,0.088683,0.134052,0.532732,0.125492,0.855955,0.007939,-0.606722,0.037768,0.148589,0.057755,0.657133,0.057692,0.973354,-0.036971,-0.472682,0.055426,0.229624,0.093781,0.689265,0.121808,0.960041,-0.043364,-0.236264,0.068970,0.261198,0.135534,0.606045,0.210110,0.827303
M,Right,legacy_asl_M_31,0.000000,0.000000,0.293522,0.291957,0.476585,0.569331,0.554623,0.865529,0.599122,1.100067,0.597543,-0.051595,0.611047,0.507958,0.529306,0.888436,0.427558,1.154261,0.383011,-0.183363,0.334309,0.459864,0.310988,0.895231,0.272435,1.196722,0.114247,-0.203099,0.054050,0.419283,0.046788,0.878320,0.039261,1.210224,-0.147328,-0.152705,-0.183927,0.379086,-0.170428,0.744583,-0.163833,1.032968
M,Right,legacy_asl_M_32,0.000000,0.000000,-0.593441,0.293034,-0.912882,0.591509,-0.891064,1.031169,-0.655254,1.260449,-0.682835,-0.220624,-0.551076,0.749428,-0.440959,1.463932,-0.381380,1.988534,0.002926,-0.428665,0.046337,0.695408,0.054495,1.547218,0.050077,2.126842,0.578327,-0.406563,0.651491,0.716532,0.598020,1.477612,0.539372,1.962911,1.054226,-0.223385,1.099261,0.682526,1.050473,1.224006,1.009874,1.575409
M,Right,legacy_asl_M_33,0.000000,0.000000,0.324797,-0.081949,0.596856,-0.149751,0.788425,-0.145518,0.941207,-0.070653,0.292909,-0.938143,0.511191,-0.384731,0.576254,0.077228,0.632402,0.424831,-0.080256,-0.841231,0.180832,-0.301618,0.341075,0.174553,0.453327,0.521810,-0.381880,-0.623589,-0.159066,-0.201388,0.049354,0.241593,0.197458,0.556868,-0.604934,-0.352026,-0.495609,-0.113977,-0.314314,0.120625,-0.173627,0.293077
M,Right,legacy_asl_M_34,0.000000,0.000000,0.232576,-0.056846,0.404606,-0.129372,0.411047,-0.160149,0.360484,-0.109270,0.169494,-0.881326,0.180865,-0.402259,0.182775,-0.100358,0.178357,0.086490,-0.144099,-0.877524,-0.132703,-0.435979,-0.096721,-0.077238,-0.066499,0.162026,-0.394241,-0.755934,-0.364308,-0.367329,-0.285485,-0.048495,-0.217840,0.163935,-0.563859,-0.581982,-0.546994,-0.306520,-0.439976,-0.080546,-0.357972,0.049590
M,Right,legacy_asl_M_35,0.000000,0.000000,-0.109351,-0.121076,-0.163510,-0.337193,-0.172536,-0.513043,-0.152391,-0.628818,-0.204033,-0.879828,-0.077255,-0.813411,-0.024314,-0.501056,-0.017509,-0.237276,-0.096653,-0.975018,0.001150,-0.864655,0.036725,-0.502033,0.051176,-0.200480,0.025462,-0.985208,0.072609,-0.867117,0.092262,-0.519287,0.105257,-0.232064,0.144646,-0.931095,0.179013,-0.818606,0.155381,-0.544022,0.144910,-0.321580
M,Right,legacy_asl_M_36,0.000000,0.000000,-0.425371,0.245384,-0.676177,0.457967,-0.667985,0.728239,-0.517367,0.955576,-0.805328,-0.375904,-0.731874,0.182165,-0.611011,0.628517,-0.543728,0.977661,-0.418977,-0.585895,-0.316144,0.150427,-0.266226,0.705964,-0.225612,1.141289,-0.035322,-0.638112,0.081578,0.110505,0.084117,0.603499,0.080834,0.975398,0.288064,-0.562788,0.360273,0.016178,0.342320,0.395336,0.301100,0.704024
M,Right,legacy_asl_M_37,0.000000,0.000000,0.589924,0.024480,0.948010,0.102900,1.036252,0.331950,0.971465,0.573179,0.980216,-0.353944,1.001527,0.336878,0.941596,0.812624,0.882740,1.168859,0.530942,-0.433433,0.589956,0.389644,0.616405,0.952988,0.642450,1.350311,0.112558,-0.387387,0.192926,0.398259,0.292894,0.925854,0.391223,1.276559,-0.222411,-0.260593,-0.146197,0.235939,-0.020338,0.482047,0.105964,0.627281
M,Right,legacy_asl_M_38,0.000000,0.000000,0.354562,0.128637,0.607989,0.256977,0.661914,0.418725,0.553147,0.579505,0.458000,-0.413981,0.459217,0.155904,0.437212,0.572013,0.379282,0.848293,0.118590,-0.481928,0.122224,0.194830,0.137443,0.668468,0.135746,0.958923,-0.198463,-0.372409,-0.113462,0.237197,-0.067470,0.666199,-0.030843,0.943882,-0.457800,-0.183047,-0.307969,0.243091,-0.197751,0.486988,-0.104760,0.627497
M,Right,legacy_asl_M_39,0.000000,0.000000,0.246617,-0.135413,0.407622,-0.369009,0.389960,-0.588330,0.322143,-0.764369,0.298860,-0.952029,0.319382,-1.054459,0.347133,-1.002661,0.366086,-0.855694,0.042989,-0.995168,0.106596,-0.943942,0.139871,-0.665843,0.151114,-0.427017,-0.197901,-0.920519,-0.127868,-0.756316,-0.068670,-0.500769,-0.029412,-0.317580,-0.401739,-0.770261,-0.349458,-0.601807,-0.271739,-0.409992,-0.222022,-0.290696
