label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
N,Right,legacy_asl_N_0,0.000000,0.000000,-0.246301,0.192955,-0.367199,0.613962,-0.286758,1.051361,-0.138990,1.379730,-0.310200,-0.123821,-0.181511,0.866186,-0.094197,1.414630,-0.053086,1.775099,-0.007407,-0.158363,0.120662,0.899395,0.125396,1.504741,0.065103,1.877941,0.267530,-0.058770,0.334942,0.966210,0.290719,1.494922,0.185882,1.796115,0.481160,0.122802,0.492424,0.912837,0.388403,1.297673,0.255484,1.502276
N,Right,legacy_asl_N_1,0.000000,0.000000,0.251758,-0.239265,0.458158,-0.505134,0.574427,-0.672583,0.591574,-0.771446,0.364330,-0.974520,0.421469,-0.657914,0.369734,-0.410688,0.311860,-0.252418,0.115826,-0.986183,0.164674,-0.521836,0.147498,-0.211412,0.134219,-0.009593,-0.096290,-0.904052,-0.046162,-0.555786,-0.052804,-0.347753,-0.074895,-0.195812,-0.262240,-0.776304,-0.209735,-0.594652,-0.207625,-0.478014,-0.235858,-0.407407
N,Right,legacy_asl_N_2,0.000000,0.000000,0.391760,-0.054016,0.694262,-0.156843,0.782037,-0.196631,0.626144,-0.144502,0.253063,-0.894625,0.310243,-0.148212,0.288496,0.348679,0.276591,0.699112,-0.212683,-0.852965,-0.088911,-0.007810,-0.023030,0.405135,0.033886,0.657075,-0.570149,-0.678934,-0.398880,0.091214,-0.282102,0.301465,-0.211604,0.342113,-0.831006,-0.436643,-0.668859,0.077476,-0.518613,0.221537,-0.430815,0.224247
N,Right,legacy_asl_N_3,0.000000,0.000000,0.378570,0.016665,0.711569,0.059993,0.873770,0.143673,0.772651,0.230108,0.395390,-0.625498,0.346211,0.093282,0.280908,0.588728,0.205399,0.903655,-0.081173,-0.633968,-0.093174,0.313632,0.039288,0.743104,0.125895,0.958794,-0.469983,-0.513324,-0.445569,0.370934,-0.315545,0.521507,-0.254810,0.466023,-0.768809,-0.317147,-0.728643,0.315011,-0.585183,0.431704,-0.488120,0.368130
N,Right,legacy_asl_N_4,0.000000,0.000000,0.383887,-0.005378,0.624501,0.022080,0.608929,0.152071,0.401673,0.371714,0.137704,-0.637278,0.176186,0.099195,0.163976,0.663558,0.151609,1.085107,-0.316369,-0.580703,-0.229932,0.299590,-0.175036,0.705217,-0.104019,0.983446,-0.647924,-0.394030,-0.458713,0.372121,-0.295524,0.412597,-0.186873,0.349101,-0.865947,-0.144272,-0.695012,0.365981,-0.534604,0.386099,-0.438850,0.290819
N,Right,legacy_asl_N_5,0.000000,0.000000,0.335406,-0.108664,0.604971,-0.249857,0.698875,-0.312807,0.550702,-0.257600,0.310001,-0.950016,0.429408,-0.433135,0.465203,-0.080598,0.500174,0.129348,-0.055549,-0.943325,0.098920,-0.381959,0.206287,-0.061471,0.301967,0.122086,-0.371406,-0.812755,-0.194727,-0.259877,-0.111447,-0.049985,-0.046907,0.004999,-0.625057,-0.623097,-0.487092,-0.195830,-0.365492,-0.031786,-0.280698,-0.008446
N,Right,legacy_asl_N_6,0.000000,0.000000,0.444479,0.001547,0.825286,0.027261,1.022267,0.127296,0.974943,0.293436,0.528912,-0.689327,0.497305,0.206570,0.421824,0.734768,0.353224,1.090339,0.026626,-0.672147,0.109631,0.282284,0.214317,0.769479,0.279772,1.088226,-0.388304,-0.514863,-0.261531,0.386465,-0.089613,0.635071,0.020392,0.709913,-0.722415,-0.276343,-0.634155,0.333394,-0.477088,0.476914,-0.369788,0.478011
N,Right,legacy_asl_N_7,0.000000,0.000000,0.446618,0.058628,0.854805,0.325210,0.992699,0.608710,0.887315,0.876390,0.542100,0.023381,0.580383,0.956980,0.583554,1.422756,0.620379,1.778937,0.062253,0.097759,0.185828,1.043512,0.259120,1.525392,0.345567,1.896174,-0.300419,0.224810,-0.068279,1.137901,0.091898,1.526633,0.243873,1.777538,-0.530053,0.394096,-0.308204,1.096168,-0.109228,1.355800,0.059062,1.485997
N,Right,legacy_asl_N_8,0.000000,0.000000,0.415953,-0.003539,0.748186,-0.008689,0.811623,0.074529,0.649860,0.215336,0.424372,-0.724258,0.349626,0.077831,0.313431,0.546083,0.314577,0.809151,-0.040401,-0.697991,-0.018723,0.267638,0.073555,0.664353,0.131553,0.853299,-0.421693,-0.543276,-0.332698,0.360341,-0.175256,0.584457,-0.085605,0.608218,-0.712938,-0.316806,-0.625574,0.253226,-0.482432,0.375346,-0.392485,0.321268
N,Right,legacy_asl_N_9,0.000000,0.000000,0.457602,0.119756,0.818752,0.298579,0.822142,0.487002,0.629741,0.600788,0.499209,-0.151096,0.472413,0.745266,0.400840,1.304260,0.290083,1.767222,-0.005337,-0.255529,0.019011,0.799218,0.061798,1.415742,0.039654,1.873560,-0.454171,-0.162526,-0.357091,0.860679,-0.181536,1.019926,-0.087469,0.941070,-0.756508,0.018336,-0.632399,0.854862,-0.422787,1.015247,-0.302930,0.971458
N,Right,legacy_asl_N_10,0.000000,0.000000,0.389383,-0.000781,0.737195,-0.060814,0.835796,-0.101225,0.602606,-0.037484,0.354221,-0.779759,0.380652,-0.065830,0.309765,0.416367,0.227037,0.724951,-0.077546,-0.769457,0.026491,-0.012286,0.089350,0.409386,0.141869,0.697698,-0.433132,-0.629168,-0.311603,0.030168,-0.201771,0.319632,-0.125099,0.478745,-0.715731,-0.417006,-0.632306,0.020202,-0.498900,0.201498,-0.400948,0.279414
N,Right,legacy_asl_N_11,0.000000,0.000000,0.428119,0.001583,0.764567,-0.018651,0.835692,0.034965,0.643174,0.128465,0.547265,-0.786918,0.423728,-0.029914,0.283376,0.418794,0.213863,0.761139,0.081738,-0.857696,0.003813,0.085004,-0.052935,0.520069,-0.094668,0.833113,-0.304031,-0.763544,-0.274587,0.147490,-0.175369,0.409638,-0.100633,0.525114,-0.597110,-0.568357,-0.513369,0.036422,-0.387254,0.234278,-0.300000,0.285180
N,Right,legacy_asl_N_12,0.000000,0.000000,0.325614,-0.138286,0.566659,-0.330945,0.555149,-0.395767,0.379761,-0.345604,0.247947,-0.964244,0.352534,-0.463723,0.367013,-0.208570,0.366887,-0.199866,-0.070636,-0.953787,0.071372,-0.422696,0.128496,-0.179493,0.147411,-0.166065,-0.344979,-0.834937,-0.182412,-0.326610,-0.106067,-0.136793,-0.079896,-0.176184,-0.576339,-0.663675,-0.455799,-0.259449,-0.354751,-0.098887,-0.311078,-0.135757
N,Right,legacy_asl_N_13,0.000000,0.000000,0.392018,-0.100164,0.739309,-0.155375,0.877149,-0.143707,0.791371,-0.104597,0.476093,-0.977264,0.470064,-0.283035,0.501404,0.213891,0.564684,0.561728,0.052258,-0.942881,0.133409,-0.119697,0.206001,0.360554,0.263630,0.689485,-0.314271,-0.797621,-0.164264,-0.017924,-0.013366,0.347734,0.097306,0.588210,-0.597160,-0.590059,-0.477268,-0.098561,-0.348576,0.140297,-0.254334,0.270073
N,Right,legacy_asl_N_14,0.000000,0.000000,0.355126,-0.065711,0.678005,-0.200685,0.841868,-0.337380,0.846820,-0.389552,0.358776,-0.940438,0.400554,-0.344899,0.346520,0.105155,0.318364,0.420130,-0.018669,-0.912588,0.118494,-0.282787,0.164295,0.131550,0.196605,0.434028,-0.329095,-0.756036,-0.170124,-0.196049,-0.083801,0.116230,-0.022628,0.344096,-0.583732,-0.542230,-0.486327,-0.200126,-0.366280,-0.016439,-0.276793,0.106841
N,Right,legacy_asl_N_15,0.000000,0.000000,0.460013,0.162393,0.632719,0.401660,0.468876,0.694559,0.186002,0.879561,0.440233,-0.422023,0.189883,0.246698,0.110169,0.644301,0.074173,0.936552,0.022022,-0.567302,-0.186653,0.277147,-0.235356,0.772476,-0.245851,1.092302,-0.338561,-0.512370,-0.376770,0.347672,-0.207354,0.509061,-0.073739,0.476384,-0.623811,-0.332708,-0.608163,0.277249,-0.425360,0.366611,-0.295034,0.294982
N,Right,legacy_asl_N_16,0.000000,0.000000,0.494574,0.123340,0.972774,0.419089,1.191735,0.683461,1.148471,0.894619,0.576074,0.198401,0.719905,1.119199,0.754037,1.648428,0.735579,2.050423,0.103353,0.283774,0.312859,1.289970,0.435170,1.825249,0.501656,2.212680,-0.255270,0.420812,0.061060,1.403025,0.243689,1.852602,0.365947,2.151682,-0.500214,0.601437,-0.204553,1.335047,0.026963,1.640740,0.186630,1.849313
