label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
O,Right,legacy_asl_O_0,0.000000,0.000000,0.398553,-0.141768,0.712873,-0.374506,0.892289,-0.674066,0.958664,-0.993516,0.300977,-0.922796,0.501260,-1.271040,0.737543,-1.253945,0.911815,-1.154416,0.158958,-0.984075,0.363994,-1.423991,0.657072,-1.361608,0.847365,-1.165832,0.008630,-1.011385,0.168280,-1.483111,0.485305,-1.420211,0.705780,-1.216910,-0.155850,-0.990637,-0.013993,-1.375439,0.251478,-1.371783,0.475177,-1.226826
O,Right,legacy_asl_O_1,0.000000,0.000000,0.326096,-0.210299,0.511909,-0.560061,0.613416,-0.909379,0.595783,-1.229788,-0.340567,-0.848157,-0.150668,-1.377424,0.171012,-1.419731,0.385760,-1.360081,-0.444770,-0.884190,-0.215734,-1.436809,0.136800,-1.462914,0.369210,-1.357081,-0.432496,-0.911449,-0.223229,-1.398283,0.103774,-1.419860,0.316993,-1.315939,-0.351742,-0.925402,-0.180256,-1.304898,0.063211,-1.351741,0.245548,-1.298880
O,Right,legacy_asl_O_2,0.000000,0.000000,0.399164,-0.157804,0.701197,-0.431285,0.884083,-0.715220,0.941541,-1.033652,0.216570,-0.893656,0.445873,-1.178617,0.717013,-1.205323,0.898525,-1.151965,0.106000,-0.968713,0.370519,-1.345129,0.675100,-1.334379,0.875866,-1.183455,-0.024149,-1.034963,0.223157,-1.451228,0.544237,-1.431112,0.750444,-1.274906,-0.169540,-1.053182,0.034765,-1.450682,0.311911,-1.480683,0.531299,-1.356508
O,Right,legacy_asl_O_3,0.000000,0.000000,0.312018,-0.315802,0.392993,-0.615626,0.515651,-0.853899,0.518769,-1.086231,-0.384184,-0.875546,-0.067311,-1.244240,0.243299,-1.263901,0.436187,-1.147935,-0.450163,-0.890870,-0.109729,-1.331596,0.231446,-1.314038,0.432203,-1.159007,-0.409603,-0.906508,-0.093137,-1.358162,0.240662,-1.350387,0.430902,-1.202286,-0.266192,-0.929145,-0.084547,-1.350110,0.155652,-1.391244,0.339353,-1.295222
O,Right,legacy_asl_O_4,0.000000,0.000000,0.319896,-0.359152,0.451610,-0.601120,0.576343,-0.807435,0.627597,-1.049068,-0.134028,-0.852845,0.065690,-1.147038,0.316838,-1.173659,0.485033,-1.135452,-0.212944,-0.880078,0.026532,-1.264869,0.313020,-1.272730,0.509185,-1.128629,-0.250098,-0.903845,-0.032596,-1.264915,0.267001,-1.270435,0.457107,-1.160589,-0.234348,-0.907981,-0.093528,-1.272546,0.125468,-1.349252,0.303700,-1.321506
O,Right,legacy_asl_O_5,0.000000,0.000000,0.386334,-0.133666,0.767287,-0.366487,0.874210,-0.687040,0.812021,-0.995063,0.412246,-0.900244,0.568135,-1.251755,0.725910,-1.247220,0.834926,-1.126082,0.251101,-0.964944,0.403458,-1.393213,0.597766,-1.353783,0.724446,-1.163870,0.084673,-0.994781,0.190033,-1.446262,0.401757,-1.420497,0.552526,-1.254431,-0.104907,-0.973222,0.025112,-1.290116,0.209852,-1.336437,0.366888,-1.263575
O,Right,legacy_asl_O_6,0.000000,0.000000,0.277425,-0.389953,0.414658,-0.685049,0.538132,-0.948635,0.513023,-1.229119,-0.297431,-0.910586,-0.111777,-1.290866,0.164227,-1.332784,0.354523,-1.252640,-0.404158,-0.907309,-0.225668,-1.408151,0.084911,-1.466263,0.311086,-1.349250,-0.454036,-0.890269,-0.326674,-1.405892,-0.014810,-1.482164,0.216822,-1.389069,-0.436777,-0.872843,-0.365569,-1.308590,-0.169094,-1.448551,0.014246,-1.453152
O,Right,legacy_asl_O_7,0.000000,0.000000,0.349082,-0.259512,0.573296,-0.611075,0.646473,-0.963644,0.581724,-1.291897,-0.180576,-0.890900,-0.106167,-1.303297,0.181690,-1.415979,0.430712,-1.398907,-0.333156,-0.935992,-0.237818,-1.433985,0.105209,-1.513510,0.373446,-1.436767,-0.416058,-0.961690,-0.331070,-1.470352,0.022515,-1.538517,0.289087,-1.448756,-0.456824,-0.958576,-0.350941,-1.366562,-0.074196,-1.476134,0.160393,-1.453408
O,Right,legacy_asl_O_8,0.000000,0.000000,0.262537,-0.328385,0.353158,-0.595466,0.481930,-0.816091,0.531553,-1.029561,-0.427468,-0.869416,-0.121169,-1.236905,0.191000,-1.258110,0.424030,-1.156434,-0.482633,-0.868304,-0.139689,-1.307556,0.200023,-1.314195,0.431518,-1.181424,-0.433299,-0.858811,-0.124364,-1.317530,0.201700,-1.335180,0.412274,-1.203837,-0.291746,-0.851965,-0.089442,-1.266398,0.145788,-1.327990,0.330105,-1.263022
O,Right,legacy_asl_O_9,0.000000,0.000000,0.391281,-0.106855,0.781558,-0.385176,0.897730,-0.729692,0.906636,-1.016792,0.434188,-0.879262,0.615658,-1.177949,0.794380,-1.184196,0.934317,-1.106171,0.276030,-0.950557,0.457624,-1.286131,0.649625,-1.287372,0.809793,-1.177641,0.113248,-1.002737,0.255961,-1.352136,0.451829,-1.368197,0.617636,-1.255888,-0.078977,-1.023790,0.039919,-1.332290,0.218833,-1.387477,0.393756,-1.316787
