label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
P,Right,legacy_asl_P_0,0.000000,0.000000,-0.134443,0.239222,-0.401922,0.427190,-0.648023,0.615343,-0.954131,0.725949,-0.844369,-0.198304,-1.373874,-0.160282,-1.706342,-0.164169,-1.959461,-0.168944,-0.868308,-0.256888,-1.313608,0.076309,-1.260757,0.408795,-1.076876,0.601884,-0.884681,-0.225340,-1.254390,0.067643,-1.171162,0.355484,-1.024559,0.513143,-0.907231,-0.186599,-1.149093,0.037903,-1.148602,0.240529,-1.054747,0.390572
P,Right,legacy_asl_P_1,0.000000,0.000000,-0.201191,0.232658,-0.521711,0.428214,-0.794160,0.625658,-1.071631,0.743171,-0.981542,-0.137276,-1.471661,-0.115097,-1.762736,-0.143171,-1.992302,-0.173292,-0.976351,-0.172583,-1.389958,0.177395,-1.328947,0.482891,-1.167228,0.645736,-0.949718,-0.131165,-1.298816,0.119163,-1.263316,0.388967,-1.152772,0.538440,-0.908159,-0.093075,-1.171874,0.053189,-1.232754,0.209193,-1.209341,0.323987
P,Right,legacy_asl_P_2,0.000000,0.000000,-0.176841,0.039518,-0.550443,0.061202,-0.929350,0.165360,-1.249369,0.247306,-0.757618,-0.651460,-1.358440,-0.714259,-1.713435,-0.724601,-1.994936,-0.745587,-0.823518,-0.532311,-1.333912,-0.451207,-1.363673,-0.126016,-1.237903,0.078489,-0.859463,-0.390309,-1.306900,-0.322966,-1.291469,-0.033190,-1.177213,0.120286,-0.857358,-0.293726,-1.180769,-0.201709,-1.233333,-0.004780,-1.156933,0.127453
P,Right,legacy_asl_P_3,0.000000,0.000000,-0.062791,0.033255,-0.318965,0.095499,-0.631564,0.280541,-0.905674,0.402403,-0.626842,-0.605695,-1.162380,-0.643412,-1.467823,-0.614411,-1.704087,-0.584584,-0.766301,-0.519736,-1.229433,-0.324782,-1.179887,0.008184,-1.035945,0.198037,-0.856776,-0.411340,-1.285103,-0.250347,-1.208807,0.055854,-1.039882,0.216052,-0.914248,-0.319428,-1.312559,-0.467115,-1.537124,-0.499387,-1.651851,-0.540415
P,Right,legacy_asl_P_4,0.000000,0.000000,-0.234233,0.087052,-0.609137,0.110843,-0.965001,0.147787,-1.269147,0.153893,-0.681473,-0.661466,-1.262633,-0.712441,-1.611495,-0.691480,-1.882932,-0.651717,-0.707035,-0.667282,-1.218083,-0.525967,-1.319704,-0.232824,-1.271812,-0.018922,-0.741341,-0.604882,-1.172657,-0.481219,-1.224506,-0.230413,-1.170309,-0.061716,-0.766260,-0.547244,-1.075150,-0.455008,-1.172806,-0.292202,-1.165400,-0.149955
P,Right,legacy_asl_P_5,0.000000,0.000000,-0.215842,0.146633,-0.592639,0.259277,-0.936486,0.397058,-1.232459,0.481185,-0.837825,-0.480329,-1.403952,-0.421752,-1.720965,-0.309796,-1.967916,-0.204470,-0.851450,-0.478135,-1.271536,-0.177153,-1.300137,0.144762,-1.216842,0.347722,-0.850913,-0.407065,-1.204138,-0.158763,-1.202908,0.094623,-1.137445,0.241373,-0.843636,-0.333527,-1.084741,-0.149336,-1.135057,0.036371,-1.101330,0.169157
P,Right,legacy_asl_P_6,0.000000,0.000000,-0.270285,0.096572,-0.666112,0.119818,-1.015871,0.185262,-1.294520,0.262283,-0.767202,-0.573467,-1.245477,-0.632242,-1.509823,-0.687187,-1.726141,-0.728354,-0.786853,-0.595447,-1.282884,-0.400873,-1.362369,-0.089207,-1.301370,0.127757,-0.792053,-0.518539,-1.205675,-0.380728,-1.262232,-0.097429,-1.214626,0.100325,-0.780004,-0.422432,-1.062661,-0.297885,-1.152818,-0.124127,-1.150748,0.030412
P,Right,legacy_asl_P_7,0.000000,0.000000,-0.188204,0.139210,-0.549574,0.274072,-0.887962,0.413775,-1.177246,0.485021,-0.835251,-0.403025,-1.313715,-0.343356,-1.486557,-0.204185,-1.526224,-0.106030,-0.898832,-0.410721,-1.328304,-0.213603,-1.307150,0.103396,-1.159424,0.309288,-0.929022,-0.399918,-1.309092,-0.231506,-1.261870,0.063095,-1.139668,0.220875,-0.943665,-0.389895,-1.377777,-0.510193,-1.634187,-0.523326,-1.811169,-0.547994
P,Right,legacy_asl_P_8,0.000000,0.000000,-0.242058,0.087497,-0.600393,0.080917,-0.947047,0.064010,-1.262331,0.028713,-0.640601,-0.680211,-1.218073,-0.882072,-1.559722,-1.009463,-1.799379,-1.107012,-0.649828,-0.706567,-1.209438,-0.624163,-1.341747,-0.320938,-1.290931,-0.094761,-0.677039,-0.658426,-1.177084,-0.567834,-1.260758,-0.280826,-1.203182,-0.091929,-0.704292,-0.610156,-1.088896,-0.533114,-1.196551,-0.344482,-1.172215,-0.187048
P,Right,legacy_asl_P_9,0.000000,0.000000,-0.218886,0.021451,-0.611342,0.029378,-0.984925,0.095463,-1.297354,0.128352,-0.736206,-0.684784,-1.275418,-0.830677,-1.598995,-0.882372,-1.856481,-0.919027,-0.779191,-0.614545,-1.260105,-0.569926,-1.301631,-0.273422,-1.184988,-0.074587,-0.803696,-0.509394,-1.233277,-0.489028,-1.241147,-0.228491,-1.131628,-0.072839,-0.795516,-0.435135,-1.126394,-0.428576,-1.233134,-0.287503,-1.209700,-0.170078
