label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Q,Right,legacy_asl_Q_0,0.000000,0.000000,-0.086990,0.289032,-0.348141,0.523730,-0.640469,0.719551,-0.923725,0.891005,-0.687002,-0.200958,-1.215328,-0.052230,-1.532816,0.125147,-1.742586,0.297081,-0.755682,-0.366421,-1.329206,-0.093844,-1.541340,0.188122,-1.626239,0.392074,-0.798322,-0.408489,-1.282446,-0.159946,-1.273651,0.032234,-1.185107,0.132002,-0.850752,-0.376444,-1.194553,-0.151308,-1.201965,-0.006644,-1.134071,0.053454
Q,Right,legacy_asl_Q_1,0.000000,0.000000,-0.191409,0.194323,-0.565778,0.339940,-0.909636,0.495750,-1.193232,0.599992,-0.664397,-0.481955,-1.259368,-0.301078,-1.528775,-0.076703,-1.702748,0.111788,-0.730839,-0.579898,-1.332056,-0.424696,-1.307860,-0.151553,-1.165869,0.030466,-0.790036,-0.563569,-1.328316,-0.422834,-1.252866,-0.191959,-1.110199,-0.056869,-0.852276,-0.505167,-1.216844,-0.389003,-1.209523,-0.222258,-1.106786,-0.100088
Q,Right,legacy_asl_Q_2,0.000000,0.000000,-0.110363,0.233554,-0.405845,0.427282,-0.736924,0.636988,-1.017593,0.809581,-0.603831,-0.382184,-1.220429,-0.209664,-1.542599,-0.022060,-1.778896,0.128098,-0.708618,-0.517779,-1.312506,-0.370825,-1.300921,-0.137244,-1.179516,0.010259,-0.783321,-0.519018,-1.297914,-0.339987,-1.223675,-0.147045,-1.092940,-0.050385,-0.858979,-0.464454,-1.195653,-0.312657,-1.172947,-0.156124,-1.078013,-0.068466
Q,Right,legacy_asl_Q_3,0.000000,0.000000,-0.235009,0.255366,-0.607658,0.437191,-0.935870,0.613867,-1.206720,0.735978,-0.765768,-0.374397,-1.332933,-0.228651,-1.609754,-0.056018,-1.791314,0.078996,-0.796777,-0.535448,-1.370262,-0.389381,-1.426862,-0.149772,-1.357545,0.010054,-0.818790,-0.562472,-1.325343,-0.409259,-1.335095,-0.196588,-1.264500,-0.068837,-0.845516,-0.521360,-1.212811,-0.410780,-1.257449,-0.254938,-1.213657,-0.144153
Q,Right,legacy_asl_Q_4,0.000000,0.000000,-0.186999,0.155731,-0.537974,0.314539,-0.905261,0.484269,-1.214273,0.575268,-0.629251,-0.507749,-1.155354,-0.412886,-1.519796,-0.276180,-1.797055,-0.122570,-0.740951,-0.573422,-1.295373,-0.484158,-1.279798,-0.246486,-1.131215,-0.071012,-0.834846,-0.547683,-1.318278,-0.441189,-1.238805,-0.260024,-1.089022,-0.150731,-0.903688,-0.486455,-1.253154,-0.414923,-1.227779,-0.291218,-1.107762,-0.209914
Q,Right,legacy_asl_Q_5,0.000000,0.000000,-0.342526,0.146768,-0.732200,0.223919,-1.063921,0.335504,-1.330957,0.470829,-0.916120,-0.287917,-1.371767,-0.362781,-1.681007,-0.316931,-1.928144,-0.224613,-0.861545,-0.459429,-1.323553,-0.551733,-1.636698,-0.498282,-1.894614,-0.385448,-0.772893,-0.609379,-1.206991,-0.745468,-1.517445,-0.720565,-1.772906,-0.637724,-0.645912,-0.751576,-0.991937,-0.902823,-1.252487,-0.922942,-1.478510,-0.870591
Q,Right,legacy_asl_Q_6,0.000000,0.000000,-0.252650,0.265958,-0.661343,0.372189,-1.038431,0.474920,-1.358295,0.565383,-0.744447,-0.478722,-1.316217,-0.416402,-1.655497,-0.268116,-1.873709,-0.124260,-0.747536,-0.607934,-1.297629,-0.449772,-1.227891,-0.215794,-1.050990,-0.120137,-0.763115,-0.616138,-1.258449,-0.452243,-1.162429,-0.253817,-1.000446,-0.198680,-0.812379,-0.582913,-1.194292,-0.457998,-1.153471,-0.303944,-1.016389,-0.257216
Q,Right,legacy_asl_Q_7,0.000000,0.000000,-0.158130,0.259595,-0.498520,0.391945,-0.850420,0.487077,-1.168433,0.579176,-0.685732,-0.466855,-1.295879,-0.370370,-1.662270,-0.201143,-1.865803,-0.056690,-0.707072,-0.607731,-1.323182,-0.525168,-1.363747,-0.261680,-1.245678,-0.100199,-0.739484,-0.625681,-1.296863,-0.558414,-1.292649,-0.332891,-1.168697,-0.215093,-0.802952,-0.610839,-1.221745,-0.564758,-1.243473,-0.398283,-1.144421,-0.298709
Q,Right,legacy_asl_Q_8,0.000000,0.000000,-0.132721,0.182665,-0.363782,0.304467,-0.628200,0.424770,-0.896417,0.513728,-0.730607,-0.426887,-1.170989,-0.397034,-1.299696,-0.253153,-1.305458,-0.082803,-0.786806,-0.510994,-1.346936,-0.436239,-1.673282,-0.251068,-1.887647,-0.063579,-0.791556,-0.527273,-1.310636,-0.491188,-1.585006,-0.334366,-1.751440,-0.181067,-0.785131,-0.486831,-1.147942,-0.532427,-1.379090,-0.491814,-1.544714,-0.446800
Q,Right,legacy_asl_Q_9,0.000000,0.000000,-0.038780,0.230060,-0.241553,0.486239,-0.435441,0.799217,-0.597482,1.092624,-0.903209,-0.027078,-1.350343,0.245576,-1.593133,0.503531,-1.723724,0.734335,-0.961239,0.012963,-1.306438,0.444033,-1.097181,0.627440,-0.851811,0.668607,-0.980399,0.072788,-1.351382,0.468444,-1.269756,0.653998,-1.152954,0.694085,-0.986543,0.158721,-1.313589,0.372477,-1.403640,0.514088,-1.417008,0.550744
