label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
R,Right,legacy_asl_R_0,0.000000,0.000000,0.224037,-0.253704,0.328656,-0.603546,0.097976,-0.900768,-0.123692,-1.105508,0.488509,-0.904781,0.419837,-1.338484,0.332197,-1.616623,0.260476,-1.869115,0.282572,-0.959214,0.340245,-1.414413,0.331643,-1.700854,0.337868,-1.942597,0.077695,-0.935165,-0.056877,-1.193027,-0.071029,-0.906061,-0.035954,-0.690726,-0.108138,-0.872573,-0.189492,-1.067029,-0.173844,-0.893977,-0.143863,-0.740424
R,Right,legacy_asl_R_1,0.000000,0.000000,0.275692,-0.242563,0.320067,-0.607621,0.077383,-0.863278,-0.151197,-1.012221,0.448825,-0.961236,0.401687,-1.400383,0.328189,-1.702006,0.234574,-1.936417,0.220932,-0.973944,0.264879,-1.420433,0.217345,-1.721650,0.158583,-1.972141,-0.007566,-0.889171,-0.131936,-1.104896,-0.091770,-0.822306,-0.033083,-0.610619,-0.234598,-0.734970,-0.285000,-0.882740,-0.220162,-0.661050,-0.154092,-0.475722
R,Right,legacy_asl_R_2,0.000000,0.000000,0.348769,-0.243624,0.473856,-0.655746,0.251877,-0.935107,-0.034546,-1.028597,0.238405,-1.014613,0.218171,-1.443637,0.168289,-1.719644,0.106792,-1.952623,0.019134,-0.998354,0.037890,-1.493513,0.067541,-1.821896,0.066069,-2.071385,-0.180612,-0.897353,-0.162235,-1.126177,-0.049210,-0.830395,-0.003061,-0.593311,-0.371803,-0.747171,-0.293719,-0.985827,-0.173963,-0.775038,-0.131650,-0.576147
R,Right,legacy_asl_R_3,0.000000,0.000000,0.242750,-0.277471,0.268887,-0.666522,0.017552,-0.884320,-0.250888,-0.985424,0.123241,-1.036338,0.023512,-1.435012,-0.079338,-1.699859,-0.185278,-1.923787,-0.088167,-0.987265,-0.110900,-1.479892,-0.104522,-1.775887,-0.118947,-2.005079,-0.288344,-0.842227,-0.320833,-1.139354,-0.190503,-0.874884,-0.116267,-0.653547,-0.473846,-0.631691,-0.433648,-0.859354,-0.289592,-0.671246,-0.211299,-0.485100
R,Right,legacy_asl_R_4,0.000000,0.000000,0.378676,-0.136397,0.521210,-0.559068,0.336540,-0.887209,0.081858,-1.082053,0.490369,-0.945143,0.472387,-1.377016,0.417576,-1.677738,0.351771,-1.928693,0.270754,-0.961625,0.340185,-1.480557,0.431507,-1.795503,0.471851,-2.034596,0.037254,-0.891860,0.056520,-1.221966,0.157775,-0.878915,0.189373,-0.643215,-0.191212,-0.762834,-0.081187,-0.963543,0.046832,-0.718964,0.081214,-0.530913
R,Right,legacy_asl_R_5,0.000000,0.000000,0.283707,-0.170240,0.362159,-0.594051,0.095190,-0.883299,-0.186935,-1.055664,0.271449,-1.023064,0.203990,-1.428424,0.123364,-1.686211,0.018620,-1.904477,0.042464,-0.993430,0.064049,-1.525710,0.119263,-1.812287,0.116708,-2.040851,-0.166175,-0.863969,-0.197470,-1.116277,-0.058667,-0.801709,-0.012276,-0.597251,-0.354175,-0.669319,-0.296625,-0.887514,-0.178976,-0.644183,-0.163427,-0.465835
R,Right,legacy_asl_R_6,0.000000,0.000000,0.291913,-0.224513,0.408027,-0.631449,0.181077,-0.919451,-0.074492,-1.048237,0.445095,-0.952177,0.440570,-1.394634,0.407380,-1.699629,0.360197,-1.957067,0.214921,-0.969649,0.296158,-1.440411,0.338700,-1.721822,0.345314,-1.966691,-0.028849,-0.887540,-0.062833,-1.203704,0.002012,-0.895185,0.045000,-0.656905,-0.266178,-0.730295,-0.230651,-0.910202,-0.132709,-0.703477,-0.074354,-0.525251
R,Right,legacy_asl_R_7,0.000000,0.000000,0.335738,-0.250013,0.512590,-0.612029,0.281479,-0.917515,0.034555,-1.080806,0.340722,-1.012723,0.358947,-1.405568,0.335709,-1.649486,0.307306,-1.861452,0.111296,-0.993787,0.173135,-1.491973,0.235987,-1.740184,0.254984,-1.948185,-0.100035,-0.909338,-0.036845,-1.162070,0.086450,-0.853858,0.113319,-0.632631,-0.316370,-0.787348,-0.185740,-1.027563,-0.085416,-0.804569,-0.082263,-0.618489
R,Right,legacy_asl_R_8,0.000000,0.000000,0.368913,-0.175238,0.498305,-0.605920,0.262873,-0.895954,-0.039328,-1.021269,0.301380,-0.990396,0.276270,-1.427103,0.233877,-1.732952,0.170035,-1.977221,0.055716,-0.992970,0.095451,-1.510314,0.136031,-1.842959,0.131847,-2.102991,-0.175597,-0.900754,-0.153909,-1.164996,-0.056690,-0.868935,-0.027697,-0.645506,-0.400590,-0.748091,-0.323299,-0.962831,-0.211128,-0.748604,-0.187455,-0.560070
R,Right,legacy_asl_R_9,0.000000,0.000000,0.322236,-0.246103,0.495867,-0.613913,0.294527,-0.917434,0.047274,-1.061393,0.323702,-1.003400,0.352907,-1.381509,0.342397,-1.619856,0.315496,-1.828582,0.105173,-0.994102,0.175966,-1.458640,0.245560,-1.715450,0.267315,-1.927924,-0.104888,-0.912449,-0.044076,-1.157779,0.069357,-0.871590,0.095113,-0.652778,-0.318330,-0.791848,-0.192506,-1.019180,-0.081996,-0.830298,-0.062966,-0.654676
R,Right,legacy_asl_R_10,0.000000,0.000000,0.247619,-0.192302,0.331308,-0.591985,0.102793,-0.942704,-0.099658,-1.197358,0.480552,-0.972315,0.384155,-1.412158,0.266370,-1.715203,0.143287,-1.965348,0.221354,-0.971023,0.249751,-1.516173,0.259929,-1.822467,0.267965,-2.091444,-0.023000,-0.870937,-0.154344,-1.127525,-0.101729,-0.786181,-0.028692,-0.569733,-0.251112,-0.705768,-0.314146,-0.896845,-0.259832,-0.606297,-0.201787,-0.405845
R,Right,legacy_asl_R_11,0.000000,0.000000,0.382053,-0.150969,0.524502,-0.599664,0.321978,-0.951388,0.044227,-1.130016,0.458061,-0.955705,0.426103,-1.407750,0.368088,-1.706192,0.296532,-1.949226,0.241373,-0.967980,0.286232,-1.492975,0.360497,-1.798046,0.382693,-2.035466,0.019247,-0.891231,0.019548,-1.194419,0.129990,-0.876931,0.157232,-0.649087,-0.202707,-0.760266,-0.093655,-0.966072,0.027263,-0.735706,0.048623,-0.552239
R,Right,legacy_asl_R_12,0.000000,0.000000,0.317124,-0.210440,0.410582,-0.631685,0.167715,-0.942478,-0.109170,-1.114486,0.303532,-0.998996,0.251598,-1.421528,0.168560,-1.709939,0.081419,-1.952689,0.081101,-0.993241,0.113132,-1.491736,0.169288,-1.802484,0.194154,-2.050861,-0.140477,-0.890877,-0.137498,-1.213865,0.008556,-0.909701,0.077350,-0.665097,-0.355465,-0.725507,-0.263335,-0.966573,-0.081664,-0.766940,0.007729,-0.574904
R,Right,legacy_asl_R_13,0.000000,0.000000,0.241610,-0.270589,0.302655,-0.688286,0.142982,-0.971943,-0.081797,-1.100746,0.183985,-1.025679,0.170763,-1.489936,0.142774,-1.780603,0.110250,-2.031481,0.051903,-0.997240,0.072404,-1.551679,0.072143,-1.880058,0.056343,-2.138802,-0.074925,-0.892139,-0.244551,-1.161600,-0.211758,-0.868923,-0.155900,-0.641500,-0.219046,-0.748948,-0.363968,-0.995706,-0.311928,-0.772078,-0.231947,-0.573576
R,Right,legacy_asl_R_14,0.000000,0.000000,0.275711,-0.283001,0.400990,-0.678555,0.177560,-0.978911,-0.075205,-1.123637,0.342282,-1.018037,0.290401,-1.413113,0.216547,-1.653824,0.134090,-1.863246,0.122015,-0.992528,0.136898,-1.425845,0.150929,-1.659151,0.133984,-1.861797,-0.083500,-0.889376,-0.132770,-1.107428,-0.027879,-0.872193,0.033104,-0.708191,-0.267318,-0.752299,-0.250935,-0.942548,-0.167574,-0.781749,-0.128989,-0.652793
R,Right,legacy_asl_R_15,0.000000,0.000000,0.269961,-0.199127,0.319389,-0.594506,0.002882,-0.868403,-0.284466,-1.036618,0.414703,-0.993650,0.321037,-1.429859,0.196583,-1.738817,0.074312,-1.982223,0.151847,-0.984781,0.170568,-1.489784,0.154498,-1.807409,0.141252,-2.069908,-0.087151,-0.875405,-0.250444,-1.063988,-0.162514,-0.737338,-0.069942,-0.523904,-0.294674,-0.691753,-0.383181,-0.844310,-0.272019,-0.580418,-0.179325,-0.381849
R,Right,legacy_asl_R_16,0.000000,0.000000,0.240959,-0.262861,0.333537,-0.650897,0.063450,-0.953643,-0.187647,-1.128193,0.463021,-0.959310,0.393791,-1.410299,0.307651,-1.705280,0.238265,-1.960274,0.243968,-0.969782,0.292129,-1.457641,0.296078,-1.752324,0.310316,-1.991188,0.024055,-0.915296,-0.123542,-1.162289,-0.094452,-0.854119,-0.029777,-0.643940,-0.174339,-0.816980,-0.257671,-1.027633,-0.198333,-0.794637,-0.141689,-0.600257
R,Right,legacy_asl_R_17,0.000000,0.000000,0.292859,-0.214250,0.349998,-0.651669,0.070413,-0.905930,-0.232620,-1.037216,0.234944,-1.032714,0.116499,-1.480773,-0.013062,-1.764215,-0.167589,-1.993711,0.017030,-0.994714,-0.006760,-1.550032,-0.030926,-1.883859,-0.101066,-2.141573,-0.181572,-0.861857,-0.274825,-1.165693,-0.122053,-0.844329,-0.039599,-0.610007,-0.374799,-0.661482,-0.367683,-0.920214,-0.232277,-0.683765,-0.173114,-0.482168
R,Right,legacy_asl_R_18,0.000000,0.000000,0.244947,-0.279419,0.304712,-0.676082,0.037546,-0.963142,-0.222629,-1.120610,0.333836,-0.991204,0.244907,-1.447247,0.143993,-1.725171,0.035123,-1.968847,0.119018,-0.991754,0.136121,-1.498427,0.101719,-1.785809,0.060613,-2.023576,-0.085477,-0.919138,-0.237452,-1.131931,-0.178503,-0.837290,-0.094625,-0.641824,-0.277851,-0.798839,-0.362492,-0.952309,-0.289173,-0.721770,-0.219415,-0.549004
R,Right,legacy_asl_R_19,0.000000,0.000000,0.348960,-0.303544,0.453930,-0.722805,0.219084,-0.980253,-0.075712,-1.062907,0.217794,-1.021887,0.191881,-1.462016,0.144788,-1.741192,0.100700,-1.989130,-0.021636,-0.997936,-0.007630,-1.529260,0.040844,-1.848463,0.077701,-2.096286,-0.238738,-0.894836,-0.234085,-1.187579,-0.107968,-0.884545,-0.028260,-0.636303,-0.442715,-0.749773,-0.384874,-1.029643,-0.249114,-0.817763,-0.176684,-0.610993
R,Right,legacy_asl_R_20,0.000000,0.000000,0.324937,-0.175578,0.429669,-0.616971,0.169829,-0.934745,-0.106262,-1.091111,0.485512,-0.955038,0.431890,-1.380949,0.354894,-1.674751,0.282129,-1.919054,0.246543,-0.967716,0.279647,-1.490407,0.309082,-1.783246,0.311589,-2.014556,0.009346,-0.888853,-0.101636,-1.205642,-0.011811,-0.885449,0.046828,-0.685193,-0.212272,-0.733351,-0.216944,-0.947141,-0.091405,-0.720887,-0.045064,-0.542365
R,Right,legacy_asl_R_21,0.000000,0.000000,0.325793,-0.313053,0.424007,-0.770159,0.228900,-1.102352,-0.046531,-1.220319,0.354897,-0.983651,0.322924,-1.411191,0.269317,-1.723693,0.219904,-1.975367,0.121267,-0.991848,0.149432,-1.406762,0.170426,-1.717362,0.182831,-1.957196,-0.140076,-0.922115,-0.149667,-1.260129,-0.011759,-1.149670,0.089388,-0.966830,-0.417302,-0.801588,-0.379015,-1.071598,-0.202242,-0.973671,-0.072436,-0.781851
R,Right,legacy_asl_R_22,0.000000,0.000000,0.274776,-0.345879,0.358046,-0.773621,0.242918,-1.088737,0.006340,-1.145982,0.346189,-1.016603,0.354040,-1.421646,0.334712,-1.677665,0.317742,-1.893385,0.178987,-0.983670,0.211461,-1.398996,0.237791,-1.671299,0.254124,-1.881041,-0.006603,-0.883029,-0.058108,-1.165460,-0.022712,-1.002714,0.005529,-0.808435,-0.191871,-0.754712,-0.208053,-0.991548,-0.134360,-0.902837,-0.077617,-0.749859
R,Right,legacy_asl_R_23,0.000000,0.000000,0.309373,-0.254858,0.403556,-0.661422,0.156048,-0.939741,-0.093299,-1.066078,0.454189,-0.955167,0.430646,-1.379355,0.375863,-1.677437,0.304662,-1.926810,0.223450,-0.971242,0.292194,-1.453825,0.314041,-1.756770,0.308939,-2.008262,-0.016380,-0.888618,-0.084960,-1.159332,-0.025202,-0.875828,0.021592,-0.663131,-0.260103,-0.733793,-0.243118,-0.911047,-0.157195,-0.707640,-0.103907,-0.535801
R,Right,legacy_asl_R_24,0.000000,0.000000,0.236834,-0.246554,0.304006,-0.622046,0.057274,-0.886985,-0.194916,-1.049658,0.294253,-1.012544,0.207765,-1.427234,0.103339,-1.679197,-0.019326,-1.899602,0.080083,-0.995677,0.093343,-1.497708,0.081927,-1.791083,0.055497,-2.030925,-0.119255,-0.896102,-0.250311,-1.107471,-0.171901,-0.810197,-0.089920,-0.617832,-0.303672,-0.749112,-0.359220,-0.915622,-0.277767,-0.681594,-0.210270,-0.516509
R,Right,legacy_asl_R_25,0.000000,0.000000,0.291713,-0.255789,0.367030,-0.640156,0.124272,-0.941862,-0.128713,-1.127197,0.341488,-0.975253,0.323106,-1.421084,0.258682,-1.708060,0.187099,-1.952206,0.124658,-0.990863,0.147763,-1.493808,0.183194,-1.801162,0.203424,-2.039762,-0.082360,-0.907726,-0.122235,-1.203326,-0.019458,-0.950307,0.040174,-0.732576,-0.284672,-0.767876,-0.267623,-1.013588,-0.156568,-0.856622,-0.097976,-0.693152
R,Right,legacy_asl_R_26,0.000000,0.000000,0.276932,-0.240164,0.424467,-0.582121,0.288874,-0.891355,0.100726,-1.107582,0.502542,-0.934168,0.487684,-1.341378,0.427290,-1.610555,0.355686,-1.843808,0.305099,-0.951885,0.376931,-1.413060,0.396306,-1.698235,0.393191,-1.920775,0.106210,-0.894796,0.009367,-1.125161,0.035621,-0.859722,0.081403,-0.661698,-0.092197,-0.800594,-0.123330,-0.981049,-0.090972,-0.770848,-0.056384,-0.605514
R,Right,legacy_asl_R_27,0.000000,0.000000,0.258407,-0.238474,0.334937,-0.658928,0.032720,-0.956698,-0.250574,-1.119224,0.403860,-1.004813,0.275278,-1.437130,0.119878,-1.730308,-0.026912,-1.979717,0.152942,-0.985443,0.129844,-1.485597,0.119339,-1.770528,0.119488,-2.031857,-0.080471,-0.895144,-0.233425,-1.141156,-0.139737,-0.829110,-0.041376,-0.633625,-0.284189,-0.745961,-0.364687,-0.922768,-0.259389,-0.687022,-0.187840,-0.505865
R,Right,legacy_asl_R_28,0.000000,0.000000,0.255596,-0.192058,0.348809,-0.588521,0.050464,-0.803158,-0.239011,-0.907649,0.343289,-1.008007,0.293024,-1.429033,0.220374,-1.728901,0.139107,-1.965412,0.101415,-0.990787,0.153267,-1.468442,0.152010,-1.768335,0.130440,-2.015039,-0.122741,-0.874315,-0.226942,-1.146335,-0.150903,-0.858907,-0.083434,-0.648220,-0.344396,-0.679276,-0.367454,-0.861105,-0.263780,-0.630656,-0.196396,-0.438700
