label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
S,Right,legacy_asl_S_0,0.000000,0.000000,0.459647,-0.245817,0.729945,-0.628978,0.520713,-1.015569,0.177761,-1.104402,0.463697,-1.018907,0.438558,-1.352766,0.459895,-1.009629,0.496264,-0.803124,0.177013,-0.983282,0.152492,-1.345328,0.227144,-0.929655,0.240262,-0.720953,-0.096083,-0.901307,-0.122422,-1.213071,-0.002568,-0.798005,0.031025,-0.586148,-0.394832,-0.785834,-0.369771,-1.018797,-0.246570,-0.738219,-0.218529,-0.565241
S,Right,legacy_asl_S_1,0.000000,0.000000,0.423240,-0.220607,0.671280,-0.640052,0.411041,-1.084865,0.079933,-1.173126,0.783098,-0.904557,0.668926,-1.390401,0.590043,-1.037957,0.656485,-0.847517,0.441418,-0.897222,0.352645,-1.357424,0.329298,-0.925695,0.375763,-0.769629,0.118842,-0.870394,0.009812,-1.239578,0.053276,-0.801883,0.134083,-0.648643,-0.203180,-0.797863,-0.240688,-1.049546,-0.175755,-0.747235,-0.139189,-0.595441
S,Right,legacy_asl_S_2,0.000000,0.000000,0.437844,-0.273092,0.686391,-0.698949,0.384807,-1.104015,0.057796,-1.192701,0.731095,-0.930871,0.630458,-1.415383,0.569053,-1.080203,0.629910,-0.890401,0.404330,-0.914613,0.281943,-1.375913,0.291789,-0.960275,0.361218,-0.795553,0.105140,-0.875626,-0.033708,-1.234332,0.024812,-0.825591,0.112725,-0.677719,-0.191149,-0.795217,-0.263689,-1.049684,-0.202296,-0.764998,-0.159857,-0.620512
S,Right,legacy_asl_S_3,0.000000,0.000000,0.461088,-0.220301,0.767098,-0.570923,0.605527,-0.926996,0.271860,-0.963303,0.567541,-0.958010,0.598269,-1.289172,0.557282,-1.045099,0.571550,-0.861389,0.280487,-0.959645,0.294992,-1.338283,0.305582,-1.068017,0.330181,-0.854363,0.002718,-0.894139,-0.017567,-1.147405,0.057053,-0.794339,0.102217,-0.541965,-0.273681,-0.781812,-0.254677,-0.994242,-0.159021,-0.740558,-0.114639,-0.524567
S,Right,legacy_asl_S_4,0.000000,0.000000,0.330680,-0.305260,0.605150,-0.659048,0.430052,-0.937908,0.133719,-1.021507,0.201016,-1.051481,0.270232,-1.297790,0.322841,-0.951940,0.292111,-0.873797,-0.053311,-0.994762,0.032314,-1.236235,0.130170,-0.841738,0.055732,-0.798925,-0.275507,-0.897113,-0.190496,-1.095103,-0.075805,-0.728441,-0.157122,-0.674661,-0.514184,-0.759295,-0.392996,-0.932875,-0.279218,-0.679526,-0.344357,-0.593787
S,Right,legacy_asl_S_5,0.000000,0.000000,0.511158,-0.055914,0.914718,-0.417043,0.760270,-0.893964,0.407614,-1.030552,0.858808,-0.758962,0.877027,-1.140111,0.770608,-0.858653,0.763581,-0.685100,0.550101,-0.835096,0.550394,-1.194053,0.504722,-0.816822,0.493931,-0.651538,0.263836,-0.848902,0.235997,-1.144712,0.225171,-0.738353,0.217274,-0.580221,-0.053964,-0.826766,-0.033963,-1.004759,-0.039570,-0.696425,-0.051970,-0.569886
S,Right,legacy_asl_S_6,0.000000,0.000000,0.355685,-0.283482,0.603205,-0.643128,0.443496,-0.944186,0.141372,-1.032215,0.406552,-1.014619,0.446775,-1.397761,0.411877,-1.104153,0.409257,-0.885484,0.137470,-0.990337,0.146882,-1.372327,0.151968,-1.033110,0.193901,-0.774751,-0.117989,-0.909891,-0.138611,-1.174677,-0.077745,-0.817978,-0.017849,-0.560409,-0.371612,-0.787444,-0.381059,-1.009003,-0.302435,-0.754708,-0.242056,-0.535034
S,Right,legacy_asl_S_7,0.000000,0.000000,0.459258,-0.210397,0.762043,-0.595598,0.554545,-0.992556,0.244882,-1.099376,0.652354,-0.902394,0.658923,-1.251621,0.571819,-0.922047,0.588755,-0.759256,0.366092,-0.929665,0.355916,-1.254281,0.317348,-0.873732,0.343719,-0.740517,0.102622,-0.905577,0.072232,-1.179854,0.071724,-0.798033,0.102639,-0.666039,-0.173283,-0.843863,-0.161960,-1.012519,-0.162469,-0.739514,-0.159919,-0.619607
S,Right,legacy_asl_S_8,0.000000,0.000000,0.492053,-0.203247,0.820473,-0.518753,0.598683,-0.881067,0.232630,-0.922957,0.624930,-0.944735,0.610513,-1.316862,0.549347,-0.994058,0.572741,-0.802180,0.319357,-0.946030,0.301223,-1.354571,0.290079,-0.977297,0.315725,-0.765709,0.029464,-0.892165,-0.035658,-1.171295,0.019340,-0.782017,0.078436,-0.565498,-0.264743,-0.805296,-0.290271,-1.026737,-0.207732,-0.749269,-0.150503,-0.555968
S,Right,legacy_asl_S_9,0.000000,0.000000,0.448453,-0.309942,0.711062,-0.668754,0.474321,-0.984626,0.123596,-0.928967,0.350138,-1.056548,0.305245,-1.393997,0.330925,-1.104594,0.385317,-0.909273,0.072514,-0.996681,0.028239,-1.355999,0.095456,-0.982533,0.130459,-0.746748,-0.178901,-0.891929,-0.242215,-1.189079,-0.118661,-0.808554,-0.046582,-0.563588,-0.439981,-0.745310,-0.477245,-0.985633,-0.338455,-0.744370,-0.259112,-0.549723
