label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
T,Right,legacy_asl_T_0,0.000000,0.000000,0.413926,-0.039464,0.866609,-0.308778,1.040641,-0.711198,1.059868,-1.039276,0.655036,-0.922453,0.624339,-1.259383,0.532040,-1.376599,0.447366,-1.383601,0.341409,-0.939163,0.292422,-1.215891,0.285538,-0.805561,0.351507,-0.682763,0.070938,-0.918039,-0.003703,-1.114945,0.025790,-0.718042,0.086381,-0.599988,-0.209551,-0.857685,-0.254123,-1.025081,-0.219073,-0.708150,-0.176331,-0.576560
T,Right,legacy_asl_T_1,0.000000,0.000000,0.439165,-0.209387,0.796888,-0.547000,0.924257,-0.904168,0.994947,-1.216078,0.420037,-0.994949,0.437468,-1.298155,0.426857,-1.300109,0.392598,-1.194120,0.133933,-0.990458,0.179824,-1.224856,0.196646,-0.853256,0.202757,-0.570965,-0.139561,-0.917919,-0.095145,-1.134172,-0.045524,-0.757554,-0.026906,-0.504699,-0.430333,-0.793072,-0.368659,-0.993450,-0.281281,-0.726721,-0.247989,-0.531099
T,Right,legacy_asl_T_2,0.000000,0.000000,0.493195,-0.118748,0.910974,-0.434239,1.029198,-0.779352,1.111969,-1.066187,0.611509,-0.911171,0.578448,-1.207486,0.471970,-1.268246,0.364187,-1.228542,0.301749,-0.953300,0.247778,-1.164354,0.179241,-0.816877,0.158525,-0.493598,0.021992,-0.927948,-0.040931,-1.093825,-0.065407,-0.737666,-0.051263,-0.450871,-0.251144,-0.848310,-0.287095,-1.018513,-0.276968,-0.740579,-0.241150,-0.509547
T,Right,legacy_asl_T_3,0.000000,0.000000,0.462785,0.009040,0.953496,-0.116706,1.255142,-0.449766,1.335102,-0.798839,0.798403,-0.754414,0.869776,-1.092050,0.843112,-1.219369,0.836472,-1.310834,0.515384,-0.856815,0.573827,-1.147004,0.472125,-0.755948,0.502759,-0.642076,0.238507,-0.902171,0.274025,-1.147429,0.191837,-0.743296,0.207180,-0.618558,-0.068019,-0.910346,-0.024896,-1.111019,-0.065127,-0.793838,-0.062287,-0.641967
T,Right,legacy_asl_T_4,0.000000,0.000000,0.479279,-0.164365,0.898973,-0.309082,1.131576,-0.643713,1.178081,-0.973598,0.653419,-0.868064,0.665671,-1.195503,0.640170,-1.324146,0.605511,-1.356517,0.381320,-0.918346,0.401827,-1.192683,0.365994,-0.821530,0.389470,-0.687387,0.121116,-0.905674,0.121201,-1.152145,0.110612,-0.781999,0.125068,-0.647004,-0.170617,-0.837161,-0.149283,-1.070908,-0.115824,-0.787166,-0.092110,-0.631027
T,Right,legacy_asl_T_5,0.000000,0.000000,0.415079,0.081282,0.922478,-0.100220,1.216639,-0.472245,1.312567,-0.799572,0.816038,-0.782441,0.857983,-1.105018,0.786349,-1.237879,0.721711,-1.281483,0.510902,-0.858508,0.544895,-1.142385,0.437328,-0.719732,0.483064,-0.600732,0.239672,-0.891103,0.237779,-1.116331,0.162037,-0.700336,0.201290,-0.569325,-0.044440,-0.889050,-0.055367,-1.037757,-0.091234,-0.716170,-0.060561,-0.587858
T,Right,legacy_asl_T_6,0.000000,0.000000,-0.129725,-0.040899,-0.313197,-0.475183,-0.319644,-1.149748,-0.217130,-1.725381,-0.644452,-0.112338,-0.580489,-1.031734,-0.352106,-1.255576,-0.303836,-1.416947,-0.964904,-0.245306,-0.767729,-1.323361,-0.499430,-1.393021,-0.531896,-1.433781,-1.267273,-0.452510,-1.025658,-1.498697,-0.756125,-1.449705,-0.802550,-1.364101,-1.564802,-0.735764,-1.397878,-1.510532,-1.144705,-1.426464,-1.133551,-1.260964
T,Right,legacy_asl_T_7,0.000000,0.000000,0.441468,-0.143363,0.842312,-0.448202,1.002428,-0.815976,1.070444,-1.148919,0.533933,-0.944191,0.532991,-1.301760,0.461745,-1.402269,0.361268,-1.388819,0.249291,-0.967263,0.266911,-1.258394,0.248682,-0.866788,0.235640,-0.569292,-0.020790,-0.916949,-0.003257,-1.175602,0.012149,-0.779441,0.014965,-0.516535,-0.312920,-0.809449,-0.262335,-1.042808,-0.210775,-0.762359,-0.193915,-0.556003
T,Right,legacy_asl_T_8,0.000000,0.000000,0.425442,-0.108122,0.854686,-0.292940,1.093532,-0.643529,1.172769,-0.967362,0.695434,-0.892228,0.695632,-1.239370,0.600619,-1.398114,0.471059,-1.476892,0.392457,-0.919747,0.357882,-1.213354,0.317692,-0.801743,0.375808,-0.656894,0.121803,-0.910850,0.071489,-1.161667,0.074491,-0.775846,0.123777,-0.638789,-0.156366,-0.862774,-0.197340,-1.081321,-0.165544,-0.784256,-0.123064,-0.640599
T,Right,legacy_asl_T_9,0.000000,0.000000,0.474612,-0.101186,0.915244,-0.285990,1.119023,-0.639779,1.179349,-0.975472,0.609633,-0.901501,0.650299,-1.265205,0.663647,-1.383277,0.661267,-1.383710,0.327363,-0.944858,0.427795,-1.209101,0.388117,-0.803128,0.384081,-0.660075,0.077347,-0.933446,0.150724,-1.152016,0.142755,-0.750962,0.127126,-0.610313,-0.205910,-0.878806,-0.125813,-1.080212,-0.089863,-0.776934,-0.104230,-0.637889
