label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
U,Right,legacy_asl_U_0,0.000000,0.000000,0.315925,-0.214488,0.445552,-0.631762,0.175292,-0.916375,-0.128470,-1.019225,0.378325,-0.996255,0.456072,-1.512581,0.479944,-1.870087,0.475596,-2.139296,0.108125,-0.987136,0.166065,-1.587274,0.232410,-1.976970,0.270762,-2.277902,-0.157619,-0.879081,-0.176440,-1.124350,-0.073963,-0.837384,-0.015891,-0.601110,-0.434845,-0.706366,-0.376588,-0.944973,-0.266202,-0.717438,-0.230812,-0.498975
U,Right,legacy_asl_U_1,0.000000,0.000000,0.239497,-0.206417,0.239184,-0.590155,-0.050155,-0.822850,-0.317151,-0.958570,0.217097,-1.027067,0.137410,-1.476250,0.057794,-1.758126,-0.024841,-1.982884,-0.014332,-0.988275,-0.134304,-1.491589,-0.206444,-1.810706,-0.276494,-2.066372,-0.205032,-0.852797,-0.341218,-1.016260,-0.207450,-0.771023,-0.106495,-0.616804,-0.371157,-0.663374,-0.427958,-0.818653,-0.299449,-0.630897,-0.213264,-0.485897
U,Right,legacy_asl_U_2,0.000000,0.000000,0.236371,-0.204467,0.234549,-0.594835,-0.057625,-0.832901,-0.335960,-0.962764,0.255553,-1.013442,0.190297,-1.471166,0.118385,-1.751201,0.047288,-1.975824,0.025816,-0.992968,-0.068175,-1.498664,-0.125181,-1.817670,-0.180721,-2.072058,-0.169742,-0.872711,-0.298578,-1.051366,-0.181545,-0.797780,-0.100441,-0.639252,-0.339098,-0.691024,-0.397714,-0.869972,-0.278754,-0.674665,-0.209789,-0.519104
U,Right,legacy_asl_U_3,0.000000,0.000000,0.313487,-0.253260,0.483591,-0.626452,0.217855,-0.816440,-0.101164,-0.763401,0.152800,-1.016695,0.236814,-1.444726,0.266439,-1.725591,0.282719,-1.961603,-0.110284,-0.979358,-0.025021,-1.482235,0.050989,-1.810386,0.081558,-2.088638,-0.349405,-0.872505,-0.223140,-1.098471,-0.087817,-0.785105,-0.053136,-0.541812,-0.573149,-0.697764,-0.385436,-0.857580,-0.220547,-0.628450,-0.181312,-0.418842
U,Right,legacy_asl_U_4,0.000000,0.000000,0.321889,-0.235046,0.503832,-0.612905,0.263899,-0.821449,-0.036410,-0.832523,0.210750,-1.030362,0.277478,-1.446849,0.300177,-1.721301,0.313602,-1.953978,-0.046441,-0.987635,0.016348,-1.487178,0.078581,-1.819545,0.107098,-2.103346,-0.284751,-0.860777,-0.210025,-1.129073,-0.078275,-0.817591,-0.035185,-0.575736,-0.517958,-0.665672,-0.388222,-0.875035,-0.236688,-0.637968,-0.196761,-0.422513
U,Right,legacy_asl_U_5,0.000000,0.000000,0.381020,-0.108986,0.603288,-0.504700,0.447057,-0.866072,0.207325,-1.070076,0.593066,-0.869893,0.752120,-1.325642,0.819550,-1.608165,0.857232,-1.847523,0.353353,-0.927722,0.507279,-1.452528,0.633769,-1.764785,0.697821,-2.018417,0.111554,-0.880652,0.165527,-1.124503,0.230088,-0.825679,0.228775,-0.605541,-0.130404,-0.772516,0.009686,-0.984119,0.103771,-0.752443,0.108939,-0.545160
U,Right,legacy_asl_U_6,0.000000,0.000000,0.306695,-0.204887,0.409509,-0.555218,0.134125,-0.764185,-0.144144,-0.826772,0.381594,-0.963169,0.377452,-1.419059,0.350945,-1.722371,0.306783,-1.950053,0.125258,-0.978121,0.165289,-1.449187,0.164780,-1.775558,0.159729,-2.045739,-0.124948,-0.874522,-0.177197,-1.062835,-0.123404,-0.831429,-0.060452,-0.661166,-0.359833,-0.690448,-0.357697,-0.799507,-0.280650,-0.635035,-0.224387,-0.495210
U,Right,legacy_asl_U_7,0.000000,0.000000,0.228236,-0.247168,0.238911,-0.654401,-0.053340,-0.882722,-0.338487,-0.957479,0.081469,-1.037250,0.005436,-1.492149,-0.068985,-1.772754,-0.146377,-1.995843,-0.142631,-0.978991,-0.260591,-1.479679,-0.312314,-1.807152,-0.374377,-2.062354,-0.329373,-0.832518,-0.362530,-1.005839,-0.186692,-0.797977,-0.087511,-0.627130,-0.490051,-0.633106,-0.439722,-0.784848,-0.263006,-0.632946,-0.161173,-0.483904
U,Right,legacy_asl_U_8,0.000000,0.000000,0.236538,-0.309320,0.327808,-0.762587,0.213244,-1.064581,0.001240,-1.159116,0.211436,-1.015952,0.305727,-1.531331,0.338786,-1.835850,0.348485,-2.104697,0.052595,-0.991134,0.093888,-1.590283,0.127825,-1.953520,0.135863,-2.244110,-0.101674,-0.890940,-0.105800,-1.188576,0.003299,-0.904907,0.069834,-0.665265,-0.250926,-0.749558,-0.203814,-1.063685,-0.088966,-0.870307,-0.023802,-0.662452
U,Right,legacy_asl_U_9,0.000000,0.000000,0.282693,-0.232718,0.352807,-0.630812,0.106087,-0.847094,-0.174915,-0.933663,0.184292,-1.020576,0.171821,-1.457954,0.122283,-1.728062,0.063594,-1.948569,-0.054449,-0.990055,-0.105547,-1.487651,-0.124432,-1.811673,-0.155407,-2.065464,-0.265234,-0.864581,-0.217529,-1.074898,-0.072468,-0.827276,-0.009821,-0.635242,-0.446959,-0.682771,-0.330102,-0.822531,-0.148463,-0.648939,-0.052276,-0.490413
