label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
V,Right,legacy_asl_V_0,0.000000,0.000000,0.276349,-0.328777,0.327872,-0.734603,0.012484,-0.899165,-0.273749,-0.902056,0.159519,-1.052796,0.241425,-1.499654,0.271167,-1.796357,0.289518,-2.031250,-0.114691,-0.990394,-0.218904,-1.516754,-0.266820,-1.844945,-0.310425,-2.097135,-0.340268,-0.833282,-0.378369,-1.039572,-0.198859,-0.801094,-0.099092,-0.601597,-0.543143,-0.613357,-0.524497,-0.839154,-0.358908,-0.661712,-0.273140,-0.477582
V,Right,legacy_asl_V_1,0.000000,0.000000,0.286500,-0.209594,0.377396,-0.595484,0.066571,-0.755962,-0.236714,-0.770789,0.292045,-1.017457,0.394037,-1.451835,0.450170,-1.753265,0.491954,-2.001820,0.005669,-0.990712,-0.055125,-1.497821,-0.089035,-1.829067,-0.126901,-2.112880,-0.228031,-0.844125,-0.257492,-1.076102,-0.131192,-0.777968,-0.069699,-0.561163,-0.432534,-0.618938,-0.412349,-0.797897,-0.278951,-0.576151,-0.215350,-0.397815
V,Right,legacy_asl_V_2,0.000000,0.000000,0.330760,-0.295894,0.427094,-0.754480,0.105118,-0.979757,-0.218819,-0.962482,0.328197,-1.009886,0.426363,-1.495922,0.454846,-1.783491,0.480971,-2.030146,0.034701,-0.995893,0.016534,-1.521224,0.011485,-1.854901,-0.000292,-2.133250,-0.216559,-0.899377,-0.239788,-1.157139,-0.128809,-0.871246,-0.081306,-0.643478,-0.436522,-0.747599,-0.413087,-0.979770,-0.302813,-0.765651,-0.263906,-0.562716
V,Right,legacy_asl_V_3,0.000000,0.000000,0.241923,-0.297977,0.304076,-0.707281,0.054368,-0.913768,-0.234609,-0.853420,0.056402,-1.019377,0.143196,-1.468827,0.180624,-1.768678,0.197033,-2.015470,-0.204545,-0.970595,-0.323146,-1.486100,-0.388761,-1.829946,-0.469603,-2.105820,-0.424017,-0.826177,-0.421581,-1.054197,-0.252576,-0.834464,-0.184772,-0.629317,-0.607274,-0.617303,-0.546288,-0.870864,-0.373621,-0.718766,-0.298378,-0.527329
V,Right,legacy_asl_V_4,0.000000,0.000000,0.284704,-0.224753,0.340700,-0.587037,0.050217,-0.731505,-0.206732,-0.773604,0.301592,-1.016851,0.412796,-1.479011,0.461395,-1.790569,0.498633,-2.032833,0.025495,-0.990041,-0.063127,-1.512840,-0.129877,-1.849440,-0.184954,-2.115749,-0.209487,-0.847236,-0.249431,-1.040061,-0.177410,-0.808824,-0.138413,-0.641295,-0.399398,-0.635819,-0.377827,-0.806030,-0.300659,-0.655255,-0.268248,-0.526860
V,Right,legacy_asl_V_5,0.000000,0.000000,0.259726,-0.274652,0.336522,-0.663110,0.075814,-0.832603,-0.193896,-0.811518,0.081488,-1.041063,0.155786,-1.468197,0.177318,-1.746970,0.181863,-1.975962,-0.166268,-0.979020,-0.249279,-1.445845,-0.301637,-1.748300,-0.360243,-1.979078,-0.371152,-0.817500,-0.325498,-1.045065,-0.172871,-0.841858,-0.105131,-0.642930,-0.548185,-0.591607,-0.475000,-0.815379,-0.321598,-0.666557,-0.251304,-0.482938
V,Right,legacy_asl_V_6,0.000000,0.000000,0.285479,-0.257892,0.319472,-0.671251,-0.040892,-0.794973,-0.350907,-0.740321,0.168587,-1.058179,0.252611,-1.531255,0.281729,-1.847002,0.297501,-2.090860,-0.125565,-0.981805,-0.271981,-1.479657,-0.361664,-1.806034,-0.451796,-2.083420,-0.347587,-0.783027,-0.400282,-1.037331,-0.216546,-0.815474,-0.114436,-0.620947,-0.528378,-0.517013,-0.530079,-0.705703,-0.367339,-0.575708,-0.274949,-0.442390
V,Right,legacy_asl_V_7,0.000000,0.000000,0.335120,-0.206436,0.440628,-0.578590,0.170452,-0.738480,-0.099817,-0.741322,0.278974,-1.026081,0.437284,-1.475156,0.502477,-1.772720,0.538024,-2.005959,0.013526,-0.987396,0.003377,-1.519181,0.002849,-1.858308,-0.017804,-2.135076,-0.201853,-0.841982,-0.208566,-1.033787,-0.099445,-0.775169,-0.050839,-0.572745,-0.384535,-0.637419,-0.350343,-0.810404,-0.238317,-0.665116,-0.189999,-0.533961
V,Right,legacy_asl_V_8,0.000000,0.000000,0.284507,-0.326686,0.320209,-0.745281,-0.017878,-0.902237,-0.314842,-0.865285,0.162928,-1.056224,0.240613,-1.500750,0.268270,-1.788068,0.291024,-2.019114,-0.113648,-0.990096,-0.234711,-1.505678,-0.289731,-1.825176,-0.339694,-2.080279,-0.335731,-0.831636,-0.388653,-1.035466,-0.203742,-0.785998,-0.101738,-0.589832,-0.530099,-0.616346,-0.530278,-0.843569,-0.364096,-0.652965,-0.273043,-0.464040
V,Right,legacy_asl_V_9,0.000000,0.000000,0.342844,-0.260656,0.430521,-0.698907,0.155188,-0.910692,-0.131960,-0.948568,0.343101,-1.016171,0.478614,-1.529054,0.505115,-1.881136,0.532358,-2.161884,0.064532,-0.991165,0.021456,-1.565904,-0.014279,-1.952391,-0.037392,-2.259068,-0.150207,-0.877099,-0.262430,-1.168964,-0.163945,-0.894913,-0.087785,-0.637482,-0.320633,-0.715305,-0.409793,-0.973883,-0.315062,-0.798711,-0.234038,-0.606337
