label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
W,Right,legacy_asl_W_0,0.000000,0.000000,0.220447,-0.203290,0.257808,-0.538352,0.010273,-0.744853,-0.251239,-0.844867,0.328779,-0.959388,0.401566,-1.374143,0.418883,-1.623013,0.414260,-1.849982,0.088978,-0.985867,0.086910,-1.429776,0.065216,-1.708303,0.047652,-1.930699,-0.120384,-0.908412,-0.229759,-1.319984,-0.302235,-1.581483,-0.365528,-1.804990,-0.271723,-0.754543,-0.294912,-0.919653,-0.245607,-0.767531,-0.211649,-0.608733
W,Right,legacy_asl_W_1,0.000000,0.000000,0.314831,-0.184623,0.421219,-0.552435,0.119439,-0.811223,-0.192037,-0.921465,0.346476,-0.956420,0.466015,-1.398801,0.508443,-1.673708,0.524718,-1.911569,0.060572,-0.982406,0.089181,-1.482506,0.097058,-1.801276,0.095225,-2.046105,-0.174489,-0.880362,-0.293531,-1.372327,-0.340478,-1.690753,-0.387127,-1.967856,-0.358421,-0.680379,-0.295717,-0.903640,-0.166952,-0.745834,-0.091867,-0.567324
W,Right,legacy_asl_W_2,0.000000,0.000000,0.227545,-0.181541,0.285131,-0.495781,0.094695,-0.692483,-0.153756,-0.786082,0.344642,-0.954775,0.440845,-1.353799,0.472772,-1.596087,0.481603,-1.816216,0.114600,-0.981314,0.125869,-1.426561,0.120987,-1.704784,0.116160,-1.932135,-0.088952,-0.900975,-0.188519,-1.307936,-0.252214,-1.574348,-0.304136,-1.803664,-0.242753,-0.741556,-0.258057,-0.900695,-0.195287,-0.743847,-0.145502,-0.576807
W,Right,legacy_asl_W_3,0.000000,0.000000,0.254601,-0.158940,0.358466,-0.479627,0.062082,-0.665848,-0.235275,-0.730834,0.316808,-0.951703,0.480811,-1.337277,0.560011,-1.574524,0.610772,-1.786850,0.064847,-0.984081,0.112006,-1.438094,0.126075,-1.721673,0.118206,-1.939638,-0.138956,-0.890163,-0.233566,-1.307908,-0.286651,-1.584119,-0.348106,-1.818680,-0.293536,-0.700145,-0.251781,-0.834502,-0.156440,-0.678942,-0.108397,-0.515072
W,Right,legacy_asl_W_4,0.000000,0.000000,0.261401,-0.243913,0.330366,-0.634039,0.040522,-0.875027,-0.239186,-0.922570,0.270967,-1.000414,0.323101,-1.404396,0.332961,-1.641898,0.329643,-1.863158,0.014017,-0.997541,-0.033941,-1.423586,-0.072262,-1.688986,-0.102846,-1.908587,-0.184316,-0.893261,-0.347835,-1.323918,-0.417866,-1.614531,-0.473911,-1.869411,-0.338564,-0.710916,-0.331036,-0.948380,-0.206424,-0.799763,-0.112019,-0.621163
W,Right,legacy_asl_W_5,0.000000,0.000000,0.245814,-0.124416,0.383042,-0.443339,0.180407,-0.718258,-0.049081,-0.892647,0.439639,-0.926515,0.628508,-1.324778,0.726323,-1.577487,0.793216,-1.806692,0.183701,-0.971709,0.234197,-1.457034,0.241225,-1.762060,0.251940,-2.017403,-0.043833,-0.883902,-0.095216,-1.313836,-0.117949,-1.598901,-0.131077,-1.849639,-0.247256,-0.702959,-0.203403,-0.850129,-0.133562,-0.667732,-0.085040,-0.489681
W,Right,legacy_asl_W_6,0.000000,0.000000,0.201070,-0.262315,0.223036,-0.613787,-0.051647,-0.781325,-0.328771,-0.821292,0.145040,-0.991724,0.239011,-1.404621,0.274084,-1.651297,0.283700,-1.856033,-0.123049,-0.985662,-0.183239,-1.458534,-0.226691,-1.735076,-0.263398,-1.937568,-0.333378,-0.868051,-0.548091,-1.291860,-0.654418,-1.568832,-0.742534,-1.788548,-0.494989,-0.669670,-0.527048,-0.909263,-0.406917,-0.783535,-0.305730,-0.614835
W,Right,legacy_asl_W_7,0.000000,0.000000,0.271493,-0.300925,0.266050,-0.752725,-0.119952,-0.994788,-0.450851,-1.044194,0.300890,-1.030026,0.352309,-1.506073,0.345536,-1.782902,0.330210,-2.032196,-0.016082,-0.994339,-0.085836,-1.518533,-0.125291,-1.786597,-0.143241,-2.011431,-0.269826,-0.851251,-0.489677,-1.314436,-0.537572,-1.498322,-0.585230,-1.696386,-0.447893,-0.616199,-0.528852,-0.917424,-0.387959,-0.770337,-0.283736,-0.590854
W,Right,legacy_asl_W_8,0.000000,0.000000,0.285002,-0.135938,0.436297,-0.458861,0.157244,-0.698670,-0.128278,-0.816621,0.504583,-0.877891,0.700007,-1.259237,0.796318,-1.499337,0.867311,-1.711931,0.263493,-0.952091,0.394318,-1.409473,0.452743,-1.689141,0.506460,-1.905178,0.040897,-0.901300,0.012797,-1.340754,-0.001019,-1.616411,0.005011,-1.854872,-0.159224,-0.746148,-0.134658,-0.899676,-0.102004,-0.708689,-0.079493,-0.521016
W,Right,legacy_asl_W_9,0.000000,0.000000,0.251954,-0.115242,0.374367,-0.424396,0.109980,-0.636447,-0.170770,-0.745201,0.352935,-0.912974,0.483466,-1.340501,0.549950,-1.621473,0.601479,-1.875118,0.082699,-0.973596,0.117869,-1.448514,0.132731,-1.759917,0.144279,-2.003785,-0.146747,-0.914813,-0.209445,-1.323899,-0.241709,-1.598159,-0.267783,-1.846362,-0.332623,-0.736730,-0.263050,-0.805397,-0.166320,-0.632517,-0.117517,-0.467445
W,Right,legacy_asl_W_10,0.000000,0.000000,0.279519,-0.146988,0.428313,-0.471988,0.173723,-0.718607,-0.088313,-0.856352,0.513902,-0.873696,0.716211,-1.255649,0.821283,-1.501125,0.898814,-1.718863,0.270018,-0.949261,0.404641,-1.412991,0.467811,-1.703371,0.521495,-1.938115,0.043798,-0.905437,0.028586,-1.344921,0.033976,-1.622456,0.054132,-1.864829,-0.165674,-0.757861,-0.133368,-0.903608,-0.096028,-0.712437,-0.065008,-0.525442
W,Right,legacy_asl_W_11,0.000000,0.000000,0.204948,-0.191915,0.248336,-0.515425,0.073110,-0.733612,-0.176148,-0.801366,0.363611,-0.959866,0.442245,-1.356196,0.464791,-1.597035,0.475902,-1.818911,0.137857,-0.983175,0.141566,-1.420650,0.128827,-1.693431,0.130701,-1.914685,-0.078701,-0.914482,-0.177897,-1.303191,-0.250456,-1.562181,-0.306432,-1.792827,-0.230666,-0.780657,-0.270239,-0.919887,-0.211680,-0.760768,-0.171965,-0.581365
W,Right,legacy_asl_W_12,0.000000,0.000000,-0.169442,-0.011466,-0.356763,-0.141544,-0.533445,-0.280923,-0.750562,-0.368855,-0.442190,-0.666434,-0.558657,-1.144008,-0.629840,-1.472685,-0.687534,-1.761093,-0.158075,-0.755019,-0.095782,-1.271743,-0.012901,-1.651998,0.032474,-1.969688,0.093537,-0.715540,0.279146,-1.152851,0.401887,-1.497634,0.473298,-1.762530,0.275089,-0.622155,0.353686,-0.941995,0.360620,-1.120569,0.364553,-1.231147
W,Right,legacy_asl_W_13,0.000000,0.000000,0.272702,-0.150748,0.408556,-0.499838,0.145274,-0.772947,-0.129863,-0.884498,0.450872,-0.943226,0.563922,-1.387960,0.599073,-1.642624,0.630253,-1.876138,0.182389,-0.977807,0.211012,-1.460516,0.201007,-1.752760,0.204638,-1.995537,-0.038367,-0.901006,-0.117028,-1.366960,-0.168726,-1.642104,-0.200561,-1.909608,-0.206523,-0.717108,-0.197076,-0.963295,-0.155048,-0.766937,-0.127257,-0.571762
W,Right,legacy_asl_W_14,0.000000,0.000000,0.256577,-0.172647,0.328403,-0.509168,0.055563,-0.745723,-0.222980,-0.855588,0.423891,-0.941597,0.578596,-1.378100,0.637598,-1.638867,0.679542,-1.882765,0.148665,-0.978553,0.196756,-1.453818,0.193572,-1.754276,0.198455,-2.002260,-0.087976,-0.895763,-0.217836,-1.371683,-0.299726,-1.647510,-0.354137,-1.912783,-0.269238,-0.709310,-0.296337,-0.941578,-0.229429,-0.761648,-0.179485,-0.574090
W,Right,legacy_asl_W_15,0.000000,0.000000,0.219323,-0.222521,0.306358,-0.599165,0.041352,-0.848277,-0.229798,-0.942899,0.430893,-0.925217,0.612767,-1.335819,0.695976,-1.573233,0.761558,-1.790287,0.202486,-0.974979,0.316937,-1.443286,0.363399,-1.713412,0.408005,-1.931598,-0.012150,-0.930285,-0.058708,-1.386923,-0.071871,-1.657495,-0.070113,-1.904272,-0.202670,-0.792834,-0.231263,-1.019180,-0.198579,-0.831877,-0.171765,-0.627387
W,Right,legacy_asl_W_16,0.000000,0.000000,0.253855,-0.130842,0.375696,-0.447035,0.107784,-0.679709,-0.160867,-0.781192,0.450444,-0.925374,0.588213,-1.346408,0.654085,-1.610697,0.696465,-1.841699,0.193551,-0.967839,0.256616,-1.437632,0.272826,-1.732910,0.294976,-1.973717,-0.027834,-0.892959,-0.087159,-1.324907,-0.126570,-1.591366,-0.137877,-1.828311,-0.217225,-0.716899,-0.230299,-0.856416,-0.185724,-0.665146,-0.132545,-0.484387
W,Right,legacy_asl_W_17,0.000000,0.000000,0.253840,-0.143068,0.367506,-0.473509,0.093348,-0.698840,-0.187664,-0.798402,0.379377,-0.937749,0.504394,-1.344896,0.559235,-1.591360,0.593897,-1.815605,0.113645,-0.983141,0.141398,-1.435046,0.135381,-1.716426,0.135618,-1.942984,-0.102451,-0.897175,-0.210373,-1.314279,-0.282272,-1.597235,-0.340856,-1.853414,-0.265805,-0.709634,-0.243923,-0.852106,-0.174351,-0.671925,-0.129419,-0.502753
W,Right,legacy_asl_W_18,0.000000,0.000000,0.280788,-0.381038,0.338836,-0.841006,0.036555,-1.133468,-0.225073,-1.226760,0.603632,-0.919988,0.782843,-1.378842,0.852038,-1.654491,0.921072,-1.873084,0.322649,-0.946397,0.444168,-1.420020,0.475562,-1.707810,0.539346,-1.907259,0.057345,-0.901214,-0.017239,-1.391155,-0.031503,-1.661448,-0.002023,-1.906573,-0.160143,-0.766496,-0.255054,-1.045124,-0.202627,-0.964986,-0.149667,-0.830525
W,Right,legacy_asl_W_19,0.000000,0.000000,0.242497,-0.177086,0.374074,-0.512661,0.143316,-0.719420,-0.138813,-0.778274,0.154002,-0.982794,0.253238,-1.413939,0.289878,-1.700747,0.294823,-1.948544,-0.090519,-0.973911,-0.123483,-1.467300,-0.171681,-1.792671,-0.217981,-2.063791,-0.287583,-0.845336,-0.410496,-1.255968,-0.487591,-1.577558,-0.559840,-1.846027,-0.462049,-0.627354,-0.384829,-0.821737,-0.211585,-0.693446,-0.072752,-0.522256
W,Right,legacy_asl_W_20,0.000000,0.000000,0.241358,-0.146183,0.345964,-0.479482,0.053780,-0.720662,-0.211274,-0.858729,0.451672,-0.902763,0.615898,-1.305843,0.693086,-1.562207,0.753008,-1.793266,0.208154,-0.965651,0.304942,-1.433610,0.343512,-1.728056,0.386954,-1.978751,-0.011766,-0.907618,-0.067342,-1.337070,-0.089662,-1.606300,-0.092819,-1.853325,-0.209980,-0.746944,-0.213502,-0.900156,-0.161053,-0.698368,-0.114217,-0.512343
