label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
X,Right,legacy_asl_X_0,0.000000,0.000000,0.309626,-0.239884,0.542234,-0.637409,0.281805,-0.922866,-0.050120,-1.026721,0.378392,-1.025349,0.363422,-1.405156,0.240762,-1.583439,0.104903,-1.676803,0.086798,-0.994963,-0.017939,-1.263832,0.048843,-0.941084,0.115801,-0.678341,-0.176475,-0.899711,-0.308849,-1.142579,-0.187789,-0.785753,-0.097740,-0.526756,-0.432627,-0.750653,-0.509882,-0.957025,-0.391189,-0.689239,-0.306955,-0.469569
X,Right,legacy_asl_X_1,0.000000,0.000000,0.381318,-0.091127,0.693609,-0.461062,0.694609,-0.777353,0.505796,-0.971583,0.629033,-0.866472,0.688820,-1.146158,0.681555,-1.404388,0.682080,-1.603676,0.401176,-0.899256,0.344381,-1.164290,0.308048,-1.021858,0.301106,-0.818869,0.162786,-0.854232,0.056845,-1.088357,0.047706,-0.832596,0.064975,-0.560653,-0.053137,-0.742999,-0.182107,-0.973138,-0.153388,-0.786914,-0.108521,-0.548270
X,Right,legacy_asl_X_2,0.000000,0.000000,0.333947,-0.230320,0.573068,-0.615866,0.304236,-0.913924,-0.040291,-1.006874,0.442669,-0.987537,0.431244,-1.302976,0.329888,-1.501526,0.214955,-1.657780,0.136886,-0.988739,0.072618,-1.246855,0.121146,-0.955056,0.160108,-0.699127,-0.146996,-0.915716,-0.244710,-1.162106,-0.132389,-0.814456,-0.054806,-0.536984,-0.423275,-0.778039,-0.467444,-0.998170,-0.350225,-0.747269,-0.271945,-0.510232
X,Right,legacy_asl_X_3,0.000000,0.000000,0.357121,-0.261445,0.612169,-0.653238,0.474216,-0.978493,0.182541,-1.044588,0.206739,-1.043280,0.161062,-1.391048,0.183961,-1.560929,0.223144,-1.634815,-0.034438,-0.998853,0.016985,-1.244506,0.110545,-0.920785,0.136629,-0.665179,-0.256655,-0.901817,-0.241566,-1.184559,-0.100011,-0.864967,-0.053040,-0.598991,-0.512002,-0.752703,-0.447870,-1.001662,-0.289141,-0.808139,-0.233728,-0.606865
X,Right,legacy_asl_X_4,0.000000,0.000000,0.339681,-0.175116,0.615045,-0.483544,0.435311,-0.746742,0.148992,-0.840725,0.409056,-0.948281,0.497990,-1.178667,0.569918,-1.334511,0.626629,-1.487209,0.124627,-0.987724,0.208290,-1.196102,0.263316,-0.841755,0.252057,-0.619876,-0.137838,-0.929434,-0.039880,-1.037960,0.068583,-0.674401,0.070789,-0.481850,-0.412897,-0.802794,-0.268157,-0.871038,-0.152168,-0.607149,-0.144462,-0.457986
X,Right,legacy_asl_X_5,0.000000,0.000000,0.292483,-0.229333,0.472505,-0.618275,0.174385,-0.889468,-0.160988,-0.919977,0.175610,-1.058308,0.130753,-1.435972,0.052315,-1.614492,-0.030829,-1.651881,-0.102635,-0.991871,-0.175705,-1.258356,-0.048171,-0.922675,0.033813,-0.660411,-0.333031,-0.871357,-0.424022,-1.075215,-0.248123,-0.747485,-0.157730,-0.511113,-0.572454,-0.699795,-0.614386,-0.896792,-0.444035,-0.678519,-0.351553,-0.494298
X,Right,legacy_asl_X_6,0.000000,0.000000,0.325303,-0.277213,0.487268,-0.658556,0.205219,-0.918557,-0.111896,-0.969594,0.339760,-1.040005,0.365842,-1.383803,0.319053,-1.607591,0.247615,-1.784165,0.035918,-0.998896,-0.020055,-1.324678,0.057005,-1.074493,0.103636,-0.828157,-0.231007,-0.878141,-0.266185,-1.083503,-0.132678,-0.786988,-0.072058,-0.546780,-0.481885,-0.696257,-0.474589,-0.904116,-0.351568,-0.684737,-0.298456,-0.469867
X,Right,legacy_asl_X_7,0.000000,0.000000,0.260857,-0.324376,0.435110,-0.708285,0.255358,-0.971278,-0.044456,-0.989190,0.108154,-1.049528,0.088053,-1.415961,0.083373,-1.552711,0.086556,-1.637751,-0.106371,-0.993991,-0.110192,-1.249211,0.000649,-0.983358,0.056896,-0.761235,-0.293361,-0.888608,-0.279367,-1.112796,-0.136740,-0.849867,-0.078831,-0.624949,-0.492030,-0.740608,-0.444905,-0.983220,-0.303598,-0.812941,-0.243235,-0.618722
X,Right,legacy_asl_X_8,0.000000,0.000000,0.361578,-0.229830,0.638749,-0.577419,0.464167,-0.892821,0.168852,-1.001635,0.378187,-1.003806,0.411455,-1.276070,0.439166,-1.450764,0.465306,-1.599208,0.124994,-0.991993,0.178994,-1.238615,0.244994,-0.925590,0.245806,-0.679440,-0.103533,-0.903443,-0.062783,-1.117469,0.036075,-0.778893,0.041900,-0.515048,-0.348901,-0.756824,-0.261554,-0.990363,-0.140741,-0.752232,-0.121313,-0.511282
X,Right,legacy_asl_X_9,0.000000,0.000000,0.377292,-0.113939,0.712347,-0.436563,0.576671,-0.791160,0.234304,-0.876166,0.446761,-0.990017,0.467481,-1.385987,0.475183,-1.475159,0.450023,-1.435129,0.174383,-0.979870,0.213767,-1.251803,0.259872,-0.899383,0.263271,-0.601937,-0.074822,-0.912833,-0.036330,-1.127505,0.051995,-0.763731,0.063274,-0.484653,-0.342055,-0.811628,-0.243183,-1.017684,-0.140833,-0.762784,-0.120166,-0.545627
