label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Y,Right,legacy_asl_Y_0,0.000000,0.000000,0.404085,-0.381093,0.761513,-0.656555,0.943251,-1.037602,0.991780,-1.308311,0.282829,-1.034505,0.199115,-1.316255,0.210237,-1.031124,0.244890,-0.821445,-0.012600,-0.996567,-0.079939,-1.297202,-0.009741,-0.923931,0.053465,-0.747747,-0.265581,-0.896370,-0.336085,-1.156553,-0.258669,-0.852438,-0.184803,-0.652920,-0.485300,-0.754797,-0.648691,-1.071677,-0.734092,-1.245980,-0.832886,-1.460352
Y,Right,legacy_asl_Y_1,0.000000,0.000000,0.360351,-0.297618,0.630226,-0.697436,0.719586,-1.054445,0.772051,-1.351876,0.033914,-1.059844,-0.030683,-1.262772,0.037974,-1.024065,0.114425,-0.762525,-0.229640,-0.973040,-0.296090,-1.175936,-0.189464,-0.870415,-0.103245,-0.607438,-0.461616,-0.842957,-0.547840,-1.038988,-0.425278,-0.773918,-0.310736,-0.541966,-0.664650,-0.682352,-0.879032,-0.963162,-1.000636,-1.130328,-1.099415,-1.289865
Y,Right,legacy_asl_Y_2,0.000000,0.000000,0.310748,-0.425304,0.605101,-0.800941,0.681049,-1.200880,0.676791,-1.488073,0.131025,-1.086908,-0.050269,-1.320752,0.002053,-1.026772,0.098171,-0.826625,-0.146385,-0.986517,-0.293847,-1.248202,-0.174433,-0.883783,-0.063887,-0.722505,-0.374349,-0.844976,-0.518850,-1.069423,-0.405263,-0.782727,-0.272003,-0.605507,-0.563141,-0.677488,-0.792078,-0.939724,-0.948510,-1.053571,-1.089310,-1.197173
Y,Right,legacy_asl_Y_3,0.000000,0.000000,0.387775,-0.286245,0.691591,-0.654228,0.786524,-1.042267,0.780893,-1.345628,0.195673,-1.034950,0.095768,-1.253393,0.101730,-0.939900,0.144043,-0.715156,-0.073924,-0.997167,-0.167236,-1.216759,-0.095848,-0.828823,-0.013443,-0.621908,-0.303467,-0.921400,-0.415744,-1.148284,-0.324566,-0.807155,-0.228578,-0.577847,-0.516963,-0.812641,-0.668526,-1.127124,-0.776975,-1.305368,-0.872184,-1.488846
Y,Right,legacy_asl_Y_4,0.000000,0.000000,0.300174,-0.449426,0.544609,-0.839769,0.619126,-1.262841,0.650661,-1.535938,-0.004810,-1.097802,-0.228828,-1.320946,-0.089926,-1.027872,0.029352,-0.853216,-0.294666,-0.954015,-0.474296,-1.184693,-0.246211,-0.833822,-0.115704,-0.711004,-0.511774,-0.782245,-0.674147,-0.990411,-0.443928,-0.701800,-0.277490,-0.549786,-0.688323,-0.583139,-0.971832,-0.837471,-1.121933,-0.966523,-1.295508,-1.157447
Y,Right,legacy_asl_Y_5,0.000000,0.000000,0.459697,-0.142666,0.941330,-0.393152,1.213818,-0.737846,1.308177,-1.025774,0.595553,-0.937192,0.469275,-1.286843,0.416254,-0.977624,0.437059,-0.681513,0.286501,-0.957136,0.194746,-1.303340,0.160382,-0.906525,0.204476,-0.633660,0.004724,-0.913354,-0.097508,-1.178066,-0.093446,-0.829054,-0.018019,-0.579845,-0.259401,-0.800797,-0.371184,-1.115689,-0.476123,-1.247416,-0.546385,-1.399975
Y,Right,legacy_asl_Y_6,0.000000,0.000000,0.269898,-0.453238,0.487389,-0.856857,0.552548,-1.258702,0.566543,-1.528710,-0.082024,-1.074075,-0.239124,-1.290979,-0.094481,-1.003939,0.019964,-0.819090,-0.341654,-0.939782,-0.468909,-1.171849,-0.237500,-0.820602,-0.117631,-0.700969,-0.537180,-0.764410,-0.669577,-0.982115,-0.439067,-0.710206,-0.272732,-0.556063,-0.684824,-0.565435,-0.953080,-0.838004,-1.100314,-0.978938,-1.278140,-1.164937
Y,Right,legacy_asl_Y_7,0.000000,0.000000,0.341979,-0.417011,0.643445,-0.759279,0.765229,-1.158858,0.805834,-1.426362,0.183694,-1.066655,0.005786,-1.322371,0.061780,-1.042809,0.143970,-0.856557,-0.098333,-0.995114,-0.245292,-1.259702,-0.117510,-0.878976,-0.020490,-0.830986,-0.324621,-0.876904,-0.458823,-1.114636,-0.341082,-0.814114,-0.225671,-0.650966,-0.508140,-0.724533,-0.748189,-1.003594,-0.891174,-1.156852,-1.032624,-1.351909
Y,Right,legacy_asl_Y_8,0.000000,0.000000,0.533100,-0.176139,1.026903,-0.493609,1.166220,-0.909032,1.036843,-1.248362,0.519478,-1.009232,0.422515,-1.318635,0.360399,-0.979845,0.341651,-0.647555,0.160899,-0.979773,0.094089,-1.291828,0.095387,-0.891758,0.124001,-0.533324,-0.149707,-0.907239,-0.245359,-1.182411,-0.200440,-0.798717,-0.123965,-0.479099,-0.447418,-0.804269,-0.608889,-1.131383,-0.738089,-1.315264,-0.838898,-1.503283
Y,Right,legacy_asl_Y_9,0.000000,0.000000,0.429733,-0.224439,0.777891,-0.671458,0.873052,-1.090185,0.978608,-1.406511,0.359499,-1.067206,0.109878,-1.236856,0.063661,-0.880059,0.133178,-0.616903,0.038750,-0.996005,-0.152392,-1.173857,-0.135874,-0.762118,-0.043633,-0.495263,-0.228606,-0.902842,-0.426721,-1.031886,-0.361928,-0.656874,-0.233465,-0.402293,-0.466210,-0.800973,-0.646499,-1.125446,-0.820930,-1.286948,-0.959867,-1.445203
