label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
A,Right,1778883434405,0.000000,0.000000,-0.270226,0.057374,-0.581612,0.001184,-0.864516,0.022731,-1.084855,0.093511,-0.665975,-0.716518,-0.917034,-1.134449,-1.071725,-1.392426,-1.189988,-1.625600,-0.495155,-0.868805,-0.684515,-1.230763,-0.649698,-0.968150,-0.579759,-0.691925,-0.287681,-0.960040,-0.443404,-1.399076,-0.433607,-1.259839,-0.377877,-1.048202,-0.058929,-0.994052,-0.127531,-1.338219,-0.158645,-1.379357,-0.163960,-1.337626,0.000000,0.000000,-0.262250,0.057207,-0.577495,-0.013504,-0.846180,-0.054076,-1.061061,-0.030503,-0.665636,-0.701862,-0.897456,-0.987971,-1.016991,-1.200286,-1.112017,-1.360157,-0.492836,-0.870122,-0.621443,-1.272908,-0.564395,-1.299620,-0.496741,-1.190261,-0.305442,-0.956618,-0.403243,-1.308492,-0.371806,-1.354230,-0.322380,-1.251368,-0.110307,-0.964834,-0.170200,-1.255105,-0.181261,-1.336305,-0.178468,-1.297636
A,Right,1778883434926,0.000000,0.000000,-0.253937,-0.017626,-0.560271,-0.112680,-0.826739,-0.100112,-1.035253,-0.034403,-0.622174,-0.795490,-0.834603,-1.222433,-0.956974,-1.492916,-1.057345,-1.748046,-0.407455,-0.913225,-0.520450,-1.033940,-0.445311,-0.621205,-0.376354,-0.401185,-0.170297,-0.920540,-0.243469,-0.954263,-0.210151,-0.541989,-0.174234,-0.357063,0.073379,-0.871380,0.005377,-0.894255,-0.018127,-0.580677,-0.019788,-0.433524,0.000000,0.000000,-0.302991,0.040282,-0.618815,-0.028227,-0.918043,-0.028071,-1.158595,0.010473,-0.744663,-0.703542,-0.937772,-1.043458,-1.057883,-1.298171,-1.142305,-1.512286,-0.542438,-0.840096,-0.603341,-1.111538,-0.461153,-0.737370,-0.450988,-0.576902,-0.328093,-0.898394,-0.347537,-1.096171,-0.255766,-0.728916,-0.272800,-0.607989,-0.106381,-0.905668,-0.127588,-1.078293,-0.092177,-0.796072,-0.097226,-0.662870
A,Right,1778883435844,0.000000,0.000000,-0.240253,0.014882,-0.548494,-0.050037,-0.807022,-0.008390,-0.996478,0.067071,-0.648254,-0.712980,-0.857744,-1.053799,-0.986815,-1.289782,-1.086099,-1.512679,-0.468701,-0.883357,-0.575503,-0.846425,-0.480643,-0.476912,-0.398849,-0.342439,-0.255902,-0.928618,-0.308895,-0.774233,-0.260520,-0.420411,-0.225423,-0.337771,-0.033175,-0.900374,-0.079257,-0.725075,-0.083705,-0.455475,-0.078635,-0.400651,0.000000,0.000000,-0.286148,0.039914,-0.622454,-0.048825,-0.922854,-0.062672,-1.175722,-0.001311,-0.726284,-0.733837,-0.928475,-1.097841,-1.038818,-1.375956,-1.115604,-1.640839,-0.509591,-0.860417,-0.533641,-1.074774,-0.402087,-0.676554,-0.401739,-0.569054,-0.279016,-0.922282,-0.274375,-1.075049,-0.202145,-0.681824,-0.227223,-0.603096,-0.043525,-0.941391,-0.062241,-1.084129,-0.033428,-0.784637,-0.031489,-0.678858
A,Right,1778883436285,0.000000,0.000000,-0.245817,0.007435,-0.557263,-0.066868,-0.812241,-0.011269,-0.997656,0.075847,-0.649701,-0.707354,-0.860583,-1.031295,-0.989173,-1.265663,-1.091189,-1.482151,-0.472568,-0.881294,-0.575163,-0.791497,-0.461196,-0.429800,-0.363730,-0.296519,-0.261609,-0.922107,-0.317735,-0.743466,-0.257614,-0.405003,-0.210991,-0.322755,-0.044338,-0.889056,-0.086013,-0.710465,-0.083063,-0.447544,-0.072059,-0.390371,0.000000,0.000000,-0.293868,0.042417,-0.640720,-0.051585,-0.950162,-0.067764,-1.209491,0.002733,-0.734813,-0.740336,-0.931073,-1.118109,-1.034434,-1.399833,-1.107902,-1.669703,-0.508441,-0.861097,-0.533377,-1.058482,-0.398005,-0.650899,-0.403959,-0.567380,-0.272553,-0.921397,-0.274506,-1.067148,-0.202309,-0.666914,-0.228865,-0.599174,-0.032956,-0.943698,-0.059399,-1.085312,-0.030348,-0.779429,-0.024439,-0.675313
A,Right,1778883437123,0.000000,0.000000,-0.252585,0.020119,-0.564191,-0.043062,-0.821764,-0.013467,-1.004942,0.042558,-0.671202,-0.693111,-0.875990,-1.025309,-1.004683,-1.267097,-1.108126,-1.483570,-0.495402,-0.868664,-0.584375,-0.764688,-0.466499,-0.408243,-0.372963,-0.271231,-0.281828,-0.914131,-0.329588,-0.721349,-0.265950,-0.392806,-0.221937,-0.304743,-0.059395,-0.884711,-0.101282,-0.681845,-0.094713,-0.423535,-0.083998,-0.363502,0.000000,0.000000,-0.293983,0.043869,-0.647315,-0.043763,-0.958710,-0.060101,-1.218657,0.004584,-0.733964,-0.725812,-0.933462,-1.094577,-1.042645,-1.373864,-1.122787,-1.640484,-0.516874,-0.856061,-0.544382,-1.054181,-0.406506,-0.657251,-0.409867,-0.567311,-0.285223,-0.920633,-0.284308,-1.062273,-0.206449,-0.677932,-0.237469,-0.615757,-0.048393,-0.947120,-0.066337,-1.081206,-0.034708,-0.782391,-0.035416,-0.682341
A,Right,1778883438009,0.000000,0.000000,-0.250620,0.013959,-0.560662,-0.070524,-0.823817,-0.029081,-1.010810,0.022562,-0.656090,-0.717641,-0.874558,-1.047422,-1.008646,-1.281334,-1.112168,-1.500756,-0.478987,-0.877822,-0.603257,-0.818534,-0.483080,-0.445862,-0.386920,-0.340442,-0.263576,-0.921629,-0.346224,-0.789830,-0.279941,-0.438975,-0.229493,-0.384900,-0.040463,-0.892054,-0.117222,-0.755479,-0.112273,-0.476612,-0.092547,-0.430201,0.000000,0.000000,-0.286082,0.063234,-0.638297,-0.026310,-0.952727,-0.046972,-1.211722,-0.006154,-0.742947,-0.711062,-0.940223,-1.080685,-1.040372,-1.355562,-1.121427,-1.618112,-0.533524,-0.845785,-0.556945,-1.040374,-0.412190,-0.647838,-0.422377,-0.564549,-0.311163,-0.931887,-0.305354,-1.067207,-0.217944,-0.678451,-0.254762,-0.624129,-0.084151,-0.979272,-0.104866,-1.109356,-0.061614,-0.808570,-0.052467,-0.709665
A,Right,1778883438842,0.000000,0.000000,-0.258094,0.052533,-0.587989,-0.028002,-0.865703,-0.001979,-1.066094,0.048372,-0.717902,-0.715726,-0.934229,-1.077746,-1.074636,-1.297651,-1.192372,-1.529807,-0.536450,-0.843932,-0.668301,-0.999770,-0.549467,-0.634982,-0.487476,-0.555490,-0.321648,-0.917080,-0.429742,-1.104188,-0.360621,-0.728464,-0.320251,-0.650281,-0.090058,-0.941161,-0.182455,-1.162195,-0.170079,-0.864846,-0.141829,-0.747274,0.000000,0.000000,-0.280390,0.049907,-0.610816,-0.055763,-0.911080,-0.077945,-1.156879,-0.037278,-0.730234,-0.692554,-0.903311,-1.049229,-0.992184,-1.326430,-1.069199,-1.568690,-0.536385,-0.843973,-0.565834,-1.086680,-0.398534,-0.737315,-0.418970,-0.620818,-0.335060,-0.951103,-0.337391,-1.126792,-0.227086,-0.802992,-0.269326,-0.724378,-0.132476,-1.021910,-0.165698,-1.253036,-0.111481,-1.052795,-0.112723,-0.957950
A,Right,1778883439424,0.000000,0.000000,-0.257254,0.053597,-0.593331,-0.028103,-0.872975,0.008863,-1.079694,0.063323,-0.724130,-0.712686,-0.947990,-1.077066,-1.087545,-1.303388,-1.205504,-1.541492,-0.543396,-0.839476,-0.669713,-0.992634,-0.565092,-0.638095,-0.518280,-0.557090,-0.325787,-0.911548,-0.424808,-1.092928,-0.362540,-0.721917,-0.336034,-0.645305,-0.092002,-0.935282,-0.183642,-1.147288,-0.169091,-0.848891,-0.143346,-0.737161,0.000000,0.000000,-0.272587,0.068223,-0.603891,-0.028418,-0.904900,-0.061401,-1.159842,-0.016128,-0.734942,-0.689978,-0.916524,-1.056823,-1.006512,-1.336659,-1.094870,-1.592465,-0.540713,-0.841207,-0.545932,-1.067325,-0.377553,-0.690966,-0.423100,-0.600092,-0.341661,-0.956809,-0.323532,-1.121771,-0.212353,-0.770599,-0.276615,-0.710928,-0.141605,-1.035864,-0.161656,-1.271784,-0.103370,-1.046302,-0.102545,-0.940001
A,Right,1778883440246,0.000000,0.000000,-0.241715,0.047503,-0.569696,-0.029616,-0.844528,0.016406,-1.049633,0.093341,-0.702207,-0.717885,-0.923593,-1.105548,-1.057189,-1.340253,-1.183348,-1.590141,-0.518309,-0.855194,-0.585486,-0.930071,-0.468243,-0.576913,-0.448485,-0.536134,-0.294469,-0.923176,-0.347785,-1.047311,-0.281064,-0.680154,-0.284936,-0.634747,-0.060524,-0.944545,-0.118137,-1.121638,-0.095194,-0.811381,-0.084871,-0.702648,0.000000,0.000000,-0.263101,0.059395,-0.588721,-0.031969,-0.873548,-0.066732,-1.121646,-0.026420,-0.721094,-0.709603,-0.895664,-1.078856,-0.972386,-1.365846,-1.054099,-1.627522,-0.524561,-0.851373,-0.492789,-1.073799,-0.324788,-0.698369,-0.386389,-0.605168,-0.325581,-0.965689,-0.279344,-1.134612,-0.172849,-0.789159,-0.254418,-0.723575,-0.127567,-1.051060,-0.130669,-1.276325,-0.069754,-1.072689,-0.081022,-0.981148
A,Right,1778883440738,0.000000,0.000000,-0.245639,0.060543,-0.560920,-0.013461,-0.846147,0.031611,-1.060004,0.105576,-0.707548,-0.714222,-0.928671,-1.097666,-1.061759,-1.337896,-1.178592,-1.593089,-0.524989,-0.851109,-0.594627,-0.923857,-0.474949,-0.570583,-0.457664,-0.550804,-0.298486,-0.920100,-0.349987,-1.033461,-0.286119,-0.664113,-0.294206,-0.628543,-0.063540,-0.936422,-0.118706,-1.101789,-0.102873,-0.791249,-0.098309,-0.688907,0.000000,0.000000,-0.280296,0.078240,-0.612644,-0.022611,-0.906825,-0.061872,-1.163323,-0.016407,-0.740177,-0.700343,-0.923159,-1.087294,-1.002351,-1.376669,-1.081949,-1.644187,-0.537471,-0.843282,-0.519299,-1.078957,-0.342954,-0.694034,-0.397312,-0.605404,-0.334649,-0.964951,-0.304218,-1.141926,-0.187480,-0.784911,-0.258464,-0.723903,-0.133197,-1.049411,-0.144649,-1.298053,-0.084653,-1.068473,-0.087601,-0.952206
