label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
B,Right,1778883482106,0.000000,0.000000,-0.280883,-0.479662,-0.680896,-0.517456,-0.973967,-0.196470,-1.149418,0.159049,-0.829196,-0.878069,-1.381720,-0.935431,-1.683783,-0.937063,-1.927114,-0.925933,-0.831785,-0.555098,-1.442884,-0.514378,-1.753250,-0.414308,-1.987999,-0.341770,-0.799619,-0.187351,-1.357569,0.002643,-1.671945,0.116739,-1.898494,0.194436,-0.739441,0.147102,-1.026844,0.144508,-0.949104,0.105582,-0.828724,0.075659,0.000000,0.000000,-0.212803,-0.158605,-0.378238,-0.487173,-0.356944,-0.777038,-0.202005,-0.938769,-0.368637,-1.004164,-0.463791,-1.464189,-0.503676,-1.732579,-0.505876,-1.970598,-0.172029,-0.985092,-0.194357,-1.164243,-0.194777,-0.810720,-0.185128,-0.666269,0.010766,-0.906103,-0.005551,-1.021129,-0.048009,-0.670689,-0.051327,-0.540906,0.190588,-0.785340,0.144879,-0.890484,0.085937,-0.659544,0.080664,-0.554475
B,Right,1778883482348,0.000000,0.000000,-0.275601,-0.523382,-0.656224,-0.627904,-0.955234,-0.361255,-1.116511,-0.004316,-0.822646,-0.900449,-1.395358,-0.937128,-1.707659,-0.946773,-1.960016,-0.950074,-0.830838,-0.556515,-1.455093,-0.507034,-1.769549,-0.392869,-2.002122,-0.327840,-0.807900,-0.176357,-1.362453,0.005814,-1.688427,0.117701,-1.914312,0.171297,-0.752965,0.176007,-1.055559,0.203043,-0.973185,0.172683,-0.835737,0.127018,0.000000,0.000000,-0.214516,-0.163317,-0.377255,-0.500067,-0.362238,-0.796489,-0.205002,-0.952421,-0.375029,-1.005517,-0.467980,-1.466393,-0.507202,-1.739548,-0.514496,-1.982915,-0.182377,-0.983229,-0.200661,-1.195792,-0.201597,-0.842288,-0.196607,-0.703511,-0.000363,-0.904251,-0.007403,-1.039566,-0.054108,-0.689058,-0.062176,-0.571220,0.177633,-0.780050,0.144279,-0.899681,0.081526,-0.671266,0.077442,-0.571263
B,Right,1778883482880,0.000000,0.000000,-0.278362,-0.513090,-0.662462,-0.570679,-0.951072,-0.276896,-1.109797,0.079243,-0.816575,-0.884945,-1.376955,-0.923996,-1.682961,-0.925307,-1.926953,-0.911444,-0.840552,-0.541731,-1.447978,-0.490024,-1.765966,-0.394897,-2.004587,-0.326205,-0.815167,-0.169577,-1.338997,0.003603,-1.665734,0.113704,-1.895869,0.192311,-0.753765,0.161320,-1.016949,0.164216,-0.965891,0.113284,-0.860351,0.066293,0.000000,0.000000,-0.205284,-0.149953,-0.378650,-0.473562,-0.362084,-0.766988,-0.203059,-0.943828,-0.385372,-0.996568,-0.470204,-1.451033,-0.509856,-1.714854,-0.514777,-1.950564,-0.190415,-0.981704,-0.217380,-1.165806,-0.219059,-0.811924,-0.209109,-0.705540,-0.008158,-0.909117,-0.020705,-1.008263,-0.064104,-0.660161,-0.064279,-0.577186,0.171635,-0.795092,0.132001,-0.871014,0.074512,-0.643135,0.079916,-0.569368
B,Right,1778883484103,0.000000,0.000000,-0.286863,-0.497170,-0.691123,-0.562892,-0.976219,-0.261552,-1.125098,0.104934,-0.827820,-0.875763,-1.387093,-0.930172,-1.696295,-0.933942,-1.945449,-0.913488,-0.839437,-0.543457,-1.448978,-0.495343,-1.770476,-0.369791,-2.012762,-0.268036,-0.817251,-0.176757,-1.360117,-0.011735,-1.693058,0.098823,-1.935594,0.181189,-0.768762,0.154170,-1.049121,0.161117,-0.984922,0.116200,-0.872150,0.077928,0.000000,0.000000,-0.220702,-0.146025,-0.402413,-0.477623,-0.385839,-0.786220,-0.218479,-0.944708,-0.402407,-0.989544,-0.496350,-1.444611,-0.528975,-1.703507,-0.530390,-1.940771,-0.211233,-0.977436,-0.225628,-1.164346,-0.223016,-0.814083,-0.217833,-0.669935,-0.029707,-0.908989,-0.037011,-1.018741,-0.072954,-0.667328,-0.076876,-0.549646,0.147551,-0.797154,0.105204,-0.898933,0.053140,-0.666602,0.053513,-0.566903
B,Right,1778883484923,0.000000,0.000000,-0.270493,-0.521989,-0.641348,-0.602559,-0.929994,-0.333839,-1.091033,-0.003619,-0.822650,-0.857566,-1.354302,-0.871458,-1.661491,-0.879248,-1.900595,-0.865207,-0.848377,-0.529393,-1.426389,-0.484382,-1.749149,-0.393260,-1.971358,-0.299067,-0.821173,-0.166893,-1.320143,-0.000419,-1.632539,0.109393,-1.837836,0.195851,-0.755169,0.168601,-1.022839,0.172099,-1.052664,0.124146,-1.031402,0.071521,0.000000,0.000000,-0.220080,-0.149936,-0.392755,-0.466864,-0.368437,-0.754063,-0.208163,-0.920409,-0.387009,-1.007849,-0.475459,-1.468967,-0.515841,-1.735708,-0.523274,-1.971412,-0.190052,-0.981774,-0.205488,-1.178000,-0.203927,-0.815572,-0.198971,-0.686240,-0.006339,-0.907962,-0.012538,-1.015775,-0.053102,-0.657784,-0.060238,-0.561782,0.173262,-0.792373,0.137863,-0.901835,0.079354,-0.665860,0.077664,-0.573605
B,Right,1778883485512,0.000000,0.000000,-0.271219,-0.510541,-0.628456,-0.695300,-0.919019,-0.596863,-1.107184,-0.425145,-0.839315,-0.845758,-1.364919,-0.872227,-1.661554,-0.882298,-1.899048,-0.886739,-0.830901,-0.556420,-1.408478,-0.483042,-1.726743,-0.371275,-1.955960,-0.272017,-0.791790,-0.212484,-1.310273,-0.033880,-1.629118,0.093702,-1.845472,0.181924,-0.728616,0.129481,-1.071932,0.221412,-1.201036,0.253008,-1.279203,0.262546,0.000000,0.000000,-0.215794,-0.153369,-0.385313,-0.463746,-0.355804,-0.749992,-0.195395,-0.920035,-0.385503,-0.995474,-0.469592,-1.440473,-0.507362,-1.714035,-0.511836,-1.953826,-0.189827,-0.981818,-0.200558,-1.173891,-0.197958,-0.818164,-0.196114,-0.679365,-0.003186,-0.906982,-0.008670,-1.012363,-0.046569,-0.661583,-0.057121,-0.548942,0.180635,-0.790965,0.151452,-0.876638,0.092120,-0.640990,0.080542,-0.547662
B,Right,1778883486371,0.000000,0.000000,-0.329646,-0.534028,-0.736496,-0.641009,-1.036285,-0.412430,-1.221195,-0.105524,-0.889887,-0.815740,-1.468746,-0.904235,-1.784404,-0.943720,-2.039115,-0.951991,-0.897336,-0.441347,-1.526643,-0.375022,-1.846108,-0.276090,-2.085613,-0.190796,-0.856238,-0.045992,-1.425087,0.098083,-1.774376,0.197338,-2.023059,0.285730,-0.787199,0.289591,-1.100166,0.191699,-1.110726,0.069320,-1.074235,-0.013367,0.000000,0.000000,-0.229585,-0.123263,-0.409533,-0.417824,-0.352657,-0.699651,-0.193391,-0.861063,-0.389847,-0.992128,-0.468698,-1.442124,-0.500322,-1.700803,-0.510413,-1.930714,-0.195066,-0.980790,-0.199552,-1.067466,-0.204639,-0.728862,-0.214704,-0.621762,-0.010304,-0.910711,-0.004413,-0.933138,-0.046274,-0.599864,-0.069462,-0.517605,0.168763,-0.799130,0.143589,-0.831911,0.085249,-0.605136,0.072350,-0.528823
B,Right,1778883487112,0.000000,0.000000,-0.307683,-0.534754,-0.690219,-0.655436,-0.978369,-0.483991,-1.167257,-0.241804,-0.876400,-0.790766,-1.433875,-0.856116,-1.751987,-0.887164,-2.003458,-0.889992,-0.899891,-0.436115,-1.498087,-0.372971,-1.820433,-0.288594,-2.048097,-0.210781,-0.872370,-0.056033,-1.400302,0.070898,-1.733962,0.147134,-1.964921,0.218302,-0.805508,0.277391,-1.101530,0.226095,-1.187728,0.165618,-1.229289,0.129895,0.000000,0.000000,-0.210092,-0.140777,-0.392094,-0.432437,-0.328536,-0.696298,-0.171787,-0.849518,-0.373523,-0.987161,-0.436586,-1.397440,-0.468494,-1.647638,-0.480645,-1.872610,-0.179202,-0.983812,-0.185441,-1.055678,-0.194840,-0.715872,-0.207036,-0.635906,-0.000507,-0.914804,0.008431,-0.915315,-0.039145,-0.595869,-0.060551,-0.533374,0.175439,-0.803529,0.147257,-0.802386,0.094601,-0.585333,0.085536,-0.535716
B,Right,1778883487620,0.000000,0.000000,-0.264651,-0.531263,-0.612231,-0.619013,-0.848149,-0.455250,-1.003236,-0.190852,-0.820590,-0.795585,-1.333172,-0.891581,-1.627415,-0.942236,-1.851831,-0.943336,-0.875055,-0.484023,-1.418762,-0.430496,-1.694769,-0.348950,-1.863084,-0.275824,-0.860652,-0.123423,-1.312447,0.017712,-1.620755,0.079454,-1.824825,0.133880,-0.794755,0.199623,-0.897910,0.178416,-0.807100,0.122871,-0.684573,0.077312,0.000000,0.000000,-0.213545,-0.152716,-0.395296,-0.461308,-0.342263,-0.746073,-0.181512,-0.912044,-0.385515,-0.991564,-0.459396,-1.433636,-0.495430,-1.709364,-0.509893,-1.944767,-0.191623,-0.981469,-0.210600,-1.120768,-0.212767,-0.783099,-0.218094,-0.667986,-0.012842,-0.914218,-0.016390,-0.984234,-0.057930,-0.652824,-0.074612,-0.554103,0.163914,-0.804346,0.123346,-0.859192,0.073150,-0.636056,0.067126,-0.557232
B,Right,1778883488367,0.000000,0.000000,-0.289515,-0.520265,-0.652177,-0.578706,-0.884310,-0.368512,-1.028691,-0.071719,-0.836473,-0.761407,-1.342617,-0.846681,-1.633484,-0.878522,-1.856705,-0.875226,-0.892659,-0.450733,-1.440492,-0.380199,-1.711361,-0.279310,-1.875598,-0.192909,-0.885121,-0.092679,-1.359093,0.056993,-1.672258,0.137556,-1.879655,0.210943,-0.833786,0.224317,-0.996423,0.195568,-0.933276,0.135002,-0.834019,0.097419,0.000000,0.000000,-0.203684,-0.151829,-0.367981,-0.450769,-0.312443,-0.729907,-0.162534,-0.889328,-0.367930,-0.992258,-0.431933,-1.412558,-0.465184,-1.673699,-0.476438,-1.902034,-0.176112,-0.984370,-0.182941,-1.081535,-0.188286,-0.760324,-0.196727,-0.665265,-0.001303,-0.911545,0.001937,-0.929836,-0.039076,-0.619859,-0.057884,-0.543128,0.167749,-0.798046,0.133736,-0.821891,0.086148,-0.603978,0.076936,-0.538902
