label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
C,Right,1778883531394,0.000000,0.000000,-0.333315,-0.058054,-0.605450,-0.206525,-0.820315,-0.243770,-1.018117,-0.266522,-0.494543,-0.862463,-0.708156,-1.064397,-0.873765,-1.044138,-1.013733,-0.957446,-0.398911,-0.916990,-0.741973,-0.726826,-0.627904,-0.487012,-0.501935,-0.472037,-0.311728,-0.892494,-0.649573,-0.647334,-0.515903,-0.437938,-0.398048,-0.456926,-0.237408,-0.805235,-0.511188,-0.600841,-0.429954,-0.439325,-0.324502,-0.451372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883531944,0.000000,0.000000,-0.332339,-0.059731,-0.599208,-0.222748,-0.802819,-0.269012,-1.007276,-0.278666,-0.477157,-0.888263,-0.707270,-1.046002,-0.878970,-1.025136,-1.019851,-0.938054,-0.393041,-0.919521,-0.755382,-0.744803,-0.656832,-0.516505,-0.534328,-0.478241,-0.324663,-0.858106,-0.673420,-0.618041,-0.555549,-0.424241,-0.444364,-0.427113,-0.276786,-0.735191,-0.553925,-0.540518,-0.477590,-0.387646,-0.381294,-0.384754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883532503,0.000000,0.000000,-0.349297,-0.059320,-0.627253,-0.225314,-0.831967,-0.264930,-1.037338,-0.264594,-0.502101,-0.886999,-0.739912,-1.037628,-0.911214,-1.018732,-1.054493,-0.939616,-0.409414,-0.912349,-0.778507,-0.752744,-0.682127,-0.519029,-0.560205,-0.474163,-0.334060,-0.839042,-0.693357,-0.609638,-0.582152,-0.412015,-0.473247,-0.411372,-0.280345,-0.702925,-0.572022,-0.527626,-0.504791,-0.374279,-0.411442,-0.367183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883532975,0.000000,0.000000,-0.343613,-0.072676,-0.624264,-0.227898,-0.829470,-0.269186,-1.033636,-0.282830,-0.496482,-0.892296,-0.721527,-1.053938,-0.892807,-1.029537,-1.036081,-0.943195,-0.402557,-0.915395,-0.763598,-0.729561,-0.671019,-0.506794,-0.553190,-0.473692,-0.324616,-0.841288,-0.675562,-0.605087,-0.562888,-0.411230,-0.452137,-0.416318,-0.264600,-0.706062,-0.553329,-0.537977,-0.488837,-0.381684,-0.392791,-0.369770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883533551,0.000000,0.000000,-0.340006,-0.055094,-0.617200,-0.219827,-0.820394,-0.270798,-1.026712,-0.271896,-0.496109,-0.892376,-0.714365,-1.063409,-0.890966,-1.039588,-1.037622,-0.944220,-0.404873,-0.914373,-0.754487,-0.725090,-0.649774,-0.502411,-0.528936,-0.480389,-0.325008,-0.841638,-0.668359,-0.604713,-0.546153,-0.416031,-0.436916,-0.423310,-0.260979,-0.707545,-0.532505,-0.531194,-0.465932,-0.379746,-0.376668,-0.373220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883536067,0.000000,0.000000,-0.340931,-0.025385,-0.603073,-0.157177,-0.803772,-0.166220,-0.982129,-0.086818,-0.523027,-0.875475,-0.737607,-1.112079,-0.871113,-1.278657,-0.983817,-1.426246,-0.425320,-0.905043,-0.817201,-0.685032,-0.726129,-0.445191,-0.602544,-0.440737,-0.341521,-0.821842,-0.703292,-0.553020,-0.593878,-0.371581,-0.478615,-0.408462,-0.275142,-0.672304,-0.546008,-0.445633,-0.474635,-0.302320,-0.379859,-0.313861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883536734,0.000000,0.000000,-0.341063,-0.040399,-0.612605,-0.175649,-0.812930,-0.183029,-0.986531,-0.114450,-0.513582,-0.882177,-0.726178,-1.129641,-0.871921,-1.284162,-0.994490,-1.414990,-0.415259,-0.909703,-0.796407,-0.728756,-0.709704,-0.482008,-0.580432,-0.463631,-0.332954,-0.833434,-0.692204,-0.594907,-0.587066,-0.398228,-0.463476,-0.419031,-0.266856,-0.693343,-0.539436,-0.495846,-0.474894,-0.340715,-0.371225,-0.329753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883537313,0.000000,0.000000,-0.343590,-0.034901,-0.608242,-0.179856,-0.802935,-0.207857,-0.978277,-0.148518,-0.521343,-0.880017,-0.726312,-1.120541,-0.871360,-1.268060,-0.994698,-1.387030,-0.424377,-0.905486,-0.808280,-0.722553,-0.717442,-0.481709,-0.594408,-0.474096,-0.338405,-0.826457,-0.692296,-0.588573,-0.582513,-0.400776,-0.464496,-0.435469,-0.269005,-0.681850,-0.536505,-0.491470,-0.468509,-0.343724,-0.369106,-0.348948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883537915,0.000000,0.000000,-0.341992,-0.038508,-0.609444,-0.173212,-0.809730,-0.190092,-0.985144,-0.132245,-0.511154,-0.880406,-0.718276,-1.123358,-0.861934,-1.270206,-0.986387,-1.388171,-0.417140,-0.908842,-0.798836,-0.719846,-0.710274,-0.479586,-0.585549,-0.466752,-0.336791,-0.828660,-0.687271,-0.591184,-0.578873,-0.406489,-0.459619,-0.440613,-0.271077,-0.684834,-0.530283,-0.495454,-0.461670,-0.353080,-0.361637,-0.357900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,Right,1778883538525,0.000000,0.000000,-0.335363,-0.041486,-0.598152,-0.182221,-0.791392,-0.204075,-0.971912,-0.159958,-0.499706,-0.896112,-0.706968,-1.132693,-0.858362,-1.269299,-0.986985,-1.373417,-0.409748,-0.912199,-0.802552,-0.729362,-0.723513,-0.483667,-0.605675,-0.462366,-0.333202,-0.829559,-0.696791,-0.597063,-0.589801,-0.402784,-0.472348,-0.426019,-0.270943,-0.687558,-0.541744,-0.503992,-0.477600,-0.345396,-0.379938,-0.335319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
