label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
D,Right,1778883559731,0.000000,0.000000,-0.290613,-0.031423,-0.603025,-0.189295,-0.841687,-0.251756,-1.042724,-0.277875,-0.558067,-0.809590,-0.755378,-1.009426,-0.916231,-1.031232,-1.056533,-0.987929,-0.432448,-0.901659,-0.705468,-0.753614,-0.578461,-0.468641,-0.469456,-0.464333,-0.291535,-0.922201,-0.551838,-0.705053,-0.419104,-0.461377,-0.319944,-0.501641,-0.152469,-0.880586,-0.393217,-0.706467,-0.314662,-0.510876,-0.216928,-0.536862,0.000000,0.000000,-0.230418,-0.124863,-0.422013,-0.416455,-0.413927,-0.703772,-0.252863,-0.867935,-0.434035,-0.968686,-0.527638,-1.382074,-0.552411,-1.641317,-0.551661,-1.868636,-0.236175,-0.971711,-0.233986,-1.231193,-0.218601,-0.871410,-0.220970,-0.647877,-0.043834,-0.902031,-0.034190,-1.088255,-0.064625,-0.719874,-0.080565,-0.515546,0.146044,-0.785322,0.131534,-0.922109,0.079485,-0.678358,0.054459,-0.532155
D,Right,1778883561391,0.000000,0.000000,-0.295676,-0.031434,-0.606135,-0.190692,-0.842031,-0.246310,-1.043764,-0.275997,-0.566897,-0.803832,-0.773048,-0.991270,-0.933964,-1.002842,-1.079698,-0.958862,-0.440565,-0.897721,-0.720886,-0.731338,-0.583534,-0.450569,-0.469605,-0.452548,-0.301785,-0.913406,-0.566105,-0.687031,-0.427989,-0.445487,-0.326788,-0.489696,-0.162607,-0.869282,-0.401628,-0.688036,-0.323869,-0.495120,-0.229476,-0.524795,0.000000,0.000000,-0.224893,-0.142653,-0.407272,-0.430391,-0.386688,-0.702066,-0.235863,-0.852509,-0.428282,-0.973389,-0.517382,-1.387092,-0.545482,-1.647673,-0.547424,-1.876475,-0.230575,-0.973054,-0.230550,-1.223931,-0.212071,-0.863002,-0.218296,-0.669852,-0.040906,-0.906910,-0.032471,-1.085695,-0.057690,-0.718127,-0.075473,-0.538829,0.146853,-0.793902,0.134303,-0.939969,0.083897,-0.695749,0.058671,-0.560093
D,Right,1778883561702,0.000000,0.000000,-0.301855,-0.043728,-0.604870,-0.192774,-0.842079,-0.234562,-1.039614,-0.267022,-0.567782,-0.805257,-0.761874,-0.982598,-0.911502,-0.999093,-1.048786,-0.964580,-0.444625,-0.895717,-0.717879,-0.725243,-0.583093,-0.450127,-0.469471,-0.464897,-0.304078,-0.908424,-0.562889,-0.685552,-0.434451,-0.443946,-0.333633,-0.496719,-0.161158,-0.857947,-0.396705,-0.695978,-0.332349,-0.499732,-0.239216,-0.523247,0.000000,0.000000,-0.235864,-0.132956,-0.427267,-0.423035,-0.414378,-0.704640,-0.255026,-0.866315,-0.442062,-0.963821,-0.535477,-1.383978,-0.560402,-1.648447,-0.559305,-1.881879,-0.244060,-0.969760,-0.239157,-1.226130,-0.220807,-0.865128,-0.228288,-0.651949,-0.052079,-0.907003,-0.043209,-1.098179,-0.064389,-0.729689,-0.081006,-0.534190,0.139827,-0.798076,0.127860,-0.952919,0.081219,-0.708893,0.057551,-0.560944
D,Right,1778883561981,0.000000,0.000000,-0.300862,-0.032122,-0.612375,-0.180605,-0.849698,-0.231442,-1.049978,-0.256299,-0.575117,-0.795730,-0.779331,-0.986832,-0.933710,-1.000790,-1.076927,-0.961314,-0.448511,-0.893778,-0.719550,-0.713202,-0.578051,-0.433545,-0.466381,-0.439065,-0.304916,-0.912609,-0.559499,-0.669507,-0.417764,-0.429166,-0.318382,-0.476144,-0.162159,-0.867744,-0.395957,-0.681394,-0.315943,-0.489772,-0.222620,-0.521790,0.000000,0.000000,-0.232117,-0.125143,-0.427578,-0.420968,-0.406794,-0.704476,-0.253443,-0.862369,-0.436087,-0.968823,-0.529472,-1.397333,-0.552368,-1.658179,-0.546791,-1.885723,-0.237411,-0.971409,-0.241702,-1.215992,-0.221266,-0.846793,-0.221520,-0.641381,-0.044721,-0.906196,-0.040405,-1.085048,-0.064538,-0.704697,-0.078474,-0.517793,0.148644,-0.795465,0.129585,-0.926084,0.079023,-0.670243,0.057401,-0.532076
D,Right,1778883562283,0.000000,0.000000,-0.302956,-0.041418,-0.610585,-0.194683,-0.847578,-0.243836,-1.042958,-0.273422,-0.576934,-0.795278,-0.771912,-0.980453,-0.921677,-0.995129,-1.061340,-0.962974,-0.453956,-0.891024,-0.721714,-0.722201,-0.585412,-0.439859,-0.476563,-0.453012,-0.312982,-0.911061,-0.558419,-0.682911,-0.427200,-0.437763,-0.329444,-0.487308,-0.169872,-0.872132,-0.396336,-0.706300,-0.326497,-0.509081,-0.235021,-0.530911,0.000000,0.000000,-0.228451,-0.134187,-0.416182,-0.420933,-0.404979,-0.701983,-0.257043,-0.866955,-0.432164,-0.973172,-0.521559,-1.389143,-0.545061,-1.651079,-0.540757,-1.878200,-0.235685,-0.971829,-0.233651,-1.226995,-0.220895,-0.869459,-0.228896,-0.667932,-0.045891,-0.904848,-0.036860,-1.096846,-0.064740,-0.730264,-0.082762,-0.544243,0.141899,-0.791569,0.126658,-0.944590,0.074165,-0.703238,0.048347,-0.559143
D,Right,1778883562892,0.000000,0.000000,-0.302736,-0.035346,-0.611288,-0.189250,-0.844375,-0.238466,-1.042103,-0.262274,-0.568967,-0.802179,-0.783630,-0.974872,-0.940535,-0.981939,-1.086106,-0.945744,-0.445782,-0.895142,-0.727094,-0.711554,-0.584144,-0.435918,-0.468726,-0.449686,-0.305124,-0.906287,-0.569097,-0.674521,-0.430343,-0.436377,-0.326405,-0.489523,-0.164857,-0.854248,-0.398837,-0.684155,-0.326900,-0.491892,-0.233057,-0.521893,0.000000,0.000000,-0.226173,-0.132171,-0.412521,-0.424826,-0.391863,-0.700726,-0.239148,-0.864036,-0.424265,-0.968156,-0.510567,-1.386250,-0.531286,-1.647053,-0.527268,-1.875031,-0.228018,-0.973657,-0.220561,-1.215209,-0.199914,-0.862979,-0.203498,-0.652661,-0.037967,-0.907500,-0.027221,-1.074302,-0.051779,-0.708914,-0.069577,-0.518471,0.149938,-0.797410,0.139529,-0.921070,0.091385,-0.675470,0.063462,-0.538022
D,Right,1778883563728,0.000000,0.000000,-0.295798,-0.031949,-0.605501,-0.188036,-0.842291,-0.239685,-1.046100,-0.270150,-0.578072,-0.800362,-0.784056,-0.990387,-0.942181,-1.001296,-1.083667,-0.960412,-0.451424,-0.892310,-0.722684,-0.728114,-0.585553,-0.439076,-0.477712,-0.451124,-0.307755,-0.909531,-0.562130,-0.684740,-0.423742,-0.434861,-0.324603,-0.487422,-0.159945,-0.868767,-0.396142,-0.704296,-0.322951,-0.502235,-0.229749,-0.527516,0.000000,0.000000,-0.225969,-0.131843,-0.418233,-0.423668,-0.403210,-0.715553,-0.244996,-0.878323,-0.422174,-0.975663,-0.512690,-1.396822,-0.536295,-1.659408,-0.532009,-1.887637,-0.227854,-0.973695,-0.230244,-1.229320,-0.214315,-0.862897,-0.217263,-0.665087,-0.041406,-0.904601,-0.033314,-1.081307,-0.061537,-0.711013,-0.076523,-0.532218,0.147825,-0.790944,0.133983,-0.919559,0.078540,-0.674777,0.052903,-0.545212
D,Right,1778883564249,0.000000,0.000000,-0.311850,-0.037348,-0.616632,-0.192755,-0.851259,-0.236741,-1.048329,-0.266390,-0.572366,-0.799989,-0.790376,-0.980507,-0.945777,-0.983956,-1.086146,-0.937200,-0.447145,-0.894461,-0.724741,-0.709600,-0.582737,-0.438817,-0.469805,-0.452245,-0.306297,-0.906426,-0.566871,-0.668938,-0.428409,-0.431981,-0.328984,-0.483234,-0.167852,-0.855182,-0.398287,-0.671649,-0.324576,-0.481649,-0.232931,-0.515134,0.000000,0.000000,-0.234732,-0.124329,-0.430635,-0.411737,-0.407648,-0.699151,-0.253214,-0.862218,-0.443616,-0.970559,-0.530292,-1.396504,-0.550362,-1.656236,-0.546348,-1.885108,-0.241770,-0.970334,-0.246139,-1.224688,-0.227545,-0.863523,-0.232156,-0.648068,-0.047617,-0.901956,-0.043455,-1.088939,-0.067588,-0.715286,-0.083060,-0.516011,0.146272,-0.790595,0.127993,-0.935745,0.079595,-0.684532,0.055366,-0.537024
D,Right,1778883564802,0.000000,0.000000,-0.312495,-0.036195,-0.617108,-0.180590,-0.850055,-0.227272,-1.047965,-0.256187,-0.571175,-0.796748,-0.786633,-0.957549,-0.938133,-0.975281,-1.081111,-0.950229,-0.449319,-0.893371,-0.730252,-0.708427,-0.592983,-0.441070,-0.482051,-0.449184,-0.313643,-0.905244,-0.576781,-0.663484,-0.440761,-0.434287,-0.339768,-0.481090,-0.179713,-0.849104,-0.405566,-0.655235,-0.328445,-0.472661,-0.235692,-0.502626,0.000000,0.000000,-0.227010,-0.122206,-0.409919,-0.399992,-0.397160,-0.674469,-0.244121,-0.844161,-0.428332,-0.972398,-0.513106,-1.404907,-0.535894,-1.668809,-0.530352,-1.895159,-0.228965,-0.973435,-0.217164,-1.204798,-0.202385,-0.837917,-0.212842,-0.642571,-0.036162,-0.907100,-0.022754,-1.065586,-0.050976,-0.693494,-0.072430,-0.515132,0.154041,-0.796022,0.142526,-0.906346,0.090351,-0.659113,0.061693,-0.532100
D,Right,1778883565179,0.000000,0.000000,-0.304717,-0.032826,-0.609126,-0.185490,-0.840638,-0.235424,-1.035462,-0.263634,-0.574142,-0.797357,-0.782375,-0.964679,-0.936874,-0.977744,-1.081372,-0.945268,-0.451177,-0.892434,-0.718924,-0.701109,-0.578870,-0.431585,-0.467113,-0.444542,-0.311672,-0.907291,-0.566691,-0.670570,-0.432211,-0.435204,-0.331005,-0.482461,-0.171319,-0.857537,-0.392957,-0.680145,-0.324663,-0.491968,-0.234032,-0.517460,0.000000,0.000000,-0.230691,-0.126842,-0.421840,-0.415753,-0.406029,-0.705976,-0.240559,-0.862034,-0.419304,-0.971346,-0.507331,-1.392663,-0.527751,-1.654116,-0.521648,-1.883260,-0.221038,-0.975265,-0.223443,-1.214721,-0.207450,-0.847312,-0.208874,-0.646616,-0.030640,-0.910358,-0.027132,-1.079632,-0.054020,-0.705768,-0.066016,-0.521242,0.159887,-0.802436,0.140958,-0.924543,0.090503,-0.675314,0.069936,-0.541003
