label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
E,Right,1778883607062,0.000000,0.000000,-0.332852,-0.472924,-0.718619,-0.524678,-0.966623,-0.351568,-1.108608,-0.101836,-0.953209,-0.556830,-1.448862,-0.651713,-1.720810,-0.716678,-1.938556,-0.749944,-0.977970,-0.208744,-1.509898,-0.160205,-1.819827,-0.100385,-2.052718,-0.039611,-0.922536,0.135230,-1.372859,0.271382,-1.657541,0.364957,-1.863058,0.448496,-0.810157,0.416602,-1.073024,0.384360,-1.082679,0.289800,-1.036618,0.210106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883607288,0.000000,0.000000,-0.296407,-0.452082,-0.670547,-0.502495,-0.921803,-0.375784,-1.068501,-0.196532,-0.956673,-0.509713,-1.428803,-0.585064,-1.695811,-0.642191,-1.915032,-0.673784,-0.983989,-0.178228,-1.497863,-0.106818,-1.801136,-0.040596,-2.033487,0.029540,-0.922231,0.149103,-1.374160,0.303631,-1.654234,0.396872,-1.858505,0.481568,-0.794432,0.416552,-1.057572,0.429687,-1.056435,0.363563,-0.997942,0.304652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883607516,0.000000,0.000000,-0.329814,-0.455492,-0.729102,-0.484685,-0.983872,-0.280106,-1.116680,-0.007463,-0.959465,-0.526654,-1.458088,-0.601452,-1.740727,-0.657529,-1.969250,-0.692287,-0.984007,-0.178128,-1.517756,-0.111478,-1.841425,-0.039792,-2.091603,0.036115,-0.923052,0.166492,-1.393912,0.315657,-1.681224,0.410013,-1.891667,0.496597,-0.808077,0.445311,-1.091610,0.444083,-1.118869,0.382958,-1.093660,0.338268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883607718,0.000000,0.000000,-0.337228,-0.428651,-0.731591,-0.448937,-0.990922,-0.251964,-1.133174,0.016935,-0.966185,-0.497210,-1.461236,-0.554801,-1.735981,-0.607499,-1.957965,-0.640001,-0.988310,-0.152461,-1.529105,-0.059409,-1.848331,0.020528,-2.088515,0.095441,-0.925716,0.190489,-1.400095,0.358396,-1.686110,0.462096,-1.890349,0.549842,-0.804780,0.475995,-1.084160,0.495401,-1.105279,0.438356,-1.073318,0.389034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883608312,0.000000,0.000000,-0.315191,-0.449339,-0.689864,-0.474054,-0.924016,-0.290073,-1.052883,-0.039131,-0.962737,-0.517158,-1.441037,-0.582556,-1.710340,-0.631816,-1.928046,-0.658513,-0.984334,-0.176312,-1.516959,-0.068150,-1.818709,0.010253,-2.047044,0.078871,-0.919822,0.159224,-1.382114,0.319207,-1.664364,0.419091,-1.868507,0.508880,-0.795733,0.431715,-1.060322,0.425083,-1.058233,0.352005,-1.001701,0.294078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883609953,0.000000,0.000000,-0.357910,-0.438311,-0.763624,-0.445258,-1.015283,-0.206211,-1.139685,0.087173,-0.979984,-0.513323,-1.485207,-0.584222,-1.770143,-0.637385,-1.995240,-0.669753,-0.989192,-0.146626,-1.555409,0.025433,-1.865344,0.130482,-2.103587,0.207218,-0.923398,0.206160,-1.429311,0.373620,-1.720788,0.440996,-1.941941,0.498371,-0.802036,0.488792,-1.116340,0.488983,-1.076853,0.414035,-0.978086,0.356325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883610199,0.000000,0.000000,-0.350549,-0.426718,-0.761152,-0.439938,-1.032504,-0.254624,-1.181676,0.001502,-1.004917,-0.471060,-1.517847,-0.562148,-1.807147,-0.617441,-2.037361,-0.646964,-0.993242,-0.116060,-1.566834,0.042977,-1.886923,0.146175,-2.139661,0.230301,-0.912933,0.227068,-1.440677,0.385643,-1.730931,0.464167,-1.952424,0.535534,-0.784522,0.495986,-1.107908,0.509508,-1.075389,0.431109,-0.984912,0.368949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883610459,0.000000,0.000000,-0.358895,-0.428686,-0.773548,-0.442433,-1.035305,-0.229133,-1.173375,0.046207,-0.988429,-0.498521,-1.497886,-0.560847,-1.794563,-0.607310,-2.025453,-0.628071,-0.990716,-0.135949,-1.575331,0.038946,-1.891325,0.153006,-2.126438,0.246744,-0.923310,0.214120,-1.440065,0.377429,-1.738492,0.458730,-1.959226,0.532178,-0.806830,0.500633,-1.112921,0.517437,-1.097085,0.439806,-1.019449,0.382620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883610862,0.000000,0.000000,-0.340286,-0.421080,-0.725903,-0.413910,-0.972108,-0.211786,-1.108005,0.049150,-0.994403,-0.454302,-1.492203,-0.533462,-1.777736,-0.582383,-2.006181,-0.598289,-0.994144,-0.108066,-1.550723,0.054053,-1.865753,0.158219,-2.117083,0.245948,-0.914002,0.230177,-1.416283,0.398840,-1.708854,0.475631,-1.937573,0.548528,-0.777013,0.498915,-1.086843,0.510213,-1.047198,0.427606,-0.947690,0.358931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,Right,1778883611860,0.000000,0.000000,-0.348656,-0.446527,-0.740353,-0.457578,-0.982876,-0.211264,-1.105267,0.088084,-0.954793,-0.546359,-1.475391,-0.532002,-1.758706,-0.554310,-1.986035,-0.570207,-0.977912,-0.209015,-1.549487,-0.106805,-1.866502,-0.046802,-2.118795,-0.005265,-0.930012,0.140352,-1.424109,0.294429,-1.725771,0.378750,-1.961992,0.449420,-0.819434,0.441690,-1.111931,0.433681,-1.046745,0.365237,-0.924845,0.311514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
