label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
F,Right,1778883638499,0.000000,0.000000,-0.357691,-0.360682,-0.775619,-0.416704,-1.079991,-0.171960,-1.247237,0.096178,-0.977290,-0.564464,-1.535692,-0.684839,-1.851544,-0.805267,-2.095174,-0.902746,-0.978526,-0.206125,-1.616430,-0.033958,-1.987442,0.098053,-2.253527,0.224729,-0.934784,0.150103,-1.366489,0.405513,-1.322576,0.482160,-1.205221,0.535862,-0.863235,0.470744,-1.144685,0.623966,-1.075651,0.619369,-0.963456,0.606127,0.000000,0.000000,-0.237711,-0.124737,-0.456132,-0.429517,-0.462956,-0.716781,-0.281604,-0.820984,-0.358480,-0.979935,-0.419621,-1.353360,-0.438572,-1.584099,-0.433425,-1.803032,-0.150383,-0.988628,-0.127186,-1.187063,-0.148968,-0.798715,-0.165506,-0.632621,0.049741,-0.914357,0.084586,-0.987526,0.014195,-0.613611,-0.021909,-0.481598,0.251137,-0.792659,0.254064,-0.833021,0.164702,-0.579855,0.120718,-0.490129
F,Right,1778883639032,0.000000,0.000000,-0.362689,-0.416681,-0.778728,-0.476773,-1.072405,-0.231197,-1.220591,0.052991,-0.987347,-0.582395,-1.547808,-0.674889,-1.860337,-0.782938,-2.102108,-0.873890,-0.984837,-0.173481,-1.605790,0.036433,-1.977492,0.158011,-2.242439,0.263445,-0.930110,0.195981,-1.337048,0.327005,-1.299067,0.332501,-1.181444,0.371311,-0.839999,0.500937,-1.099923,0.457711,-1.018290,0.374071,-0.890851,0.344261,0.000000,0.000000,-0.234432,-0.113224,-0.455800,-0.404159,-0.460744,-0.688832,-0.278918,-0.776935,-0.362079,-0.958768,-0.422722,-1.316467,-0.444130,-1.537088,-0.445158,-1.749219,-0.153285,-0.988182,-0.134112,-1.118378,-0.155071,-0.744337,-0.169927,-0.576596,0.043550,-0.931872,0.071979,-0.915818,0.007044,-0.569892,-0.029198,-0.439918,0.232825,-0.822870,0.228238,-0.784102,0.150033,-0.545842,0.104371,-0.461513
F,Right,1778883640222,0.000000,0.000000,-0.362528,-0.420833,-0.792127,-0.466209,-1.090688,-0.176693,-1.235777,0.144316,-0.983502,-0.581800,-1.541099,-0.694702,-1.852607,-0.799415,-2.095990,-0.881600,-0.984429,-0.175780,-1.600917,0.043859,-1.971558,0.168290,-2.241120,0.283039,-0.927702,0.196703,-1.342941,0.346330,-1.284775,0.324907,-1.147335,0.346152,-0.840344,0.501684,-1.110295,0.472147,-1.031978,0.371623,-0.897219,0.333473,0.000000,0.000000,-0.254251,-0.089106,-0.477827,-0.362780,-0.487239,-0.629274,-0.312298,-0.754678,-0.388795,-0.967579,-0.449181,-1.362019,-0.468579,-1.593377,-0.463769,-1.812828,-0.169747,-0.985488,-0.133556,-1.118940,-0.159452,-0.717600,-0.188541,-0.552017,0.040200,-0.911449,0.085495,-0.887466,0.007509,-0.516310,-0.048058,-0.395907,0.238468,-0.790812,0.244200,-0.752360,0.152839,-0.489397,0.092729,-0.407830
F,Right,1778883641045,0.000000,0.000000,-0.344791,-0.409414,-0.756859,-0.475396,-1.056283,-0.252742,-1.214074,0.033173,-0.979127,-0.579590,-1.537850,-0.673531,-1.854359,-0.768174,-2.106772,-0.849538,-0.979687,-0.200532,-1.604938,0.050325,-1.974634,0.182102,-2.244587,0.282451,-0.926708,0.155698,-1.336473,0.350648,-1.306872,0.431888,-1.202121,0.515371,-0.838585,0.459849,-1.072820,0.497335,-0.992769,0.449713,-0.874863,0.428105,0.000000,0.000000,-0.257245,-0.079448,-0.488563,-0.350719,-0.509961,-0.633883,-0.330221,-0.745406,-0.415539,-0.951210,-0.471494,-1.324205,-0.487044,-1.556924,-0.485018,-1.772703,-0.195247,-0.980754,-0.165693,-1.130536,-0.185297,-0.757791,-0.209185,-0.571648,0.012958,-0.916346,0.044944,-0.915511,-0.019613,-0.565843,-0.064446,-0.424210,0.209998,-0.799070,0.198932,-0.765374,0.121051,-0.521870,0.071393,-0.431859
F,Right,1778883641931,0.000000,0.000000,-0.345937,-0.439441,-0.760676,-0.520587,-1.054186,-0.280308,-1.192559,0.034621,-0.983378,-0.604393,-1.531816,-0.679415,-1.835574,-0.769380,-2.072431,-0.846722,-0.976434,-0.215814,-1.595561,0.053771,-1.952230,0.171347,-2.212764,0.256272,-0.920044,0.139267,-1.310086,0.327711,-1.259306,0.390966,-1.136564,0.464365,-0.832207,0.438720,-1.050938,0.452260,-0.959247,0.399320,-0.831397,0.382236,0.000000,0.000000,-0.245352,-0.088282,-0.468905,-0.339437,-0.503927,-0.601635,-0.336510,-0.756584,-0.405839,-0.956023,-0.468770,-1.350613,-0.489320,-1.589125,-0.491106,-1.808303,-0.183993,-0.982927,-0.154938,-1.130365,-0.170697,-0.745879,-0.195619,-0.558284,0.025820,-0.911939,0.057236,-0.878915,-0.012551,-0.526063,-0.067712,-0.396430,0.220701,-0.790388,0.214894,-0.738545,0.128838,-0.482050,0.069124,-0.398367
F,Right,1778883642458,0.000000,0.000000,-0.346549,-0.431888,-0.755930,-0.504326,-1.055796,-0.266380,-1.216396,0.025263,-0.985324,-0.598873,-1.544846,-0.671819,-1.856151,-0.754802,-2.100511,-0.818746,-0.981495,-0.191489,-1.600478,0.066776,-1.953581,0.186047,-2.212277,0.281929,-0.928984,0.171940,-1.349438,0.305866,-1.332053,0.342131,-1.234988,0.415822,-0.845701,0.467104,-1.094694,0.415447,-1.019214,0.328924,-0.897289,0.300520,0.000000,0.000000,-0.226661,-0.079364,-0.440218,-0.343036,-0.462013,-0.598818,-0.293004,-0.689860,-0.372262,-0.956380,-0.427407,-1.309856,-0.447784,-1.527197,-0.448572,-1.724185,-0.158521,-0.987356,-0.131442,-1.049647,-0.152478,-0.691640,-0.174410,-0.543627,0.042668,-0.912073,0.063709,-0.815765,-0.001660,-0.497091,-0.046930,-0.401252,0.228322,-0.783287,0.214459,-0.683802,0.134858,-0.457358,0.081761,-0.395750
F,Right,1778883643181,0.000000,0.000000,-0.342259,-0.412785,-0.753684,-0.465093,-1.053258,-0.217987,-1.206157,0.075905,-0.987811,-0.569759,-1.528863,-0.640272,-1.835018,-0.719956,-2.076142,-0.790492,-0.981849,-0.189662,-1.585984,0.071914,-1.940187,0.199278,-2.202067,0.297685,-0.921382,0.159333,-1.311701,0.324104,-1.243487,0.349371,-1.109975,0.394532,-0.835269,0.457995,-1.090195,0.481886,-1.017414,0.432128,-0.897193,0.417447,0.000000,0.000000,-0.240393,-0.091197,-0.458090,-0.352834,-0.499919,-0.620398,-0.334303,-0.751366,-0.399607,-0.960317,-0.461255,-1.350341,-0.478628,-1.587985,-0.478674,-1.801670,-0.182130,-0.983274,-0.155920,-1.126445,-0.166558,-0.749294,-0.191384,-0.564173,0.027129,-0.908579,0.052411,-0.885520,-0.004229,-0.544929,-0.051395,-0.412706,0.223904,-0.784872,0.222527,-0.748816,0.145382,-0.510581,0.093238,-0.423490
F,Right,1778883643729,0.000000,0.000000,-0.340915,-0.411847,-0.746802,-0.459910,-1.021888,-0.203357,-1.158639,0.086947,-0.986257,-0.555280,-1.526684,-0.631684,-1.833807,-0.721434,-2.075287,-0.796157,-0.987237,-0.159259,-1.573560,0.089732,-1.912361,0.214756,-2.160704,0.314020,-0.927186,0.199471,-1.251790,0.347108,-1.139608,0.315028,-0.986129,0.314305,-0.834409,0.499075,-1.042585,0.486888,-0.944312,0.405369,-0.814461,0.372029,0.000000,0.000000,-0.239849,-0.080746,-0.459846,-0.346608,-0.499720,-0.611561,-0.331072,-0.722251,-0.400467,-0.950388,-0.462770,-1.326112,-0.480385,-1.554202,-0.484649,-1.761653,-0.181098,-0.983465,-0.157268,-1.112253,-0.166059,-0.741452,-0.187447,-0.543548,0.029035,-0.921726,0.054053,-0.875832,-0.002085,-0.533530,-0.048054,-0.389870,0.225723,-0.808282,0.216476,-0.746334,0.144072,-0.500221,0.093952,-0.402976
F,Right,1778883644356,0.000000,0.000000,-0.335900,-0.445447,-0.743280,-0.503008,-1.032933,-0.266498,-1.181101,0.021061,-0.980595,-0.595971,-1.526870,-0.671743,-1.840306,-0.746419,-2.082802,-0.797327,-0.976964,-0.213406,-1.580714,0.038070,-1.929012,0.169483,-2.184420,0.281176,-0.920653,0.131818,-1.288180,0.302476,-1.238092,0.328057,-1.122332,0.376353,-0.835410,0.419391,-1.066494,0.406676,-0.987341,0.325555,-0.861306,0.282542,0.000000,0.000000,-0.234916,-0.087478,-0.450138,-0.340944,-0.475918,-0.592618,-0.308089,-0.696649,-0.378260,-0.952699,-0.442322,-1.308396,-0.466468,-1.529039,-0.468112,-1.731422,-0.159813,-0.987147,-0.142160,-1.065224,-0.161362,-0.696506,-0.177694,-0.542849,0.045943,-0.914303,0.062193,-0.822217,-0.006700,-0.492646,-0.046852,-0.389992,0.239093,-0.790772,0.222507,-0.699276,0.137048,-0.460080,0.090258,-0.389370
F,Right,1778883644943,0.000000,0.000000,-0.337716,-0.434350,-0.742014,-0.505188,-1.025332,-0.282526,-1.180103,-0.025964,-0.985560,-0.582219,-1.545176,-0.631475,-1.853437,-0.697527,-2.092939,-0.742756,-0.982369,-0.186951,-1.571691,0.077409,-1.912007,0.210051,-2.162245,0.330795,-0.924102,0.171576,-1.242619,0.269207,-1.133562,0.189547,-0.986116,0.166401,-0.835434,0.474150,-1.040177,0.417948,-0.956580,0.326073,-0.843117,0.294978,0.000000,0.000000,-0.230715,-0.093214,-0.448401,-0.342805,-0.487922,-0.594055,-0.323342,-0.703222,-0.398219,-0.948047,-0.458302,-1.305066,-0.476175,-1.528378,-0.468922,-1.733585,-0.177032,-0.984205,-0.154077,-1.062708,-0.170154,-0.668837,-0.189305,-0.527334,0.030285,-0.912583,0.054334,-0.828468,-0.014392,-0.485417,-0.057076,-0.389909,0.226192,-0.789507,0.214273,-0.693037,0.128664,-0.449767,0.078030,-0.383952
