label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
G,Right,1778883678329,0.000000,0.000000,-0.189066,-0.516451,-0.575041,-0.958859,-0.997827,-1.176994,-1.314952,-1.267669,-0.397061,-1.250480,-1.093391,-1.238832,-1.082620,-0.991190,-0.946649,-0.898018,-0.392533,-0.919738,-1.135289,-0.851757,-1.061680,-0.655458,-0.894921,-0.621842,-0.429302,-0.547327,-1.086765,-0.493664,-0.985672,-0.340122,-0.813948,-0.317488,-0.503972,-0.176199,-1.000431,-0.185191,-0.914391,-0.072072,-0.773942,-0.055884,0.000000,0.000000,-0.301521,-0.733707,-0.982118,-1.130173,-1.675974,-1.067433,-2.100284,-0.850948,-0.623149,-1.431326,-1.592681,-1.427685,-1.806418,-1.159225,-1.724659,-0.937446,-0.582959,-0.812502,-1.742166,-0.733488,-1.754148,-0.587376,-1.533622,-0.537742,-0.611987,-0.190542,-1.698867,-0.140147,-1.662679,-0.158383,-1.435608,-0.210753,-0.690075,0.390615,-1.553796,0.310072,-1.532453,0.196458,-1.352995,0.107227
G,Right,1778883678867,0.000000,0.000000,-0.190829,-0.549694,-0.593954,-1.025735,-1.070150,-1.244998,-1.433446,-1.280089,-0.412536,-1.270106,-1.154248,-1.279057,-1.184985,-1.025922,-1.057462,-0.912139,-0.406826,-0.913506,-1.228447,-0.870642,-1.195192,-0.648285,-1.025147,-0.594494,-0.454767,-0.514383,-1.211354,-0.498065,-1.145428,-0.326145,-0.957962,-0.278050,-0.549870,-0.117776,-1.132252,-0.158432,-1.075989,-0.033304,-0.923674,0.007290,0.000000,0.000000,-0.328712,-0.755036,-1.016633,-1.199679,-1.708934,-1.108891,-2.069143,-0.791738,-0.598657,-1.469338,-1.529795,-1.492468,-1.851128,-1.195998,-1.850784,-0.909074,-0.535210,-0.844719,-1.696689,-0.771362,-1.843148,-0.584556,-1.710020,-0.490281,-0.551744,-0.187188,-1.669584,-0.125394,-1.720294,-0.101642,-1.519850,-0.117776,-0.626970,0.436935,-1.563481,0.373905,-1.659188,0.240304,-1.561679,0.125191
G,Right,1778883679730,0.000000,0.000000,-0.159280,-0.530273,-0.543206,-0.977004,-0.983495,-1.171978,-1.300704,-1.247334,-0.390120,-1.244800,-1.065809,-1.262766,-1.107149,-1.000791,-0.995595,-0.879614,-0.397968,-0.917399,-1.139465,-0.889097,-1.128591,-0.650993,-0.984645,-0.590367,-0.450247,-0.546685,-1.111660,-0.524746,-1.064906,-0.351117,-0.909060,-0.306892,-0.538563,-0.176541,-1.039042,-0.202847,-0.992768,-0.075387,-0.869471,-0.035656,0.000000,0.000000,-0.280795,-0.763452,-0.932538,-1.220368,-1.605617,-1.133504,-2.045192,-0.855548,-0.583502,-1.451246,-1.495636,-1.437507,-1.777466,-1.169042,-1.755854,-0.905036,-0.536459,-0.843927,-1.683756,-0.778485,-1.739949,-0.623210,-1.527266,-0.527427,-0.564068,-0.210497,-1.630268,-0.198998,-1.581134,-0.187062,-1.315648,-0.195039,-0.632238,0.393369,-1.518143,0.293412,-1.531924,0.164083,-1.366762,0.072688
G,Right,1778883680658,0.000000,0.000000,-0.159388,-0.506297,-0.555249,-0.926758,-0.977857,-1.097146,-1.272879,-1.136162,-0.426949,-1.197881,-1.045278,-1.202298,-1.022875,-0.973168,-0.902976,-0.910867,-0.446804,-0.894632,-1.114889,-0.884684,-1.041274,-0.679504,-0.882098,-0.632971,-0.495289,-0.554210,-1.093078,-0.553082,-0.993090,-0.387822,-0.825470,-0.351126,-0.565145,-0.213855,-1.011387,-0.267322,-0.925310,-0.137177,-0.790794,-0.090174,0.000000,0.000000,-0.277249,-0.677450,-0.913089,-1.044029,-1.556709,-0.921933,-1.949721,-0.627295,-0.673226,-1.318648,-1.545565,-1.230039,-1.553235,-1.014741,-1.348906,-0.891317,-0.642053,-0.766660,-1.622516,-0.633883,-1.467002,-0.517775,-1.166060,-0.517754,-0.658056,-0.210935,-1.572724,-0.150289,-1.395225,-0.107341,-1.122308,-0.117321,-0.701363,0.305108,-1.446743,0.259833,-1.305170,0.250469,-1.066466,0.233516
G,Right,1778883681078,0.000000,0.000000,-0.248963,-0.652994,-0.563927,-1.199510,-0.956192,-1.462850,-1.286585,-1.559803,-0.117316,-1.461689,-0.825184,-1.574751,-1.138323,-1.332344,-1.197595,-1.090898,-0.070932,-0.997481,-0.878450,-1.179843,-1.147644,-0.952391,-1.157494,-0.803517,-0.111841,-0.522848,-0.900679,-0.720605,-1.081838,-0.606614,-1.022521,-0.505856,-0.230203,-0.092959,-0.863533,-0.317471,-0.987614,-0.314065,-0.916994,-0.287139,0.000000,0.000000,-0.481213,-0.887900,-1.294446,-1.292340,-2.104264,-1.017120,-2.663859,-0.569910,-0.752832,-1.674554,-1.933419,-1.277188,-2.422593,-0.932954,-2.618058,-0.647714,-0.555676,-0.831399,-2.072301,-0.341310,-2.328997,-0.258596,-2.234858,-0.278902,-0.497105,-0.000762,-1.913937,0.349547,-2.190210,0.182579,-2.134000,-0.026333,-0.520287,0.728617,-1.675067,0.969503,-2.010036,0.735311,-2.078085,0.473396
G,Right,1778883681565,0.000000,0.000000,-0.305880,-0.847970,-0.638821,-1.427729,-1.062954,-1.701051,-1.419740,-1.842736,0.051932,-1.613905,-0.793275,-1.852412,-1.243104,-1.600534,-1.389901,-1.314139,0.090685,-0.995880,-0.923655,-1.259431,-1.306257,-1.045416,-1.340880,-0.940300,0.014228,-0.380975,-0.979288,-0.641043,-1.229137,-0.589255,-1.166334,-0.542374,-0.141225,0.131080,-0.934138,-0.155360,-1.119002,-0.202007,-1.035427,-0.192200,0.000000,0.000000,-0.691511,-1.530796,-1.686140,-2.041816,-3.035775,-1.626054,-3.872822,-0.932202,0.005014,-2.788537,-2.339324,-2.152906,-3.320544,-1.821152,-3.705392,-1.536779,0.332043,-0.943264,-2.465226,-0.350875,-3.308411,-0.537942,-3.571572,-0.777927,0.300858,0.818347,-2.339920,1.228820,-3.027705,0.705744,-3.235056,0.264234,0.054181,2.301014,-1.865192,2.573048,-2.330849,1.980212,-2.427387,1.413819
G,Right,1778883682412,0.000000,0.000000,-0.177776,-0.491953,-0.576738,-0.824537,-1.020377,-0.872381,-1.317483,-0.840162,-0.628208,-1.087939,-1.221601,-0.960482,-1.157040,-0.790918,-1.017648,-0.764734,-0.644753,-0.764391,-1.296713,-0.663828,-1.189377,-0.516379,-1.015068,-0.499418,-0.661335,-0.423974,-1.266261,-0.350157,-1.142165,-0.248347,-0.963740,-0.258741,-0.677916,-0.083557,-1.144510,-0.090560,-1.040546,-0.017725,-0.881878,-0.008717,0.000000,0.000000,-0.214631,-0.629891,-0.669812,-0.980737,-1.106755,-0.964988,-1.430607,-0.773270,-0.761638,-1.087961,-1.473357,-1.023775,-1.387156,-0.869121,-1.170073,-0.813998,-0.783557,-0.621320,-1.563692,-0.528924,-1.449089,-0.451812,-1.228721,-0.450327,-0.793349,-0.155713,-1.502072,-0.104508,-1.367219,-0.103368,-1.154512,-0.143616,-0.773668,0.265696,-1.356292,0.227431,-1.246490,0.198938,-1.040682,0.175425
G,Right,1778883683251,0.000000,0.000000,-0.143280,-0.511089,-0.429569,-0.765248,-0.716405,-0.782989,-0.905143,-0.651121,-0.651011,-0.962208,-1.175716,-0.838419,-1.080306,-0.684187,-0.934746,-0.682976,-0.699982,-0.714160,-1.224179,-0.596017,-1.116784,-0.452840,-0.957315,-0.464397,-0.724352,-0.432026,-1.208275,-0.329004,-1.088337,-0.218522,-0.937110,-0.262055,-0.714704,-0.131985,-1.123973,-0.115906,-1.013502,-0.044840,-0.849291,-0.061365,0.000000,0.000000,-0.210856,-0.608930,-0.628435,-0.883726,-1.013918,-0.856214,-1.289940,-0.692261,-0.792773,-0.970965,-1.379990,-0.883285,-1.280215,-0.766421,-1.094460,-0.741362,-0.830090,-0.557630,-1.458694,-0.460182,-1.334045,-0.406947,-1.140691,-0.408718,-0.838396,-0.142114,-1.406192,-0.079470,-1.276919,-0.089813,-1.094735,-0.114759,-0.811746,0.228336,-1.266694,0.189589,-1.161468,0.147122,-0.995416,0.128946
G,Right,1778883687016,0.000000,0.000000,-0.192944,-0.492408,-0.560427,-0.766806,-0.949958,-0.799030,-1.203609,-0.710463,-0.670639,-0.965099,-1.194850,-0.804877,-1.114380,-0.647652,-0.976685,-0.640802,-0.709598,-0.704607,-1.270950,-0.568946,-1.164662,-0.422389,-0.997978,-0.426812,-0.736177,-0.419152,-1.251781,-0.299393,-1.135376,-0.194306,-0.974127,-0.234360,-0.753093,-0.124034,-1.174483,-0.101303,-1.073327,-0.027821,-0.921137,-0.041706,0.000000,0.000000,-0.264532,-0.658705,-0.776448,-0.986505,-1.244198,-0.933045,-1.572373,-0.698995,-0.809211,-1.093634,-1.567742,-0.977507,-1.431048,-0.848675,-1.191486,-0.831826,-0.810234,-0.586106,-1.615174,-0.471670,-1.460559,-0.415950,-1.206864,-0.428235,-0.810482,-0.091159,-1.537292,-0.033706,-1.377192,-0.036792,-1.136372,-0.065764,-0.798498,0.349899,-1.390683,0.298067,-1.252883,0.261202,-1.026188,0.245305
G,Right,1778883688897,0.000000,0.000000,-0.205710,-0.513729,-0.614954,-0.811135,-1.031908,-0.827435,-1.295635,-0.708853,-0.723088,-1.019093,-1.304900,-0.875696,-1.198448,-0.720333,-1.032680,-0.710279,-0.752728,-0.658332,-1.334017,-0.560293,-1.207640,-0.453665,-1.033440,-0.458233,-0.775890,-0.289083,-1.304012,-0.224069,-1.156204,-0.155643,-0.980798,-0.172215,-0.779145,0.068082,-1.216059,0.071676,-1.088091,0.107724,-0.932807,0.101732,0.000000,0.000000,-0.364988,-0.666864,-0.964695,-0.947464,-1.514139,-0.844129,-1.902444,-0.639725,-0.928051,-1.112758,-1.714314,-1.207848,-2.225244,-1.130704,-2.624915,-1.022312,-0.839783,-0.542922,-1.784649,-0.407748,-2.382469,-0.262313,-2.822752,-0.105288,-0.734554,0.039303,-1.554871,0.337838,-2.096078,0.554214,-2.514668,0.718717,-0.639779,0.557802,-1.170135,0.903149,-1.489170,1.156440,-1.758646,1.384235
