label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
H,Right,1778884032226,0.000000,0.000000,-0.342147,-0.087321,-0.529479,-0.292894,-0.674322,-0.467927,-0.790405,-0.654958,-0.312350,-0.938182,-0.359271,-1.264034,-0.370578,-1.537607,-0.372559,-1.762540,-0.254901,-0.966967,-0.654878,-0.952176,-0.895242,-0.922063,-1.066956,-0.922819,-0.234210,-0.902805,-0.617076,-0.685511,-0.543276,-0.439894,-0.436277,-0.309656,-0.249620,-0.774944,-0.529818,-0.590946,-0.471010,-0.388074,-0.373872,-0.281303,0.000000,0.000000,-0.219372,-0.186649,-0.355842,-0.541530,-0.336443,-0.818616,-0.177505,-0.969887,-0.291748,-1.033074,-0.323542,-1.473938,-0.327806,-1.749582,-0.309987,-1.995857,-0.103090,-0.994672,-0.107458,-1.282317,-0.144913,-0.927655,-0.159803,-0.722776,0.076656,-0.883155,0.061837,-1.077618,-0.007265,-0.718149,-0.023774,-0.555016,0.254246,-0.729115,0.219032,-0.877293,0.133987,-0.644213,0.106370,-0.526881
H,Right,1778884033021,0.000000,0.000000,-0.344695,-0.102570,-0.524181,-0.310736,-0.666866,-0.479356,-0.781510,-0.631280,-0.297862,-0.951243,-0.355740,-1.273255,-0.367988,-1.546064,-0.368644,-1.772326,-0.235682,-0.971830,-0.655500,-0.946314,-0.911339,-0.903245,-1.089853,-0.887360,-0.207309,-0.900193,-0.602458,-0.659766,-0.527044,-0.388288,-0.418434,-0.235876,-0.217269,-0.766192,-0.520967,-0.572202,-0.460816,-0.351643,-0.358960,-0.230464,0.000000,0.000000,-0.226668,-0.166583,-0.368765,-0.506625,-0.362631,-0.784492,-0.210118,-0.951893,-0.312463,-1.032614,-0.350703,-1.498678,-0.359770,-1.780719,-0.342801,-2.028743,-0.114976,-0.993368,-0.129697,-1.287283,-0.169936,-0.907015,-0.180314,-0.683001,0.071591,-0.880540,0.049319,-1.091085,-0.022725,-0.719703,-0.034902,-0.536867,0.256227,-0.724716,0.214294,-0.871896,0.124901,-0.633462,0.097130,-0.509615
H,Right,1778884033894,0.000000,0.000000,-0.353845,-0.083217,-0.534446,-0.278398,-0.679244,-0.448542,-0.797377,-0.638673,-0.310421,-0.941724,-0.383005,-1.261476,-0.402669,-1.536767,-0.407814,-1.765280,-0.256448,-0.966558,-0.677846,-0.931005,-0.928027,-0.890020,-1.105557,-0.883309,-0.241962,-0.894129,-0.632043,-0.660378,-0.548570,-0.416113,-0.434289,-0.293207,-0.268853,-0.756845,-0.548874,-0.556742,-0.479211,-0.356766,-0.373942,-0.256974,0.000000,0.000000,-0.219492,-0.171582,-0.366946,-0.511048,-0.368591,-0.793364,-0.212928,-0.956257,-0.314059,-1.029140,-0.352945,-1.494127,-0.363174,-1.776628,-0.352251,-2.028526,-0.121579,-0.992582,-0.141471,-1.293451,-0.173877,-0.919751,-0.185164,-0.690595,0.063687,-0.885853,0.035251,-1.091657,-0.031493,-0.718693,-0.049331,-0.529265,0.245699,-0.738853,0.201536,-0.904099,0.114843,-0.662545,0.085048,-0.523871
H,Right,1778884034416,0.000000,0.000000,-0.342306,-0.084726,-0.526024,-0.280621,-0.671832,-0.452488,-0.791125,-0.633228,-0.318332,-0.935289,-0.381236,-1.243008,-0.399845,-1.511011,-0.404723,-1.736009,-0.266058,-0.963957,-0.667789,-0.936297,-0.904172,-0.902875,-1.070137,-0.903469,-0.246428,-0.896524,-0.624733,-0.667609,-0.540145,-0.422840,-0.426704,-0.299690,-0.262967,-0.765919,-0.540215,-0.577179,-0.471025,-0.376976,-0.366848,-0.277321,0.000000,0.000000,-0.227356,-0.162467,-0.380064,-0.505035,-0.383726,-0.785471,-0.222678,-0.940158,-0.323871,-1.032905,-0.365960,-1.498989,-0.382368,-1.786370,-0.371606,-2.040609,-0.124536,-0.992215,-0.153480,-1.284822,-0.186656,-0.899453,-0.189343,-0.676711,0.062011,-0.882644,0.029000,-1.083568,-0.039662,-0.707283,-0.051869,-0.524802,0.244131,-0.733327,0.195183,-0.885846,0.111194,-0.641134,0.086298,-0.514096
H,Right,1778884034782,0.000000,0.000000,-0.358036,-0.087683,-0.550186,-0.282423,-0.697395,-0.451708,-0.796920,-0.636879,-0.328617,-0.940952,-0.396400,-1.253930,-0.417133,-1.523326,-0.423904,-1.743158,-0.271148,-0.962538,-0.671906,-0.946490,-0.927418,-0.906459,-1.105691,-0.892321,-0.249376,-0.889508,-0.633369,-0.669225,-0.557333,-0.416335,-0.445744,-0.288365,-0.266400,-0.749886,-0.554108,-0.566632,-0.490046,-0.360503,-0.384510,-0.258279,0.000000,0.000000,-0.220217,-0.172624,-0.365854,-0.497377,-0.363704,-0.757573,-0.215147,-0.917801,-0.314463,-1.030264,-0.358289,-1.494931,-0.371441,-1.771816,-0.360820,-2.017274,-0.114302,-0.993446,-0.137280,-1.275109,-0.164320,-0.896054,-0.169709,-0.681621,0.074259,-0.882914,0.044881,-1.065728,-0.016531,-0.698135,-0.028155,-0.532291,0.257639,-0.725577,0.212396,-0.867922,0.131053,-0.630022,0.106256,-0.515571
H,Right,1778884035165,0.000000,0.000000,-0.348399,-0.103255,-0.525404,-0.301223,-0.668060,-0.472032,-0.776581,-0.640751,-0.311451,-0.944202,-0.385227,-1.242746,-0.399552,-1.509657,-0.403524,-1.729903,-0.258310,-0.966062,-0.670650,-0.931221,-0.917044,-0.891523,-1.090497,-0.873691,-0.239603,-0.891566,-0.619144,-0.654097,-0.533401,-0.400929,-0.419843,-0.260080,-0.259537,-0.750961,-0.541092,-0.554410,-0.473947,-0.353051,-0.368061,-0.243849,0.000000,0.000000,-0.222860,-0.178717,-0.369880,-0.508988,-0.370211,-0.776744,-0.220245,-0.935427,-0.313167,-1.029196,-0.363646,-1.484341,-0.382214,-1.765314,-0.375158,-2.017269,-0.119274,-0.992861,-0.143564,-1.282131,-0.173627,-0.907021,-0.180733,-0.684912,0.064485,-0.884737,0.032160,-1.081642,-0.030773,-0.710992,-0.045155,-0.528422,0.243622,-0.732482,0.196806,-0.880269,0.114390,-0.640211,0.088649,-0.512892
H,Right,1778884036010,0.000000,0.000000,-0.354947,-0.074853,-0.543474,-0.276041,-0.689773,-0.454838,-0.795934,-0.644218,-0.331876,-0.939780,-0.398773,-1.255987,-0.410945,-1.529384,-0.414467,-1.755299,-0.266972,-0.963704,-0.685972,-0.928360,-0.935974,-0.888575,-1.111097,-0.872900,-0.243534,-0.885618,-0.639743,-0.652746,-0.557867,-0.399218,-0.441415,-0.261232,-0.260356,-0.748268,-0.552827,-0.563020,-0.489970,-0.354970,-0.388286,-0.241114,0.000000,0.000000,-0.229931,-0.171625,-0.381905,-0.519004,-0.374260,-0.793279,-0.220973,-0.945629,-0.322395,-1.027634,-0.368445,-1.497968,-0.384894,-1.782370,-0.373847,-2.036780,-0.125879,-0.992046,-0.152568,-1.292636,-0.188155,-0.910930,-0.195624,-0.683879,0.060745,-0.882820,0.028299,-1.089420,-0.039595,-0.709600,-0.052636,-0.523025,0.246072,-0.729657,0.197553,-0.873570,0.111047,-0.628958,0.083657,-0.502967
H,Right,1778884039708,0.000000,0.000000,-0.357999,-0.081967,-0.549587,-0.275934,-0.694623,-0.444331,-0.821704,-0.631678,-0.351817,-0.934241,-0.424766,-1.242246,-0.456555,-1.508629,-0.479590,-1.731309,-0.297044,-0.954864,-0.699480,-0.932167,-0.948430,-0.884517,-1.125110,-0.874960,-0.268060,-0.873832,-0.652215,-0.671113,-0.571739,-0.425238,-0.457170,-0.299504,-0.274206,-0.721055,-0.560337,-0.547470,-0.499068,-0.351327,-0.394058,-0.256196,0.000000,0.000000,-0.243200,-0.139785,-0.411661,-0.452081,-0.429633,-0.721767,-0.274820,-0.885739,-0.363637,-1.023257,-0.420551,-1.522054,-0.443320,-1.817775,-0.437417,-2.075001,-0.162090,-0.986776,-0.193826,-1.252596,-0.222347,-0.878574,-0.227149,-0.649040,0.029599,-0.882722,-0.003435,-1.044124,-0.068355,-0.688172,-0.082340,-0.508084,0.217015,-0.736393,0.174118,-0.864904,0.091451,-0.629925,0.060245,-0.502502
H,Right,1778884041169,0.000000,0.000000,-0.359667,-0.074488,-0.542899,-0.274030,-0.683431,-0.449041,-0.792485,-0.643271,-0.342154,-0.939388,-0.417218,-1.258422,-0.435249,-1.527161,-0.445307,-1.750548,-0.276432,-0.961034,-0.680238,-0.945065,-0.927766,-0.891220,-1.102655,-0.862877,-0.246365,-0.881118,-0.635105,-0.657683,-0.557982,-0.409808,-0.446723,-0.274317,-0.253501,-0.740450,-0.544771,-0.553030,-0.485216,-0.351201,-0.386456,-0.249580,0.000000,0.000000,-0.220571,-0.138857,-0.379117,-0.429644,-0.394431,-0.682952,-0.264455,-0.849455,-0.349897,-1.018140,-0.394780,-1.486217,-0.414788,-1.775234,-0.407206,-2.027305,-0.149762,-0.988722,-0.183831,-1.242369,-0.207679,-0.853919,-0.210997,-0.657984,0.037407,-0.889937,0.007334,-1.019069,-0.049915,-0.652878,-0.065569,-0.499073,0.218800,-0.749530,0.182052,-0.834131,0.103081,-0.590395,0.072649,-0.486085
H,Right,1778884044320,0.000000,0.000000,-0.346857,-0.079659,-0.527857,-0.283012,-0.668137,-0.449828,-0.787013,-0.616546,-0.335935,-0.946427,-0.402035,-1.281816,-0.415729,-1.556845,-0.421242,-1.784562,-0.270508,-0.962718,-0.667722,-0.952135,-0.908691,-0.911661,-1.075707,-0.890434,-0.241978,-0.877644,-0.624670,-0.642775,-0.557449,-0.385949,-0.448840,-0.240472,-0.249277,-0.737049,-0.538532,-0.537889,-0.487512,-0.321709,-0.392347,-0.205804,0.000000,0.000000,-0.224622,-0.122053,-0.380609,-0.409573,-0.406930,-0.650507,-0.271355,-0.818981,-0.349160,-1.026672,-0.406238,-1.495453,-0.436206,-1.783822,-0.431726,-2.033743,-0.148190,-0.988959,-0.184326,-1.220517,-0.218555,-0.840941,-0.216565,-0.649950,0.040029,-0.874378,0.009156,-1.014928,-0.065725,-0.663082,-0.080733,-0.507241,0.219635,-0.713015,0.175637,-0.801768,0.086881,-0.570615,0.060254,-0.461507
H,Right,1778884047795,0.000000,0.000000,-0.360790,-0.076627,-0.549625,-0.274669,-0.694265,-0.446265,-0.812499,-0.625929,-0.350875,-0.950584,-0.428185,-1.268101,-0.456062,-1.528543,-0.475814,-1.743190,-0.286528,-0.958072,-0.684319,-0.944350,-0.933415,-0.898064,-1.112310,-0.877645,-0.254915,-0.861656,-0.644592,-0.650266,-0.570030,-0.413437,-0.459856,-0.291352,-0.258308,-0.704534,-0.553546,-0.540968,-0.499434,-0.353103,-0.399280,-0.264845,0.000000,0.000000,-0.239383,-0.129910,-0.404077,-0.399205,-0.436061,-0.631172,-0.298536,-0.790527,-0.367374,-1.012588,-0.429084,-1.479048,-0.457921,-1.773001,-0.454581,-2.023423,-0.166789,-0.985993,-0.224481,-1.202561,-0.244588,-0.818516,-0.237527,-0.627415,0.019428,-0.884359,-0.027404,-1.002286,-0.088066,-0.644200,-0.102142,-0.487941,0.199212,-0.739120,0.150434,-0.814868,0.066816,-0.581395,0.032364,-0.474676
H,Right,1778884055918,0.000000,0.000000,-0.371114,-0.069355,-0.562869,-0.267486,-0.713843,-0.431884,-0.836521,-0.593589,-0.385475,-0.939778,-0.480934,-1.251643,-0.519745,-1.507410,-0.544801,-1.728615,-0.315860,-0.948806,-0.728689,-0.906426,-0.970224,-0.865341,-1.139456,-0.861030,-0.280011,-0.852926,-0.663387,-0.595195,-0.584379,-0.356069,-0.473617,-0.229238,-0.282125,-0.696293,-0.568996,-0.481298,-0.505563,-0.278171,-0.406036,-0.177106,0.000000,0.000000,-0.223068,-0.167695,-0.367425,-0.480725,-0.376601,-0.728295,-0.224805,-0.856812,-0.282755,-1.057456,-0.308653,-1.531337,-0.311938,-1.814129,-0.287258,-2.058986,-0.083720,-0.996489,-0.118007,-1.218209,-0.164258,-0.838251,-0.170472,-0.652724,0.092889,-0.869993,0.045647,-1.025495,-0.033563,-0.669007,-0.046353,-0.510713,0.262056,-0.704372,0.195314,-0.792278,0.102165,-0.570576,0.076257,-0.472121
H,Right,1778884056477,0.000000,0.000000,-0.377629,-0.053414,-0.570392,-0.247462,-0.727155,-0.414794,-0.852960,-0.589072,-0.389980,-0.922306,-0.497089,-1.226944,-0.537176,-1.474105,-0.564293,-1.688816,-0.328483,-0.944510,-0.740287,-0.896262,-0.982680,-0.847495,-1.154277,-0.838894,-0.302332,-0.854008,-0.678653,-0.585680,-0.586000,-0.351575,-0.469234,-0.245293,-0.312953,-0.704795,-0.586841,-0.475436,-0.513413,-0.282217,-0.409052,-0.201453,0.000000,0.000000,-0.221023,-0.166642,-0.358093,-0.463688,-0.383892,-0.705891,-0.252325,-0.853666,-0.282053,-1.050935,-0.306897,-1.533420,-0.318759,-1.827474,-0.296557,-2.075368,-0.087058,-0.996203,-0.131385,-1.252275,-0.187704,-0.866670,-0.187405,-0.678867,0.087475,-0.873511,0.042261,-1.043490,-0.049384,-0.688559,-0.061901,-0.532376,0.252524,-0.708541,0.190334,-0.801370,0.091999,-0.587143,0.069074,-0.494864
H,Right,1778884057906,0.000000,0.000000,-0.371818,-0.054866,-0.569688,-0.241700,-0.723335,-0.403906,-0.848933,-0.588947,-0.382743,-0.934296,-0.485529,-1.235249,-0.526944,-1.483225,-0.559372,-1.694913,-0.319092,-0.947724,-0.728502,-0.908345,-0.975030,-0.853700,-1.153104,-0.834440,-0.286186,-0.854871,-0.660363,-0.595889,-0.570750,-0.350314,-0.457124,-0.230013,-0.287988,-0.699706,-0.563770,-0.487229,-0.494715,-0.292378,-0.393832,-0.206212,0.000000,0.000000,-0.221684,-0.155715,-0.365144,-0.466679,-0.387517,-0.706889,-0.251890,-0.851861,-0.283360,-1.049786,-0.303635,-1.530960,-0.309438,-1.811670,-0.284988,-2.061419,-0.092273,-0.995734,-0.128083,-1.230933,-0.186335,-0.859821,-0.191127,-0.652882,0.082424,-0.872465,0.041378,-1.026253,-0.055348,-0.682005,-0.079343,-0.515041,0.242809,-0.705998,0.184943,-0.794917,0.083826,-0.582581,0.051012,-0.484832
H,Right,1778884058473,0.000000,0.000000,-0.371651,-0.068001,-0.569788,-0.272884,-0.728292,-0.437139,-0.855705,-0.597672,-0.379071,-0.934932,-0.486058,-1.251582,-0.521336,-1.504656,-0.547979,-1.722391,-0.313112,-0.949716,-0.734562,-0.920771,-0.977420,-0.879159,-1.150322,-0.872108,-0.282679,-0.860146,-0.663458,-0.603098,-0.575231,-0.354028,-0.461623,-0.228812,-0.289066,-0.713733,-0.573297,-0.500225,-0.505079,-0.291196,-0.405173,-0.191871,0.000000,0.000000,-0.233773,-0.147365,-0.377801,-0.463816,-0.386027,-0.718687,-0.243428,-0.865320,-0.304296,-1.047339,-0.333885,-1.522165,-0.338709,-1.804060,-0.319460,-2.052832,-0.110003,-0.993931,-0.137929,-1.229401,-0.176365,-0.874450,-0.182126,-0.652205,0.064317,-0.873832,0.019812,-1.020174,-0.051430,-0.682202,-0.067866,-0.509338,0.222015,-0.714500,0.152948,-0.815437,0.072785,-0.594952,0.047225,-0.480715
H,Right,1778884059036,0.000000,0.000000,-0.375866,-0.059701,-0.564356,-0.252058,-0.713471,-0.419474,-0.842498,-0.593948,-0.374741,-0.938884,-0.473297,-1.242428,-0.506269,-1.493237,-0.530304,-1.714121,-0.307116,-0.951672,-0.716038,-0.912446,-0.957445,-0.862681,-1.130107,-0.857239,-0.274285,-0.859334,-0.653836,-0.600538,-0.571628,-0.350490,-0.460881,-0.225765,-0.282956,-0.704081,-0.561402,-0.495546,-0.497232,-0.294538,-0.398220,-0.200398,0.000000,0.000000,-0.238860,-0.137543,-0.387395,-0.453757,-0.393232,-0.708883,-0.245440,-0.856660,-0.310995,-1.046710,-0.335712,-1.517010,-0.344011,-1.792379,-0.331610,-2.039293,-0.117484,-0.993075,-0.135089,-1.203219,-0.177130,-0.851098,-0.187323,-0.629637,0.058043,-0.869242,0.026103,-1.006443,-0.048818,-0.668430,-0.071131,-0.492090,0.218816,-0.708624,0.161679,-0.807665,0.081116,-0.586900,0.050822,-0.470721
H,Right,1778884059639,0.000000,0.000000,-0.376640,-0.141409,-0.517340,-0.423545,-0.613244,-0.667757,-0.706275,-0.839187,-0.320136,-0.965978,-0.394196,-1.301372,-0.410542,-1.569171,-0.413873,-1.793134,-0.265271,-0.964174,-0.683362,-0.965485,-0.932044,-0.959564,-1.102365,-0.982838,-0.246613,-0.871743,-0.654661,-0.635612,-0.578833,-0.392520,-0.458756,-0.265321,-0.253782,-0.728248,-0.565549,-0.522458,-0.510297,-0.321445,-0.405662,-0.226417,0.000000,0.000000,-0.223525,-0.154413,-0.364830,-0.448546,-0.393200,-0.695933,-0.253446,-0.853395,-0.291502,-1.052738,-0.322299,-1.535403,-0.338002,-1.827827,-0.320956,-2.081156,-0.096732,-0.995310,-0.135938,-1.244254,-0.190606,-0.865002,-0.193678,-0.663400,0.080144,-0.866084,0.037135,-1.036047,-0.052035,-0.680666,-0.066227,-0.509033,0.247355,-0.695043,0.189293,-0.804406,0.091214,-0.586147,0.066022,-0.481866
