label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
M,Right,1778884529190,0.000000,0.000000,0.059312,-0.497378,-0.094648,-0.842875,-0.318868,-0.928553,-0.499596,-0.917502,-0.077379,-1.053317,-0.199717,-1.581534,-0.266904,-1.889703,-0.328514,-2.135829,-0.289843,-0.957074,-0.504942,-1.491284,-0.652702,-1.811549,-0.770007,-2.068199,-0.481165,-0.786511,-0.730595,-1.248912,-0.872070,-1.555819,-0.982098,-1.805564,-0.630809,-0.561612,-0.701362,-0.851693,-0.622014,-0.826614,-0.528735,-0.750912,0.000000,0.000000,-0.231954,-0.150644,-0.419285,-0.402810,-0.592360,-0.601717,-0.753990,-0.714005,-0.242360,-0.931530,-0.337765,-1.267316,-0.377935,-1.469943,-0.397317,-1.645695,-0.060998,-0.998138,-0.076719,-1.407555,-0.074857,-1.641941,-0.061756,-1.825321,0.107933,-0.957384,0.168786,-1.314446,0.205142,-1.519732,0.235179,-1.689144,0.261792,-0.821038,0.369689,-1.065988,0.437685,-1.223854,0.490454,-1.372405
M,Right,1778884529726,0.000000,0.000000,0.044096,-0.498943,-0.112210,-0.849976,-0.346192,-0.937226,-0.531264,-0.925626,-0.079503,-1.063311,-0.199117,-1.598053,-0.248147,-1.910928,-0.286197,-2.148768,-0.279311,-0.960201,-0.518101,-1.509774,-0.669586,-1.836055,-0.786423,-2.090135,-0.465514,-0.785857,-0.734465,-1.246002,-0.885467,-1.560166,-0.999375,-1.811773,-0.619960,-0.549469,-0.705036,-0.853493,-0.626926,-0.839631,-0.531368,-0.772302,0.000000,0.000000,-0.198969,-0.171842,-0.353892,-0.428642,-0.518886,-0.613606,-0.682134,-0.712190,-0.178856,-0.934574,-0.266939,-1.263503,-0.308647,-1.457998,-0.331030,-1.632487,-0.000183,-1.000000,-0.018130,-1.410163,-0.016040,-1.639224,0.003127,-1.820604,0.164674,-0.956314,0.227194,-1.310368,0.265323,-1.515793,0.300013,-1.687111,0.311979,-0.819325,0.413867,-1.068684,0.477276,-1.223028,0.525124,-1.367911
M,Right,1778884530298,0.000000,0.000000,0.031095,-0.489560,-0.121985,-0.847214,-0.316774,-0.928696,-0.469790,-0.886614,-0.101176,-1.049662,-0.218900,-1.552256,-0.272669,-1.848580,-0.313619,-2.083580,-0.284093,-0.958797,-0.509839,-1.484874,-0.650131,-1.793201,-0.760424,-2.042974,-0.460099,-0.788049,-0.712190,-1.234584,-0.849320,-1.520590,-0.956942,-1.768679,-0.603528,-0.545482,-0.696612,-0.833597,-0.631911,-0.767553,-0.546267,-0.665705,0.000000,0.000000,-0.230775,-0.152314,-0.427860,-0.405076,-0.609964,-0.592508,-0.777307,-0.692969,-0.269354,-0.916736,-0.367291,-1.245659,-0.408974,-1.445030,-0.429339,-1.623414,-0.091288,-0.995824,-0.114685,-1.406905,-0.112606,-1.636515,-0.090173,-1.818962,0.076876,-0.958722,0.137507,-1.316035,0.178790,-1.519859,0.217973,-1.690902,0.229701,-0.823656,0.335432,-1.069824,0.400252,-1.224654,0.451875,-1.367519
M,Right,1778884530690,0.000000,0.000000,0.028636,-0.529619,-0.105021,-0.934009,-0.238744,-1.093713,-0.284856,-1.115660,-0.098787,-1.069899,-0.225447,-1.579530,-0.298970,-1.875683,-0.364789,-2.110035,-0.302856,-0.953036,-0.531314,-1.487089,-0.682442,-1.797838,-0.806509,-2.049754,-0.493693,-0.766482,-0.732282,-1.221589,-0.877841,-1.521963,-0.995826,-1.771316,-0.644925,-0.524205,-0.715455,-0.818047,-0.647029,-0.775680,-0.567773,-0.692338,0.000000,0.000000,-0.235582,-0.154017,-0.434219,-0.410082,-0.624313,-0.598679,-0.801198,-0.694946,-0.272269,-0.919843,-0.367471,-1.259896,-0.409884,-1.461985,-0.430777,-1.638735,-0.087676,-0.996149,-0.107539,-1.418845,-0.105576,-1.654535,-0.085497,-1.836315,0.084487,-0.958362,0.144461,-1.321926,0.186127,-1.530415,0.224408,-1.703532,0.239017,-0.824053,0.343850,-1.070786,0.409030,-1.225439,0.459696,-1.371338
M,Right,1778884531519,0.000000,0.000000,0.038294,-0.497435,-0.127441,-0.842607,-0.364229,-0.910993,-0.552882,-0.881339,-0.072630,-1.054299,-0.200882,-1.580459,-0.260718,-1.889441,-0.311602,-2.141437,-0.280613,-0.959821,-0.507705,-1.492626,-0.659937,-1.816361,-0.781815,-2.086597,-0.474823,-0.793058,-0.733063,-1.241420,-0.881444,-1.555313,-0.994806,-1.822319,-0.635028,-0.568341,-0.710884,-0.844852,-0.625188,-0.791846,-0.518555,-0.698568,0.000000,0.000000,-0.226223,-0.164579,-0.416170,-0.416925,-0.594080,-0.599019,-0.757473,-0.700185,-0.246050,-0.924581,-0.337711,-1.253123,-0.380419,-1.448870,-0.405897,-1.621086,-0.068763,-0.997633,-0.081968,-1.412543,-0.084791,-1.646012,-0.073520,-1.832074,0.097762,-0.960355,0.159794,-1.318501,0.199387,-1.528614,0.233271,-1.706298,0.247276,-0.829818,0.354457,-1.074363,0.421276,-1.232670,0.472366,-1.382017
M,Right,1778884532246,0.000000,0.000000,0.046718,-0.501320,-0.101384,-0.855765,-0.290852,-0.943159,-0.424120,-0.927278,-0.077067,-1.054755,-0.191353,-1.583801,-0.249107,-1.898713,-0.295344,-2.144351,-0.274820,-0.961496,-0.503386,-1.519520,-0.653269,-1.853801,-0.771276,-2.115816,-0.463753,-0.787528,-0.718142,-1.251065,-0.865152,-1.564041,-0.972365,-1.810255,-0.618918,-0.558375,-0.713026,-0.812346,-0.652212,-0.785626,-0.571171,-0.713617,0.000000,0.000000,-0.238180,-0.156332,-0.440397,-0.407241,-0.629870,-0.592678,-0.804336,-0.685387,-0.280613,-0.923422,-0.386415,-1.251869,-0.429755,-1.451182,-0.448016,-1.627014,-0.094884,-0.995488,-0.118764,-1.414751,-0.120478,-1.647804,-0.102596,-1.835467,0.077723,-0.954441,0.137399,-1.313011,0.176696,-1.521285,0.213013,-1.699498,0.232138,-0.817385,0.334808,-1.068696,0.399445,-1.228370,0.450719,-1.380391
M,Right,1778884532908,0.000000,0.000000,0.021327,-0.529492,-0.146786,-0.893042,-0.337533,-0.946360,-0.460066,-0.896127,-0.085351,-1.060983,-0.206941,-1.610846,-0.284051,-1.928444,-0.349137,-2.182590,-0.290882,-0.956759,-0.525500,-1.527119,-0.684370,-1.858424,-0.810884,-2.127525,-0.486081,-0.772291,-0.751009,-1.257370,-0.906941,-1.569322,-1.029840,-1.831721,-0.645874,-0.530626,-0.735657,-0.837137,-0.667043,-0.806452,-0.582747,-0.730196,0.000000,0.000000,-0.240590,-0.156243,-0.440494,-0.406994,-0.629076,-0.591439,-0.801358,-0.695363,-0.281813,-0.922493,-0.380713,-1.260091,-0.419437,-1.458967,-0.434578,-1.636179,-0.099582,-0.995029,-0.123513,-1.411720,-0.125516,-1.648817,-0.104823,-1.837093,0.072810,-0.956244,0.140437,-1.314379,0.179144,-1.525279,0.214930,-1.705487,0.227426,-0.826183,0.336517,-1.081221,0.402149,-1.239676,0.451052,-1.389630
M,Right,1778884533589,0.000000,0.000000,0.024365,-0.481922,-0.151758,-0.828495,-0.386843,-0.875026,-0.552518,-0.842410,-0.096391,-1.041907,-0.215583,-1.558449,-0.266263,-1.866884,-0.301959,-2.117073,-0.288222,-0.957564,-0.515403,-1.481929,-0.664915,-1.794832,-0.778059,-2.056767,-0.471790,-0.796037,-0.730319,-1.230394,-0.877447,-1.528360,-0.987382,-1.784669,-0.623978,-0.570967,-0.708524,-0.823947,-0.629670,-0.754891,-0.531708,-0.654949,0.000000,0.000000,-0.224158,-0.167039,-0.408032,-0.418218,-0.586017,-0.605785,-0.752999,-0.709483,-0.229737,-0.931671,-0.335979,-1.259807,-0.382028,-1.459005,-0.405991,-1.636949,-0.048771,-0.998810,-0.068695,-1.417112,-0.070548,-1.655492,-0.055276,-1.849837,0.119251,-0.954803,0.181435,-1.315441,0.221867,-1.528772,0.257208,-1.712866,0.269871,-0.819186,0.370994,-1.069029,0.433498,-1.228510,0.482363,-1.380573
M,Right,1778884534455,0.000000,0.000000,0.041671,-0.497638,-0.115547,-0.859409,-0.335874,-0.935275,-0.506346,-0.892234,-0.077176,-1.055492,-0.199699,-1.610343,-0.251219,-1.931261,-0.286855,-2.179688,-0.281318,-0.959614,-0.516298,-1.527199,-0.670529,-1.858973,-0.786694,-2.118244,-0.471806,-0.788514,-0.729820,-1.268216,-0.875720,-1.587661,-0.988533,-1.848486,-0.625766,-0.552493,-0.693652,-0.844187,-0.610392,-0.778992,-0.518168,-0.666631,0.000000,0.000000,-0.256842,-0.147051,-0.464666,-0.400949,-0.651625,-0.592025,-0.826401,-0.694090,-0.293078,-0.920360,-0.392425,-1.261724,-0.433412,-1.465825,-0.450765,-1.646482,-0.108734,-0.994071,-0.136122,-1.419942,-0.137826,-1.659148,-0.114587,-1.851800,0.065023,-0.955335,0.126176,-1.323513,0.170231,-1.534091,0.213804,-1.714064,0.221257,-0.822419,0.328484,-1.081660,0.395462,-1.240968,0.449699,-1.390367
M,Right,1778884535413,0.000000,0.000000,0.032534,-0.491633,-0.128254,-0.853529,-0.315467,-0.953614,-0.436549,-0.952893,-0.104688,-1.053794,-0.228718,-1.586091,-0.292318,-1.899343,-0.346746,-2.147208,-0.300285,-0.953850,-0.522981,-1.507866,-0.671206,-1.839568,-0.793333,-2.102676,-0.488391,-0.774560,-0.739523,-1.238087,-0.885978,-1.539246,-1.003651,-1.784844,-0.642211,-0.535825,-0.726686,-0.836164,-0.663963,-0.798450,-0.587987,-0.713474,0.000000,0.000000,-0.210668,-0.160291,-0.385843,-0.417195,-0.556134,-0.602445,-0.714004,-0.696717,-0.229393,-0.925424,-0.330186,-1.251745,-0.370294,-1.446746,-0.387255,-1.619265,-0.050885,-0.998705,-0.072841,-1.404555,-0.073550,-1.629089,-0.053899,-1.808296,0.114619,-0.960659,0.176269,-1.312994,0.215188,-1.515558,0.254176,-1.689413,0.261595,-0.827766,0.363015,-1.072781,0.428679,-1.224291,0.482632,-1.367744
M,Right,1778884535978,0.000000,0.000000,0.051588,-0.528673,-0.104840,-0.894270,-0.333237,-0.962552,-0.509099,-0.927233,-0.061773,-1.071400,-0.187404,-1.609303,-0.243317,-1.925723,-0.287883,-2.182754,-0.267941,-0.963435,-0.499616,-1.523284,-0.648232,-1.862461,-0.768387,-2.145859,-0.466131,-0.788957,-0.710787,-1.273341,-0.850457,-1.607227,-0.961473,-1.887433,-0.628983,-0.563973,-0.691745,-0.880656,-0.606092,-0.841996,-0.510448,-0.751839,0.000000,0.000000,-0.237161,-0.152485,-0.436109,-0.407466,-0.623936,-0.587058,-0.793746,-0.682116,-0.276158,-0.920006,-0.376084,-1.255584,-0.416660,-1.458140,-0.434472,-1.636425,-0.092305,-0.995731,-0.117149,-1.418022,-0.119087,-1.652963,-0.098814,-1.839209,0.079665,-0.956886,0.141371,-1.321173,0.182571,-1.531475,0.222788,-1.709699,0.233172,-0.821446,0.334227,-1.076276,0.397404,-1.234252,0.447239,-1.385072
M,Right,1778884538359,0.000000,0.000000,0.079315,-0.464651,-0.036791,-0.834104,-0.262483,-0.947015,-0.465120,-0.912908,-0.095342,-1.058803,-0.296290,-1.478028,-0.422442,-1.702828,-0.539937,-1.868789,-0.298609,-0.954376,-0.522151,-1.435578,-0.643816,-1.711796,-0.747501,-1.938281,-0.478414,-0.787503,-0.629464,-1.214824,-0.684229,-1.504441,-0.725852,-1.723380,-0.624438,-0.582232,-0.646456,-0.820885,-0.579907,-0.848942,-0.510276,-0.828904,0.000000,0.000000,-0.273857,-0.127421,-0.519470,-0.370038,-0.748675,-0.545038,-0.939090,-0.647257,-0.366424,-0.899555,-0.493508,-1.269711,-0.547090,-1.495888,-0.577710,-1.700296,-0.177512,-0.984119,-0.213526,-1.429864,-0.226841,-1.686628,-0.217655,-1.897115,0.005247,-0.956622,0.039459,-1.346742,0.064153,-1.582114,0.089636,-1.779536,0.175194,-0.835849,0.259731,-1.115027,0.312033,-1.295319,0.350835,-1.458532
M,Right,1778884538903,0.000000,0.000000,0.080080,-0.493534,-0.045090,-0.870292,-0.278393,-0.983033,-0.487733,-0.946867,-0.096374,-1.073876,-0.312212,-1.521416,-0.443042,-1.758899,-0.564213,-1.938015,-0.305225,-0.952280,-0.515899,-1.444953,-0.646178,-1.735687,-0.755673,-1.974258,-0.492229,-0.774999,-0.657056,-1.221002,-0.744691,-1.533154,-0.815684,-1.775757,-0.640500,-0.567454,-0.663478,-0.816061,-0.584648,-0.851583,-0.503881,-0.835188,0.000000,0.000000,-0.267542,-0.135572,-0.505539,-0.369482,-0.718247,-0.540503,-0.897278,-0.643228,-0.363292,-0.900331,-0.484371,-1.248528,-0.532890,-1.461865,-0.559862,-1.658602,-0.183900,-0.982945,-0.221345,-1.403215,-0.233257,-1.647577,-0.222982,-1.848917,-0.006286,-0.953508,0.027126,-1.326864,0.053757,-1.555772,0.080230,-1.749386,0.162035,-0.832469,0.244008,-1.102322,0.298173,-1.276052,0.339457,-1.433206
M,Right,1778884539797,0.000000,0.000000,0.064971,-0.502794,-0.069513,-0.884524,-0.291776,-0.967349,-0.493867,-0.920285,-0.098407,-1.070317,-0.315598,-1.523527,-0.444734,-1.761709,-0.569528,-1.941542,-0.304071,-0.952649,-0.525387,-1.456487,-0.659608,-1.741329,-0.775687,-1.977726,-0.496228,-0.789589,-0.650265,-1.259406,-0.738903,-1.577027,-0.817919,-1.826503,-0.652514,-0.596550,-0.647473,-0.852241,-0.554033,-0.842616,-0.468267,-0.789504,0.000000,0.000000,-0.270387,-0.123312,-0.509932,-0.360148,-0.729997,-0.540357,-0.916025,-0.646397,-0.362547,-0.898023,-0.489457,-1.264341,-0.538322,-1.482360,-0.564412,-1.678959,-0.180454,-0.983584,-0.224647,-1.413571,-0.236331,-1.662431,-0.223357,-1.866806,-0.000911,-0.961008,0.031995,-1.339674,0.057466,-1.563650,0.084110,-1.753511,0.168126,-0.845909,0.248199,-1.114088,0.299742,-1.284493,0.338418,-1.437250
