label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
N,Right,1778884567374,0.000000,0.000000,0.033202,-0.481451,-0.102464,-0.810142,-0.297601,-0.906697,-0.463032,-0.875073,-0.152284,-1.025255,-0.326147,-1.478415,-0.436792,-1.745321,-0.526308,-1.936642,-0.362112,-0.932135,-0.647400,-1.369874,-0.820328,-1.638337,-0.947544,-1.818641,-0.542089,-0.748507,-0.692393,-0.803273,-0.615473,-0.717171,-0.527845,-0.612922,-0.685398,-0.514524,-0.709385,-0.511508,-0.634053,-0.441596,-0.559319,-0.369249,0.000000,0.000000,-0.267654,-0.137755,-0.503023,-0.344155,-0.714095,-0.504707,-0.887575,-0.598527,-0.361746,-0.883366,-0.504066,-1.207298,-0.569476,-1.411094,-0.610094,-1.595094,-0.191601,-0.981473,-0.260739,-1.382400,-0.284215,-1.614624,-0.284304,-1.796167,-0.017653,-0.977369,-0.017831,-1.340455,-0.016591,-1.553267,-0.006428,-1.726432,0.156962,-0.887227,0.197114,-1.161520,0.220218,-1.336272,0.241011,-1.486400
N,Right,1778884567584,0.000000,0.000000,0.026800,-0.473375,-0.110027,-0.791043,-0.306562,-0.890278,-0.476081,-0.859936,-0.161720,-1.020883,-0.312234,-1.444230,-0.412409,-1.699073,-0.500799,-1.872536,-0.355785,-0.934568,-0.603793,-1.347740,-0.762408,-1.598252,-0.882038,-1.764339,-0.521706,-0.754168,-0.666416,-0.811817,-0.592274,-0.722430,-0.507708,-0.622642,-0.652579,-0.526756,-0.687013,-0.531720,-0.613172,-0.456606,-0.541937,-0.382645,0.000000,0.000000,-0.274270,-0.128683,-0.510267,-0.334870,-0.709026,-0.499112,-0.881457,-0.598689,-0.365894,-0.894769,-0.493079,-1.220483,-0.554557,-1.419398,-0.597204,-1.597825,-0.191471,-0.981498,-0.242517,-1.383234,-0.263104,-1.612117,-0.268037,-1.789831,-0.016573,-0.972306,-0.009129,-1.330529,-0.003215,-1.537513,0.004951,-1.705045,0.155796,-0.879278,0.203048,-1.152933,0.228145,-1.325180,0.248213,-1.479236
N,Right,1778884568092,0.000000,0.000000,0.036744,-0.497779,-0.116930,-0.826578,-0.349332,-0.900421,-0.539997,-0.857731,-0.148017,-1.037265,-0.330934,-1.500982,-0.445216,-1.763973,-0.539588,-1.959771,-0.362333,-0.932049,-0.640144,-1.369600,-0.817956,-1.637058,-0.946155,-1.825100,-0.539977,-0.739500,-0.674622,-0.802529,-0.591301,-0.703020,-0.494956,-0.592464,-0.679833,-0.505678,-0.695040,-0.497649,-0.613532,-0.419435,-0.536404,-0.346246,0.000000,0.000000,-0.270030,-0.139642,-0.498310,-0.350373,-0.696532,-0.528675,-0.862481,-0.644693,-0.351266,-0.891016,-0.477653,-1.226415,-0.535093,-1.427620,-0.575616,-1.606240,-0.176661,-0.984272,-0.229668,-1.387873,-0.247486,-1.614693,-0.248143,-1.789615,-0.003614,-0.979254,0.006607,-1.339805,0.015801,-1.546370,0.027663,-1.708330,0.164252,-0.887931,0.214185,-1.158187,0.242198,-1.327934,0.264488,-1.474951
N,Right,1778884568809,0.000000,0.000000,0.035872,-0.489487,-0.115154,-0.806328,-0.313313,-0.877147,-0.486839,-0.837979,-0.172650,-1.028281,-0.332873,-1.481118,-0.445127,-1.742760,-0.539810,-1.931908,-0.377069,-0.926185,-0.617198,-1.336161,-0.774370,-1.582196,-0.884399,-1.750601,-0.546113,-0.740683,-0.677097,-0.849129,-0.599577,-0.751590,-0.506453,-0.637589,-0.673274,-0.516096,-0.677918,-0.538495,-0.596475,-0.471526,-0.521541,-0.407779,0.000000,0.000000,-0.265393,-0.154193,-0.486852,-0.357739,-0.677549,-0.542284,-0.833282,-0.665991,-0.334182,-0.902865,-0.456863,-1.233707,-0.514849,-1.434343,-0.551300,-1.616389,-0.162558,-0.986699,-0.216307,-1.391690,-0.233316,-1.620014,-0.236136,-1.798187,0.005309,-0.972530,0.014111,-1.330071,0.023271,-1.541234,0.036591,-1.707291,0.171642,-0.875691,0.218537,-1.147317,0.248391,-1.320099,0.273149,-1.467709
N,Right,1778884569942,0.000000,0.000000,0.026856,-0.528849,-0.152316,-0.887920,-0.394472,-0.954037,-0.585004,-0.888781,-0.222778,-1.074711,-0.444106,-1.557553,-0.577634,-1.813642,-0.690258,-1.997664,-0.432981,-0.901403,-0.739621,-1.366725,-0.933128,-1.643439,-1.091106,-1.838436,-0.593848,-0.680631,-0.734663,-0.957312,-0.615533,-0.901983,-0.518446,-0.794565,-0.694708,-0.463783,-0.718952,-0.672937,-0.625027,-0.644230,-0.557961,-0.568281,0.000000,0.000000,-0.245751,-0.165235,-0.447834,-0.414975,-0.625243,-0.610629,-0.783713,-0.733800,-0.260986,-0.932196,-0.359480,-1.282081,-0.400093,-1.491819,-0.422128,-1.678992,-0.081417,-0.996680,-0.097693,-1.421313,-0.100741,-1.671523,-0.089944,-1.868120,0.084641,-0.959324,0.135175,-1.327815,0.158668,-1.545789,0.179864,-1.724664,0.237118,-0.836107,0.315621,-1.101409,0.363724,-1.273683,0.399532,-1.434630
N,Right,1778884570759,0.000000,0.000000,0.036189,-0.533000,-0.130620,-0.882453,-0.365441,-0.958141,-0.551464,-0.897189,-0.205108,-1.072073,-0.429029,-1.543759,-0.562822,-1.794992,-0.669253,-1.978645,-0.420021,-0.907514,-0.734240,-1.374564,-0.925408,-1.644968,-1.076546,-1.830784,-0.580308,-0.688019,-0.722501,-0.934126,-0.606626,-0.882393,-0.508765,-0.777629,-0.680525,-0.459777,-0.713248,-0.650085,-0.623002,-0.629380,-0.552835,-0.558377,0.000000,0.000000,-0.238578,-0.165491,-0.441066,-0.410408,-0.625624,-0.599928,-0.785058,-0.725524,-0.260785,-0.925588,-0.366529,-1.280412,-0.412584,-1.492832,-0.437918,-1.683123,-0.084956,-0.996385,-0.111826,-1.423013,-0.116137,-1.679971,-0.104900,-1.881602,0.079304,-0.962581,0.120946,-1.340728,0.141503,-1.560275,0.162377,-1.737073,0.232374,-0.842454,0.300693,-1.113305,0.345424,-1.289007,0.381311,-1.444480
N,Right,1778884571477,0.000000,0.000000,0.031324,-0.551638,-0.143327,-0.903430,-0.373754,-0.969381,-0.559376,-0.913594,-0.202332,-1.078820,-0.408774,-1.574868,-0.548211,-1.833613,-0.671266,-2.022822,-0.415467,-0.909608,-0.712831,-1.389187,-0.915402,-1.676254,-1.085521,-1.878257,-0.580855,-0.683805,-0.733298,-0.942072,-0.615173,-0.894347,-0.511778,-0.787478,-0.687661,-0.450832,-0.727573,-0.653598,-0.633261,-0.633115,-0.559630,-0.563055,0.000000,0.000000,-0.237821,-0.177713,-0.430894,-0.417299,-0.617757,-0.610613,-0.775570,-0.745879,-0.223325,-0.933970,-0.334040,-1.292505,-0.384076,-1.510110,-0.414265,-1.702904,-0.042458,-0.999098,-0.071540,-1.444442,-0.078875,-1.704811,-0.072017,-1.908166,0.124890,-0.960960,0.169119,-1.350876,0.187175,-1.586558,0.203198,-1.780107,0.278490,-0.835155,0.350442,-1.117558,0.390551,-1.304795,0.419101,-1.477760
N,Right,1778884572151,0.000000,0.000000,0.037917,-0.530591,-0.151964,-0.887061,-0.419183,-0.961432,-0.621105,-0.926085,-0.198500,-1.069565,-0.419061,-1.549408,-0.552356,-1.797565,-0.668206,-1.979170,-0.410672,-0.911783,-0.719341,-1.385460,-0.918803,-1.657292,-1.087268,-1.844359,-0.572770,-0.696335,-0.729770,-0.950575,-0.604734,-0.897610,-0.502527,-0.792506,-0.676232,-0.470870,-0.707822,-0.663789,-0.611880,-0.642480,-0.541996,-0.570872,0.000000,0.000000,-0.234697,-0.164075,-0.435501,-0.409985,-0.619894,-0.608128,-0.781915,-0.741283,-0.239473,-0.930250,-0.353053,-1.292398,-0.398498,-1.511325,-0.422818,-1.704558,-0.060797,-0.998150,-0.086943,-1.444038,-0.090564,-1.705843,-0.078930,-1.909184,0.106045,-0.963099,0.149250,-1.353304,0.166554,-1.582889,0.183994,-1.771429,0.260848,-0.838081,0.334005,-1.115361,0.376048,-1.295670,0.407952,-1.462652
N,Right,1778884573075,0.000000,0.000000,0.036695,-0.528331,-0.139059,-0.892923,-0.368558,-0.973171,-0.553607,-0.919247,-0.214528,-1.074973,-0.427101,-1.562486,-0.560142,-1.827004,-0.669565,-2.022297,-0.425016,-0.905186,-0.728374,-1.365518,-0.921059,-1.640321,-1.073793,-1.837112,-0.586955,-0.683263,-0.734171,-0.960790,-0.614349,-0.898035,-0.509888,-0.786664,-0.688000,-0.460819,-0.720123,-0.666263,-0.626171,-0.634830,-0.559247,-0.560549,0.000000,0.000000,-0.231646,-0.182175,-0.423118,-0.420052,-0.607029,-0.607586,-0.762511,-0.741094,-0.223854,-0.932649,-0.333380,-1.286135,-0.382528,-1.499887,-0.411112,-1.692904,-0.048075,-0.998844,-0.080621,-1.435855,-0.086332,-1.689815,-0.077117,-1.892107,0.117340,-0.963545,0.152664,-1.347857,0.170972,-1.573306,0.189585,-1.759068,0.273513,-0.839830,0.346944,-1.114300,0.389878,-1.294275,0.423266,-1.459561
N,Right,1778884573627,0.000000,0.000000,0.029645,-0.528394,-0.160133,-0.887077,-0.417938,-0.963227,-0.618712,-0.917276,-0.206598,-1.073718,-0.427936,-1.554525,-0.563017,-1.797964,-0.679895,-1.969721,-0.414772,-0.909926,-0.711108,-1.378671,-0.897791,-1.653855,-1.051594,-1.846902,-0.576274,-0.691174,-0.703511,-0.930073,-0.581067,-0.880137,-0.478402,-0.776751,-0.684406,-0.468975,-0.698928,-0.657647,-0.604820,-0.637125,-0.536272,-0.564999,0.000000,0.000000,-0.243341,-0.171865,-0.440176,-0.415516,-0.624055,-0.608735,-0.785496,-0.736377,-0.238865,-0.929868,-0.350997,-1.285332,-0.397654,-1.501440,-0.422133,-1.694115,-0.057113,-0.998368,-0.085517,-1.442825,-0.091949,-1.705271,-0.082007,-1.911386,0.111246,-0.962346,0.157818,-1.347196,0.176521,-1.578029,0.193878,-1.763292,0.265787,-0.837975,0.343107,-1.117641,0.386991,-1.301863,0.420031,-1.465388
