label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
P,Right,1778884684143,0.000000,0.000000,-0.297116,-0.078486,-0.605354,-0.312791,-0.825777,-0.421304,-1.039310,-0.445535,-0.465440,-0.839480,-0.735946,-0.868821,-0.912389,-0.826591,-1.085934,-0.790972,-0.360657,-0.932699,-0.656758,-0.819201,-0.500177,-0.533714,-0.370881,-0.560983,-0.243142,-0.971008,-0.556494,-0.826385,-0.416213,-0.547277,-0.290499,-0.588189,-0.124742,-0.950820,-0.401838,-0.834351,-0.328043,-0.613649,-0.215715,-0.625341,0.000000,0.000000,-0.248134,-0.128504,-0.450138,-0.424512,-0.454510,-0.725972,-0.315058,-0.911204,-0.497267,-0.916380,-0.598645,-1.333724,-0.632877,-1.597761,-0.649816,-1.825153,-0.304558,-0.952494,-0.306095,-1.234187,-0.248579,-0.882071,-0.237287,-0.650539,-0.112367,-0.920460,-0.095659,-1.123292,-0.084882,-0.766916,-0.093080,-0.567991,0.081442,-0.841942,0.076945,-0.995541,0.056816,-0.755443,0.038673,-0.609424
P,Right,1778884686083,0.000000,0.000000,-0.291805,-0.071828,-0.595524,-0.306697,-0.820729,-0.414232,-1.038687,-0.453749,-0.468652,-0.836135,-0.735041,-0.893762,-0.921248,-0.856590,-1.101148,-0.805584,-0.367414,-0.930057,-0.637212,-0.817939,-0.497469,-0.554116,-0.377046,-0.561105,-0.252699,-0.964692,-0.546026,-0.826248,-0.416640,-0.563992,-0.297344,-0.584799,-0.135320,-0.942835,-0.408817,-0.822133,-0.335281,-0.614080,-0.230524,-0.615286,0.000000,0.000000,-0.254767,-0.102373,-0.472857,-0.385716,-0.515113,-0.701797,-0.351752,-0.903348,-0.522665,-0.910760,-0.637821,-1.336448,-0.671996,-1.602449,-0.684348,-1.835490,-0.313809,-0.949486,-0.340658,-1.234210,-0.285007,-0.859171,-0.264367,-0.652528,-0.112805,-0.918912,-0.112707,-1.124847,-0.112746,-0.752103,-0.113027,-0.567519,0.090646,-0.845959,0.066042,-1.015976,0.031959,-0.769301,0.019066,-0.622699
P,Right,1778884687960,0.000000,0.000000,-0.284578,-0.085033,-0.582871,-0.333581,-0.800910,-0.458372,-1.013116,-0.489792,-0.448207,-0.852926,-0.714030,-0.890881,-0.885997,-0.859366,-1.046188,-0.847750,-0.338656,-0.940910,-0.630336,-0.857620,-0.494522,-0.547682,-0.370977,-0.571097,-0.211263,-0.969148,-0.516987,-0.852386,-0.397685,-0.550307,-0.276398,-0.584283,-0.085034,-0.934038,-0.357712,-0.843791,-0.301720,-0.617188,-0.190404,-0.620403,0.000000,0.000000,-0.264708,-0.092608,-0.501941,-0.379073,-0.544911,-0.712840,-0.400449,-0.940004,-0.546849,-0.884129,-0.686351,-1.330384,-0.739229,-1.607612,-0.764116,-1.852469,-0.348036,-0.937481,-0.395877,-1.249846,-0.322949,-0.880473,-0.291069,-0.659437,-0.147168,-0.928617,-0.171476,-1.147618,-0.140376,-0.762570,-0.124224,-0.567418,0.060929,-0.880149,0.023837,-1.044234,0.006893,-0.781681,0.006125,-0.629788
P,Right,1778884688494,0.000000,0.000000,-0.286176,-0.081356,-0.579545,-0.320630,-0.802861,-0.434899,-1.014489,-0.471026,-0.435198,-0.858905,-0.704007,-0.873294,-0.871666,-0.839341,-1.032026,-0.825082,-0.330484,-0.943811,-0.629174,-0.838695,-0.486661,-0.538042,-0.359263,-0.582585,-0.210396,-0.967162,-0.510404,-0.827614,-0.392072,-0.540983,-0.272519,-0.588600,-0.097402,-0.927686,-0.362432,-0.816240,-0.305932,-0.598820,-0.198240,-0.614808,0.000000,0.000000,-0.259270,-0.100865,-0.485041,-0.370311,-0.532267,-0.698318,-0.400064,-0.924803,-0.547097,-0.884648,-0.677630,-1.316532,-0.723509,-1.598388,-0.743741,-1.840003,-0.349389,-0.936978,-0.384953,-1.247050,-0.308744,-0.887815,-0.284220,-0.662688,-0.149075,-0.919483,-0.157357,-1.142370,-0.132057,-0.777666,-0.127721,-0.575739,0.056461,-0.859322,0.037681,-1.034284,0.017370,-0.789002,0.005903,-0.636616
P,Right,1778884689423,0.000000,0.000000,-0.299493,-0.082450,-0.600993,-0.327328,-0.824584,-0.438019,-1.031793,-0.470399,-0.462489,-0.842619,-0.731213,-0.862634,-0.904010,-0.829753,-1.070057,-0.820054,-0.360059,-0.932930,-0.654247,-0.833969,-0.515283,-0.545767,-0.384117,-0.573012,-0.236599,-0.960988,-0.533979,-0.831794,-0.420606,-0.543585,-0.299481,-0.582184,-0.110675,-0.926270,-0.369052,-0.822910,-0.319795,-0.605492,-0.215019,-0.617020,0.000000,0.000000,-0.263536,-0.093091,-0.490050,-0.370159,-0.525332,-0.697876,-0.392061,-0.915478,-0.539312,-0.883850,-0.670164,-1.326231,-0.714568,-1.604591,-0.738384,-1.845216,-0.341234,-0.939979,-0.382830,-1.248765,-0.305239,-0.898560,-0.273964,-0.667760,-0.142867,-0.929274,-0.159092,-1.143343,-0.129922,-0.776131,-0.119602,-0.568042,0.058268,-0.875048,0.027601,-1.044153,0.013119,-0.795139,0.006456,-0.635037
P,Right,1778884690388,0.000000,0.000000,-0.296220,-0.083692,-0.597960,-0.324646,-0.826709,-0.429152,-1.027916,-0.458332,-0.446397,-0.848469,-0.731010,-0.857238,-0.899262,-0.818776,-1.067661,-0.807165,-0.344716,-0.938707,-0.645970,-0.813768,-0.496448,-0.541767,-0.362824,-0.576606,-0.227007,-0.958460,-0.525354,-0.811102,-0.407699,-0.538435,-0.286040,-0.582984,-0.114078,-0.911515,-0.368858,-0.786686,-0.312152,-0.581742,-0.205290,-0.603830,0.000000,0.000000,-0.249635,-0.106039,-0.460299,-0.374508,-0.498709,-0.670254,-0.385195,-0.888627,-0.536575,-0.902654,-0.661990,-1.360355,-0.702299,-1.646917,-0.716943,-1.893518,-0.337143,-0.941453,-0.354512,-1.236810,-0.285521,-0.875157,-0.270178,-0.645179,-0.134454,-0.917658,-0.136793,-1.126150,-0.113308,-0.754116,-0.115102,-0.552916,0.072013,-0.852504,0.054791,-1.017577,0.034440,-0.766613,0.014818,-0.614649
P,Right,1778884690820,0.000000,0.000000,-0.301426,-0.084950,-0.590349,-0.304003,-0.818428,-0.393848,-1.020239,-0.413144,-0.453559,-0.845712,-0.736119,-0.834518,-0.899482,-0.791093,-1.060356,-0.779234,-0.354776,-0.934951,-0.655485,-0.792470,-0.507474,-0.526191,-0.378092,-0.566801,-0.237272,-0.949832,-0.529094,-0.784932,-0.415139,-0.520315,-0.299543,-0.568569,-0.124850,-0.894712,-0.369329,-0.763177,-0.316300,-0.566572,-0.214559,-0.586949,0.000000,0.000000,-0.248904,-0.112421,-0.469396,-0.398872,-0.515518,-0.710692,-0.378617,-0.924242,-0.518624,-0.915244,-0.636736,-1.377164,-0.671041,-1.664514,-0.678966,-1.914622,-0.318656,-0.947871,-0.342556,-1.239401,-0.275423,-0.855474,-0.267395,-0.644984,-0.119622,-0.927856,-0.123548,-1.134873,-0.099186,-0.744352,-0.105369,-0.558882,0.083139,-0.867784,0.070885,-1.017792,0.050469,-0.753153,0.033920,-0.607751
P,Right,1778884691353,0.000000,0.000000,-0.306642,-0.081852,-0.595440,-0.292822,-0.819436,-0.375921,-1.016979,-0.394386,-0.447729,-0.849734,-0.739677,-0.825885,-0.911548,-0.782503,-1.074670,-0.758277,-0.350835,-0.936437,-0.666545,-0.774323,-0.523938,-0.519249,-0.389341,-0.538597,-0.240678,-0.948875,-0.546564,-0.750676,-0.431740,-0.498956,-0.314406,-0.539061,-0.138424,-0.888971,-0.393307,-0.728116,-0.331821,-0.539835,-0.230076,-0.562799,0.000000,0.000000,-0.246594,-0.128133,-0.459504,-0.407853,-0.500176,-0.714061,-0.353104,-0.928155,-0.498230,-0.925416,-0.609149,-1.406115,-0.635674,-1.706918,-0.637390,-1.970293,-0.294175,-0.955752,-0.308975,-1.240033,-0.255058,-0.857993,-0.250461,-0.632638,-0.090132,-0.929352,-0.093999,-1.128701,-0.081379,-0.747367,-0.088872,-0.551536,0.116020,-0.863037,0.096269,-1.021353,0.069668,-0.764130,0.052574,-0.615820
P,Right,1778884692396,0.000000,0.000000,-0.316116,-0.070259,-0.607822,-0.276785,-0.834169,-0.357355,-1.033037,-0.376166,-0.483378,-0.830419,-0.771631,-0.821683,-0.945967,-0.779667,-1.111780,-0.758989,-0.382862,-0.923805,-0.684669,-0.756134,-0.538450,-0.505436,-0.408196,-0.526503,-0.264158,-0.938115,-0.556545,-0.731516,-0.435836,-0.484607,-0.321377,-0.527847,-0.154611,-0.878861,-0.402398,-0.710332,-0.334184,-0.527039,-0.232059,-0.558390,0.000000,0.000000,-0.250346,-0.109159,-0.464176,-0.387576,-0.447575,-0.691957,-0.297168,-0.878325,-0.501652,-0.933565,-0.599736,-1.399089,-0.617669,-1.690121,-0.612011,-1.948710,-0.292177,-0.956364,-0.304599,-1.218802,-0.264999,-0.848822,-0.268547,-0.654423,-0.087683,-0.921636,-0.088913,-1.110381,-0.088754,-0.728649,-0.099982,-0.558188,0.121654,-0.846703,0.093881,-1.001756,0.058649,-0.746317,0.043638,-0.612760
P,Right,1778884693388,0.000000,0.000000,-0.308135,-0.071575,-0.598166,-0.275862,-0.825496,-0.361389,-1.028522,-0.376519,-0.480987,-0.830470,-0.764556,-0.823318,-0.942746,-0.783557,-1.111890,-0.752801,-0.380647,-0.924720,-0.684515,-0.760760,-0.536565,-0.501143,-0.403714,-0.510134,-0.264431,-0.941575,-0.558021,-0.733284,-0.432330,-0.486676,-0.315697,-0.526313,-0.153620,-0.884693,-0.405983,-0.718471,-0.336533,-0.530299,-0.232456,-0.556788,0.000000,0.000000,-0.247486,-0.097873,-0.455867,-0.364516,-0.437359,-0.671869,-0.298329,-0.871595,-0.513207,-0.926387,-0.605948,-1.382310,-0.627459,-1.670218,-0.625323,-1.922705,-0.302119,-0.953270,-0.309559,-1.206319,-0.261874,-0.841307,-0.261461,-0.657488,-0.099357,-0.920479,-0.093061,-1.087887,-0.089099,-0.710472,-0.102718,-0.552380,0.106260,-0.844987,0.091685,-0.985077,0.058811,-0.729279,0.039540,-0.604582
