label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
Q,Right,1778884734742,0.000000,0.000000,-0.269606,-0.513319,-0.683524,-0.733637,-1.007628,-0.673927,-1.206211,-0.445394,-0.813589,-0.824376,-1.317952,-1.134390,-1.576326,-1.059896,-1.686876,-0.907602,-0.883904,-0.467669,-1.458855,-0.360455,-1.340185,-0.272000,-1.142762,-0.277049,-0.892694,-0.083536,-1.352021,-0.028135,-1.200434,-0.022641,-1.038530,-0.048860,-0.865861,0.258680,-1.199755,0.222857,-1.070557,0.200473,-0.936180,0.191957,0.000000,0.000000,-0.287154,0.031068,-0.548108,-0.030870,-0.756011,-0.065437,-0.868410,-0.179214,-0.590929,-0.678970,-0.794166,-0.678879,-0.889825,-0.534579,-0.921213,-0.377699,-0.526011,-0.850478,-0.679245,-1.293398,-0.813591,-1.527902,-0.925491,-1.729362,-0.418388,-0.902208,-0.466225,-1.370460,-0.557442,-1.651938,-0.646328,-1.888184,-0.300964,-0.849843,-0.285988,-1.213916,-0.301288,-1.462212,-0.326858,-1.678551
Q,Right,1778884735263,0.000000,0.000000,-0.268120,-0.518848,-0.668107,-0.738882,-1.001191,-0.691919,-1.203973,-0.492480,-0.795429,-0.818629,-1.258581,-1.066414,-1.514229,-1.057927,-1.668293,-0.985308,-0.883345,-0.468723,-1.436968,-0.376222,-1.346785,-0.294225,-1.172732,-0.280617,-0.906602,-0.096228,-1.334405,-0.054094,-1.198199,-0.048093,-1.039803,-0.060339,-0.885479,0.239769,-1.167064,0.219487,-1.053309,0.198511,-0.932474,0.193045,0.000000,0.000000,-0.279703,0.038590,-0.545271,-0.024901,-0.753055,-0.054469,-0.867491,-0.145178,-0.581367,-0.682260,-0.790393,-0.674054,-0.884303,-0.531530,-0.919455,-0.382321,-0.528192,-0.849125,-0.682886,-1.284333,-0.820495,-1.513783,-0.929957,-1.708955,-0.424784,-0.894092,-0.473654,-1.362153,-0.569806,-1.644274,-0.661405,-1.884791,-0.310534,-0.840713,-0.300395,-1.205682,-0.318044,-1.450061,-0.349530,-1.666626
Q,Right,1778884736015,0.000000,0.000000,-0.260293,-0.509569,-0.702179,-0.732598,-1.073097,-0.662975,-1.305008,-0.436138,-0.807359,-0.820293,-1.299368,-1.141817,-1.563097,-1.086780,-1.680391,-0.944876,-0.878129,-0.478423,-1.469667,-0.386460,-1.371270,-0.297364,-1.185947,-0.295177,-0.892821,-0.112803,-1.364323,-0.073839,-1.219578,-0.066832,-1.054575,-0.085950,-0.875652,0.218028,-1.217382,0.170069,-1.091249,0.152995,-0.958922,0.152451,0.000000,0.000000,-0.292724,0.038505,-0.567169,-0.034112,-0.783945,-0.065071,-0.902910,-0.151184,-0.601809,-0.665146,-0.807433,-0.663279,-0.905932,-0.542485,-0.941107,-0.400844,-0.544509,-0.838755,-0.705035,-1.274288,-0.846528,-1.502407,-0.962954,-1.696711,-0.440973,-0.895941,-0.501159,-1.360140,-0.603709,-1.638866,-0.699366,-1.873853,-0.325542,-0.855167,-0.316859,-1.215473,-0.340212,-1.461410,-0.375787,-1.676441
Q,Right,1778884737285,0.000000,0.000000,-0.284807,-0.542268,-0.725557,-0.781958,-1.108965,-0.760167,-1.356849,-0.574549,-0.825352,-0.832560,-1.327710,-1.124121,-1.606729,-1.083970,-1.773833,-0.966449,-0.891329,-0.453357,-1.493302,-0.343793,-1.370516,-0.289483,-1.168557,-0.312660,-0.902711,-0.057662,-1.368049,-0.029861,-1.211396,-0.052742,-1.043628,-0.082568,-0.883597,0.293673,-1.214400,0.220239,-1.078011,0.180199,-0.943360,0.173777,0.000000,0.000000,-0.294971,0.047357,-0.577838,-0.021471,-0.804051,-0.055672,-0.935517,-0.145801,-0.611807,-0.657615,-0.816392,-0.643919,-0.921276,-0.509178,-0.961542,-0.356905,-0.554535,-0.832160,-0.725736,-1.264583,-0.874015,-1.500730,-0.992623,-1.704665,-0.451785,-0.889569,-0.508139,-1.359449,-0.606208,-1.641531,-0.696177,-1.877628,-0.333494,-0.848172,-0.328677,-1.209513,-0.358347,-1.458265,-0.398231,-1.676293
Q,Right,1778884737914,0.000000,0.000000,-0.254612,-0.512111,-0.663130,-0.704655,-1.009630,-0.626317,-1.219686,-0.415411,-0.813963,-0.793024,-1.287713,-1.049739,-1.552496,-1.023405,-1.701070,-0.927436,-0.892580,-0.450889,-1.451159,-0.327905,-1.352200,-0.271795,-1.169012,-0.284379,-0.901918,-0.080848,-1.334836,-0.017544,-1.189755,-0.035060,-1.025779,-0.062163,-0.870563,0.253528,-1.180111,0.236834,-1.058355,0.200320,-0.929597,0.186510,0.000000,0.000000,-0.290850,0.045655,-0.561347,-0.021284,-0.767441,-0.045563,-0.890295,-0.092605,-0.611329,-0.663724,-0.808623,-0.638795,-0.908710,-0.496872,-0.945579,-0.351470,-0.553602,-0.832782,-0.720549,-1.258274,-0.870439,-1.493970,-0.989722,-1.701362,-0.446145,-0.891557,-0.516251,-1.359598,-0.622306,-1.636771,-0.720026,-1.876121,-0.323365,-0.853979,-0.322968,-1.222159,-0.358471,-1.473551,-0.404869,-1.696443
Q,Right,1778884738597,0.000000,0.000000,-0.256103,-0.519538,-0.663546,-0.724110,-0.990837,-0.650780,-1.187177,-0.432085,-0.822776,-0.804059,-1.334397,-1.084704,-1.616585,-1.014871,-1.755650,-0.864858,-0.897926,-0.440146,-1.470971,-0.320278,-1.353880,-0.270995,-1.153346,-0.296269,-0.900761,-0.057748,-1.350150,-0.006508,-1.198526,-0.029007,-1.035964,-0.055522,-0.858265,0.290372,-1.181922,0.246696,-1.056340,0.202803,-0.926692,0.191847,0.000000,0.000000,-0.283623,0.046055,-0.544893,-0.011460,-0.755151,-0.039601,-0.887939,-0.139711,-0.602698,-0.662563,-0.801640,-0.644155,-0.898914,-0.511470,-0.934885,-0.368498,-0.546447,-0.837494,-0.712522,-1.264469,-0.861411,-1.495815,-0.981762,-1.690519,-0.437755,-0.896779,-0.507295,-1.364112,-0.616529,-1.640727,-0.719702,-1.873433,-0.310582,-0.854586,-0.309602,-1.212204,-0.349054,-1.460321,-0.399589,-1.677869
Q,Right,1778884739562,0.000000,0.000000,-0.274136,-0.527498,-0.696145,-0.727531,-1.040749,-0.669017,-1.254281,-0.474032,-0.819214,-0.808259,-1.296928,-1.073220,-1.586765,-1.077428,-1.761395,-0.989398,-0.893699,-0.448668,-1.492130,-0.352862,-1.392912,-0.322913,-1.199174,-0.336236,-0.904119,-0.077390,-1.396169,-0.043886,-1.264447,-0.088226,-1.102564,-0.115698,-0.873411,0.251673,-1.219130,0.190842,-1.106460,0.137804,-0.977924,0.128999,0.000000,0.000000,-0.286437,0.037064,-0.563883,-0.042559,-0.777884,-0.085263,-0.887843,-0.181479,-0.604771,-0.664704,-0.796853,-0.653199,-0.896905,-0.511314,-0.941831,-0.366273,-0.544007,-0.839080,-0.703156,-1.278954,-0.838090,-1.517678,-0.942847,-1.729635,-0.433870,-0.892730,-0.481526,-1.364287,-0.559699,-1.651871,-0.634473,-1.900463,-0.308774,-0.841517,-0.278057,-1.201897,-0.274560,-1.446421,-0.285665,-1.663073
Q,Right,1778884740414,0.000000,0.000000,-0.286790,-0.513258,-0.711895,-0.719273,-1.058547,-0.653286,-1.264081,-0.437647,-0.824575,-0.791792,-1.287514,-1.028459,-1.552324,-1.038445,-1.722275,-0.982372,-0.897338,-0.441344,-1.468394,-0.341523,-1.353603,-0.289366,-1.161742,-0.302465,-0.906355,-0.069993,-1.365991,-0.033860,-1.222746,-0.038953,-1.060642,-0.057293,-0.876983,0.269250,-1.214670,0.223131,-1.091346,0.190321,-0.955736,0.183821,0.000000,0.000000,-0.289697,0.030415,-0.566199,-0.033574,-0.784859,-0.068738,-0.899268,-0.187389,-0.602832,-0.671525,-0.795100,-0.673637,-0.893260,-0.525845,-0.935498,-0.364559,-0.538745,-0.842469,-0.696463,-1.289049,-0.834844,-1.532833,-0.945029,-1.742112,-0.427849,-0.886804,-0.468186,-1.367577,-0.553702,-1.661534,-0.639634,-1.908895,-0.303874,-0.817561,-0.268544,-1.180009,-0.269496,-1.433485,-0.285140,-1.658580
Q,Right,1778884741513,0.000000,0.000000,-0.275155,-0.532273,-0.716251,-0.760053,-1.107943,-0.702616,-1.352236,-0.509047,-0.824645,-0.812557,-1.316995,-1.062810,-1.618601,-1.034708,-1.806737,-0.925752,-0.901820,-0.432113,-1.497425,-0.283953,-1.402004,-0.238910,-1.216789,-0.261009,-0.908674,-0.037615,-1.384645,0.034318,-1.248838,0.002411,-1.084111,-0.031966,-0.871873,0.313294,-1.217228,0.284895,-1.103613,0.234000,-0.976804,0.218920,0.000000,0.000000,-0.287383,0.033067,-0.562498,-0.036078,-0.778851,-0.061363,-0.911093,-0.144942,-0.605153,-0.667777,-0.810868,-0.657732,-0.910549,-0.505033,-0.950037,-0.350701,-0.541249,-0.840863,-0.701538,-1.283018,-0.843407,-1.524262,-0.953735,-1.734171,-0.429892,-0.893328,-0.474359,-1.367565,-0.566410,-1.655565,-0.652317,-1.903075,-0.306278,-0.839271,-0.283801,-1.207147,-0.299548,-1.455770,-0.325576,-1.675197
Q,Right,1778884742073,0.000000,0.000000,-0.281051,-0.525999,-0.700280,-0.729417,-1.051256,-0.668886,-1.266501,-0.460203,-0.833193,-0.779046,-1.294714,-1.035224,-1.563392,-1.055181,-1.732636,-0.995944,-0.908496,-0.417894,-1.472983,-0.309118,-1.377922,-0.274629,-1.195607,-0.281581,-0.914005,-0.048167,-1.373210,-0.005691,-1.241592,-0.046766,-1.081952,-0.072507,-0.875522,0.275517,-1.203060,0.242558,-1.093632,0.187662,-0.969999,0.177275,0.000000,0.000000,-0.274977,0.039986,-0.550540,-0.035719,-0.778666,-0.065198,-0.891532,-0.172038,-0.595388,-0.670261,-0.800193,-0.664184,-0.898380,-0.508613,-0.930159,-0.348335,-0.532220,-0.846606,-0.693202,-1.268140,-0.832585,-1.501506,-0.942781,-1.713857,-0.421871,-0.898843,-0.472871,-1.356213,-0.566620,-1.634808,-0.654073,-1.879670,-0.297970,-0.839101,-0.271430,-1.186087,-0.285445,-1.429876,-0.313824,-1.651210
