label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
R,Right,1778884774949,0.000000,0.000000,-0.334694,-0.082129,-0.562347,-0.262215,-0.768292,-0.349972,-0.987827,-0.402709,-0.376631,-0.935927,-0.655730,-1.125588,-0.855179,-1.104203,-1.023607,-1.040341,-0.308925,-0.951086,-0.717749,-0.831162,-0.898185,-0.572629,-1.011148,-0.447882,-0.275583,-0.856661,-0.641827,-0.578042,-0.554954,-0.357432,-0.451105,-0.333757,-0.287719,-0.698652,-0.546265,-0.452608,-0.471499,-0.295320,-0.366666,-0.297897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884775464,0.000000,0.000000,-0.333151,-0.078489,-0.554984,-0.265929,-0.756165,-0.360228,-0.969231,-0.416047,-0.378510,-0.930316,-0.658841,-1.106922,-0.852881,-1.106297,-1.022500,-1.066403,-0.319154,-0.947703,-0.727600,-0.829645,-0.905400,-0.587249,-1.026580,-0.477994,-0.288882,-0.856427,-0.648514,-0.572328,-0.546147,-0.352205,-0.435368,-0.332158,-0.301408,-0.701749,-0.547472,-0.455995,-0.464798,-0.301324,-0.357341,-0.306598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884775987,0.000000,0.000000,-0.334448,-0.073477,-0.559539,-0.257039,-0.758229,-0.355313,-0.976330,-0.410506,-0.388640,-0.936182,-0.663869,-1.119819,-0.864442,-1.111112,-1.037217,-1.054834,-0.318302,-0.947989,-0.719603,-0.825971,-0.910237,-0.575541,-1.034423,-0.448396,-0.279337,-0.852636,-0.642970,-0.571913,-0.555163,-0.349744,-0.449429,-0.317914,-0.282251,-0.690610,-0.546692,-0.454454,-0.472146,-0.295021,-0.365128,-0.293983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884776341,0.000000,0.000000,-0.341170,-0.067477,-0.580159,-0.254824,-0.786929,-0.344338,-0.999308,-0.397824,-0.409359,-0.922378,-0.661075,-1.170789,-0.853361,-1.196414,-1.026653,-1.162124,-0.342204,-0.939626,-0.743566,-0.840788,-0.924304,-0.583199,-1.043410,-0.441037,-0.307069,-0.844678,-0.667591,-0.564463,-0.566930,-0.344348,-0.459911,-0.313700,-0.314179,-0.685105,-0.568721,-0.443288,-0.483716,-0.283132,-0.375829,-0.279905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884776918,0.000000,0.000000,-0.347281,-0.074978,-0.581087,-0.254771,-0.784475,-0.336447,-0.994469,-0.390505,-0.414301,-0.922291,-0.661856,-1.154353,-0.853072,-1.173786,-1.026799,-1.139898,-0.341990,-0.939704,-0.739258,-0.826850,-0.931371,-0.567537,-1.058376,-0.428664,-0.300641,-0.848044,-0.661147,-0.556648,-0.561014,-0.341367,-0.449349,-0.316593,-0.303982,-0.690681,-0.568743,-0.441366,-0.483972,-0.282619,-0.371298,-0.281701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884777402,0.000000,0.000000,-0.340407,-0.074487,-0.578222,-0.254558,-0.784795,-0.334855,-0.996048,-0.377689,-0.414350,-0.924175,-0.677802,-1.160884,-0.847841,-1.276755,-1.001660,-1.358938,-0.339400,-0.940642,-0.748393,-0.852260,-0.922834,-0.588818,-1.033638,-0.450600,-0.295759,-0.843853,-0.658000,-0.572345,-0.562560,-0.366242,-0.456174,-0.355267,-0.295244,-0.679049,-0.554499,-0.430362,-0.476302,-0.274851,-0.369464,-0.282232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884783009,0.000000,0.000000,-0.353890,-0.089054,-0.594403,-0.270846,-0.796684,-0.339915,-1.007271,-0.385679,-0.420838,-0.919050,-0.691752,-1.123551,-0.866591,-1.214242,-1.029977,-1.281763,-0.346544,-0.938034,-0.749859,-0.825606,-0.914830,-0.565354,-1.023133,-0.429811,-0.302932,-0.847414,-0.660547,-0.558407,-0.549905,-0.343041,-0.435859,-0.319641,-0.299962,-0.691936,-0.561786,-0.444712,-0.473169,-0.283610,-0.360304,-0.286691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884783536,0.000000,0.000000,-0.340450,-0.063436,-0.598341,-0.252912,-0.805173,-0.335581,-1.016814,-0.389866,-0.431107,-0.908132,-0.700779,-1.105368,-0.874195,-1.199992,-1.036343,-1.278016,-0.358216,-0.933639,-0.752961,-0.843656,-0.920999,-0.592194,-1.031479,-0.458071,-0.310866,-0.858131,-0.661560,-0.591243,-0.550828,-0.369418,-0.437257,-0.337922,-0.293629,-0.716766,-0.556261,-0.486081,-0.475013,-0.316657,-0.364785,-0.310473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884784578,0.000000,0.000000,-0.333843,-0.074305,-0.585507,-0.265552,-0.794332,-0.354004,-1.006094,-0.410111,-0.411131,-0.922114,-0.673762,-1.109575,-0.844740,-1.203105,-1.000629,-1.275355,-0.337506,-0.941323,-0.739816,-0.842622,-0.892483,-0.584341,-0.989806,-0.462586,-0.282352,-0.863185,-0.639874,-0.595230,-0.523695,-0.375959,-0.407345,-0.362653,-0.257343,-0.719055,-0.527891,-0.490438,-0.445527,-0.321741,-0.333852,-0.319237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,Right,1778884785105,0.000000,0.000000,-0.327845,-0.084931,-0.575203,-0.276695,-0.780249,-0.367034,-0.993182,-0.424215,-0.401995,-0.918535,-0.651463,-1.100434,-0.819404,-1.193756,-0.971369,-1.266093,-0.330988,-0.943635,-0.723500,-0.836978,-0.842085,-0.573716,-0.913337,-0.471209,-0.276969,-0.872766,-0.624190,-0.611450,-0.508955,-0.396311,-0.397938,-0.399127,-0.253556,-0.736091,-0.522064,-0.504904,-0.438717,-0.341965,-0.326628,-0.352270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
