label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
S,Right,1778884820117,0.000000,0.000000,-0.364000,-0.006089,-0.615444,-0.164119,-0.830959,-0.210023,-1.041894,-0.189181,-0.467672,-0.927852,-0.639354,-1.253745,-0.839742,-1.307810,-0.995393,-1.275094,-0.381089,-0.924538,-0.811465,-0.763031,-0.756076,-0.497444,-0.629583,-0.462550,-0.330927,-0.801930,-0.724380,-0.564058,-0.632616,-0.357123,-0.520207,-0.379222,-0.311516,-0.619077,-0.584250,-0.415976,-0.520602,-0.248251,-0.430585,-0.241753,0.000000,0.000000,-0.360753,0.094506,-0.695797,0.085069,-0.937964,0.132250,-1.144885,0.099766,-0.650441,-0.734169,-0.871617,-0.976679,-1.068035,-1.012176,-1.235500,-1.008063,-0.546638,-0.837369,-0.890317,-0.749781,-0.697234,-0.409396,-0.570578,-0.459628,-0.444589,-0.930700,-0.736636,-0.782032,-0.549054,-0.467379,-0.417416,-0.581374,-0.310128,-0.997984,-0.567409,-0.867225,-0.457127,-0.612106,-0.313601,-0.664563
S,Right,1778884820638,0.000000,0.000000,-0.366294,-0.007701,-0.618420,-0.170631,-0.830476,-0.235279,-1.044068,-0.212393,-0.449337,-0.952936,-0.615072,-1.320725,-0.829806,-1.365717,-0.987886,-1.315816,-0.365799,-0.930694,-0.826465,-0.777512,-0.778425,-0.504736,-0.641765,-0.462650,-0.329584,-0.786240,-0.752398,-0.562163,-0.668644,-0.345328,-0.549187,-0.351076,-0.322349,-0.591093,-0.611129,-0.408219,-0.555198,-0.235961,-0.459633,-0.212048,0.000000,0.000000,-0.335565,0.081433,-0.663376,0.058145,-0.898577,0.112741,-1.097804,0.093443,-0.619396,-0.750049,-0.811725,-0.989467,-0.988931,-1.045638,-1.133427,-1.054434,-0.518549,-0.855048,-0.858097,-0.701996,-0.672032,-0.375011,-0.547471,-0.426912,-0.427729,-0.912197,-0.716471,-0.669652,-0.531604,-0.386975,-0.409262,-0.496875,-0.326910,-0.926809,-0.578593,-0.715844,-0.455752,-0.493615,-0.320758,-0.558762
S,Right,1778884821542,0.000000,0.000000,-0.364318,-0.016955,-0.611231,-0.183424,-0.821578,-0.261681,-1.038379,-0.249551,-0.455045,-0.948143,-0.632681,-1.305431,-0.843003,-1.340891,-0.999475,-1.285620,-0.358868,-0.933388,-0.805664,-0.784245,-0.750577,-0.508891,-0.619369,-0.464834,-0.313341,-0.798629,-0.728451,-0.569488,-0.640510,-0.353780,-0.526923,-0.355793,-0.303987,-0.608669,-0.593519,-0.423843,-0.537752,-0.257260,-0.447810,-0.229053,0.000000,0.000000,-0.336746,0.071437,-0.666284,0.047248,-0.899941,0.111005,-1.105113,0.085622,-0.609153,-0.760954,-0.802753,-0.979627,-0.980448,-1.030989,-1.130879,-1.031458,-0.511974,-0.859001,-0.854613,-0.686107,-0.673503,-0.362785,-0.551746,-0.407985,-0.426846,-0.910232,-0.728912,-0.668982,-0.541878,-0.383551,-0.419210,-0.480854,-0.334508,-0.919466,-0.594838,-0.694566,-0.467804,-0.479787,-0.335568,-0.548152
S,Right,1778884822709,0.000000,0.000000,-0.367997,-0.017431,-0.615090,-0.170529,-0.827721,-0.234271,-1.045861,-0.221523,-0.460877,-0.943814,-0.649222,-1.290401,-0.869558,-1.324606,-1.031735,-1.260826,-0.364812,-0.931081,-0.814511,-0.754783,-0.754314,-0.483300,-0.622445,-0.443690,-0.319419,-0.794337,-0.735003,-0.547264,-0.642560,-0.335497,-0.527923,-0.340564,-0.308738,-0.601990,-0.600077,-0.418703,-0.545169,-0.250374,-0.455756,-0.219795,0.000000,0.000000,-0.351284,0.100860,-0.703881,0.082777,-0.946155,0.116066,-1.154069,0.085287,-0.658919,-0.731309,-0.852572,-0.990939,-1.030127,-1.021365,-1.190822,-1.007581,-0.548684,-0.836030,-0.872756,-0.699299,-0.672457,-0.360504,-0.560388,-0.417189,-0.447521,-0.906592,-0.721850,-0.692579,-0.515494,-0.389958,-0.399065,-0.504235,-0.331569,-0.941091,-0.573798,-0.760582,-0.442403,-0.526613,-0.306935,-0.590890
S,Right,1778884823238,0.000000,0.000000,-0.371428,-0.014564,-0.624908,-0.172106,-0.838045,-0.238665,-1.056149,-0.231658,-0.456544,-0.945035,-0.646345,-1.288766,-0.864927,-1.320764,-1.023226,-1.256463,-0.363778,-0.931486,-0.813524,-0.757811,-0.756218,-0.492498,-0.625060,-0.461301,-0.322545,-0.797869,-0.736233,-0.548716,-0.643559,-0.345179,-0.529387,-0.363322,-0.314630,-0.609910,-0.601755,-0.412732,-0.542195,-0.249471,-0.452672,-0.229570,0.000000,0.000000,-0.351238,0.096352,-0.699604,0.086712,-0.942809,0.122182,-1.159514,0.088731,-0.659907,-0.726923,-0.849832,-0.973370,-1.027832,-1.012557,-1.181241,-0.998571,-0.555133,-0.831762,-0.880699,-0.681877,-0.681805,-0.354944,-0.563876,-0.411121,-0.456956,-0.898513,-0.739922,-0.678864,-0.535013,-0.385973,-0.414651,-0.498582,-0.340992,-0.930020,-0.591105,-0.742434,-0.458768,-0.513022,-0.327746,-0.580626
S,Right,1778884823868,0.000000,0.000000,-0.367577,-0.012415,-0.614626,-0.163349,-0.826211,-0.228939,-1.043697,-0.221635,-0.460215,-0.937472,-0.649423,-1.288759,-0.865374,-1.320801,-1.022271,-1.260992,-0.370286,-0.928918,-0.813404,-0.756396,-0.752111,-0.489169,-0.621294,-0.457888,-0.330058,-0.802531,-0.737372,-0.550875,-0.637490,-0.343502,-0.522836,-0.355580,-0.321973,-0.622142,-0.599443,-0.409892,-0.530111,-0.242962,-0.438856,-0.222514,0.000000,0.000000,-0.346297,0.077992,-0.688867,0.060491,-0.926408,0.101004,-1.136517,0.073886,-0.650715,-0.730803,-0.832281,-0.952573,-1.005711,-0.993960,-1.149075,-0.978830,-0.548720,-0.836006,-0.870223,-0.703288,-0.678157,-0.378198,-0.558095,-0.420592,-0.452004,-0.904529,-0.729181,-0.691791,-0.534216,-0.408107,-0.411399,-0.510155,-0.335931,-0.937796,-0.584176,-0.748984,-0.459377,-0.529443,-0.329004,-0.595060
S,Right,1778884824472,0.000000,0.000000,-0.366489,-0.020412,-0.616815,-0.172206,-0.828205,-0.241591,-1.039421,-0.249210,-0.449718,-0.945353,-0.680878,-1.244296,-0.902780,-1.256849,-1.066771,-1.195718,-0.351715,-0.936107,-0.798435,-0.762822,-0.739316,-0.498532,-0.611287,-0.475936,-0.309248,-0.808837,-0.720614,-0.560251,-0.629390,-0.345986,-0.517930,-0.362799,-0.301802,-0.620754,-0.600490,-0.425632,-0.540848,-0.257451,-0.449444,-0.235753,0.000000,0.000000,-0.350528,0.100671,-0.698177,0.072707,-0.946387,0.121168,-1.162210,0.105038,-0.667225,-0.722635,-0.870533,-0.971304,-1.061181,-1.001698,-1.223032,-0.993911,-0.562311,-0.826926,-0.894492,-0.688387,-0.694945,-0.352090,-0.570525,-0.413103,-0.461496,-0.901185,-0.747634,-0.686956,-0.541358,-0.393004,-0.412448,-0.509549,-0.342603,-0.949758,-0.591918,-0.752082,-0.456686,-0.518061,-0.320364,-0.589065
S,Right,1778884825360,0.000000,0.000000,-0.370904,-0.017936,-0.612897,-0.161469,-0.832039,-0.233183,-1.052555,-0.238425,-0.463237,-0.931622,-0.685445,-1.244268,-0.903309,-1.267608,-1.069080,-1.217529,-0.369865,-0.929086,-0.826598,-0.752018,-0.764664,-0.480824,-0.637160,-0.459827,-0.327378,-0.803558,-0.747855,-0.555894,-0.656284,-0.344932,-0.542660,-0.360454,-0.318565,-0.618690,-0.618575,-0.427800,-0.560960,-0.262780,-0.469502,-0.233417,0.000000,0.000000,-0.352676,0.093072,-0.692026,0.067303,-0.933618,0.111489,-1.148281,0.114875,-0.649104,-0.734243,-0.864415,-0.939346,-1.052009,-0.949538,-1.211029,-0.917031,-0.551025,-0.834489,-0.877149,-0.651394,-0.679323,-0.352084,-0.556591,-0.409349,-0.456874,-0.903767,-0.742551,-0.671281,-0.545633,-0.401569,-0.426045,-0.486864,-0.346609,-0.938530,-0.599774,-0.740340,-0.474529,-0.531076,-0.347553,-0.575860
S,Right,1778884825740,0.000000,0.000000,-0.380673,-0.008199,-0.620685,-0.154472,-0.835113,-0.232253,-1.058122,-0.224898,-0.478336,-0.930358,-0.699640,-1.245095,-0.920072,-1.267908,-1.088445,-1.211746,-0.382085,-0.924127,-0.833687,-0.735120,-0.769291,-0.461666,-0.641492,-0.436851,-0.337112,-0.794367,-0.753048,-0.527652,-0.659713,-0.317033,-0.547240,-0.330517,-0.329886,-0.602932,-0.627095,-0.393804,-0.564976,-0.230183,-0.471744,-0.208520,0.000000,0.000000,-0.358565,0.103528,-0.708944,0.085424,-0.973519,0.114091,-1.209177,0.097005,-0.654088,-0.734588,-0.859023,-0.987934,-1.057181,-0.995398,-1.226767,-0.955092,-0.549941,-0.835204,-0.887395,-0.697005,-0.688380,-0.357642,-0.563606,-0.423043,-0.450050,-0.911191,-0.740938,-0.708540,-0.537318,-0.406320,-0.408602,-0.512527,-0.327494,-0.966382,-0.583989,-0.779270,-0.453496,-0.546898,-0.315185,-0.606584
S,Right,1778884827072,0.000000,0.000000,-0.379365,-0.010336,-0.619749,-0.161047,-0.835003,-0.241739,-1.053260,-0.246428,-0.454441,-0.939296,-0.663194,-1.255877,-0.879670,-1.298772,-1.047502,-1.264060,-0.358792,-0.933418,-0.803146,-0.754485,-0.748064,-0.483947,-0.623116,-0.452855,-0.319459,-0.805791,-0.731785,-0.545369,-0.645428,-0.331668,-0.534454,-0.339898,-0.318068,-0.614514,-0.612650,-0.406114,-0.558930,-0.234612,-0.471094,-0.201660,0.000000,0.000000,-0.366205,0.091341,-0.713278,0.072885,-0.965991,0.121108,-1.182982,0.118559,-0.650812,-0.742086,-0.841396,-0.986672,-1.023486,-1.030108,-1.177977,-1.032771,-0.550769,-0.834657,-0.891098,-0.697692,-0.698684,-0.375208,-0.579002,-0.442463,-0.456828,-0.905425,-0.761691,-0.709900,-0.571330,-0.413870,-0.450942,-0.510899,-0.344575,-0.944827,-0.614967,-0.761857,-0.492351,-0.528932,-0.360634,-0.578406
