label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
T,Right,1778884879531,0.000000,0.000000,-0.378213,0.318170,-0.674172,0.423974,-0.882744,0.511962,-1.065064,0.551014,-1.024988,-0.317047,-1.433904,-0.219106,-1.704455,-0.182731,-1.934694,-0.179099,-0.902229,-0.431256,-1.163546,0.220741,-0.959018,0.361317,-0.827124,0.261153,-0.744239,-0.384757,-0.906307,0.310498,-0.734621,0.376383,-0.646727,0.243624,-0.574182,-0.230134,-0.689167,0.279913,-0.584965,0.361109,-0.523339,0.273924,0.000000,0.000000,-0.274207,-0.192710,-0.402474,-0.453642,-0.488118,-0.645310,-0.540809,-0.797299,-0.176920,-1.024774,-0.273142,-1.353837,-0.306366,-1.595843,-0.305846,-1.819089,-0.061080,-0.998133,-0.411949,-1.092270,-0.449962,-0.836035,-0.367158,-0.707215,-0.008377,-0.877752,-0.377373,-0.879348,-0.384015,-0.644903,-0.284720,-0.567554,-0.003022,-0.708845,-0.307561,-0.674838,-0.313718,-0.505213,-0.221207,-0.441633
T,Right,1778884879805,0.000000,0.000000,-0.352776,0.306156,-0.657783,0.420546,-0.871296,0.514218,-1.059187,0.528530,-1.020136,-0.312260,-1.433631,-0.238829,-1.706810,-0.210939,-1.941422,-0.206817,-0.901232,-0.433338,-1.154084,0.207190,-0.935255,0.362810,-0.798661,0.269973,-0.743682,-0.402952,-0.887252,0.285404,-0.702155,0.347159,-0.620780,0.205677,-0.569071,-0.273861,-0.649040,0.234941,-0.522948,0.294312,-0.466399,0.181386,0.000000,0.000000,-0.288494,-0.185566,-0.430167,-0.442541,-0.526898,-0.622624,-0.554349,-0.785543,-0.202748,-1.020309,-0.304849,-1.350941,-0.349368,-1.593270,-0.359585,-1.809805,-0.082033,-0.996630,-0.429479,-1.059678,-0.468523,-0.809023,-0.394543,-0.677875,-0.021264,-0.883831,-0.385369,-0.857854,-0.388113,-0.621090,-0.299758,-0.542751,-0.010189,-0.720856,-0.305411,-0.668296,-0.304171,-0.496861,-0.214511,-0.438214
T,Right,1778884880367,0.000000,0.000000,-0.368225,0.287938,-0.670409,0.404049,-0.878572,0.503217,-1.060489,0.572607,-1.036273,-0.304131,-1.456195,-0.230391,-1.731810,-0.201440,-1.964562,-0.196953,-0.903924,-0.427694,-1.172916,0.219060,-0.957339,0.374825,-0.815016,0.278368,-0.736275,-0.391909,-0.905769,0.299056,-0.718375,0.379936,-0.624219,0.250249,-0.558038,-0.258800,-0.676107,0.248038,-0.560412,0.337984,-0.491840,0.255298,0.000000,0.000000,-0.285850,-0.196759,-0.424709,-0.461762,-0.516277,-0.644426,-0.539756,-0.812646,-0.195569,-1.026867,-0.299166,-1.370200,-0.347924,-1.608680,-0.360010,-1.831262,-0.071841,-0.997416,-0.422302,-1.086963,-0.466350,-0.829286,-0.388797,-0.698981,-0.010369,-0.879419,-0.380675,-0.879007,-0.391971,-0.639686,-0.296302,-0.568080,-0.001682,-0.710234,-0.308273,-0.666836,-0.318779,-0.499102,-0.222339,-0.437949
T,Right,1778884880876,0.000000,0.000000,-0.369151,0.308916,-0.665313,0.426618,-0.871899,0.514814,-1.047780,0.543969,-1.028822,-0.316551,-1.448273,-0.225709,-1.721404,-0.195062,-1.951381,-0.191078,-0.901744,-0.432270,-1.157201,0.226915,-0.939317,0.371884,-0.802931,0.265895,-0.742476,-0.395002,-0.897794,0.313182,-0.712864,0.375280,-0.626797,0.232379,-0.571140,-0.251719,-0.661776,0.278334,-0.537737,0.345789,-0.480105,0.236096,0.000000,0.000000,-0.285876,-0.204855,-0.428081,-0.452321,-0.521133,-0.624901,-0.545457,-0.809678,-0.191716,-1.024130,-0.299391,-1.371060,-0.349691,-1.614347,-0.368106,-1.835809,-0.068479,-0.997653,-0.417790,-1.065826,-0.456660,-0.807417,-0.382616,-0.680166,-0.007055,-0.880411,-0.380906,-0.849764,-0.382816,-0.609246,-0.287210,-0.537068,0.002727,-0.714821,-0.305435,-0.653401,-0.307020,-0.482246,-0.212272,-0.428062
T,Right,1778884881331,0.000000,0.000000,-0.364159,0.269693,-0.661779,0.378932,-0.868191,0.472735,-1.041218,0.508886,-1.022655,-0.332118,-1.420618,-0.240073,-1.688799,-0.212216,-1.912482,-0.213993,-0.893845,-0.448376,-1.138499,0.196415,-0.931422,0.336923,-0.801875,0.234178,-0.727267,-0.415983,-0.866151,0.276983,-0.697603,0.331126,-0.619701,0.191112,-0.547623,-0.281093,-0.640229,0.233612,-0.534466,0.304856,-0.481296,0.210965,0.000000,0.000000,-0.282853,-0.195950,-0.421528,-0.451121,-0.512640,-0.632334,-0.534283,-0.810893,-0.173959,-1.026555,-0.295876,-1.363307,-0.346499,-1.608603,-0.361088,-1.832503,-0.050793,-0.998709,-0.416687,-1.075691,-0.454463,-0.812365,-0.373447,-0.681171,0.007079,-0.885110,-0.375489,-0.867001,-0.373915,-0.616648,-0.274727,-0.539426,0.013436,-0.723078,-0.297735,-0.675589,-0.296137,-0.494458,-0.196519,-0.431629
T,Right,1778884882206,0.000000,0.000000,-0.367422,0.288376,-0.660989,0.397937,-0.863064,0.487736,-1.032370,0.554882,-1.030863,-0.320185,-1.437911,-0.234658,-1.716439,-0.202959,-1.946526,-0.197753,-0.894357,-0.447355,-1.135047,0.206369,-0.922462,0.350482,-0.795404,0.240118,-0.720739,-0.413066,-0.863704,0.286366,-0.690438,0.350651,-0.612760,0.208254,-0.538896,-0.269927,-0.649193,0.244832,-0.547082,0.321635,-0.497670,0.222987,0.000000,0.000000,-0.290462,-0.193394,-0.430066,-0.448573,-0.527301,-0.626955,-0.549439,-0.788564,-0.187811,-1.028282,-0.308981,-1.353968,-0.361175,-1.592152,-0.377846,-1.810540,-0.065382,-0.997860,-0.434283,-1.057672,-0.468492,-0.801496,-0.388298,-0.683173,-0.005394,-0.875918,-0.385262,-0.852220,-0.384605,-0.614213,-0.287348,-0.546687,0.002877,-0.704555,-0.307653,-0.655469,-0.308769,-0.484349,-0.212243,-0.426087
T,Right,1778884882704,0.000000,0.000000,-0.365281,0.280340,-0.658871,0.378882,-0.860028,0.463685,-1.032249,0.503133,-1.012993,-0.348685,-1.414937,-0.258498,-1.683898,-0.221330,-1.910515,-0.206320,-0.888086,-0.459677,-1.133196,0.179650,-0.927350,0.319239,-0.798425,0.218693,-0.732457,-0.416859,-0.885657,0.268459,-0.708205,0.332634,-0.624596,0.196287,-0.563738,-0.272494,-0.667105,0.236906,-0.549141,0.310431,-0.487639,0.211469,0.000000,0.000000,-0.279089,-0.193667,-0.419606,-0.441888,-0.510024,-0.614456,-0.533830,-0.780091,-0.187132,-1.026455,-0.305847,-1.349773,-0.356340,-1.586332,-0.373416,-1.799420,-0.067823,-0.997697,-0.421033,-1.058843,-0.459542,-0.804277,-0.388194,-0.665429,-0.008437,-0.879623,-0.376707,-0.856589,-0.378037,-0.620012,-0.289884,-0.534226,0.001960,-0.712535,-0.297087,-0.673580,-0.299736,-0.507453,-0.212457,-0.443507
T,Right,1778884883225,0.000000,0.000000,-0.376405,0.307424,-0.678121,0.422349,-0.887326,0.512730,-1.048666,0.547226,-1.036650,-0.317915,-1.450556,-0.222710,-1.725079,-0.179198,-1.956598,-0.163361,-0.903157,-0.429310,-1.160884,0.232549,-0.947684,0.374890,-0.820266,0.264274,-0.737016,-0.385503,-0.905437,0.314371,-0.725459,0.374161,-0.643481,0.228502,-0.560748,-0.236454,-0.687416,0.271481,-0.581271,0.348065,-0.524664,0.252164,0.000000,0.000000,-0.283171,-0.194640,-0.419082,-0.451168,-0.514658,-0.634413,-0.545754,-0.802724,-0.191826,-1.023087,-0.310612,-1.344672,-0.362018,-1.584699,-0.380398,-1.801587,-0.070262,-0.997529,-0.431233,-1.058405,-0.461652,-0.790839,-0.384155,-0.667179,-0.010510,-0.882808,-0.387847,-0.849888,-0.382341,-0.599607,-0.287287,-0.529370,0.000802,-0.720001,-0.305506,-0.670826,-0.301640,-0.492822,-0.205556,-0.437565
T,Right,1778884883829,0.000000,0.000000,-0.376069,0.276424,-0.663075,0.392473,-0.862721,0.503910,-1.029053,0.587971,-1.030704,-0.346470,-1.450332,-0.243383,-1.736566,-0.196805,-1.974042,-0.176086,-0.891416,-0.453186,-1.154032,0.214762,-0.943458,0.366299,-0.814955,0.252338,-0.722536,-0.404294,-0.902397,0.292952,-0.732229,0.366092,-0.646370,0.224507,-0.544272,-0.251946,-0.667330,0.253098,-0.562566,0.330877,-0.498776,0.228632,0.000000,0.000000,-0.279661,-0.198740,-0.414344,-0.451169,-0.509082,-0.628579,-0.558163,-0.800580,-0.175454,-1.030354,-0.303101,-1.350248,-0.354586,-1.584182,-0.375600,-1.798851,-0.058160,-0.998307,-0.427752,-1.068070,-0.460331,-0.810751,-0.387136,-0.687651,-0.002082,-0.879074,-0.385395,-0.854942,-0.382047,-0.613321,-0.290540,-0.539108,0.006170,-0.710044,-0.304766,-0.664790,-0.306099,-0.492141,-0.214951,-0.430254
T,Right,1778884884714,0.000000,0.000000,-0.367731,0.286667,-0.667266,0.403787,-0.871873,0.501580,-1.024307,0.573443,-1.026849,-0.331139,-1.443005,-0.223885,-1.723632,-0.178505,-1.956840,-0.154564,-0.894933,-0.446200,-1.146828,0.203709,-0.940052,0.339778,-0.815953,0.228890,-0.731315,-0.407595,-0.889838,0.289423,-0.716182,0.347284,-0.638031,0.203672,-0.556956,-0.263208,-0.660654,0.251282,-0.544158,0.312585,-0.484691,0.201638,0.000000,0.000000,-0.277406,-0.177433,-0.420187,-0.441904,-0.512519,-0.626097,-0.544527,-0.810287,-0.189003,-1.022821,-0.314746,-1.343057,-0.370412,-1.576889,-0.389781,-1.791862,-0.063487,-0.997983,-0.428266,-1.084986,-0.461138,-0.811990,-0.377487,-0.671430,0.001285,-0.883375,-0.374808,-0.864378,-0.372121,-0.611089,-0.275270,-0.538127,0.014509,-0.716644,-0.293011,-0.674059,-0.293671,-0.492223,-0.197216,-0.431579
