label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
U,Right,1778884915982,0.000000,0.000000,-0.056166,-0.462926,-0.008030,-0.943636,0.000503,-1.305173,-0.011179,-1.632731,0.561070,-0.929555,0.778795,-1.220492,0.784908,-1.478235,0.728460,-1.703954,0.646081,-0.763269,0.516452,-1.178330,0.259828,-0.917274,0.286898,-0.746514,0.698881,-0.565859,0.527127,-0.950958,0.307135,-0.679095,0.370425,-0.531031,0.721554,-0.343530,0.572083,-0.681949,0.408193,-0.526479,0.462023,-0.378922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884916350,0.000000,0.000000,-0.070194,-0.435895,-0.028045,-0.931661,-0.020462,-1.310097,-0.026028,-1.642192,0.537467,-0.949813,0.753356,-1.246897,0.760359,-1.503997,0.706401,-1.728282,0.630575,-0.776128,0.491887,-1.155461,0.247666,-0.886230,0.287985,-0.724768,0.689230,-0.582954,0.503839,-0.942197,0.300986,-0.672016,0.370348,-0.537857,0.718954,-0.366234,0.562344,-0.696972,0.404578,-0.534151,0.454928,-0.393479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884916531,0.000000,0.000000,-0.065444,-0.439986,-0.031316,-0.933382,-0.025535,-1.312707,-0.035333,-1.645530,0.544548,-0.941894,0.748259,-1.243113,0.753671,-1.498296,0.699002,-1.726757,0.632592,-0.774485,0.486746,-1.160557,0.243042,-0.881035,0.284870,-0.716972,0.689351,-0.580841,0.506457,-0.950377,0.301702,-0.674177,0.373436,-0.537054,0.713443,-0.361669,0.561152,-0.694461,0.402269,-0.531612,0.457834,-0.386706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884916795,0.000000,0.000000,-0.065586,-0.440098,-0.028535,-0.934152,-0.023242,-1.308603,-0.036654,-1.638926,0.528971,-0.954422,0.739665,-1.240413,0.746572,-1.488637,0.695696,-1.712066,0.616599,-0.787277,0.480646,-1.160636,0.238614,-0.887381,0.275908,-0.720240,0.673612,-0.591819,0.502113,-0.943944,0.295074,-0.672064,0.358296,-0.532226,0.702354,-0.368552,0.559021,-0.694428,0.394702,-0.534154,0.440617,-0.392064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884917029,0.000000,0.000000,-0.072283,-0.436331,-0.040089,-0.933741,-0.030439,-1.324420,-0.040971,-1.659082,0.524011,-0.954984,0.730130,-1.256440,0.736722,-1.514302,0.688478,-1.740205,0.618264,-0.785971,0.483499,-1.166550,0.235673,-0.886407,0.281747,-0.723534,0.681175,-0.593736,0.501481,-0.947438,0.295650,-0.672623,0.372312,-0.539208,0.714496,-0.374473,0.558928,-0.693486,0.398373,-0.523641,0.456219,-0.382494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884917272,0.000000,0.000000,-0.068482,-0.446945,-0.043749,-0.936097,-0.042775,-1.313424,-0.053359,-1.641314,0.511952,-0.960304,0.718922,-1.260380,0.722137,-1.513206,0.668423,-1.735298,0.603298,-0.797516,0.462498,-1.172102,0.224765,-0.891917,0.270312,-0.733327,0.665566,-0.608258,0.481795,-0.956711,0.283463,-0.678660,0.357634,-0.547168,0.698300,-0.393160,0.543288,-0.710654,0.389088,-0.543935,0.447415,-0.405416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884917697,0.000000,0.000000,-0.071079,-0.433218,-0.037476,-0.935294,-0.036351,-1.314702,-0.050526,-1.643269,0.507776,-0.960283,0.708811,-1.263376,0.715599,-1.517697,0.662509,-1.738071,0.603002,-0.797739,0.463818,-1.162461,0.230297,-0.891825,0.266176,-0.735552,0.667231,-0.607276,0.480644,-0.948119,0.288254,-0.676518,0.355596,-0.548764,0.701392,-0.390089,0.540124,-0.709614,0.392060,-0.540593,0.447824,-0.401529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884917933,0.000000,0.000000,-0.072655,-0.436061,-0.049881,-0.914601,-0.043210,-1.280212,-0.038974,-1.602790,0.508426,-0.954555,0.708813,-1.261731,0.703091,-1.514504,0.640362,-1.730048,0.605169,-0.796097,0.457618,-1.180278,0.229403,-0.907682,0.266463,-0.738520,0.667498,-0.610225,0.477255,-0.961847,0.285302,-0.682700,0.352107,-0.543312,0.700522,-0.396444,0.537063,-0.722118,0.385372,-0.552766,0.435941,-0.413608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884918347,0.000000,0.000000,-0.061524,-0.423565,-0.034076,-0.898233,-0.036324,-1.272353,-0.036013,-1.598826,0.534468,-0.934974,0.729841,-1.242547,0.724880,-1.501693,0.660455,-1.714677,0.633222,-0.773970,0.480869,-1.171023,0.238907,-0.898457,0.278179,-0.730642,0.695560,-0.584040,0.494811,-0.936171,0.294811,-0.661795,0.362659,-0.525974,0.724711,-0.367031,0.549798,-0.689671,0.398627,-0.524774,0.454486,-0.385254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
U,Right,1778884918770,0.000000,0.000000,-0.068465,-0.436750,-0.046824,-0.913208,-0.049214,-1.291454,-0.048245,-1.616556,0.512870,-0.949926,0.702009,-1.261417,0.703197,-1.513960,0.645827,-1.735074,0.611404,-0.791318,0.460090,-1.164812,0.230408,-0.885902,0.272913,-0.728564,0.675960,-0.606553,0.475315,-0.943570,0.285009,-0.666056,0.355952,-0.537409,0.709766,-0.393740,0.536310,-0.710064,0.386991,-0.538900,0.446296,-0.401126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
