label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
V,Right,1778884962546,0.000000,0.000000,-0.211717,-0.165507,-0.299361,-0.488158,-0.177268,-0.749368,-0.024064,-0.892241,-0.307751,-0.975096,-0.412627,-1.351156,-0.470357,-1.600043,-0.512972,-1.815379,-0.115769,-0.993276,-0.069931,-1.463029,-0.016912,-1.755078,0.037568,-1.987183,0.050095,-0.878288,0.094688,-1.132876,0.028677,-0.849995,-0.017657,-0.639435,0.189223,-0.688427,0.198975,-0.877685,0.130689,-0.674100,0.075570,-0.495964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884962963,0.000000,0.000000,-0.217553,-0.166577,-0.309068,-0.485967,-0.182926,-0.744018,-0.018734,-0.881120,-0.315650,-0.977316,-0.409152,-1.357535,-0.460026,-1.605890,-0.496564,-1.821643,-0.119536,-0.992830,-0.067573,-1.460099,-0.014826,-1.760210,0.040138,-2.007003,0.047771,-0.876345,0.101930,-1.133716,0.026122,-0.847961,-0.027751,-0.634567,0.184934,-0.683877,0.199656,-0.869663,0.130331,-0.674106,0.075431,-0.505202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884963224,0.000000,0.000000,-0.216307,-0.162739,-0.302796,-0.478010,-0.165897,-0.726879,-0.004408,-0.863396,-0.299460,-0.973978,-0.391986,-1.357120,-0.444132,-1.610415,-0.482814,-1.830249,-0.103058,-0.994675,-0.054416,-1.454597,-0.006769,-1.749908,0.042498,-1.997788,0.063227,-0.880941,0.119760,-1.125084,0.041095,-0.840576,-0.012444,-0.631708,0.198976,-0.690360,0.211042,-0.860322,0.139458,-0.672153,0.084398,-0.514858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884963545,0.000000,0.000000,-0.211070,-0.166683,-0.300189,-0.485911,-0.175491,-0.743277,-0.017446,-0.884228,-0.295761,-0.972519,-0.394521,-1.364229,-0.447287,-1.621443,-0.483158,-1.845317,-0.104692,-0.994505,-0.058296,-1.472383,-0.010273,-1.770218,0.039570,-2.014852,0.058277,-0.884107,0.114608,-1.163795,0.045549,-0.881484,-0.002372,-0.663103,0.192328,-0.696593,0.208087,-0.892628,0.136656,-0.695053,0.078179,-0.514213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884963883,0.000000,0.000000,-0.213547,-0.164596,-0.298570,-0.483450,-0.170705,-0.742673,-0.015607,-0.892883,-0.304997,-0.968682,-0.401470,-1.349558,-0.453704,-1.604494,-0.488285,-1.827337,-0.115023,-0.993363,-0.068303,-1.465532,-0.021006,-1.763610,0.029513,-2.005915,0.051134,-0.885313,0.101180,-1.141376,0.034910,-0.851098,-0.008373,-0.635432,0.190780,-0.701044,0.200525,-0.881973,0.131777,-0.676393,0.081565,-0.501403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884964301,0.000000,0.000000,-0.217200,-0.168780,-0.304758,-0.500133,-0.181256,-0.770091,-0.025648,-0.917894,-0.304329,-0.976474,-0.395653,-1.357243,-0.447604,-1.612133,-0.484338,-1.834595,-0.115503,-0.993307,-0.070788,-1.466403,-0.022457,-1.763984,0.031874,-2.009149,0.049333,-0.881988,0.105108,-1.154874,0.028317,-0.862441,-0.023013,-0.642461,0.186709,-0.694471,0.199300,-0.888453,0.127413,-0.684459,0.071923,-0.507216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884964626,0.000000,0.000000,-0.213072,-0.163996,-0.300299,-0.484963,-0.167692,-0.745557,-0.009236,-0.883093,-0.297138,-0.975137,-0.393096,-1.353580,-0.448260,-1.608024,-0.487982,-1.831553,-0.105987,-0.994368,-0.059681,-1.464875,-0.012664,-1.764126,0.038917,-2.014903,0.060383,-0.879772,0.119030,-1.138644,0.039422,-0.843174,-0.015402,-0.624670,0.197269,-0.691330,0.209093,-0.861132,0.137086,-0.657103,0.082617,-0.487295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884965008,0.000000,0.000000,-0.208661,-0.155982,-0.292398,-0.473962,-0.156503,-0.739493,0.002525,-0.891955,-0.297252,-0.975113,-0.394539,-1.366648,-0.446738,-1.627664,-0.484449,-1.855161,-0.102207,-0.994763,-0.052320,-1.474883,0.000289,-1.776699,0.055382,-2.030474,0.066048,-0.881042,0.125343,-1.141498,0.047754,-0.845713,-0.001674,-0.628801,0.204967,-0.693184,0.214597,-0.866991,0.143640,-0.663881,0.094719,-0.496046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884965321,0.000000,0.000000,-0.204147,-0.160608,-0.281659,-0.465004,-0.153709,-0.719101,-0.001426,-0.868721,-0.287545,-0.974166,-0.383605,-1.363790,-0.437717,-1.622221,-0.480405,-1.849056,-0.095460,-0.995433,-0.048723,-1.470868,0.001725,-1.768092,0.051885,-2.023482,0.068689,-0.881620,0.129963,-1.147132,0.056926,-0.866276,0.004996,-0.654765,0.203456,-0.690323,0.220051,-0.872913,0.149941,-0.676595,0.093955,-0.507496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
V,Right,1778884965743,0.000000,0.000000,-0.212435,-0.158281,-0.296916,-0.470749,-0.160869,-0.724313,-0.002838,-0.878245,-0.301028,-0.973979,-0.396066,-1.374330,-0.447242,-1.638825,-0.483157,-1.870065,-0.101968,-0.994788,-0.048244,-1.480323,0.009261,-1.788474,0.064379,-2.048752,0.068399,-0.879269,0.132084,-1.151600,0.055339,-0.868134,-0.004203,-0.655111,0.209333,-0.685688,0.230745,-0.872207,0.156651,-0.676107,0.091196,-0.501883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
