label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
X,Right,1778885039524,0.000000,0.000000,-0.245519,-0.015008,-0.495171,-0.207961,-0.596805,-0.508680,-0.596685,-0.781295,-0.740498,-0.731901,-1.036739,-1.091112,-1.218367,-1.322617,-1.343476,-1.550650,-0.517876,-0.855456,-0.629334,-1.105373,-0.492874,-0.710458,-0.441119,-0.587379,-0.277451,-0.912340,-0.363097,-1.035651,-0.272158,-0.650677,-0.236715,-0.572157,-0.041722,-0.904066,-0.130244,-1.001715,-0.104675,-0.714849,-0.087167,-0.644107,0.000000,0.000000,-0.293509,-0.030106,-0.569633,-0.224554,-0.681655,-0.505203,-0.607330,-0.778870,-0.730546,-0.733099,-0.968217,-1.072350,-1.093539,-1.319860,-1.159248,-1.537495,-0.531825,-0.846854,-0.639534,-1.084688,-0.505421,-0.722580,-0.444736,-0.544598,-0.313783,-0.902262,-0.383682,-1.046270,-0.284507,-0.672911,-0.234133,-0.528736,-0.074986,-0.912803,-0.160249,-1.025556,-0.129575,-0.746597,-0.099560,-0.625125
X,Right,1778885039771,0.000000,0.000000,-0.243952,-0.019811,-0.496889,-0.205800,-0.606417,-0.506777,-0.614539,-0.792302,-0.749076,-0.712496,-1.048481,-1.079100,-1.231898,-1.316344,-1.365531,-1.549548,-0.538687,-0.842506,-0.631934,-1.085009,-0.492490,-0.714477,-0.441714,-0.594126,-0.302533,-0.902060,-0.365982,-1.008133,-0.274148,-0.645662,-0.244822,-0.582998,-0.067808,-0.898299,-0.136100,-0.976247,-0.104502,-0.705839,-0.090891,-0.645616,0.000000,0.000000,-0.286775,-0.042427,-0.565254,-0.240575,-0.665754,-0.523110,-0.591462,-0.794020,-0.724629,-0.738888,-0.937357,-1.077176,-1.042335,-1.309108,-1.094922,-1.516244,-0.524542,-0.851385,-0.631452,-1.105196,-0.504679,-0.747294,-0.438417,-0.560121,-0.302160,-0.902120,-0.379087,-1.063059,-0.287269,-0.690431,-0.234549,-0.535088,-0.061103,-0.909902,-0.153040,-1.045796,-0.131115,-0.765039,-0.102146,-0.629007
X,Right,1778885040186,0.000000,0.000000,-0.240197,-0.014244,-0.488511,-0.186245,-0.584985,-0.473141,-0.588012,-0.744726,-0.741374,-0.722696,-1.041208,-1.074338,-1.223189,-1.301941,-1.350378,-1.523928,-0.523066,-0.852292,-0.631972,-1.086941,-0.497634,-0.693692,-0.448533,-0.587271,-0.285552,-0.914708,-0.360124,-1.008020,-0.269217,-0.629162,-0.236237,-0.575900,-0.049355,-0.915965,-0.131217,-0.978861,-0.100385,-0.703053,-0.084334,-0.656035,0.000000,0.000000,-0.290279,-0.036291,-0.573152,-0.222496,-0.686700,-0.499594,-0.611198,-0.778780,-0.729387,-0.728472,-0.976619,-1.072025,-1.120826,-1.310886,-1.211156,-1.531186,-0.535684,-0.844419,-0.658100,-1.090770,-0.513459,-0.724262,-0.437980,-0.536028,-0.319748,-0.903676,-0.402701,-1.051752,-0.296266,-0.669003,-0.240110,-0.512672,-0.082807,-0.918282,-0.174709,-1.050165,-0.141428,-0.758204,-0.107223,-0.623490
X,Right,1778885040631,0.000000,0.000000,-0.232271,-0.020858,-0.466504,-0.210880,-0.575816,-0.495595,-0.602526,-0.768454,-0.734436,-0.723581,-1.018435,-1.068074,-1.190042,-1.300730,-1.305083,-1.526519,-0.520498,-0.853863,-0.605267,-1.081160,-0.472960,-0.710400,-0.428595,-0.592813,-0.284416,-0.914296,-0.343306,-0.997536,-0.256640,-0.635268,-0.234210,-0.569405,-0.052190,-0.906849,-0.115806,-0.959188,-0.087720,-0.691516,-0.077031,-0.637202,0.000000,0.000000,-0.290992,-0.034403,-0.566527,-0.223881,-0.681366,-0.507221,-0.610188,-0.798471,-0.730019,-0.740106,-0.934034,-1.103814,-0.982768,-1.348472,-0.972339,-1.556502,-0.527065,-0.849825,-0.634182,-1.100778,-0.504900,-0.744025,-0.458039,-0.576539,-0.311061,-0.905771,-0.379589,-1.055971,-0.280923,-0.692929,-0.238931,-0.563591,-0.075612,-0.922755,-0.160404,-1.044359,-0.134105,-0.773416,-0.108467,-0.657849
X,Right,1778885041304,0.000000,0.000000,-0.245698,-0.013516,-0.496651,-0.211504,-0.594383,-0.517136,-0.615834,-0.782271,-0.754186,-0.724486,-1.049942,-1.091320,-1.226191,-1.324465,-1.357964,-1.550573,-0.532148,-0.846651,-0.645439,-1.107989,-0.496079,-0.728842,-0.444920,-0.605286,-0.291177,-0.907756,-0.374258,-1.039566,-0.270915,-0.665393,-0.237859,-0.591142,-0.054406,-0.908242,-0.140776,-1.019822,-0.103709,-0.740647,-0.088342,-0.671737,0.000000,0.000000,-0.288265,-0.032501,-0.560006,-0.215706,-0.665296,-0.498924,-0.597131,-0.781717,-0.730576,-0.741319,-0.936345,-1.087007,-1.018335,-1.333038,-1.041748,-1.540283,-0.527705,-0.849428,-0.632956,-1.089393,-0.497096,-0.719955,-0.442340,-0.547623,-0.310249,-0.904026,-0.374017,-1.044672,-0.274928,-0.661938,-0.233230,-0.521965,-0.072458,-0.917532,-0.149770,-1.039483,-0.121584,-0.749758,-0.096120,-0.624176
X,Right,1778885041807,0.000000,0.000000,-0.244439,-0.006050,-0.495662,-0.191271,-0.597070,-0.490761,-0.620178,-0.775216,-0.743639,-0.719659,-1.035633,-1.081673,-1.218576,-1.310552,-1.352852,-1.537669,-0.524395,-0.851475,-0.631901,-1.082089,-0.484258,-0.693893,-0.428713,-0.585524,-0.284405,-0.910218,-0.362417,-1.012649,-0.265216,-0.635156,-0.229724,-0.574496,-0.047527,-0.905842,-0.126875,-0.983173,-0.095748,-0.696302,-0.079837,-0.634107,0.000000,0.000000,-0.275512,-0.030825,-0.554471,-0.203013,-0.672130,-0.488786,-0.596721,-0.780373,-0.722582,-0.739839,-0.960530,-1.063810,-1.100077,-1.308457,-1.181798,-1.525009,-0.525433,-0.850835,-0.642195,-1.081405,-0.504987,-0.718864,-0.442816,-0.545129,-0.313621,-0.904255,-0.386647,-1.033234,-0.283402,-0.665998,-0.229029,-0.524633,-0.082691,-0.915554,-0.171782,-1.027977,-0.138024,-0.751480,-0.102663,-0.626600
X,Right,1778885042929,0.000000,0.000000,-0.251383,-0.020887,-0.493968,-0.212325,-0.579139,-0.511592,-0.585752,-0.781729,-0.749160,-0.722465,-1.039548,-1.089107,-1.216443,-1.319936,-1.351275,-1.545270,-0.526858,-0.849953,-0.631743,-1.099599,-0.485975,-0.724791,-0.438535,-0.605688,-0.287902,-0.911891,-0.361591,-1.021797,-0.264196,-0.652035,-0.236530,-0.582446,-0.052459,-0.913401,-0.134920,-1.014776,-0.102486,-0.732010,-0.090341,-0.652636,0.000000,0.000000,-0.289340,-0.029529,-0.564530,-0.211058,-0.676633,-0.492091,-0.606253,-0.781429,-0.735480,-0.732142,-0.969908,-1.079793,-1.071619,-1.329981,-1.112058,-1.552451,-0.531869,-0.846826,-0.645163,-1.093714,-0.510686,-0.713892,-0.458410,-0.549081,-0.312048,-0.905613,-0.378257,-1.053545,-0.284785,-0.666508,-0.244980,-0.538712,-0.071589,-0.915910,-0.149881,-1.052687,-0.126043,-0.759912,-0.096620,-0.639887
X,Right,1778885044087,0.000000,0.000000,-0.240503,-0.016472,-0.474937,-0.203712,-0.565230,-0.495378,-0.576398,-0.778307,-0.740251,-0.713706,-1.019488,-1.072625,-1.195848,-1.301858,-1.329862,-1.528936,-0.522886,-0.852403,-0.610277,-1.085258,-0.467704,-0.709831,-0.430270,-0.598129,-0.285630,-0.921672,-0.338783,-0.999478,-0.247712,-0.639151,-0.235215,-0.588692,-0.054900,-0.926449,-0.117521,-0.989837,-0.086200,-0.714767,-0.083509,-0.660685,0.000000,0.000000,-0.287639,-0.033459,-0.567196,-0.208114,-0.669720,-0.486509,-0.607302,-0.773818,-0.728694,-0.738084,-0.957855,-1.087889,-1.077364,-1.329247,-1.139008,-1.540420,-0.525692,-0.850675,-0.642893,-1.088480,-0.505815,-0.718140,-0.445586,-0.555091,-0.308700,-0.907276,-0.382753,-1.026987,-0.280846,-0.653339,-0.232725,-0.534771,-0.071038,-0.920579,-0.157811,-1.026841,-0.128753,-0.739464,-0.100917,-0.624831
X,Right,1778885044398,0.000000,0.000000,-0.250030,-0.024783,-0.494767,-0.213715,-0.583325,-0.514781,-0.599335,-0.799028,-0.739191,-0.729560,-1.026500,-1.082033,-1.202268,-1.306502,-1.331616,-1.530920,-0.522172,-0.852840,-0.629686,-1.095979,-0.497519,-0.722814,-0.447046,-0.605060,-0.285348,-0.912516,-0.359265,-1.015657,-0.268070,-0.645741,-0.236623,-0.581315,-0.051252,-0.913530,-0.131769,-0.995816,-0.101777,-0.721975,-0.086621,-0.664397,0.000000,0.000000,-0.280975,-0.038594,-0.557549,-0.219151,-0.668383,-0.501561,-0.602160,-0.800155,-0.723535,-0.734079,-0.971738,-1.072315,-1.134112,-1.320515,-1.235983,-1.536830,-0.526650,-0.850082,-0.647648,-1.085854,-0.508165,-0.715553,-0.441276,-0.551498,-0.310913,-0.904067,-0.390217,-1.050924,-0.290425,-0.675991,-0.236444,-0.548575,-0.069501,-0.916539,-0.161062,-1.041645,-0.130360,-0.759784,-0.095053,-0.649661
X,Right,1778885044961,0.000000,0.000000,-0.250011,-0.009450,-0.496728,-0.193462,-0.588567,-0.487821,-0.597241,-0.760826,-0.751795,-0.709897,-1.053826,-1.065766,-1.237828,-1.295399,-1.371921,-1.522094,-0.533738,-0.845650,-0.653687,-1.102296,-0.506994,-0.714725,-0.453105,-0.599073,-0.294626,-0.911965,-0.381996,-1.032903,-0.279615,-0.657353,-0.242676,-0.595624,-0.055929,-0.917508,-0.152116,-1.013509,-0.116154,-0.734576,-0.095491,-0.674752,0.000000,0.000000,-0.280073,-0.025661,-0.552162,-0.200530,-0.655446,-0.486821,-0.596243,-0.777089,-0.734035,-0.728378,-0.968791,-1.073402,-1.085207,-1.323154,-1.143356,-1.538154,-0.534916,-0.844905,-0.637678,-1.077387,-0.494718,-0.711243,-0.448030,-0.555873,-0.320996,-0.907980,-0.380486,-1.032017,-0.273861,-0.658825,-0.235155,-0.540407,-0.085061,-0.930556,-0.157999,-1.028578,-0.125419,-0.743699,-0.102533,-0.631652
