label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
Y,Right,1778885078865,0.000000,0.000000,-0.397501,-0.127566,-0.631655,-0.323737,-0.805341,-0.453310,-0.990906,-0.588270,-0.439460,-1.001463,-0.571346,-1.377566,-0.600102,-1.660699,-0.601464,-1.913636,-0.290661,-0.956826,-0.734051,-0.929439,-0.809786,-0.597440,-0.744730,-0.381998,-0.210610,-0.786779,-0.644621,-0.694951,-0.681029,-0.415180,-0.597301,-0.240609,-0.165561,-0.570921,-0.501901,-0.498950,-0.567661,-0.302410,-0.534956,-0.168413,0.000000,0.000000,-0.220482,-0.276217,-0.415305,-0.599572,-0.613635,-0.855639,-0.784600,-1.045766,-0.065267,-1.079730,0.099367,-1.456814,0.216206,-1.676847,0.323832,-1.886996,0.160078,-0.987104,0.125052,-0.965358,-0.016753,-0.637114,-0.032599,-0.628646,0.334878,-0.808304,0.272048,-0.723405,0.118676,-0.483758,0.101686,-0.493984,0.478696,-0.593174,0.411095,-0.500571,0.255931,-0.348182,0.220722,-0.328993
Y,Right,1778885079397,0.000000,0.000000,-0.397217,-0.121289,-0.641113,-0.327130,-0.822017,-0.461865,-0.995534,-0.616346,-0.441948,-1.004325,-0.569270,-1.401282,-0.598009,-1.628612,-0.583743,-1.835253,-0.291444,-0.956588,-0.735560,-0.976304,-0.806806,-0.640983,-0.728154,-0.429856,-0.208266,-0.789690,-0.647930,-0.708412,-0.693808,-0.409013,-0.614828,-0.241630,-0.162603,-0.581799,-0.495483,-0.513711,-0.563283,-0.304265,-0.533028,-0.170725,0.000000,0.000000,-0.203927,-0.288986,-0.393603,-0.609441,-0.597398,-0.845404,-0.758046,-1.016708,-0.034978,-1.071728,0.107153,-1.437829,0.221397,-1.657980,0.325965,-1.860142,0.185492,-0.982646,0.120884,-0.931157,-0.005969,-0.624003,-0.013880,-0.609322,0.355816,-0.800314,0.265517,-0.696061,0.127073,-0.470261,0.118117,-0.477730,0.493630,-0.580519,0.412208,-0.489003,0.263821,-0.349159,0.236865,-0.329538
Y,Right,1778885080486,0.000000,0.000000,-0.377172,-0.160318,-0.597909,-0.375605,-0.758001,-0.517363,-0.915819,-0.672127,-0.361772,-1.039950,-0.451080,-1.467893,-0.461654,-1.769478,-0.446840,-2.041556,-0.209203,-0.977872,-0.661411,-1.006949,-0.758727,-0.674801,-0.702549,-0.450744,-0.137492,-0.802255,-0.592756,-0.744169,-0.652331,-0.454677,-0.578332,-0.269931,-0.104979,-0.589791,-0.454838,-0.555625,-0.533355,-0.352715,-0.504207,-0.208868,0.000000,0.000000,-0.220502,-0.255046,-0.419637,-0.560886,-0.635098,-0.795427,-0.806103,-0.969342,-0.079414,-1.065352,0.070760,-1.436292,0.182095,-1.666453,0.283024,-1.868974,0.154255,-0.988031,0.101134,-0.949164,-0.024779,-0.622978,-0.027977,-0.599705,0.334810,-0.813039,0.250099,-0.712548,0.118163,-0.475470,0.117964,-0.470340,0.487037,-0.604000,0.395114,-0.503034,0.254901,-0.345351,0.235967,-0.324973
Y,Right,1778885081381,0.000000,0.000000,-0.384945,-0.161212,-0.596624,-0.376039,-0.763626,-0.516541,-0.934378,-0.645756,-0.373691,-1.024154,-0.497213,-1.426587,-0.540469,-1.697215,-0.563256,-1.945626,-0.235067,-0.971979,-0.684241,-0.996266,-0.782897,-0.670380,-0.743253,-0.443744,-0.170981,-0.799096,-0.613360,-0.741727,-0.665326,-0.455778,-0.602730,-0.266221,-0.150573,-0.583147,-0.486627,-0.531840,-0.560960,-0.340120,-0.543587,-0.204956,0.000000,0.000000,-0.218040,-0.259536,-0.414106,-0.562893,-0.630300,-0.797704,-0.797934,-0.971929,-0.060556,-1.067303,0.078468,-1.443103,0.184891,-1.677023,0.282955,-1.879205,0.171827,-0.985127,0.113425,-0.928418,-0.012425,-0.610196,-0.015888,-0.588721,0.348087,-0.804108,0.250134,-0.687013,0.117873,-0.465686,0.114423,-0.468403,0.491360,-0.589339,0.390046,-0.477529,0.250656,-0.332562,0.230028,-0.321193
Y,Right,1778885082015,0.000000,0.000000,-0.394325,-0.158566,-0.590785,-0.384774,-0.745330,-0.530094,-0.917591,-0.680216,-0.360074,-1.040898,-0.433721,-1.464767,-0.438095,-1.762414,-0.414885,-2.021932,-0.214522,-0.976719,-0.655710,-1.027924,-0.763016,-0.718169,-0.716195,-0.502059,-0.154241,-0.788697,-0.601885,-0.762757,-0.664568,-0.507120,-0.596756,-0.338087,-0.146874,-0.560212,-0.490123,-0.518338,-0.567357,-0.344074,-0.540295,-0.224387,0.000000,0.000000,-0.223097,-0.251903,-0.422854,-0.551966,-0.637593,-0.776897,-0.806518,-0.956579,-0.064415,-1.072986,0.077377,-1.453939,0.186609,-1.697677,0.287335,-1.903691,0.177423,-0.984135,0.095479,-0.937198,-0.024957,-0.612880,-0.018128,-0.584569,0.358730,-0.794866,0.252590,-0.681510,0.122085,-0.445411,0.124202,-0.437780,0.508084,-0.572149,0.405497,-0.471023,0.265620,-0.310620,0.245955,-0.286108
Y,Right,1778885082691,0.000000,0.000000,-0.337988,-0.237239,-0.483306,-0.499146,-0.571605,-0.688280,-0.620027,-0.878227,-0.129285,-1.070220,-0.165444,-1.462886,-0.129178,-1.728670,-0.071589,-1.965519,-0.026940,-0.999637,-0.443416,-1.128098,-0.526886,-0.892690,-0.463434,-0.719026,-0.017503,-0.835995,-0.449105,-0.875277,-0.486684,-0.674875,-0.401202,-0.545236,-0.056351,-0.636282,-0.396880,-0.598092,-0.419570,-0.448355,-0.340709,-0.369631,0.000000,0.000000,-0.214771,-0.216471,-0.389819,-0.513749,-0.509699,-0.792747,-0.604113,-1.036967,-0.162716,-1.054240,-0.049243,-1.481946,0.036848,-1.745936,0.133412,-1.986345,0.067635,-0.997710,0.005515,-0.995009,-0.107476,-0.625527,-0.099587,-0.608343,0.252709,-0.850549,0.155259,-0.751917,0.035872,-0.489287,0.048068,-0.507180,0.407049,-0.659497,0.310853,-0.548564,0.187999,-0.382703,0.188146,-0.376208
Y,Right,1778885083123,0.000000,0.000000,-0.333281,-0.232341,-0.484332,-0.506896,-0.563928,-0.700875,-0.633013,-0.890267,-0.149659,-1.049229,-0.186574,-1.418758,-0.164132,-1.665088,-0.117510,-1.888886,-0.036484,-0.999334,-0.416042,-1.131372,-0.489082,-0.905355,-0.413142,-0.755250,-0.007871,-0.854184,-0.413202,-0.896800,-0.447919,-0.686651,-0.354880,-0.576044,-0.026084,-0.661759,-0.358913,-0.615859,-0.378624,-0.461086,-0.295419,-0.396958,0.000000,0.000000,-0.224841,-0.240437,-0.421138,-0.537770,-0.607785,-0.785208,-0.743411,-1.006585,-0.124902,-1.055846,0.005571,-1.467103,0.101102,-1.724445,0.204736,-1.951443,0.121285,-0.992618,0.028583,-0.959506,-0.087902,-0.616231,-0.075429,-0.586512,0.305887,-0.821164,0.167854,-0.682490,0.045974,-0.451049,0.062258,-0.461937,0.449591,-0.604416,0.316043,-0.456064,0.194106,-0.310203,0.199344,-0.306179
Y,Right,1778885084169,0.000000,0.000000,-0.335518,-0.235864,-0.513112,-0.480081,-0.615523,-0.651599,-0.643835,-0.793226,-0.212886,-1.067064,-0.283513,-1.425301,-0.283681,-1.692107,-0.260209,-1.930742,-0.087024,-0.996206,-0.530214,-0.947463,-0.556696,-0.724569,-0.455905,-0.633813,-0.043063,-0.814677,-0.490251,-0.663364,-0.481546,-0.502929,-0.371822,-0.465256,-0.051397,-0.590440,-0.405692,-0.451877,-0.406023,-0.327699,-0.316808,-0.312410,0.000000,0.000000,-0.212911,-0.244589,-0.387066,-0.548751,-0.554761,-0.828758,-0.707834,-1.053806,-0.114702,-1.046416,0.022904,-1.411510,0.129577,-1.647845,0.236012,-1.858462,0.109435,-0.993994,0.044252,-0.937615,-0.079026,-0.619867,-0.084379,-0.608152,0.280537,-0.840985,0.179109,-0.691288,0.050789,-0.475910,0.041489,-0.501371,0.420991,-0.646754,0.323249,-0.501146,0.192902,-0.353508,0.168761,-0.349947
Y,Right,1778885085076,0.000000,0.000000,-0.363186,-0.200099,-0.548739,-0.438675,-0.662558,-0.612762,-0.710681,-0.749305,-0.260759,-1.055664,-0.348465,-1.412664,-0.362592,-1.680870,-0.351235,-1.922823,-0.134735,-0.990882,-0.584212,-0.927698,-0.600690,-0.694436,-0.496241,-0.597683,-0.087903,-0.809412,-0.537246,-0.610020,-0.511210,-0.448936,-0.396235,-0.423183,-0.097132,-0.582337,-0.446305,-0.396037,-0.430682,-0.265746,-0.337482,-0.262634,0.000000,0.000000,-0.218591,-0.272740,-0.407109,-0.576343,-0.615057,-0.821501,-0.801213,-1.005684,-0.097713,-1.054089,0.041549,-1.410365,0.149876,-1.649641,0.257547,-1.848953,0.134530,-0.990909,0.049722,-0.922380,-0.070666,-0.600240,-0.067242,-0.563655,0.308680,-0.818319,0.185058,-0.667910,0.061336,-0.452371,0.062330,-0.450525,0.448307,-0.608513,0.336150,-0.476762,0.205384,-0.332807,0.188762,-0.316909
Y,Right,1778885085431,0.000000,0.000000,-0.351867,-0.211286,-0.539440,-0.448535,-0.648085,-0.624019,-0.689816,-0.747827,-0.252846,-1.054596,-0.336673,-1.397514,-0.336767,-1.655069,-0.315297,-1.892618,-0.117698,-0.993049,-0.561127,-0.903579,-0.582177,-0.674052,-0.482386,-0.580948,-0.066273,-0.809018,-0.507854,-0.603317,-0.485943,-0.451530,-0.371259,-0.429544,-0.068104,-0.582910,-0.410259,-0.391633,-0.403925,-0.267234,-0.317033,-0.266388,0.000000,0.000000,-0.218896,-0.257170,-0.409695,-0.556259,-0.606923,-0.808624,-0.786567,-1.008945,-0.097994,-1.048069,0.037768,-1.403149,0.147455,-1.640833,0.251761,-1.840189,0.134413,-0.990925,0.053520,-0.921392,-0.063222,-0.607835,-0.063018,-0.575692,0.307216,-0.822615,0.186818,-0.667953,0.064876,-0.452647,0.061948,-0.453296,0.445967,-0.615312,0.336791,-0.471001,0.206434,-0.328177,0.185159,-0.321659
