label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
B,Right,1778620001801,0.000000,0.000000,-0.239436,-0.166524,-0.377017,-0.464822,-0.296808,-0.753771,-0.137230,-0.812358,-0.378777,-0.901722,-0.406040,-1.247909,-0.399895,-1.465908,-0.383596,-1.666940,-0.235454,-0.971885,-0.265015,-1.362184,-0.266966,-1.610677,-0.268246,-1.837727,-0.089840,-0.957761,-0.118204,-1.329374,-0.131964,-1.565598,-0.148556,-1.769935,0.062649,-0.879924,0.035787,-1.170225,0.011100,-1.357768,-0.011928,-1.520149
B,Right,1778620006871,0.000000,0.000000,-0.226421,-0.178314,-0.355989,-0.492768,-0.265282,-0.778929,-0.101827,-0.813586,-0.366677,-0.905084,-0.383539,-1.245042,-0.371583,-1.463849,-0.351102,-1.664927,-0.223245,-0.974762,-0.243683,-1.360801,-0.239707,-1.613157,-0.238390,-1.843056,-0.075581,-0.956792,-0.094736,-1.324500,-0.107466,-1.559125,-0.123612,-1.761536,0.075087,-0.874448,0.055268,-1.164745,0.034719,-1.354626,0.014341,-1.517913
B,Right,1778620011344,0.000000,0.000000,-0.253688,-0.187747,-0.384035,-0.502224,-0.423595,-0.777294,-0.336732,-0.830762,-0.297890,-0.946379,-0.318667,-1.287702,-0.328295,-1.512092,-0.319320,-1.711549,-0.220487,-0.975390,-0.249913,-1.386180,-0.251089,-1.659063,-0.240891,-1.900420,-0.127354,-0.939396,-0.158600,-1.352778,-0.161505,-1.616693,-0.156099,-1.843312,-0.026343,-0.848541,-0.060916,-1.165347,-0.076014,-1.378044,-0.079721,-1.567506
B,Right,1778620013666,0.000000,0.000000,-0.166736,-0.194286,-0.159263,-0.496672,-0.002594,-0.725138,0.163995,-0.766644,-0.126493,-0.959343,-0.043141,-1.332168,0.022048,-1.578320,0.074703,-1.793013,0.015939,-0.999873,0.091969,-1.408298,0.147460,-1.692527,0.178437,-1.951646,0.135550,-0.966160,0.203890,-1.344206,0.239138,-1.606433,0.258220,-1.836491,0.244145,-0.881232,0.304923,-1.155665,0.328411,-1.357040,0.338288,-1.535835
B,Right,1778620015216,0.000000,0.000000,-0.271536,-0.025371,-0.537763,-0.240326,-0.628567,-0.557710,-0.499390,-0.754298,-0.667526,-0.685997,-0.825157,-0.978419,-0.894290,-1.178866,-0.940928,-1.370361,-0.564184,-0.825649,-0.742372,-1.161440,-0.834527,-1.390212,-0.916028,-1.602338,-0.422861,-0.893016,-0.596663,-1.226190,-0.700484,-1.438330,-0.795471,-1.625293,-0.247863,-0.907973,-0.390531,-1.163875,-0.486737,-1.332750,-0.572539,-1.484100
B,Right,1778620017663,0.000000,0.000000,-0.220496,-0.141502,-0.353588,-0.408477,-0.259721,-0.646828,-0.108228,-0.699725,-0.444521,-0.857652,-0.505295,-1.197134,-0.515126,-1.413074,-0.516830,-1.608211,-0.307171,-0.951654,-0.375204,-1.331062,-0.401407,-1.575116,-0.427898,-1.794324,-0.156458,-0.963398,-0.224286,-1.334267,-0.265681,-1.557333,-0.309766,-1.758913,0.007990,-0.909554,-0.051211,-1.192802,-0.097934,-1.370762,-0.144501,-1.528463
B,Right,1778620018512,0.000000,0.000000,-0.209316,-0.172115,-0.325265,-0.438187,-0.235432,-0.683797,-0.081038,-0.761362,-0.431413,-0.879507,-0.476863,-1.236470,-0.476901,-1.462536,-0.467182,-1.667340,-0.296355,-0.955078,-0.342932,-1.349178,-0.352996,-1.603654,-0.364022,-1.836152,-0.144862,-0.952119,-0.190424,-1.326181,-0.215292,-1.561837,-0.240528,-1.769404,0.022726,-0.888462,-0.020724,-1.176162,-0.060651,-1.364542,-0.099761,-1.529345
B,Right,1778620019571,0.000000,0.000000,-0.223135,-0.163195,-0.362117,-0.432195,-0.328235,-0.735717,-0.221019,-0.937172,-0.458156,-0.846692,-0.505422,-1.201103,-0.505739,-1.415169,-0.498819,-1.602190,-0.315949,-0.948776,-0.372804,-1.335268,-0.388407,-1.562059,-0.409760,-1.767745,-0.170411,-0.966822,-0.225841,-1.330080,-0.262252,-1.538304,-0.300624,-1.719960,-0.003260,-0.923038,-0.062757,-1.201239,-0.106068,-1.367011,-0.153106,-1.513327
B,Right,1778620020772,0.000000,0.000000,-0.221101,-0.160742,-0.361587,-0.419057,-0.303368,-0.680157,-0.160831,-0.744624,-0.457916,-0.864206,-0.507841,-1.196773,-0.509305,-1.399429,-0.503780,-1.581715,-0.323364,-0.946275,-0.379898,-1.318891,-0.397100,-1.550412,-0.417620,-1.755706,-0.178334,-0.954352,-0.231618,-1.309935,-0.267197,-1.519443,-0.304700,-1.700550,-0.017240,-0.900488,-0.069314,-1.180749,-0.108163,-1.350663,-0.146824,-1.497355
B,Left,1778620023863,0.000000,0.000000,-0.235532,-0.184776,-0.386521,-0.526898,-0.286028,-0.828165,-0.098104,-0.872292,-0.340716,-0.921803,-0.358834,-1.247607,-0.332997,-1.442177,-0.303382,-1.626702,-0.194665,-0.980870,-0.202965,-1.340017,-0.195803,-1.583707,-0.179028,-1.802934,-0.060179,-0.956487,-0.067227,-1.291730,-0.076593,-1.509113,-0.067839,-1.694852,0.078867,-0.874031,0.069818,-1.145725,0.048363,-1.323457,0.032523,-1.481981
