label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
C,Right,1778620066584,0.000000,0.000000,-0.325170,-0.168285,-0.549189,-0.369849,-0.722097,-0.478612,-0.842043,-0.633851,-0.279953,-0.966009,-0.495724,-1.222903,-0.686597,-1.147021,-0.797856,-0.994162,-0.208521,-0.978018,-0.502900,-1.272725,-0.721401,-1.145101,-0.807585,-0.961310,-0.169147,-0.930694,-0.445015,-1.214861,-0.677466,-1.102123,-0.785813,-0.933970,-0.177997,-0.819050,-0.394893,-1.043326,-0.581904,-1.006957,-0.695995,-0.906529
C,Right,1778620068607,0.000000,0.000000,-0.337463,-0.171785,-0.560994,-0.365394,-0.733654,-0.467854,-0.852688,-0.627262,-0.301596,-0.948193,-0.518236,-1.183318,-0.706255,-1.113588,-0.826645,-0.970349,-0.230380,-0.973101,-0.531327,-1.249112,-0.746209,-1.125438,-0.840561,-0.946493,-0.188445,-0.941294,-0.474261,-1.224193,-0.703754,-1.101377,-0.815343,-0.923764,-0.191293,-0.844883,-0.429709,-1.055078,-0.619696,-1.002807,-0.737076,-0.891808
C,Right,1778620074284,0.000000,0.000000,-0.336772,-0.162040,-0.526156,-0.384513,-0.693176,-0.510604,-0.821440,-0.629608,-0.176499,-0.977924,-0.482414,-1.186307,-0.699566,-1.091278,-0.826720,-0.933075,-0.143093,-0.989709,-0.521971,-1.261372,-0.751019,-1.119082,-0.855843,-0.935043,-0.158623,-0.932015,-0.502692,-1.236241,-0.723604,-1.105656,-0.829024,-0.925369,-0.245374,-0.811876,-0.532481,-1.024002,-0.708939,-0.972606,-0.815485,-0.858636
C,Right,1778620076518,0.000000,0.000000,-0.318001,-0.111677,-0.561150,-0.324555,-0.746782,-0.433795,-0.877644,-0.607338,-0.347277,-0.899557,-0.501993,-1.173178,-0.679426,-1.128713,-0.806166,-1.011681,-0.277242,-0.960800,-0.489986,-1.283917,-0.708111,-1.193171,-0.834335,-1.016467,-0.217848,-0.979811,-0.453268,-1.308939,-0.687887,-1.182360,-0.820365,-0.996201,-0.193307,-0.950478,-0.439279,-1.207013,-0.641858,-1.131605,-0.772333,-0.988231
C,Right,1778620077386,0.000000,0.000000,-0.338522,-0.140331,-0.578813,-0.341847,-0.788388,-0.463889,-0.916491,-0.582747,-0.184328,-1.010780,-0.540576,-1.256866,-0.776556,-1.131503,-0.913764,-0.943846,-0.166901,-0.985974,-0.626549,-1.286047,-0.853188,-1.103796,-0.934687,-0.884702,-0.186871,-0.902932,-0.578039,-1.157663,-0.805690,-1.021851,-0.913161,-0.829580,-0.256174,-0.764989,-0.545826,-0.946689,-0.736202,-0.898316,-0.860290,-0.787121
C,Right,1778620080046,0.000000,0.000000,0.226387,-0.017214,0.501864,-0.174991,0.785776,-0.289447,0.999727,-0.381601,0.261293,-0.885122,0.662859,-1.132011,0.878069,-0.959311,0.963420,-0.786762,0.211712,-0.977332,0.634772,-1.248793,0.857363,-1.051574,0.934797,-0.811714,0.210294,-0.979537,0.578425,-1.198799,0.773954,-1.030966,0.849950,-0.825948,0.237502,-0.930016,0.515994,-1.105069,0.676771,-1.010502,0.764173,-0.871486
C,Right,1778620080650,0.000000,0.000000,0.231807,-0.003097,0.505455,-0.171353,0.790125,-0.286950,1.012610,-0.373639,0.275845,-0.878460,0.678655,-1.134991,0.894619,-0.958337,0.980182,-0.781228,0.218508,-0.975835,0.639298,-1.256305,0.862039,-1.051922,0.936889,-0.809242,0.210367,-0.979333,0.566841,-1.206138,0.760523,-1.038201,0.838759,-0.833432,0.232378,-0.929654,0.494171,-1.107283,0.652746,-1.009199,0.743291,-0.863325
C,Left,1778620083490,0.000000,0.000000,-0.361261,0.004467,-0.655974,-0.122912,-0.896692,-0.190032,-1.085871,-0.327753,-0.548845,-0.794438,-0.735881,-1.066353,-0.919716,-1.087164,-1.056137,-1.030233,-0.474981,-0.879996,-0.695590,-1.238095,-0.914982,-1.204654,-1.048100,-1.033123,-0.379562,-0.940343,-0.605758,-1.298428,-0.828313,-1.233722,-0.960605,-1.065112,-0.282643,-0.956301,-0.499230,-1.248977,-0.688397,-1.224726,-0.824043,-1.102464
C,Left,1778620084269,0.000000,0.000000,-0.339638,0.013996,-0.642496,-0.108312,-0.883421,-0.180042,-1.068315,-0.324199,-0.546738,-0.796422,-0.731626,-1.062890,-0.912899,-1.082396,-1.043624,-1.020961,-0.471575,-0.881826,-0.694857,-1.221324,-0.910452,-1.185422,-1.040145,-1.017425,-0.377480,-0.937843,-0.603608,-1.284116,-0.823268,-1.232211,-0.955134,-1.072685,-0.280222,-0.952593,-0.489417,-1.234887,-0.677065,-1.223535,-0.814714,-1.110157
C,Left,1778620085009,0.000000,0.000000,-0.322415,-0.067232,-0.539928,-0.219873,-0.715700,-0.298953,-0.868489,-0.391650,-0.268706,-0.939481,-0.534006,-1.179745,-0.759178,-1.097621,-0.911720,-0.964114,-0.227650,-0.973743,-0.545575,-1.243311,-0.798421,-1.128710,-0.944871,-0.940926,-0.231961,-0.950863,-0.545024,-1.256131,-0.799390,-1.152585,-0.942086,-0.979889,-0.292948,-0.870818,-0.563719,-1.115345,-0.761033,-1.069970,-0.887769,-0.953856
