label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
D,Right,1778620524688,0.000000,0.000000,-0.222522,-0.236753,-0.311431,-0.594874,-0.264494,-0.893385,-0.128314,-1.020809,-0.243435,-0.996366,-0.273073,-1.414104,-0.284944,-1.670137,-0.272151,-1.899788,-0.079454,-0.996839,-0.032097,-1.412479,-0.109797,-1.255132,-0.164049,-1.063711,0.079494,-0.938063,0.141306,-1.332988,0.033038,-1.184318,-0.031298,-0.981712,0.227444,-0.818382,0.259654,-1.118058,0.165055,-1.065631,0.099184,-0.920529
D,Right,1778620526137,0.000000,0.000000,-0.264723,-0.087854,-0.472506,-0.336678,-0.525617,-0.602736,-0.453012,-0.783845,-0.584901,-0.808900,-0.773844,-1.171764,-0.885842,-1.389810,-0.967688,-1.603553,-0.420358,-0.907359,-0.519711,-1.322502,-0.529214,-1.113824,-0.511703,-0.920539,-0.243869,-0.939714,-0.326616,-1.329138,-0.368139,-1.057300,-0.354335,-0.818341,-0.062755,-0.898859,-0.156825,-1.158193,-0.227095,-1.009448,-0.234668,-0.846991
D,Right,1778620527532,0.000000,0.000000,-0.156490,-0.310699,-0.186923,-0.693972,-0.160863,-0.976118,-0.026009,-1.118821,0.043187,-1.060096,0.165095,-1.446326,0.262962,-1.654040,0.373402,-1.812932,0.165093,-0.986278,0.269304,-1.412299,0.129274,-1.379342,0.029685,-1.267104,0.282117,-0.876276,0.411238,-1.264722,0.229027,-1.168169,0.101804,-0.997566,0.389170,-0.708966,0.468244,-1.006774,0.327414,-0.993202,0.208239,-0.879595
D,Right,1778620528662,0.000000,0.000000,-0.326932,-0.131837,-0.506421,-0.346775,-0.655862,-0.474198,-0.771273,-0.563079,-0.265098,-0.974103,-0.380928,-1.299469,-0.439051,-1.521642,-0.480774,-1.712070,-0.253165,-0.967423,-0.640946,-1.098498,-0.750247,-0.873976,-0.731180,-0.697087,-0.288091,-0.857797,-0.678732,-0.976544,-0.767596,-0.748714,-0.735965,-0.569656,-0.358655,-0.688553,-0.698451,-0.782963,-0.762409,-0.632938,-0.723602,-0.480094
D,Right,1778620530950,0.000000,0.000000,0.107778,-0.152573,0.314825,-0.387856,0.567571,-0.580594,0.640010,-0.858527,0.035846,-1.024485,0.075998,-1.479495,0.080882,-1.792476,0.056771,-2.049006,0.106352,-0.994329,0.330113,-1.372704,0.535261,-1.208693,0.621574,-0.978544,0.176005,-0.955196,0.400524,-1.269605,0.567006,-1.084769,0.620514,-0.928149,0.240262,-0.885470,0.433983,-1.052534,0.548801,-0.971775,0.556704,-0.871779
D,Right,1778620532971,0.000000,0.000000,-0.205525,-0.170908,-0.300945,-0.443947,-0.230733,-0.685504,-0.100048,-0.848922,-0.268062,-1.024178,-0.266535,-1.441978,-0.250398,-1.690621,-0.216724,-1.917009,-0.084128,-0.996455,-0.021567,-1.385086,-0.070341,-1.167673,-0.112892,-0.977766,0.077781,-0.909698,0.155879,-1.236195,0.078391,-0.992644,0.021334,-0.791303,0.214971,-0.759334,0.251665,-1.000496,0.180519,-0.838324,0.128900,-0.680106
D,Right,1778620533508,0.000000,0.000000,-0.215800,-0.173847,-0.323994,-0.459627,-0.244333,-0.703811,-0.113084,-0.836283,-0.306848,-1.009401,-0.359422,-1.425958,-0.386819,-1.678694,-0.401723,-1.907796,-0.126539,-0.991962,-0.086120,-1.373294,-0.112696,-1.149805,-0.135922,-0.963035,0.036645,-0.913707,0.097609,-1.233784,0.031656,-0.971055,-0.009052,-0.769356,0.176515,-0.774034,0.207450,-1.016924,0.140783,-0.845969,0.101332,-0.692204
D,Left,1778620536963,0.000000,0.000000,-0.241537,-0.165145,-0.388419,-0.446096,-0.374526,-0.688877,-0.252851,-0.861407,-0.333645,-0.975961,-0.363634,-1.381851,-0.363559,-1.638391,-0.349731,-1.856330,-0.140845,-0.990032,-0.105188,-1.380010,-0.140420,-1.197841,-0.160319,-0.987415,0.038849,-0.924542,0.081333,-1.276590,0.006981,-1.069283,-0.030493,-0.851773,0.201295,-0.794958,0.217248,-1.049035,0.146442,-0.918786,0.105502,-0.745880
D,Left,1778620538030,0.000000,0.000000,-0.319030,-0.284586,-0.446682,-0.543904,-0.573120,-0.724247,-0.660580,-0.865097,-0.103333,-1.034816,-0.212994,-1.396491,-0.278581,-1.643822,-0.298198,-1.862199,-0.034090,-0.999419,-0.394549,-1.339953,-0.612973,-1.184898,-0.666534,-0.990595,-0.072017,-0.891166,-0.427358,-1.219603,-0.628366,-1.040524,-0.660425,-0.831544,-0.166310,-0.767294,-0.466702,-0.996047,-0.605701,-0.884513,-0.636204,-0.718110
D,Left,1778620539335,0.000000,0.000000,-0.069818,-0.154498,-0.003691,-0.428538,0.216687,-0.641296,0.392612,-0.817761,-0.198091,-0.981794,-0.176690,-1.432314,-0.141160,-1.715406,-0.115168,-1.965762,-0.033780,-0.999429,0.133233,-1.334032,0.283013,-1.131367,0.326540,-0.910468,0.117541,-0.965337,0.260246,-1.244161,0.363856,-1.046992,0.369637,-0.862027,0.218678,-0.887280,0.339717,-1.104876,0.396682,-1.013117,0.384878,-0.873618
D,Left,1778620540520,0.000000,0.000000,-0.222514,-0.157425,-0.360300,-0.451603,-0.354088,-0.680102,-0.237135,-0.844194,-0.313209,-0.978252,-0.330257,-1.362895,-0.319658,-1.602921,-0.299141,-1.802535,-0.135747,-0.990743,-0.101946,-1.343250,-0.134553,-1.173878,-0.157642,-0.992462,0.035406,-0.928677,0.078332,-1.263427,0.017113,-1.096493,-0.013594,-0.905145,0.195447,-0.813300,0.216635,-1.072023,0.158027,-0.967491,0.119494,-0.810263
D,Left,1778620541756,0.000000,0.000000,-0.240917,-0.155560,-0.393454,-0.539746,-0.357085,-0.885291,-0.222612,-1.116219,-0.428535,-0.951487,-0.487511,-1.379932,-0.498344,-1.625454,-0.491426,-1.860597,-0.227890,-0.973687,-0.242059,-1.162308,-0.222860,-0.792810,-0.207227,-0.677631,-0.034585,-0.933323,-0.039812,-1.086583,-0.061246,-0.702843,-0.056492,-0.614224,0.160719,-0.850268,0.127400,-0.938548,0.079712,-0.672674,0.082042,-0.597257
D,Right,1778620687239,0.000000,0.000000,-0.035497,-0.464380,-0.197431,-0.743768,-0.373964,-0.805267,-0.523452,-0.732063,-0.287165,-1.015066,-0.531454,-1.040741,-0.562886,-0.889768,-0.524059,-0.794872,-0.447640,-0.894214,-0.684703,-0.817710,-0.646128,-0.656656,-0.545463,-0.601628,-0.565237,-0.688136,-0.767095,-0.609342,-0.693270,-0.459740,-0.583065,-0.428786,-0.642046,-0.441170,-0.756918,-0.345449,-0.678826,-0.236537,-0.584865,-0.212241
D,Right,legacy_sibi_D_0,0.000000,0.000000,0.306000,-0.110717,0.455143,-0.379550,0.334252,-0.623537,0.143457,-0.786947,0.348676,-0.994541,0.357513,-1.430104,0.358254,-1.680723,0.328790,-1.911541,0.116677,-0.993170,0.012921,-1.358538,0.070895,-1.122685,0.117697,-0.925421,-0.095524,-0.904453,-0.179199,-1.214365,-0.094078,-0.978279,-0.048044,-0.805512,-0.301309,-0.759986,-0.329794,-1.019826,-0.246916,-0.859196,-0.191201,-0.716119
D,Right,legacy_sibi_D_1,0.000000,0.000000,0.307028,-0.139628,0.459494,-0.424039,0.361810,-0.670322,0.184757,-0.830653,0.370846,-0.990458,0.401749,-1.418940,0.392872,-1.675026,0.356849,-1.896343,0.119756,-0.992803,0.053123,-1.371317,0.144918,-1.144690,0.197669,-0.929813,-0.100971,-0.917550,-0.168503,-1.234003,-0.041256,-1.013434,0.015980,-0.810381,-0.300468,-0.785699,-0.328102,-1.037353,-0.209512,-0.913622,-0.145365,-0.766241
D,Right,legacy_sibi_D_2,0.000000,0.000000,0.294557,-0.152711,0.436696,-0.419441,0.350693,-0.658622,0.185528,-0.826533,0.350964,-0.994610,0.389923,-1.409017,0.387929,-1.669413,0.357556,-1.888653,0.107551,-0.994200,0.029350,-1.361549,0.096852,-1.148162,0.142138,-0.939107,-0.104856,-0.916458,-0.181895,-1.203755,-0.062347,-0.995285,0.003218,-0.806182,-0.295406,-0.781182,-0.332131,-1.009287,-0.219338,-0.890612,-0.143992,-0.751709
