label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
F,Right,legacy_sibi_F_0,0.000000,0.000000,0.307271,-0.198262,0.500497,-0.458686,0.615516,-0.710184,0.704599,-0.930481,0.471239,-0.833776,0.573878,-1.063762,0.642213,-1.044927,0.682925,-1.013856,0.347838,-0.937555,0.475664,-1.274416,0.579207,-1.492044,0.677401,-1.703012,0.193056,-0.968669,0.280571,-1.321310,0.360471,-1.567189,0.443634,-1.775066,0.014613,-0.932643,0.030210,-1.243982,0.046529,-1.433733,0.065936,-1.617297
F,Right,legacy_sibi_F_1,0.000000,0.000000,0.361517,-0.065220,0.671932,-0.256703,0.882587,-0.457703,0.866809,-0.637312,0.578649,-0.792894,0.747295,-1.032099,0.805586,-0.904004,0.806243,-0.729325,0.398172,-0.917311,0.548794,-1.318503,0.645496,-1.571582,0.723532,-1.806883,0.201102,-0.951944,0.269673,-1.344940,0.325770,-1.595452,0.391771,-1.816149,-0.019691,-0.906434,-0.029540,-1.236397,-0.032968,-1.451260,-0.018045,-1.651226
F,Right,legacy_sibi_F_2,0.000000,0.000000,0.379030,-0.080726,0.692968,-0.271107,0.901113,-0.453130,0.880898,-0.629424,0.583601,-0.795457,0.743780,-1.051976,0.818556,-0.937341,0.834763,-0.771685,0.389847,-0.920879,0.530985,-1.345465,0.635200,-1.611932,0.715091,-1.853056,0.181617,-0.949811,0.249943,-1.351646,0.317378,-1.619290,0.388033,-1.847729,-0.039271,-0.895184,-0.048892,-1.232692,-0.049239,-1.462450,-0.036544,-1.669788
F,Right,legacy_sibi_F_3,0.000000,0.000000,0.370778,-0.079966,0.673873,-0.258634,0.881762,-0.426195,0.899082,-0.608025,0.582105,-0.795471,0.745823,-1.047378,0.826806,-0.901920,0.847386,-0.712610,0.388292,-0.921536,0.524097,-1.341983,0.624252,-1.605769,0.699016,-1.848148,0.178719,-0.949934,0.237174,-1.343802,0.299426,-1.610890,0.364526,-1.842374,-0.042777,-0.891259,-0.059117,-1.222397,-0.064304,-1.451798,-0.055899,-1.660600
F,Right,legacy_sibi_F_4,0.000000,0.000000,0.370476,-0.084210,0.675306,-0.269216,0.885300,-0.447161,0.882813,-0.625177,0.579921,-0.797853,0.735102,-1.051283,0.811011,-0.940348,0.827995,-0.772991,0.384768,-0.923013,0.518328,-1.354247,0.613358,-1.622455,0.687021,-1.864807,0.175615,-0.951209,0.236448,-1.356769,0.296226,-1.628283,0.359268,-1.858474,-0.045961,-0.891917,-0.066448,-1.232172,-0.074437,-1.463431,-0.068105,-1.671429
F,Right,legacy_sibi_F_5,0.000000,0.000000,0.368719,-0.079785,0.673181,-0.260641,0.885538,-0.431705,0.894045,-0.609422,0.577465,-0.799298,0.741455,-1.052670,0.820693,-0.918586,0.840628,-0.738857,0.384652,-0.923062,0.518273,-1.349163,0.616933,-1.616772,0.690275,-1.861419,0.176579,-0.948054,0.236629,-1.347816,0.298707,-1.618356,0.361725,-1.851872,-0.042229,-0.887236,-0.060516,-1.223349,-0.069715,-1.454054,-0.067288,-1.662423
F,Right,legacy_sibi_F_6,0.000000,0.000000,0.369066,-0.076807,0.676090,-0.253430,0.889841,-0.421917,0.901568,-0.600707,0.583831,-0.797169,0.743734,-1.059347,0.822705,-0.932738,0.843669,-0.757418,0.388189,-0.921580,0.520643,-1.350402,0.617089,-1.619781,0.688250,-1.864756,0.177342,-0.947596,0.237065,-1.349047,0.295959,-1.620961,0.356908,-1.856249,-0.045303,-0.887853,-0.064424,-1.226794,-0.075846,-1.458706,-0.074850,-1.670097
F,Right,legacy_sibi_F_7,0.000000,0.000000,0.369850,-0.079575,0.676248,-0.261106,0.889254,-0.428550,0.894447,-0.600474,0.577680,-0.801039,0.741919,-1.055987,0.820535,-0.920850,0.841284,-0.740458,0.381867,-0.924217,0.514063,-1.350777,0.611093,-1.619026,0.683109,-1.863267,0.170889,-0.947784,0.231464,-1.350848,0.291633,-1.622605,0.353621,-1.857468,-0.050547,-0.885100,-0.069416,-1.225398,-0.079858,-1.459163,-0.077432,-1.671643
F,Right,legacy_sibi_F_8,0.000000,0.000000,0.370420,-0.076272,0.675740,-0.254671,0.888129,-0.422110,0.895566,-0.598289,0.579044,-0.800907,0.743687,-1.059543,0.822885,-0.928853,0.843714,-0.752525,0.383136,-0.923692,0.514266,-1.354163,0.611289,-1.624337,0.682515,-1.868062,0.171706,-0.947023,0.230828,-1.352300,0.291244,-1.626844,0.353515,-1.863560,-0.050231,-0.884321,-0.069506,-1.225770,-0.080004,-1.460404,-0.077695,-1.673306
F,Right,legacy_sibi_F_9,0.000000,0.000000,0.368270,-0.075466,0.672393,-0.251832,0.884265,-0.416108,0.896231,-0.591175,0.577063,-0.801586,0.741416,-1.057542,0.822903,-0.920285,0.846349,-0.739130,0.382062,-0.924137,0.513124,-1.352004,0.609873,-1.622968,0.680895,-1.870041,0.171005,-0.946359,0.229915,-1.351551,0.290254,-1.625642,0.352520,-1.863529,-0.050743,-0.882199,-0.070048,-1.223496,-0.080156,-1.458285,-0.077341,-1.671530
