label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
G,Right,legacy_sibi_G_0,0.000000,0.000000,0.382262,-0.106994,0.736582,-0.296039,1.062322,-0.337614,1.399753,-0.308855,0.497592,-0.948387,0.876464,-1.007778,1.170521,-1.026872,1.401701,-1.054302,0.260769,-0.965401,0.772521,-0.763629,0.745203,-0.431854,0.620494,-0.341688,0.065718,-0.811331,0.547884,-0.568530,0.534543,-0.310374,0.395741,-0.303325,-0.081923,-0.585651,0.331036,-0.392739,0.338800,-0.207988,0.186890,-0.204910
G,Right,legacy_sibi_G_1,0.000000,0.000000,0.383809,-0.107753,0.709951,-0.282186,1.029914,-0.323034,1.355969,-0.293678,0.448895,-0.958722,0.814100,-1.019964,1.092471,-1.052083,1.333413,-1.077237,0.236632,-0.971599,0.747650,-0.773344,0.687475,-0.428876,0.543538,-0.342188,0.061025,-0.827531,0.532352,-0.594647,0.475997,-0.327504,0.332142,-0.304685,-0.073617,-0.612307,0.304618,-0.446028,0.303044,-0.266490,0.179220,-0.249900
G,Right,legacy_sibi_G_2,0.000000,0.000000,0.377438,-0.131974,0.700892,-0.308585,1.016148,-0.346965,1.314352,-0.316441,0.442809,-0.939099,0.807585,-1.003126,1.075200,-1.049913,1.302084,-1.090478,0.249988,-0.968249,0.742642,-0.795376,0.692867,-0.469269,0.551418,-0.393019,0.093442,-0.848777,0.545262,-0.637541,0.491183,-0.374038,0.338011,-0.360493,-0.029484,-0.654958,0.327453,-0.495236,0.315166,-0.318637,0.175986,-0.310962
G,Right,legacy_sibi_G_3,0.000000,0.000000,0.373594,-0.138358,0.700999,-0.320215,1.007290,-0.363994,1.295517,-0.325757,0.437507,-0.945748,0.805953,-1.011521,1.070446,-1.060449,1.291209,-1.104194,0.237200,-0.971461,0.729308,-0.793924,0.679752,-0.479736,0.533274,-0.395802,0.079080,-0.856932,0.535144,-0.646967,0.477969,-0.383572,0.327087,-0.353686,-0.044118,-0.669570,0.318142,-0.504509,0.308157,-0.323012,0.176752,-0.304919
G,Right,legacy_sibi_G_4,0.000000,0.000000,0.371032,-0.135123,0.697351,-0.314595,1.003559,-0.359208,1.286580,-0.321763,0.434429,-0.943563,0.802758,-1.004924,1.065818,-1.052437,1.283350,-1.095956,0.232661,-0.972558,0.717567,-0.797490,0.673212,-0.474966,0.530819,-0.384849,0.072506,-0.860598,0.523484,-0.645178,0.466976,-0.377842,0.314998,-0.347083,-0.050511,-0.675854,0.305981,-0.494881,0.295434,-0.315585,0.162678,-0.303239
G,Right,legacy_sibi_G_5,0.000000,0.000000,0.400430,-0.137474,0.722114,-0.306346,1.029346,-0.331146,1.311206,-0.292206,0.457138,-0.945230,0.826258,-0.989804,1.087391,-1.029839,1.302143,-1.070842,0.254081,-0.967183,0.742299,-0.772240,0.693913,-0.451899,0.553032,-0.383506,0.091448,-0.845650,0.549952,-0.623511,0.495679,-0.353489,0.344787,-0.332411,-0.033087,-0.650617,0.324083,-0.465459,0.315377,-0.290803,0.184391,-0.287488
G,Right,legacy_sibi_G_6,0.000000,0.000000,0.379474,-0.139250,0.708640,-0.323012,1.015533,-0.360436,1.301291,-0.308902,0.444280,-0.942956,0.806056,-1.004268,1.068190,-1.050119,1.288741,-1.092382,0.239218,-0.970966,0.721067,-0.772960,0.670672,-0.460003,0.527292,-0.376691,0.074759,-0.856229,0.527812,-0.626506,0.468542,-0.363945,0.319661,-0.333167,-0.054267,-0.667923,0.310766,-0.486373,0.302640,-0.305298,0.174846,-0.287877
G,Right,legacy_sibi_G_7,0.000000,0.000000,0.371461,-0.142060,0.697557,-0.325924,1.005642,-0.365817,1.292077,-0.324273,0.434778,-0.946572,0.793722,-1.013133,1.055687,-1.062148,1.277244,-1.106794,0.232525,-0.972590,0.717200,-0.781593,0.663600,-0.469203,0.515905,-0.392552,0.069643,-0.856343,0.522488,-0.634942,0.466862,-0.375051,0.316484,-0.349479,-0.059210,-0.667380,0.300803,-0.493105,0.296251,-0.313511,0.167712,-0.296417
G,Right,legacy_sibi_G_8,0.000000,0.000000,0.374742,-0.141668,0.699583,-0.323071,1.003340,-0.365211,1.287880,-0.327688,0.436626,-0.942612,0.799792,-1.006871,1.060178,-1.056238,1.281583,-1.103023,0.235696,-0.971827,0.724180,-0.776503,0.669664,-0.462434,0.521982,-0.387173,0.075351,-0.857604,0.530922,-0.629648,0.472636,-0.369939,0.320145,-0.346392,-0.053418,-0.670878,0.307164,-0.496171,0.301284,-0.316989,0.171670,-0.300085
G,Right,legacy_sibi_G_9,0.000000,0.000000,0.379386,-0.138041,0.708600,-0.317293,1.010906,-0.358864,1.295021,-0.321940,0.443668,-0.936029,0.807642,-1.001549,1.066814,-1.050256,1.289472,-1.097032,0.246174,-0.969226,0.737496,-0.773111,0.680607,-0.459666,0.533539,-0.382397,0.087884,-0.858897,0.546273,-0.628251,0.483512,-0.367943,0.329489,-0.342995,-0.039472,-0.675032,0.321774,-0.490399,0.309657,-0.310412,0.177347,-0.295431
G,Right,legacy_sibi_G_10,0.000000,0.000000,0.378341,-0.144471,0.703142,-0.327045,1.005075,-0.364260,1.292594,-0.320309,0.435587,-0.941315,0.798860,-1.008684,1.061080,-1.054120,1.284603,-1.098892,0.232498,-0.972597,0.719420,-0.775756,0.663164,-0.463598,0.515042,-0.387492,0.071548,-0.860306,0.524382,-0.628450,0.463066,-0.367939,0.311608,-0.345109,-0.056606,-0.675034,0.304313,-0.492077,0.295158,-0.311588,0.165892,-0.297073
