label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
H,Right,legacy_sibi_H_0,0.000000,0.000000,0.027747,-0.425563,0.223420,-0.841481,0.514437,-1.059356,0.710453,-1.153825,0.074105,-1.127651,0.421240,-1.502573,0.652789,-1.688796,0.832442,-1.834802,0.150091,-0.988672,0.545380,-1.408086,0.795202,-1.606100,0.981881,-1.791577,0.259536,-0.778416,0.814776,-0.959243,0.782254,-0.760504,0.628648,-0.660245,0.392489,-0.532703,0.848315,-0.670899,0.815688,-0.542530,0.660379,-0.491589
H,Right,legacy_sibi_H_1,0.000000,0.000000,0.031900,-0.449257,0.249825,-0.834313,0.545399,-0.984429,0.788296,-1.021059,0.237237,-1.097054,0.650960,-1.397240,0.901191,-1.559161,1.104522,-1.685162,0.330605,-0.943769,0.787644,-1.291290,1.048573,-1.453047,1.255124,-1.611445,0.439905,-0.723967,0.984569,-0.817891,0.898199,-0.649794,0.734046,-0.578981,0.547240,-0.464487,0.987892,-0.542183,0.909524,-0.426081,0.749982,-0.374194
H,Right,legacy_sibi_H_2,0.000000,0.000000,0.075043,-0.464087,0.341790,-0.806453,0.655015,-0.894561,0.903231,-0.889854,0.396663,-1.017703,0.827190,-1.276429,1.091915,-1.417187,1.306943,-1.525069,0.509480,-0.860482,1.000694,-1.162342,1.298944,-1.309174,1.539204,-1.442903,0.618458,-0.634356,1.094536,-0.664066,0.975414,-0.526008,0.805045,-0.476863,0.709420,-0.373575,1.120469,-0.403904,1.007320,-0.304590,0.832864,-0.261703
H,Right,legacy_sibi_H_3,0.000000,0.000000,0.108251,-0.470459,0.404995,-0.776369,0.729469,-0.809759,0.976993,-0.742036,0.478003,-0.959635,0.944033,-1.177201,1.228084,-1.309081,1.454716,-1.410587,0.613865,-0.789411,1.135779,-1.044131,1.448201,-1.174077,1.698032,-1.291312,0.730807,-0.547144,1.203934,-0.563745,1.059927,-0.442968,0.870196,-0.396943,0.809765,-0.277330,1.183880,-0.301164,1.059728,-0.227515,0.882379,-0.201267
H,Right,legacy_sibi_H_4,0.000000,0.000000,0.130212,-0.487325,0.454338,-0.785362,0.793292,-0.783987,1.035590,-0.695960,0.540091,-0.937989,1.063042,-1.125466,1.371241,-1.234420,1.611148,-1.317876,0.683800,-0.729669,1.257790,-0.943475,1.607633,-1.048499,1.880621,-1.136075,0.795791,-0.461753,1.264774,-0.480953,1.122417,-0.385147,0.931831,-0.344241,0.864345,-0.180454,1.227553,-0.211477,1.100618,-0.151938,0.927091,-0.125512
H,Right,legacy_sibi_H_5,0.000000,0.000000,0.174415,-0.479817,0.517856,-0.735641,0.858083,-0.670323,1.079648,-0.527876,0.628402,-0.879913,1.168573,-1.009608,1.488110,-1.084213,1.736873,-1.139602,0.765477,-0.643463,1.349845,-0.799589,1.715973,-0.869763,2.004533,-0.926981,0.860404,-0.349477,1.303223,-0.360187,1.151005,-0.282201,0.963393,-0.249601,0.904398,-0.047172,1.247397,-0.084725,1.104849,-0.033619,0.932254,-0.003784
H,Right,legacy_sibi_H_6,0.000000,0.000000,0.189640,-0.486240,0.566845,-0.731221,0.929482,-0.668754,1.172268,-0.551284,0.679213,-0.846970,1.262552,-0.975128,1.597626,-1.032860,1.852490,-1.073407,0.809672,-0.586882,1.432627,-0.734499,1.816142,-0.802103,2.107860,-0.850415,0.899080,-0.283283,1.359541,-0.298355,1.210125,-0.234270,1.011565,-0.201967,0.942742,0.014425,1.300397,-0.039259,1.171344,-0.006291,0.995400,0.019171
H,Right,legacy_sibi_H_7,0.000000,0.000000,0.208764,-0.484944,0.590616,-0.688808,0.958753,-0.561247,1.170047,-0.373031,0.781792,-0.715456,1.353081,-0.763350,1.680486,-0.781838,1.935340,-0.787425,0.904663,-0.426128,1.505893,-0.500208,1.885433,-0.543474,2.173655,-0.555853,0.964860,-0.116075,1.353631,-0.172606,1.195292,-0.173037,1.008507,-0.144911,0.970105,0.170409,1.274281,0.073903,1.140316,0.052038,0.980721,0.085708
H,Right,legacy_sibi_H_8,0.000000,0.000000,0.237851,-0.517997,0.641200,-0.717277,1.013150,-0.571559,1.223797,-0.374342,0.836707,-0.649799,1.414559,-0.685538,1.754592,-0.695817,2.023959,-0.680790,0.936234,-0.351378,1.541786,-0.439563,1.924779,-0.478633,2.223980,-0.465853,0.973970,-0.048004,1.389310,-0.128960,1.245136,-0.181856,1.053715,-0.165723,0.968193,0.218835,1.279487,0.101136,1.166303,0.029287,1.012151,0.046132
H,Right,legacy_sibi_H_9,0.000000,0.000000,0.247412,-0.515316,0.654511,-0.711933,1.027523,-0.568466,1.232470,-0.375548,0.842609,-0.616474,1.471362,-0.642659,1.819569,-0.653794,2.083042,-0.642803,0.953169,-0.302437,1.591587,-0.380881,1.998349,-0.421720,2.293241,-0.412940,0.996186,0.009254,1.412135,-0.108432,1.279280,-0.178234,1.084230,-0.169218,0.977788,0.276650,1.282132,0.147886,1.182236,0.050730,1.031768,0.054831
