label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
I,Right,legacy_sibi_I_0,0.000000,0.000000,0.344965,-0.096297,0.585140,-0.384167,0.628356,-0.709786,0.506075,-0.964892,0.630011,-0.834780,0.781024,-1.127305,0.726373,-0.994864,0.662412,-0.835444,0.391606,-0.920133,0.496100,-1.232401,0.435815,-0.919937,0.407453,-0.695859,0.146758,-0.955568,0.224172,-1.198954,0.222206,-0.869493,0.221121,-0.635301,-0.106616,-0.960230,-0.081573,-1.313287,-0.061912,-1.530713,-0.021422,-1.757898
I,Right,legacy_sibi_I_1,0.000000,0.000000,0.343985,-0.102454,0.577266,-0.364889,0.632624,-0.685812,0.498944,-0.928715,0.633645,-0.830395,0.781893,-1.107920,0.708226,-0.961343,0.623470,-0.784369,0.394561,-0.918870,0.492127,-1.212059,0.432332,-0.879176,0.398498,-0.664231,0.156075,-0.955552,0.213074,-1.198016,0.223026,-0.874709,0.221286,-0.648512,-0.084662,-0.955672,-0.069739,-1.302495,-0.046098,-1.521349,-0.013841,-1.755930
I,Right,legacy_sibi_I_2,0.000000,0.000000,0.343835,-0.099687,0.582350,-0.357995,0.644079,-0.675971,0.535597,-0.931056,0.631958,-0.829016,0.785511,-1.113111,0.706730,-0.959053,0.629238,-0.782770,0.400042,-0.916497,0.511296,-1.208918,0.446621,-0.881623,0.408915,-0.667334,0.163626,-0.958218,0.234027,-1.204357,0.235048,-0.875986,0.228099,-0.647671,-0.078428,-0.965284,-0.062663,-1.308967,-0.040482,-1.526634,-0.007189,-1.764379
I,Right,legacy_sibi_I_3,0.000000,0.000000,0.343262,-0.099709,0.580364,-0.356054,0.639180,-0.674472,0.529108,-0.931611,0.630401,-0.827281,0.783482,-1.109002,0.709442,-0.963142,0.630699,-0.790158,0.399499,-0.916734,0.509586,-1.205269,0.447052,-0.877033,0.408935,-0.660902,0.164739,-0.959668,0.237705,-1.207793,0.238157,-0.880156,0.229425,-0.650150,-0.075870,-0.966910,-0.058483,-1.307731,-0.035384,-1.525707,-0.001700,-1.761418
I,Right,legacy_sibi_I_4,0.000000,0.000000,0.343227,-0.098674,0.583974,-0.354246,0.644104,-0.674857,0.529039,-0.933678,0.634149,-0.825238,0.786562,-1.103623,0.713520,-0.960406,0.636171,-0.787329,0.403705,-0.914889,0.514451,-1.196515,0.449441,-0.865096,0.411570,-0.652325,0.170040,-0.958523,0.241651,-1.203520,0.242490,-0.873551,0.234559,-0.642858,-0.070860,-0.966583,-0.051971,-1.303458,-0.028340,-1.519311,0.005696,-1.753626
I,Right,legacy_sibi_I_5,0.000000,0.000000,0.343181,-0.097711,0.584200,-0.355546,0.645080,-0.675985,0.528885,-0.933570,0.631893,-0.824603,0.790032,-1.105240,0.715576,-0.958189,0.634539,-0.784455,0.401931,-0.915670,0.515105,-1.203721,0.450670,-0.875536,0.412688,-0.663034,0.168435,-0.959686,0.244154,-1.206772,0.245188,-0.879936,0.236171,-0.650247,-0.071416,-0.968109,-0.050233,-1.308901,-0.024081,-1.525507,0.012027,-1.759353
I,Right,legacy_sibi_I_6,0.000000,0.000000,0.339311,-0.103523,0.576810,-0.364262,0.636533,-0.683924,0.518925,-0.937862,0.620038,-0.830673,0.779827,-1.110063,0.703216,-0.960943,0.620558,-0.788221,0.390880,-0.920442,0.504769,-1.208627,0.440263,-0.881803,0.400762,-0.670836,0.158017,-0.964940,0.233561,-1.213352,0.233943,-0.884696,0.223610,-0.655111,-0.080703,-0.974461,-0.059201,-1.315355,-0.033551,-1.530714,0.001534,-1.764913
I,Right,legacy_sibi_I_7,0.000000,0.000000,0.342869,-0.106854,0.579094,-0.366958,0.641600,-0.686821,0.525525,-0.944670,0.626908,-0.828559,0.782437,-1.112880,0.729575,-1.004112,0.654651,-0.834445,0.395839,-0.918320,0.505460,-1.212546,0.447983,-0.889665,0.411608,-0.668786,0.163933,-0.963148,0.237856,-1.215944,0.241528,-0.893283,0.231992,-0.658445,-0.076689,-0.971780,-0.056789,-1.313246,-0.029600,-1.533306,0.007473,-1.768021
I,Right,legacy_sibi_I_8,0.000000,0.000000,0.341291,-0.107660,0.578627,-0.371241,0.640734,-0.693973,0.519952,-0.950268,0.623166,-0.827700,0.783299,-1.115543,0.709234,-0.968472,0.631342,-0.795562,0.394774,-0.918778,0.510598,-1.214617,0.447949,-0.885294,0.410874,-0.673199,0.163355,-0.963879,0.241645,-1.221059,0.243612,-0.892412,0.234247,-0.662948,-0.075720,-0.974062,-0.059505,-1.313185,-0.032921,-1.529806,0.004720,-1.766188
I,Right,legacy_sibi_I_9,0.000000,0.000000,0.338129,-0.107954,0.573838,-0.372352,0.632962,-0.695578,0.506208,-0.950340,0.622038,-0.829590,0.781548,-1.111676,0.705329,-0.962047,0.627917,-0.791122,0.393424,-0.919357,0.507342,-1.209938,0.442362,-0.881206,0.408060,-0.674318,0.161319,-0.961634,0.237826,-1.211864,0.239019,-0.882339,0.230405,-0.654955,-0.077195,-0.969547,-0.061098,-1.306656,-0.035983,-1.525194,0.000806,-1.765519
I,Right,legacy_sibi_I_10,0.000000,0.000000,0.343321,-0.111444,0.576770,-0.370804,0.635718,-0.692726,0.512201,-0.947640,0.624909,-0.830891,0.785765,-1.115371,0.721341,-0.989507,0.640889,-0.815430,0.390631,-0.920548,0.501921,-1.215987,0.441777,-0.885407,0.408973,-0.666206,0.156926,-0.964808,0.231637,-1.216791,0.238244,-0.892162,0.233194,-0.659344,-0.083104,-0.973399,-0.061330,-1.312635,-0.033922,-1.531882,0.003936,-1.767888
I,Right,legacy_sibi_I_11,0.000000,0.000000,0.344445,-0.105303,0.580173,-0.362090,0.643570,-0.686063,0.523713,-0.947200,0.631891,-0.826410,0.794364,-1.110692,0.736314,-1.002412,0.654522,-0.827072,0.396204,-0.918162,0.508409,-1.216912,0.448367,-0.887908,0.415063,-0.663761,0.162050,-0.964712,0.237692,-1.215705,0.244540,-0.894418,0.238772,-0.659746,-0.079572,-0.975396,-0.057775,-1.314779,-0.029774,-1.534550,0.009005,-1.768837
I,Right,legacy_sibi_I_12,0.000000,0.000000,0.339187,-0.107526,0.572308,-0.357103,0.636387,-0.679082,0.518021,-0.941288,0.624877,-0.833739,0.775854,-1.113354,0.718659,-0.993851,0.644230,-0.816188,0.390041,-0.920797,0.501245,-1.215728,0.440126,-0.884351,0.406535,-0.665913,0.156878,-0.965233,0.232240,-1.213955,0.238948,-0.891754,0.232378,-0.658008,-0.083851,-0.973759,-0.063016,-1.311607,-0.033482,-1.531061,0.005334,-1.764825
I,Right,legacy_sibi_I_13,0.000000,0.000000,0.336031,-0.107853,0.569936,-0.361103,0.634762,-0.678551,0.519526,-0.936464,0.621871,-0.835719,0.773534,-1.112928,0.702420,-0.969894,0.623368,-0.791900,0.389142,-0.921178,0.503240,-1.210048,0.437218,-0.877228,0.398833,-0.666307,0.156440,-0.964291,0.229917,-1.211516,0.235591,-0.886422,0.228372,-0.657496,-0.082582,-0.972663,-0.060920,-1.310649,-0.032743,-1.525268,0.003923,-1.758634
I,Right,legacy_sibi_I_14,0.010417,0.021993,0.343618,-0.079224,0.589338,-0.403842,0.636800,-0.701259,0.491059,-0.962935,0.627283,-0.853355,0.810410,-1.141586,0.731615,-1.038115,0.658211,-0.817183,0.375363,-0.925884,0.475619,-1.219124,0.457194,-0.919861,0.416529,-0.699520,0.143203,-0.970430,0.197928,-1.185142,0.238312,-0.865907,0.220458,-0.638856,-0.083051,-0.954506,-0.098758,-1.322416,-0.074884,-1.531297,-0.027055,-1.752309
I,Right,legacy_sibi_I_15,0.000000,0.000000,0.360210,-0.100552,0.610999,-0.401144,0.656125,-0.741153,0.528439,-1.007533,0.657852,-0.871671,0.815540,-1.177123,0.758473,-1.038829,0.691686,-0.872364,0.408912,-0.960796,0.518024,-1.286863,0.455075,-0.960591,0.425459,-0.726610,0.153243,-0.997796,0.234079,-1.251939,0.232025,-0.907918,0.230893,-0.663376,-0.111328,-1.002664,-0.085178,-1.371323,-0.064648,-1.598359,-0.022368,-1.835583
I,Right,legacy_sibi_I_16,-0.026532,0.002799,0.362453,-0.098401,0.575690,-0.395311,0.627572,-0.703912,0.502489,-0.980849,0.624194,-0.838924,0.794056,-1.101099,0.733843,-1.014176,0.663828,-0.829530,0.393082,-0.915820,0.488565,-1.224825,0.429870,-0.909293,0.407798,-0.716475,0.142501,-0.954538,0.224834,-1.185846,0.226269,-0.869090,0.219400,-0.625995,-0.099090,-0.929349,-0.095283,-1.304594,-0.050321,-1.535076,-0.023529,-1.761863
I,Right,legacy_sibi_I_17,0.000000,0.000000,0.331272,-0.092474,0.561914,-0.368918,0.603414,-0.681612,0.485987,-0.926592,0.605003,-0.801644,0.750023,-1.082558,0.697541,-0.955374,0.636119,-0.802282,0.376062,-0.883609,0.476408,-1.183482,0.418516,-0.883421,0.391280,-0.668238,0.140932,-0.917638,0.215274,-1.151363,0.213386,-0.834980,0.212344,-0.610084,-0.102384,-0.922115,-0.078335,-1.261157,-0.059454,-1.469954,-0.020571,-1.688120
I,Right,legacy_sibi_I_18,0.012256,-0.002481,0.336796,-0.103811,0.574449,-0.381733,0.656545,-0.708865,0.504395,-0.943832,0.626278,-0.832276,0.765964,-1.121526,0.724483,-0.998857,0.643522,-0.841147,0.388722,-0.908504,0.489899,-1.213385,0.431418,-0.906260,0.391828,-0.689207,0.182351,-0.963224,0.219609,-1.175161,0.220542,-0.844763,0.275389,-0.632762,-0.080796,-0.955927,-0.072998,-1.307760,-0.045137,-1.525844,-0.017729,-1.779334
I,Right,legacy_sibi_I_19,0.000000,0.000000,0.333253,-0.093027,0.565274,-0.371124,0.607022,-0.685688,0.488893,-0.932132,0.608621,-0.806438,0.754507,-1.089031,0.701712,-0.961086,0.639922,-0.807080,0.378310,-0.888893,0.479257,-1.190559,0.421018,-0.888704,0.393619,-0.672233,0.141775,-0.923124,0.216561,-1.158248,0.214661,-0.839973,0.213613,-0.613732,-0.102996,-0.927628,-0.078803,-1.268698,-0.059810,-1.478743,-0.020694,-1.698214
I,Right,legacy_sibi_I_20,0.028372,-0.016550,0.378075,-0.100703,0.575396,-0.394062,0.602473,-0.684110,0.484880,-0.954114,0.628726,-0.867853,0.778081,-1.142000,0.735129,-1.009440,0.665740,-0.834761,0.383615,-0.902027,0.509535,-1.235206,0.456485,-0.935713,0.398761,-0.687142,0.157515,-0.964346,0.218731,-1.198580,0.236270,-0.843604,0.203384,-0.615542,-0.113453,-0.934301,-0.083075,-1.301758,-0.018835,-1.491392,-0.058051,-1.759855
I,Right,legacy_sibi_I_21,0.000000,0.000000,0.341168,-0.095237,0.578700,-0.379939,0.621440,-0.701974,0.500505,-0.954272,0.623076,-0.825592,0.772428,-1.114897,0.718378,-0.983913,0.655121,-0.826249,0.387296,-0.910005,0.490640,-1.218836,0.431018,-0.909812,0.402968,-0.688200,0.145142,-0.945050,0.221705,-1.185758,0.219760,-0.859923,0.218687,-0.628309,-0.105442,-0.949661,-0.080675,-1.298831,-0.061230,-1.513865,-0.021186,-1.738549
I,Right,legacy_sibi_I_22,0.008153,-0.019229,0.342043,-0.063571,0.598546,-0.369320,0.633483,-0.725049,0.508211,-1.001948,0.618237,-0.836859,0.823058,-1.150797,0.697714,-1.008014,0.695116,-0.833896,0.408049,-0.914046,0.505914,-1.227171,0.458693,-0.929917,0.411568,-0.680397,0.148961,-0.959158,0.219006,-1.188423,0.216303,-0.867316,0.220815,-0.634613,-0.094329,-0.962052,-0.088866,-1.329686,-0.026803,-1.539738,-0.033537,-1.759238
I,Right,legacy_sibi_I_23,0.000000,0.000000,0.358741,-0.100142,0.608506,-0.399508,0.653448,-0.738130,0.526284,-1.003423,0.655169,-0.868115,0.812213,-1.172322,0.755380,-1.034591,0.688864,-0.868806,0.407244,-0.956876,0.515911,-1.281614,0.453218,-0.956673,0.423724,-0.723646,0.152618,-0.993726,0.233124,-1.246832,0.231079,-0.904215,0.229951,-0.660671,-0.110873,-0.998574,-0.084830,-1.365730,-0.064384,-1.591839,-0.022277,-1.828095
I,Right,legacy_sibi_I_24,0.001310,0.006305,0.342604,-0.104906,0.576016,-0.355962,0.636330,-0.682129,0.497214,-0.939410,0.595813,-0.826076,0.783890,-1.106062,0.743494,-0.981362,0.681981,-0.851168,0.394013,-0.899153,0.512930,-1.239434,0.448237,-0.922480,0.396087,-0.724048,0.149943,-0.962295,0.216672,-1.199188,0.197329,-0.893065,0.225622,-0.612328,-0.111297,-0.974126,-0.098225,-1.314668,-0.056742,-1.546610,-0.039834,-1.747360
