label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
K,Right,legacy_sibi_K_0,0.000000,0.000000,0.162566,-0.304064,0.059676,-0.669226,-0.252656,-0.915643,-0.513337,-1.078375,-0.113121,-1.046073,-0.319486,-1.473171,-0.456322,-1.746874,-0.564003,-1.993187,-0.358797,-0.933416,-0.759014,-0.984582,-1.026664,-0.938908,-1.213560,-0.886263,-0.514432,-0.771414,-0.727064,-0.601562,-0.581028,-0.300432,-0.429644,-0.096747,-0.588630,-0.569308,-0.791521,-0.487975,-0.702603,-0.263310,-0.576484,-0.083202
K,Right,legacy_sibi_K_1,0.000000,0.000000,0.066087,-0.341003,-0.036962,-0.687741,-0.332048,-0.901424,-0.561066,-1.102976,-0.181960,-1.032490,-0.365913,-1.490819,-0.493126,-1.780494,-0.616022,-2.031964,-0.408393,-0.912806,-0.747779,-0.987649,-1.082158,-0.963742,-1.340870,-0.953975,-0.567144,-0.763819,-0.785829,-0.588479,-0.644593,-0.291989,-0.487156,-0.094775,-0.659158,-0.592566,-0.850917,-0.438360,-0.730417,-0.221955,-0.582238,-0.075853
K,Right,legacy_sibi_K_2,0.000000,0.000000,0.055233,-0.316964,-0.057884,-0.651198,-0.362498,-0.874671,-0.601131,-1.085730,-0.201264,-1.015935,-0.378557,-1.459564,-0.512586,-1.743292,-0.637211,-1.991367,-0.427787,-0.903879,-0.787408,-0.967660,-1.131554,-0.940172,-1.397384,-0.934952,-0.583282,-0.753658,-0.807056,-0.552438,-0.661538,-0.250654,-0.500077,-0.056752,-0.666682,-0.578850,-0.866720,-0.412697,-0.732743,-0.192185,-0.573346,-0.050817
K,Right,legacy_sibi_K_3,0.000000,0.000000,0.061127,-0.328123,-0.045318,-0.671825,-0.347157,-0.900928,-0.583377,-1.115493,-0.162161,-1.030856,-0.361484,-1.491724,-0.503505,-1.782775,-0.634903,-2.037962,-0.397724,-0.917505,-0.764196,-0.989777,-1.109027,-0.962311,-1.370105,-0.953211,-0.567759,-0.769272,-0.790942,-0.572224,-0.635142,-0.261445,-0.463767,-0.054352,-0.671009,-0.596274,-0.860148,-0.436560,-0.722832,-0.210733,-0.565211,-0.057824
K,Right,legacy_sibi_K_4,0.000000,0.000000,0.055625,-0.311411,-0.061213,-0.643006,-0.366796,-0.858721,-0.605824,-1.062565,-0.212939,-1.013668,-0.396041,-1.461037,-0.528958,-1.746359,-0.654286,-2.000279,-0.443707,-0.896172,-0.805775,-0.961209,-1.148145,-0.934826,-1.411015,-0.928495,-0.601428,-0.743422,-0.810686,-0.519923,-0.663926,-0.216656,-0.503404,-0.022102,-0.684610,-0.567471,-0.869935,-0.381712,-0.734936,-0.156373,-0.578908,-0.011222
K,Right,legacy_sibi_K_5,0.000000,0.000000,0.053058,-0.311757,-0.063726,-0.658555,-0.363962,-0.897584,-0.598224,-1.115988,-0.170628,-1.029355,-0.377353,-1.487717,-0.527680,-1.779649,-0.669328,-2.036156,-0.405502,-0.914094,-0.777531,-0.989884,-1.127075,-0.957794,-1.389674,-0.943951,-0.577538,-0.759603,-0.802926,-0.567746,-0.648447,-0.254979,-0.476883,-0.046064,-0.681314,-0.581126,-0.875909,-0.416003,-0.744910,-0.189559,-0.590494,-0.037514
K,Right,legacy_sibi_K_6,0.000000,0.000000,0.052493,-0.307672,-0.067641,-0.640979,-0.368674,-0.855154,-0.600863,-1.056549,-0.210060,-1.015583,-0.403604,-1.474392,-0.542693,-1.758382,-0.674492,-2.013878,-0.439474,-0.898255,-0.808118,-0.961316,-1.146022,-0.929193,-1.402229,-0.916667,-0.598138,-0.748015,-0.815760,-0.515613,-0.663773,-0.208332,-0.498810,-0.009618,-0.684258,-0.576534,-0.870610,-0.380289,-0.732587,-0.150131,-0.575449,0.000642
K,Right,legacy_sibi_K_7,0.000000,0.000000,0.049385,-0.308829,-0.077182,-0.654536,-0.381017,-0.880873,-0.615687,-1.092104,-0.203699,-1.020214,-0.398017,-1.473002,-0.543576,-1.762358,-0.678633,-2.018285,-0.436089,-0.899904,-0.812614,-0.964984,-1.166803,-0.935961,-1.433967,-0.928159,-0.598922,-0.743022,-0.825195,-0.532475,-0.668007,-0.223824,-0.493552,-0.024778,-0.686821,-0.564121,-0.884800,-0.380175,-0.749522,-0.155552,-0.590559,-0.010524
K,Right,legacy_sibi_K_8,0.000000,0.000000,0.055854,-0.301129,-0.065455,-0.648414,-0.376359,-0.876303,-0.613089,-1.089439,-0.201882,-1.017208,-0.399278,-1.471324,-0.543304,-1.760034,-0.675755,-2.015539,-0.438640,-0.898663,-0.809520,-0.959175,-1.158720,-0.931327,-1.424556,-0.927189,-0.602675,-0.742747,-0.815732,-0.517758,-0.646319,-0.211527,-0.464978,-0.018672,-0.691364,-0.564267,-0.881613,-0.376006,-0.737528,-0.151098,-0.574080,-0.010594
K,Right,legacy_sibi_K_9,0.000000,0.000000,0.060590,-0.297453,-0.057678,-0.646951,-0.369062,-0.878487,-0.608451,-1.091960,-0.201127,-1.015511,-0.395969,-1.473209,-0.541199,-1.761549,-0.673844,-2.017588,-0.439568,-0.898209,-0.811640,-0.961269,-1.159185,-0.935813,-1.422756,-0.935389,-0.603640,-0.742985,-0.813951,-0.519906,-0.641428,-0.212221,-0.458362,-0.018357,-0.691761,-0.565905,-0.881186,-0.375132,-0.736687,-0.146084,-0.573243,-0.002306
