label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
L,Right,legacy_sibi_L_0,0.000000,0.000000,0.421318,-0.076725,0.857186,-0.338933,1.234441,-0.475108,1.557572,-0.484092,0.595744,-0.922623,0.718155,-1.405790,0.746033,-1.720633,0.766325,-1.986964,0.283343,-0.959019,0.236614,-1.114336,0.162173,-0.704972,0.139549,-0.422999,-0.014175,-0.912916,-0.105678,-0.973994,-0.101595,-0.570908,-0.064525,-0.322770,-0.285938,-0.819675,-0.357245,-0.863106,-0.320266,-0.537241,-0.255014,-0.331254
L,Right,legacy_sibi_L_1,0.000000,0.000000,0.401972,-0.108123,0.820435,-0.372919,1.199823,-0.514006,1.523939,-0.522269,0.600232,-0.930110,0.721969,-1.413637,0.747953,-1.718690,0.758899,-1.977397,0.298030,-0.954556,0.249004,-1.143876,0.175329,-0.739159,0.149930,-0.452915,0.010345,-0.908633,-0.071140,-1.012302,-0.065701,-0.600168,-0.033975,-0.344885,-0.261644,-0.819772,-0.324124,-0.902984,-0.290964,-0.572634,-0.233809,-0.364335
L,Right,legacy_sibi_L_2,0.000000,0.000000,0.419302,-0.093702,0.849057,-0.348754,1.239380,-0.506578,1.569052,-0.513909,0.611210,-0.928430,0.730954,-1.415207,0.756876,-1.739032,0.762748,-2.006923,0.301566,-0.953445,0.233203,-1.150813,0.155824,-0.737931,0.129619,-0.434667,0.007611,-0.908150,-0.089839,-0.996250,-0.088460,-0.585039,-0.056151,-0.329775,-0.265187,-0.818623,-0.342652,-0.882258,-0.308278,-0.553582,-0.243202,-0.346842
L,Right,legacy_sibi_L_3,0.000000,0.000000,0.417955,-0.098066,0.839571,-0.360427,1.226711,-0.522154,1.555123,-0.532675,0.601272,-0.934972,0.708347,-1.421710,0.724833,-1.741254,0.723442,-2.006464,0.295603,-0.955311,0.215191,-1.144812,0.140892,-0.732753,0.121399,-0.438020,0.005475,-0.906920,-0.096404,-1.003423,-0.092854,-0.589621,-0.055565,-0.333654,-0.265551,-0.814307,-0.344898,-0.891006,-0.310010,-0.560450,-0.241504,-0.350593
L,Right,legacy_sibi_L_4,0.000000,0.000000,0.406921,-0.102337,0.826017,-0.369106,1.211310,-0.517679,1.528341,-0.531558,0.593281,-0.935841,0.698338,-1.423518,0.710558,-1.733518,0.705756,-1.995333,0.293472,-0.955968,0.219687,-1.129317,0.149807,-0.721387,0.130503,-0.438864,0.007140,-0.909626,-0.088357,-1.001479,-0.075149,-0.587496,-0.036008,-0.334155,-0.265079,-0.819247,-0.338001,-0.888553,-0.298057,-0.553644,-0.231320,-0.342802
L,Right,legacy_sibi_L_5,0.000000,0.000000,0.403748,-0.107361,0.817356,-0.378087,1.198305,-0.533409,1.520902,-0.544051,0.584095,-0.942679,0.688643,-1.429480,0.700695,-1.736518,0.696265,-1.995502,0.285007,-0.958526,0.217766,-1.137990,0.152339,-0.730875,0.136128,-0.449249,0.000200,-0.907637,-0.090161,-1.005633,-0.073401,-0.594681,-0.032885,-0.345012,-0.270346,-0.813411,-0.340447,-0.893669,-0.297090,-0.563989,-0.230296,-0.358057
L,Right,legacy_sibi_L_6,0.000000,0.000000,0.398711,-0.110593,0.809346,-0.384755,1.187475,-0.539957,1.508468,-0.549540,0.582983,-0.939587,0.687141,-1.426051,0.697288,-1.734564,0.693161,-1.994524,0.284508,-0.958674,0.222772,-1.142081,0.151536,-0.739905,0.129881,-0.455615,-0.000578,-0.910924,-0.087961,-1.012860,-0.078692,-0.603537,-0.043605,-0.348398,-0.271105,-0.819284,-0.337219,-0.904463,-0.298789,-0.576751,-0.236920,-0.365634
L,Right,legacy_sibi_L_7,0.000000,0.000000,0.400192,-0.105638,0.808695,-0.380826,1.188963,-0.536058,1.511057,-0.546460,0.586097,-0.938626,0.689335,-1.423229,0.699916,-1.730588,0.695868,-1.990175,0.285595,-0.958351,0.221936,-1.136166,0.150398,-0.732785,0.128386,-0.447213,-0.000795,-0.910562,-0.088428,-1.006817,-0.078085,-0.596921,-0.043000,-0.340124,-0.270719,-0.818440,-0.336204,-0.897945,-0.297847,-0.569163,-0.234844,-0.357257
L,Right,legacy_sibi_L_8,0.000000,0.000000,0.404798,-0.100318,0.820088,-0.371390,1.203979,-0.526725,1.524010,-0.538601,0.591700,-0.936307,0.693644,-1.423837,0.702946,-1.732558,0.697087,-1.992212,0.290309,-0.956933,0.222011,-1.131606,0.151967,-0.723896,0.129159,-0.434677,0.002502,-0.911769,-0.088884,-1.000375,-0.075248,-0.587621,-0.039378,-0.328705,-0.272241,-0.823503,-0.337408,-0.893414,-0.295088,-0.561344,-0.230142,-0.347885
L,Right,legacy_sibi_L_9,0.000000,0.000000,0.404262,-0.105649,0.819399,-0.377110,1.202191,-0.536800,1.523928,-0.549221,0.589830,-0.939353,0.687314,-1.426950,0.696754,-1.734655,0.690327,-1.994056,0.288840,-0.957378,0.215170,-1.128465,0.144919,-0.717622,0.123201,-0.432004,0.002423,-0.911033,-0.095554,-1.002089,-0.080650,-0.588178,-0.040773,-0.331356,-0.269036,-0.821255,-0.340896,-0.893703,-0.298061,-0.560980,-0.229977,-0.348211
L,Right,legacy_sibi_L_10,0.000000,0.000000,0.402460,-0.106746,0.817267,-0.381024,1.197470,-0.538440,1.516610,-0.551169,0.586760,-0.939089,0.685405,-1.428304,0.693095,-1.735723,0.686024,-1.995669,0.287961,-0.957642,0.222424,-1.133700,0.151607,-0.726735,0.130539,-0.443971,0.003612,-0.911220,-0.086552,-1.010310,-0.073002,-0.599772,-0.033685,-0.346639,-0.266803,-0.820713,-0.334606,-0.899680,-0.292967,-0.569477,-0.226238,-0.359962
L,Right,legacy_sibi_L_11,0.000000,0.000000,0.402762,-0.104660,0.814671,-0.380861,1.191816,-0.542108,1.512929,-0.553502,0.582310,-0.940038,0.681852,-1.426415,0.692077,-1.731547,0.685920,-1.990174,0.283789,-0.958887,0.221956,-1.135347,0.152074,-0.727481,0.129555,-0.447206,0.000005,-0.911804,-0.088324,-1.009028,-0.076369,-0.598702,-0.039227,-0.349409,-0.269144,-0.821363,-0.335998,-0.899781,-0.295218,-0.570072,-0.230439,-0.363088
L,Right,legacy_sibi_L_12,0.000000,0.000000,0.402855,-0.104993,0.814937,-0.381737,1.194940,-0.539152,1.517022,-0.553613,0.582620,-0.939185,0.679418,-1.426519,0.688437,-1.732994,0.683455,-1.993605,0.283156,-0.959074,0.219959,-1.133213,0.145620,-0.724370,0.118950,-0.438303,-0.002454,-0.912372,-0.093015,-1.008967,-0.084950,-0.597369,-0.049903,-0.341627,-0.272759,-0.821583,-0.342184,-0.901658,-0.303855,-0.571962,-0.240634,-0.360274
L,Right,legacy_sibi_L_13,0.000000,0.000000,0.400928,-0.107856,0.810983,-0.386651,1.186864,-0.545084,1.506244,-0.558536,0.580120,-0.940684,0.676791,-1.427103,0.685270,-1.731818,0.679926,-1.990751,0.281247,-0.959636,0.222252,-1.135367,0.148223,-0.729360,0.122109,-0.446834,-0.003044,-0.911869,-0.090777,-1.011101,-0.081684,-0.602501,-0.046395,-0.350675,-0.272168,-0.819845,-0.339344,-0.901484,-0.298914,-0.575016,-0.234778,-0.367462
L,Right,legacy_sibi_L_14,0.000000,0.000000,0.406373,-0.107118,0.813828,-0.377886,1.186214,-0.536320,1.509269,-0.549943,0.582477,-0.940163,0.677873,-1.424956,0.683947,-1.729453,0.675600,-1.987005,0.282352,-0.959311,0.211091,-1.131357,0.141804,-0.723989,0.120177,-0.440337,-0.002021,-0.911416,-0.096683,-1.002881,-0.083277,-0.593948,-0.045513,-0.342573,-0.271530,-0.818846,-0.343938,-0.892091,-0.301553,-0.565429,-0.234766,-0.359142
L,Right,legacy_sibi_L_15,0.000000,0.000000,0.405616,-0.105783,0.812068,-0.373585,1.185435,-0.533507,1.511073,-0.544578,0.584804,-0.938705,0.681039,-1.421111,0.687395,-1.727199,0.678969,-1.984587,0.284858,-0.958570,0.213316,-1.129984,0.142451,-0.724785,0.119794,-0.442253,-0.001148,-0.910624,-0.097434,-0.999126,-0.082927,-0.592180,-0.043768,-0.342447,-0.272262,-0.817306,-0.345898,-0.885908,-0.300501,-0.560251,-0.231235,-0.355537
L,Right,legacy_sibi_L_16,0.000000,0.000000,0.406697,-0.103048,0.813972,-0.371564,1.186926,-0.527337,1.506579,-0.540832,0.584362,-0.937500,0.682138,-1.417580,0.688983,-1.721526,0.680588,-1.977292,0.285228,-0.958460,0.209710,-1.124450,0.140435,-0.720045,0.119948,-0.437761,0.000481,-0.911627,-0.097905,-0.993291,-0.082744,-0.586811,-0.043297,-0.336616,-0.269549,-0.820326,-0.343899,-0.881385,-0.300326,-0.553987,-0.232030,-0.348677
L,Right,legacy_sibi_L_17,0.000000,0.000000,0.407219,-0.108625,0.816044,-0.374985,1.194949,-0.534880,1.517408,-0.553779,0.591291,-0.937809,0.688030,-1.417228,0.694376,-1.723987,0.686287,-1.982976,0.289747,-0.957103,0.212913,-1.126994,0.144942,-0.719186,0.127530,-0.437272,0.002334,-0.909113,-0.096790,-0.994811,-0.079822,-0.583867,-0.036162,-0.333633,-0.269609,-0.815896,-0.345410,-0.880596,-0.299523,-0.550691,-0.226828,-0.345373
L,Right,legacy_sibi_L_18,0.000000,0.000000,0.404816,-0.107831,0.812291,-0.370491,1.191499,-0.530386,1.517066,-0.549825,0.586755,-0.941535,0.680137,-1.423414,0.682678,-1.730149,0.673198,-1.988214,0.284242,-0.958753,0.211133,-1.127237,0.144261,-0.720121,0.128518,-0.435924,-0.002742,-0.909589,-0.099383,-0.992014,-0.080705,-0.582460,-0.035558,-0.330519,-0.275013,-0.816482,-0.348668,-0.876824,-0.301668,-0.547372,-0.227603,-0.341230
L,Right,legacy_sibi_L_19,0.008490,-0.013032,0.426529,-0.074136,0.887698,-0.344149,1.241417,-0.448856,1.562981,-0.500539,0.619443,-0.926215,0.731312,-1.410562,0.745719,-1.716549,0.758608,-2.014309,0.279974,-0.969583,0.226936,-1.107353,0.177062,-0.719362,0.115250,-0.421044,-0.014548,-0.899097,-0.105175,-0.969825,-0.098119,-0.571696,-0.050707,-0.312303,-0.264372,-0.811289,-0.365768,-0.860787,-0.316108,-0.541835,-0.256351,-0.344820
L,Right,legacy_sibi_L_20,0.000000,0.000000,0.440670,-0.080250,0.896560,-0.354501,1.291143,-0.496932,1.629116,-0.506328,0.623108,-0.965002,0.751142,-1.470362,0.780300,-1.799668,0.801525,-2.078232,0.296358,-1.003070,0.247483,-1.165521,0.169622,-0.737353,0.145959,-0.442429,-0.014826,-0.954849,-0.110532,-1.018733,-0.106261,-0.597132,-0.067489,-0.337596,-0.299072,-0.857325,-0.373655,-0.902751,-0.334977,-0.561918,-0.266727,-0.346470
L,Right,legacy_sibi_L_21,-0.007825,-0.004573,0.414054,-0.095635,0.831854,-0.319410,1.230347,-0.479397,1.593663,-0.459358,0.595752,-0.905641,0.713813,-1.414207,0.745338,-1.715560,0.786909,-1.991916,0.277777,-0.964690,0.230297,-1.102726,0.152376,-0.661763,0.134870,-0.428085,-0.008840,-0.898913,-0.104725,-0.991498,-0.101106,-0.592809,-0.070592,-0.329551,-0.291601,-0.807301,-0.367239,-0.825898,-0.314209,-0.518615,-0.239331,-0.338130
L,Right,legacy_sibi_L_22,0.000000,0.000000,0.440214,-0.080166,0.895631,-0.354134,1.289805,-0.496417,1.627428,-0.505803,0.622463,-0.964002,0.750364,-1.468838,0.779492,-1.797802,0.800694,-2.076078,0.296051,-1.002030,0.247226,-1.164313,0.169446,-0.736589,0.145808,-0.441971,-0.014810,-0.953860,-0.110417,-1.017677,-0.106151,-0.596513,-0.067419,-0.337246,-0.298762,-0.856436,-0.373268,-0.901816,-0.334630,-0.561336,-0.266451,-0.346111
L,Right,legacy_sibi_L_23,-0.017829,0.009316,0.414032,-0.072722,0.864482,-0.372742,1.212514,-0.445896,1.550990,-0.511150,0.616048,-0.901514,0.727995,-1.380229,0.764271,-1.724592,0.769163,-1.991806,0.294252,-0.944195,0.239771,-1.098302,0.178477,-0.724100,0.113056,-0.427085,-0.022923,-0.921078,-0.112602,-0.970284,-0.107542,-0.570389,-0.067965,-0.336605,-0.317269,-0.804364,-0.377781,-0.878367,-0.309637,-0.518852,-0.252036,-0.336971
L,Right,legacy_sibi_L_24,0.000000,0.000000,0.418254,-0.076167,0.850953,-0.336469,1.225465,-0.471654,1.546246,-0.480572,0.591412,-0.915915,0.712933,-1.395568,0.740608,-1.708122,0.760753,-1.972516,0.281283,-0.952045,0.234894,-1.106233,0.160994,-0.699846,0.138534,-0.419924,-0.014072,-0.906278,-0.104909,-0.966912,-0.100856,-0.566757,-0.064056,-0.320423,-0.283859,-0.813714,-0.354648,-0.856830,-0.317938,-0.533335,-0.253159,-0.328845
