label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
M,Right,legacy_sibi_M_0,0.000000,0.000000,0.344477,-0.389977,0.456867,-0.763541,0.347453,-1.017193,0.204295,-1.171218,0.406465,-0.938854,0.521919,-1.257041,0.604188,-1.269920,0.617791,-1.222332,0.237947,-0.971278,0.375854,-1.297534,0.476032,-1.259170,0.499591,-1.162285,0.055669,-0.973713,0.204509,-1.316696,0.318752,-1.213030,0.334817,-1.079422,-0.131658,-0.937212,0.046870,-1.136880,0.124250,-1.035049,0.114527,-0.910604
M,Right,legacy_sibi_M_1,0.000000,0.000000,0.366624,-0.327030,0.488314,-0.692219,0.326591,-0.906575,0.119410,-1.045539,0.507199,-0.893641,0.647267,-1.134198,0.636882,-1.002460,0.570329,-0.847947,0.302573,-0.953126,0.439268,-1.262316,0.469962,-1.088583,0.432852,-0.898107,0.087432,-0.964508,0.214484,-1.318106,0.285111,-1.098638,0.259758,-0.904608,-0.128278,-0.909679,0.055960,-1.015934,0.105172,-0.816652,0.067918,-0.659692
M,Right,legacy_sibi_M_2,0.000000,0.000000,0.405427,-0.266771,0.548617,-0.616481,0.402575,-0.845992,0.198181,-0.982688,0.530573,-0.901029,0.693658,-1.155154,0.677809,-0.971063,0.584622,-0.768960,0.311679,-0.950187,0.464550,-1.298872,0.494610,-1.043253,0.433835,-0.800049,0.076425,-0.950813,0.218179,-1.322193,0.295446,-1.035679,0.250183,-0.797047,-0.172987,-0.881811,0.015165,-0.998454,0.081391,-0.799808,0.023650,-0.640673
M,Right,legacy_sibi_M_3,0.000000,0.000000,0.419943,-0.235328,0.569359,-0.620594,0.342649,-0.876788,0.091175,-1.030921,0.551524,-0.888864,0.752188,-1.152693,0.731402,-0.947091,0.623355,-0.739242,0.324271,-0.945964,0.520702,-1.300100,0.545834,-1.031849,0.469881,-0.783252,0.078871,-0.954491,0.258256,-1.353642,0.327553,-1.054405,0.270488,-0.816647,-0.181121,-0.891742,0.047385,-1.005951,0.103933,-0.773509,0.027749,-0.607815
M,Right,legacy_sibi_M_4,0.000000,0.000000,0.412275,-0.205444,0.583690,-0.590639,0.393930,-0.858408,0.155323,-1.021903,0.557033,-0.878908,0.775474,-1.153486,0.754249,-0.940732,0.631543,-0.720130,0.331050,-0.943613,0.536590,-1.304673,0.558810,-1.028774,0.470679,-0.775397,0.085255,-0.954636,0.271291,-1.354454,0.332266,-1.045936,0.264098,-0.808068,-0.173691,-0.893084,0.059849,-1.024133,0.103418,-0.780163,0.013288,-0.604423
M,Right,legacy_sibi_M_5,0.000000,0.000000,0.433163,-0.205793,0.603092,-0.601465,0.388526,-0.883732,0.142564,-1.059744,0.556146,-0.882287,0.774631,-1.155675,0.763023,-0.938698,0.648122,-0.718206,0.325572,-0.945517,0.555221,-1.311487,0.576933,-1.021846,0.482705,-0.756992,0.078773,-0.955466,0.279374,-1.361753,0.341298,-1.043356,0.277147,-0.799875,-0.184180,-0.888962,0.058319,-1.019986,0.100413,-0.753994,0.016309,-0.565227
M,Right,legacy_sibi_M_6,0.000000,0.000000,0.430052,-0.203929,0.600515,-0.597157,0.371854,-0.872193,0.113925,-1.034652,0.561078,-0.882037,0.777817,-1.151226,0.766481,-0.932532,0.652281,-0.713103,0.327848,-0.944730,0.547335,-1.305442,0.568840,-1.013353,0.474974,-0.752483,0.079667,-0.951981,0.268898,-1.349670,0.330094,-1.025988,0.265091,-0.786648,-0.185270,-0.882426,0.053774,-1.010676,0.098382,-0.743950,0.014877,-0.561679
M,Right,legacy_sibi_M_7,0.000000,0.000000,0.419905,-0.202105,0.591620,-0.595490,0.359421,-0.856574,0.094867,-1.003011,0.554932,-0.882726,0.762006,-1.144660,0.753194,-0.924449,0.643683,-0.706072,0.323392,-0.946265,0.535355,-1.297238,0.555905,-1.004807,0.463380,-0.745289,0.077904,-0.953724,0.262677,-1.340453,0.318332,-1.017167,0.252482,-0.781112,-0.181308,-0.884636,0.050945,-1.001453,0.089519,-0.731321,0.006695,-0.551216
M,Right,legacy_sibi_M_8,0.000000,0.000000,0.421515,-0.209211,0.586573,-0.602776,0.345483,-0.861796,0.079525,-1.011330,0.550429,-0.884798,0.763695,-1.149868,0.752739,-0.924658,0.640869,-0.703478,0.318232,-0.948013,0.534553,-1.296091,0.553457,-0.996463,0.459260,-0.735721,0.072250,-0.958667,0.262179,-1.341346,0.316104,-1.014979,0.245306,-0.779176,-0.189050,-0.895087,0.049652,-0.997556,0.091924,-0.726868,0.009613,-0.549818
M,Right,legacy_sibi_M_9,0.000000,0.000000,0.416454,-0.212292,0.581826,-0.608963,0.340013,-0.867070,0.072299,-1.010627,0.540954,-0.888960,0.752333,-1.159313,0.743959,-0.934341,0.634035,-0.708898,0.310508,-0.950571,0.525377,-1.306156,0.544060,-1.008721,0.449937,-0.743741,0.064921,-0.958617,0.253462,-1.347699,0.307228,-1.023989,0.236771,-0.784759,-0.197166,-0.890867,0.037563,-1.005411,0.077629,-0.737774,-0.006881,-0.558962
