label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
N,Right,legacy_sibi_N_0,0.000000,0.000000,0.370884,-0.218973,0.550336,-0.584188,0.341863,-0.851765,0.118273,-1.025186,0.450972,-0.952503,0.597678,-1.150266,0.527539,-0.886321,0.436668,-0.633563,0.178547,-0.983931,0.291539,-1.309081,0.275710,-0.979827,0.252642,-0.700590,-0.094090,-0.939384,-0.005857,-1.067387,0.048032,-0.691764,0.054064,-0.452844,-0.376638,-0.831915,-0.270310,-0.946420,-0.187432,-0.714764,-0.179951,-0.582710
N,Right,legacy_sibi_N_1,0.000000,0.000000,0.379761,-0.230509,0.532880,-0.635490,0.311566,-0.941679,0.095377,-1.149627,0.486475,-0.946566,0.605283,-1.181046,0.537917,-0.919768,0.444473,-0.652150,0.207886,-0.978153,0.308224,-1.359823,0.299022,-1.051619,0.268436,-0.761173,-0.077035,-0.944879,-0.006220,-1.133022,0.047479,-0.740055,0.048740,-0.479198,-0.366476,-0.856816,-0.264990,-1.027236,-0.175580,-0.769283,-0.164089,-0.603542
N,Right,legacy_sibi_N_2,0.000000,0.000000,0.395737,-0.248681,0.535272,-0.668519,0.312521,-0.979629,0.082299,-1.179124,0.476342,-0.941681,0.609849,-1.212334,0.545560,-0.965464,0.455665,-0.710193,0.207162,-0.978307,0.319825,-1.390169,0.304930,-1.088519,0.265302,-0.805195,-0.078638,-0.954670,-0.006213,-1.176788,0.041730,-0.782857,0.037463,-0.517823,-0.375822,-0.878156,-0.274918,-1.070869,-0.183155,-0.812317,-0.171499,-0.635138
N,Right,legacy_sibi_N_3,0.000000,0.000000,0.389797,-0.231406,0.548323,-0.631925,0.351097,-0.932921,0.132246,-1.125560,0.481916,-0.935096,0.613631,-1.206200,0.547701,-0.958544,0.457767,-0.706345,0.214332,-0.976761,0.317576,-1.378221,0.301995,-1.069711,0.264477,-0.787599,-0.067098,-0.956034,0.002877,-1.166559,0.051881,-0.771840,0.052473,-0.509670,-0.357858,-0.880268,-0.261221,-1.055622,-0.169931,-0.791694,-0.153854,-0.613295
N,Right,legacy_sibi_N_4,0.000000,0.000000,0.390977,-0.237430,0.549268,-0.632694,0.351763,-0.927722,0.134000,-1.112644,0.467242,-0.938662,0.599944,-1.200088,0.550294,-0.953355,0.469803,-0.700372,0.203705,-0.979032,0.316189,-1.372382,0.313831,-1.072721,0.280040,-0.791938,-0.075405,-0.955366,0.000661,-1.149567,0.056881,-0.764037,0.059701,-0.504650,-0.362692,-0.873838,-0.257676,-1.037866,-0.161116,-0.779558,-0.141795,-0.600054
N,Right,legacy_sibi_N_5,0.000000,0.000000,0.391878,-0.244788,0.545244,-0.649758,0.321386,-0.955409,0.097645,-1.147948,0.454974,-0.950233,0.595026,-1.215045,0.536000,-0.951570,0.446266,-0.694543,0.190503,-0.981687,0.299810,-1.386925,0.300892,-1.083265,0.274939,-0.799043,-0.087164,-0.949439,-0.014434,-1.140399,0.044961,-0.753495,0.048713,-0.494423,-0.372138,-0.863095,-0.264796,-1.032159,-0.170614,-0.780119,-0.155442,-0.607169
N,Right,legacy_sibi_N_6,0.000000,0.000000,0.392546,-0.251662,0.542792,-0.651336,0.320171,-0.952746,0.103274,-1.144280,0.455217,-0.949829,0.591729,-1.210567,0.529689,-0.956040,0.438569,-0.701722,0.190112,-0.981762,0.295463,-1.387913,0.293350,-1.087004,0.269123,-0.804426,-0.087777,-0.949478,-0.017812,-1.140451,0.037160,-0.757996,0.040083,-0.502936,-0.375447,-0.861928,-0.273339,-1.035132,-0.182968,-0.786733,-0.169199,-0.618148
N,Right,legacy_sibi_N_7,0.000000,0.000000,0.393759,-0.247209,0.545329,-0.650180,0.325105,-0.955158,0.106369,-1.151000,0.452777,-0.948273,0.592189,-1.211944,0.531744,-0.956392,0.442449,-0.702197,0.189005,-0.981976,0.298312,-1.390021,0.297419,-1.084411,0.272553,-0.801066,-0.088076,-0.950942,-0.015146,-1.147312,0.040849,-0.756971,0.043055,-0.499117,-0.374294,-0.863803,-0.270492,-1.038537,-0.177065,-0.782190,-0.162230,-0.608850
N,Right,legacy_sibi_N_8,0.000000,0.000000,0.393511,-0.243675,0.553895,-0.639121,0.335513,-0.940202,0.118688,-1.131304,0.463337,-0.946355,0.607571,-1.207343,0.542178,-0.948347,0.447340,-0.693669,0.198826,-0.980035,0.307542,-1.380691,0.304331,-1.074210,0.279500,-0.792066,-0.077514,-0.948430,-0.008532,-1.128393,0.044438,-0.740257,0.047021,-0.486065,-0.362606,-0.862316,-0.260743,-1.025474,-0.173869,-0.777530,-0.161620,-0.613825
N,Right,legacy_sibi_N_9,0.000000,0.000000,0.385231,-0.239240,0.547529,-0.628466,0.337038,-0.924743,0.123717,-1.112736,0.453889,-0.944462,0.594409,-1.192627,0.532250,-0.930118,0.439592,-0.681576,0.192610,-0.981275,0.299123,-1.363751,0.297260,-1.054921,0.273895,-0.780182,-0.080607,-0.950501,-0.009234,-1.117176,0.043685,-0.733044,0.046645,-0.486241,-0.362464,-0.863224,-0.258030,-1.006111,-0.171491,-0.762185,-0.158303,-0.606223
N,Right,legacy_sibi_N_10,0.000000,0.000000,0.389729,-0.235731,0.552215,-0.628986,0.338188,-0.932707,0.123801,-1.124431,0.457411,-0.943874,0.600534,-1.202893,0.538194,-0.941174,0.447354,-0.687968,0.195827,-0.980638,0.304365,-1.371917,0.302013,-1.065990,0.279927,-0.788923,-0.078303,-0.952745,-0.007682,-1.121116,0.043773,-0.735161,0.047412,-0.485200,-0.360703,-0.870430,-0.256075,-1.014953,-0.171193,-0.770334,-0.159508,-0.614309
N,Right,legacy_sibi_N_11,0.000000,0.000000,0.385389,-0.236964,0.547422,-0.630137,0.335719,-0.934013,0.123396,-1.127639,0.456846,-0.943981,0.598361,-1.201303,0.535780,-0.933594,0.443849,-0.683302,0.196086,-0.980587,0.300222,-1.366427,0.297790,-1.051748,0.276028,-0.777623,-0.077579,-0.952159,-0.010122,-1.116043,0.043006,-0.729073,0.048036,-0.485317,-0.359840,-0.870180,-0.257480,-1.001556,-0.171538,-0.757707,-0.157263,-0.608547
N,Right,legacy_sibi_N_12,0.000000,0.000000,0.388041,-0.243227,0.534905,-0.641358,0.318781,-0.948002,0.108249,-1.148699,0.447043,-0.949002,0.588991,-1.202277,0.529816,-0.930440,0.442777,-0.680085,0.188073,-0.982155,0.295727,-1.367782,0.294064,-1.049709,0.273895,-0.773704,-0.085768,-0.951996,-0.015833,-1.122152,0.038889,-0.730192,0.045600,-0.482717,-0.369162,-0.868717,-0.267348,-1.010109,-0.179133,-0.760328,-0.163477,-0.605564
N,Right,legacy_sibi_N_13,0.036891,-0.024797,0.332635,-0.201979,0.543050,-0.574011,0.377690,-0.865433,0.105535,-1.033584,0.453587,-0.942762,0.584050,-1.166460,0.502052,-0.898511,0.457698,-0.630945,0.155424,-0.993598,0.295061,-1.320960,0.296405,-0.991652,0.255178,-0.706372,-0.079669,-0.932406,-0.011686,-1.087070,0.055597,-0.690640,0.044731,-0.425482,-0.376617,-0.845686,-0.289125,-0.951376,-0.197877,-0.726326,-0.183860,-0.580965
N,Right,legacy_sibi_N_14,0.000000,0.000000,0.360982,-0.213127,0.535642,-0.568590,0.332735,-0.829023,0.115115,-0.997814,0.438931,-0.927072,0.581720,-1.119554,0.513454,-0.862657,0.425009,-0.616647,0.173780,-0.957661,0.283755,-1.274129,0.268348,-0.953665,0.245896,-0.681884,-0.091578,-0.914303,-0.005701,-1.038888,0.046749,-0.673294,0.052620,-0.440753,-0.366582,-0.809703,-0.263092,-0.921151,-0.182427,-0.695680,-0.175146,-0.567152
N,Right,legacy_sibi_N_15,0.026121,0.009102,0.385138,-0.215149,0.537032,-0.588743,0.336405,-0.837337,0.119575,-1.009731,0.464820,-0.953727,0.587661,-1.149454,0.510737,-0.890234,0.430881,-0.633913,0.185245,-0.980417,0.290398,-1.300998,0.281731,-0.966222,0.240215,-0.712367,-0.069495,-0.932187,0.001967,-1.081419,0.083479,-0.686073,0.051725,-0.435635,-0.359873,-0.819444,-0.244835,-0.959846,-0.167573,-0.720999,-0.194674,-0.583183
N,Right,legacy_sibi_N_16,0.000000,0.000000,0.361205,-0.213259,0.535974,-0.568942,0.332941,-0.829536,0.115187,-0.998432,0.439203,-0.927646,0.582080,-1.120247,0.513772,-0.863191,0.425272,-0.617029,0.173888,-0.958253,0.283930,-1.274918,0.268515,-0.954256,0.246048,-0.682306,-0.091634,-0.914869,-0.005704,-1.039531,0.046778,-0.673711,0.052653,-0.441026,-0.366809,-0.810205,-0.263255,-0.921721,-0.182540,-0.696111,-0.175255,-0.567503
N,Right,legacy_sibi_N_17,-0.028270,-0.002903,0.377791,-0.221013,0.549892,-0.560389,0.324445,-0.872898,0.118677,-1.024284,0.466718,-0.967927,0.603331,-1.148844,0.525006,-0.911550,0.418057,-0.638126,0.200218,-0.965503,0.295402,-1.307870,0.268595,-0.983662,0.269669,-0.691415,-0.112937,-0.931033,0.048545,-1.054664,0.042101,-0.688878,0.043928,-0.448868,-0.363882,-0.839946,-0.271263,-0.958290,-0.187642,-0.722677,-0.157636,-0.578767
