label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
O,Right,1778620429838,0.000000,0.000000,-0.381994,-0.028935,-0.655766,-0.140312,-0.875113,-0.226314,-1.028288,-0.390684,-0.529669,-0.805404,-0.809472,-0.898208,-0.971274,-0.739095,-1.041910,-0.571725,-0.462687,-0.886522,-0.819247,-1.015928,-1.002629,-0.817824,-1.058563,-0.602198,-0.412060,-0.898553,-0.765877,-1.015530,-0.978675,-0.812096,-1.060755,-0.589182,-0.394986,-0.828538,-0.691961,-0.895424,-0.885314,-0.793894,-0.999649,-0.652867
O,Right,1778620432937,0.000000,0.000000,-0.355273,-0.005513,-0.641625,-0.125273,-0.865909,-0.224827,-1.009801,-0.412632,-0.560064,-0.776434,-0.815301,-0.956391,-0.986659,-0.805722,-1.049935,-0.614598,-0.496759,-0.867889,-0.823210,-1.085664,-1.005786,-0.880848,-1.054999,-0.649177,-0.430288,-0.906778,-0.754928,-1.115654,-0.963451,-0.912649,-1.035380,-0.669953,-0.377833,-0.873702,-0.663146,-0.985930,-0.854863,-0.876990,-0.958517,-0.716064
O,Right,1778620433284,0.000000,0.000000,-0.369584,-0.021123,-0.651026,-0.144572,-0.867053,-0.233012,-1.020049,-0.409221,-0.541695,-0.797016,-0.794646,-0.963890,-0.972618,-0.825599,-1.057362,-0.655427,-0.470611,-0.882341,-0.807107,-1.086972,-0.996070,-0.889750,-1.062563,-0.675190,-0.401455,-0.907361,-0.744491,-1.116044,-0.957856,-0.907217,-1.039902,-0.671756,-0.356227,-0.850927,-0.665563,-0.981052,-0.862229,-0.865793,-0.967110,-0.701734
O,Right,1778620434330,0.000000,0.000000,-0.373518,-0.027656,-0.650362,-0.153944,-0.860644,-0.242614,-1.013564,-0.424213,-0.547618,-0.792785,-0.795554,-0.959973,-0.967065,-0.813894,-1.042353,-0.629646,-0.485001,-0.874513,-0.808554,-1.069488,-0.995284,-0.873070,-1.052123,-0.656022,-0.429489,-0.897807,-0.756730,-1.084549,-0.964317,-0.878164,-1.039740,-0.640938,-0.394245,-0.850486,-0.685316,-0.950759,-0.876072,-0.827106,-0.978951,-0.664677
O,Right,1778620435788,0.000000,0.000000,0.092172,-0.118237,0.287608,-0.369883,0.544026,-0.612794,0.703871,-0.818198,-0.055503,-0.928860,0.263031,-1.220628,0.516468,-1.097192,0.657750,-0.933446,0.007982,-0.999968,0.289979,-1.385310,0.551181,-1.231016,0.698839,-1.011854,0.096768,-1.006885,0.348995,-1.292884,0.582550,-1.139067,0.711969,-0.940191,0.187359,-0.962306,0.380763,-1.123347,0.547140,-1.052111,0.648489,-0.928997
O,Right,1778620436232,0.000000,0.000000,0.091758,-0.095840,0.290581,-0.340262,0.553472,-0.578129,0.711452,-0.802570,-0.082352,-0.907000,0.254711,-1.204289,0.522348,-1.080904,0.666319,-0.906905,-0.016238,-0.999868,0.289032,-1.381224,0.563547,-1.219738,0.710867,-0.996781,0.079399,-1.028880,0.349969,-1.301663,0.595930,-1.137998,0.728190,-0.944641,0.176025,-0.998846,0.390870,-1.146079,0.571239,-1.064331,0.678076,-0.941800
O,Right,legacy_sibi_O_0,0.000000,0.000000,0.388856,-0.004710,0.737112,-0.229105,1.013680,-0.380713,1.163900,-0.594476,0.284605,-0.929050,0.708612,-1.103159,1.013744,-0.972179,1.158595,-0.783925,0.184631,-0.982808,0.727157,-1.189251,1.046987,-0.993345,1.188125,-0.751559,0.159156,-0.962532,0.691560,-1.207066,1.042204,-1.028141,1.203452,-0.799363,0.196996,-0.861244,0.667058,-1.090304,0.964207,-1.013032,1.117281,-0.863854
O,Right,legacy_sibi_O_1,0.000000,0.000000,0.422155,-0.049457,0.763732,-0.239600,1.022063,-0.364427,1.195319,-0.548866,0.380035,-0.899158,0.783368,-1.049382,1.040531,-0.911958,1.163535,-0.712249,0.298348,-0.954457,0.839495,-1.105811,1.080341,-0.915104,1.160362,-0.691437,0.275471,-0.938753,0.823494,-1.102238,1.087572,-0.909370,1.188666,-0.687723,0.310875,-0.841743,0.763464,-1.005180,1.012672,-0.915943,1.145756,-0.765756
O,Right,legacy_sibi_O_2,0.000000,0.000000,0.457455,-0.101225,0.769154,-0.288782,1.003934,-0.405657,1.178033,-0.577288,0.386861,-0.901429,0.789089,-1.063975,1.035536,-0.920910,1.144259,-0.732054,0.297725,-0.954652,0.817730,-1.129066,1.060496,-0.935228,1.137888,-0.707466,0.274339,-0.932303,0.780482,-1.127313,1.039139,-0.955665,1.134576,-0.746131,0.308827,-0.832910,0.729605,-1.010227,0.970134,-0.942338,1.097005,-0.812823
O,Right,legacy_sibi_O_3,0.000000,0.000000,0.457956,-0.133066,0.752916,-0.305998,0.980776,-0.408290,1.153348,-0.574013,0.367198,-0.911366,0.769835,-1.062124,1.011215,-0.911942,1.115028,-0.726913,0.289791,-0.957090,0.804258,-1.107620,1.041177,-0.917645,1.111166,-0.696826,0.275036,-0.925942,0.771909,-1.102675,1.018750,-0.934332,1.105238,-0.730324,0.320373,-0.819176,0.721902,-0.983700,0.954096,-0.921858,1.076892,-0.798672
