label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
P,Right,legacy_sibi_P_0,0.000000,0.000000,-0.152484,-0.046649,-0.520992,-0.007064,-0.883600,0.118665,-1.191244,0.237865,-0.971270,-0.205148,-1.436520,-0.211941,-1.737104,-0.220456,-2.027397,-0.211436,-0.999991,-0.004243,-1.161302,0.314463,-0.949675,0.528689,-0.767590,0.673469,-0.969901,0.172496,-1.199662,0.473331,-1.254049,0.725481,-1.298870,0.960268,-0.890413,0.264267,-0.980761,0.459552,-0.864918,0.535491,-0.751790,0.632558
P,Right,legacy_sibi_P_1,0.000000,0.000000,-0.149084,-0.074454,-0.526190,-0.052234,-0.881666,0.075965,-1.163183,0.198828,-0.969493,-0.240740,-1.424884,-0.263071,-1.714454,-0.282865,-1.993252,-0.278352,-0.999245,-0.038847,-1.128508,0.259690,-0.906972,0.454307,-0.733333,0.581884,-0.976819,0.139001,-1.206895,0.427480,-1.300921,0.691976,-1.389799,0.932539,-0.908896,0.234893,-1.022069,0.427864,-0.960036,0.525319,-0.908424,0.647776
P,Right,legacy_sibi_P_2,0.000000,0.000000,-0.171151,-0.035393,-0.540195,-0.009799,-0.896231,0.120487,-1.184737,0.229312,-0.961805,-0.244128,-1.458149,-0.262209,-1.775381,-0.296342,-2.066583,-0.293894,-0.998928,-0.046300,-1.198254,0.268593,-1.096508,0.531551,-0.991965,0.738353,-0.988318,0.125895,-1.190994,0.424189,-1.153463,0.695932,-1.110119,0.937875,-0.933744,0.220226,-1.026150,0.428936,-0.907540,0.535966,-0.797316,0.657970
P,Right,legacy_sibi_P_3,0.000000,0.000000,-0.174603,-0.041442,-0.560160,-0.007883,-0.920275,0.125178,-1.206789,0.251580,-0.973409,-0.226622,-1.473299,-0.234969,-1.791080,-0.249560,-2.093631,-0.236798,-0.999767,-0.021592,-1.188230,0.280763,-1.018070,0.504061,-0.866449,0.669194,-0.979870,0.158911,-1.211670,0.461821,-1.232610,0.734043,-1.245047,0.984860,-0.918225,0.259014,-1.013010,0.470742,-0.884674,0.569444,-0.765131,0.692030
P,Right,legacy_sibi_P_4,0.000000,0.000000,-0.170958,-0.034136,-0.559130,0.003395,-0.930378,0.132287,-1.220438,0.259557,-0.973179,-0.222456,-1.478341,-0.223663,-1.797454,-0.233130,-2.102653,-0.216389,-0.999796,-0.020193,-1.179607,0.285632,-0.974752,0.492470,-0.800357,0.638227,-0.979565,0.159695,-1.210694,0.466601,-1.238057,0.739632,-1.255897,0.992275,-0.916238,0.259893,-1.012889,0.467394,-0.894898,0.574242,-0.783693,0.708348
P,Right,legacy_sibi_P_5,0.000000,0.000000,-0.171245,-0.042671,-0.550291,-0.006976,-0.915099,0.129451,-1.204983,0.262197,-0.972279,-0.219523,-1.472662,-0.223014,-1.792793,-0.231837,-2.101252,-0.214453,-0.999870,-0.016153,-1.177997,0.286472,-0.976067,0.492292,-0.806123,0.639869,-0.983037,0.164727,-1.207877,0.473779,-1.246071,0.743005,-1.275251,0.997292,-0.924267,0.264488,-1.025346,0.471305,-0.923946,0.582819,-0.830082,0.728060
P,Right,legacy_sibi_P_6,0.000000,0.000000,-0.169068,-0.049839,-0.549021,-0.016548,-0.912614,0.122335,-1.202546,0.254596,-0.972107,-0.226921,-1.469327,-0.231689,-1.789900,-0.241523,-2.099302,-0.224914,-0.999781,-0.020946,-1.177876,0.286091,-0.997840,0.501817,-0.845635,0.657166,-0.982897,0.163357,-1.206358,0.474048,-1.246698,0.744359,-1.279292,0.995627,-0.924218,0.264351,-1.023122,0.477446,-0.919444,0.584156,-0.824467,0.719958
P,Right,legacy_sibi_P_7,0.000000,0.000000,-0.176086,-0.041282,-0.555442,-0.009510,-0.911511,0.128330,-1.201301,0.250865,-0.972522,-0.224924,-1.465762,-0.229288,-1.784472,-0.241891,-2.087237,-0.228117,-0.999744,-0.022605,-1.194749,0.285707,-1.056611,0.521983,-0.932671,0.696654,-0.979675,0.156901,-1.201889,0.463799,-1.204221,0.734845,-1.204802,0.979527,-0.915919,0.254820,-0.995942,0.476681,-0.858768,0.577161,-0.732796,0.696375
P,Right,legacy_sibi_P_8,0.000000,0.000000,-0.175079,-0.029409,-0.557906,0.004969,-0.919056,0.138489,-1.205924,0.267092,-0.972200,-0.217713,-1.469754,-0.217594,-1.784743,-0.224627,-2.084565,-0.206518,-0.999924,-0.012348,-1.184768,0.296210,-1.025066,0.523389,-0.890171,0.687311,-0.978157,0.168696,-1.201286,0.477584,-1.202880,0.739122,-1.207344,0.972868,-0.912739,0.268944,-0.984381,0.491856,-0.835281,0.583636,-0.705783,0.685664
P,Right,legacy_sibi_P_9,0.000000,0.000000,-0.177815,-0.037906,-0.563509,-0.000033,-0.931065,0.140189,-1.216624,0.274269,-0.973530,-0.221904,-1.476165,-0.210824,-1.795433,-0.213210,-2.098642,-0.189076,-0.999899,-0.014228,-1.181520,0.282298,-0.980511,0.491036,-0.807843,0.642938,-0.978327,0.168014,-1.205605,0.471849,-1.216188,0.734385,-1.219519,0.978594,-0.916555,0.269401,-1.011359,0.476123,-0.887005,0.570758,-0.773396,0.688895
P,Right,legacy_sibi_P_10,0.000000,0.000000,-0.192797,-0.027674,-0.570385,0.011607,-0.923145,0.152548,-1.200584,0.288108,-0.986870,-0.200563,-1.476848,-0.201237,-1.793382,-0.205462,-2.090835,-0.183717,-1.000000,0.000624,-1.205166,0.311084,-1.070375,0.546587,-0.939820,0.724750,-0.963627,0.173343,-1.164826,0.481372,-1.117856,0.735444,-1.076196,0.961591,-0.887283,0.265913,-0.959381,0.483652,-0.798687,0.565898,-0.649404,0.654280
P,Right,legacy_sibi_P_11,0.000000,0.000000,-0.188811,-0.040157,-0.569917,-0.000100,-0.930866,0.142871,-1.213450,0.275867,-0.976404,-0.212514,-1.480466,-0.197128,-1.802720,-0.197700,-2.102554,-0.170416,-0.999918,-0.012789,-1.196823,0.300213,-1.018467,0.511518,-0.851962,0.665411,-0.982761,0.164859,-1.198012,0.476078,-1.181184,0.726081,-1.160414,0.954241,-0.929502,0.263129,-1.029775,0.472997,-0.925476,0.575364,-0.828048,0.699133
P,Right,legacy_sibi_P_12,0.000000,0.000000,-0.191284,-0.038672,-0.568329,0.004983,-0.925860,0.144953,-1.205704,0.277037,-0.980157,-0.202718,-1.485298,-0.184961,-1.807718,-0.189215,-2.106114,-0.166837,-0.999996,-0.002671,-1.182158,0.304990,-0.977135,0.515184,-0.790234,0.667267,-0.981502,0.171938,-1.183640,0.471310,-1.142370,0.714456,-1.103015,0.935708,-0.928604,0.268342,-1.036755,0.471121,-0.944924,0.576668,-0.864951,0.704790
P,Right,legacy_sibi_P_13,0.000000,0.000000,-0.186429,-0.049460,-0.556379,-0.011181,-0.913906,0.133056,-1.198379,0.271535,-0.974662,-0.217752,-1.472182,-0.193772,-1.790474,-0.194488,-2.089002,-0.169543,-0.999904,-0.013838,-1.179546,0.298378,-0.982692,0.505780,-0.809185,0.655604,-0.984768,0.166390,-1.202066,0.472744,-1.202395,0.726117,-1.197971,0.960486,-0.935529,0.267698,-1.051787,0.469966,-0.977866,0.579586,-0.912845,0.713268
P,Right,legacy_sibi_P_14,-0.002874,-0.007408,-0.141869,-0.034021,-0.525261,-0.021950,-0.876736,0.115039,-1.208380,0.226309,-0.975102,-0.191126,-1.437319,-0.218107,-1.738810,-0.224999,-2.034159,-0.188268,-1.000718,0.011378,-1.181325,0.301664,-0.980576,0.541946,-0.768159,0.676676,-0.977444,0.164463,-1.184811,0.462880,-1.244135,0.709242,-1.275598,0.982805,-0.888068,0.279068,-1.006543,0.442383,-0.840046,0.555357,-0.753487,0.626023
P,Right,legacy_sibi_P_15,0.000000,0.000000,-0.152928,-0.046785,-0.522508,-0.007085,-0.886171,0.119011,-1.194711,0.238557,-0.974096,-0.205745,-1.440701,-0.212557,-1.742159,-0.221098,-2.033297,-0.212052,-1.002901,-0.004256,-1.164681,0.315378,-0.952439,0.530227,-0.769823,0.675428,-0.972723,0.172998,-1.203153,0.474708,-1.257698,0.727592,-1.302650,0.963062,-0.893004,0.265036,-0.983615,0.460890,-0.867435,0.537050,-0.753978,0.634399
P,Right,legacy_sibi_P_16,0.012708,0.006406,-0.154205,-0.034150,-0.527659,0.004482,-0.901507,0.105131,-1.195642,0.251057,-0.984498,-0.188065,-1.444249,-0.198009,-1.736068,-0.236703,-2.012172,-0.210566,-1.014222,0.007806,-1.175553,0.318068,-0.950174,0.527092,-0.766863,0.677361,-0.967819,0.192210,-1.216949,0.450434,-1.244789,0.742400,-1.298605,0.953995,-0.873121,0.253684,-0.962641,0.440118,-0.882108,0.564428,-0.744931,0.614339
P,Right,legacy_sibi_P_17,0.000000,0.000000,-0.159629,-0.048835,-0.545401,-0.007395,-0.924998,0.124225,-1.247057,0.249009,-1.016776,-0.214760,-1.503824,-0.221871,-1.818491,-0.230785,-2.122385,-0.221343,-1.046843,-0.004442,-1.215712,0.329196,-0.994170,0.553459,-0.803553,0.705022,-1.015343,0.180578,-1.255869,0.495507,-1.312804,0.759471,-1.359725,1.005259,-0.932131,0.276649,-1.026712,0.481083,-0.905441,0.560580,-0.787013,0.662194
P,Right,legacy_sibi_P_18,-0.011616,-0.003841,-0.164147,-0.021497,-0.518063,-0.013176,-0.886917,0.108273,-1.166104,0.228009,-0.962055,-0.221530,-1.442253,-0.207021,-1.729313,-0.225865,-2.036076,-0.207160,-0.953059,-0.015899,-1.152489,0.300971,-0.958105,0.543586,-0.744280,0.668661,-0.953212,0.168455,-1.208807,0.454770,-1.287140,0.709687,-1.286133,0.950153,-0.883636,0.243175,-0.968667,0.474403,-0.866492,0.537118,-0.761754,0.619681
P,Right,legacy_sibi_P_19,0.000000,0.000000,-0.146526,-0.044827,-0.500634,-0.006788,-0.849074,0.114029,-1.144698,0.228571,-0.933318,-0.197132,-1.380390,-0.203659,-1.669228,-0.211842,-1.948179,-0.203175,-0.960917,-0.004078,-1.115925,0.302175,-0.912568,0.508031,-0.737597,0.647153,-0.932003,0.165756,-1.152786,0.454836,-1.205048,0.697133,-1.248118,0.922746,-0.855621,0.253941,-0.942439,0.441596,-0.831122,0.514567,-0.722415,0.607841
P,Right,legacy_sibi_P_20,-0.014679,0.009170,-0.181702,-0.037957,-0.521996,-0.021875,-0.882273,0.117692,-1.202399,0.237320,-0.979745,-0.195904,-1.456755,-0.197871,-1.758052,-0.221852,-2.051795,-0.208394,-0.990492,-0.005159,-1.151643,0.328259,-0.957699,0.522320,-0.760912,0.642367,-0.945066,0.165477,-1.185485,0.474996,-1.263781,0.738308,-1.323173,0.985722,-0.875577,0.276019,-0.991430,0.454705,-0.872909,0.540506,-0.738734,0.643722
P,Right,legacy_sibi_P_21,0.000000,0.000000,-0.149409,-0.045709,-0.510485,-0.006922,-0.865781,0.116272,-1.167221,0.233068,-0.951683,-0.201011,-1.407551,-0.207667,-1.702073,-0.216011,-1.986512,-0.207172,-0.979825,-0.004158,-1.137883,0.308121,-0.930524,0.518027,-0.752110,0.659887,-0.950342,0.169018,-1.175469,0.463785,-1.228759,0.710851,-1.272677,0.940903,-0.872456,0.258938,-0.960983,0.450285,-0.847476,0.524692,-0.736629,0.619801
