label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Q,Right,legacy_sibi_Q_0,0.000000,0.000000,0.067653,0.287211,-0.044953,0.672106,-0.106296,1.051499,-0.075340,1.363349,-0.734965,0.489766,-0.825127,1.042328,-0.859790,1.377214,-0.932360,1.629052,-0.859370,0.511355,-0.656911,1.070952,-0.376416,0.980900,-0.326756,0.778608,-0.865834,0.574430,-0.677970,1.076876,-0.445222,0.972886,-0.423493,0.808195,-0.818227,0.633222,-0.704379,1.003825,-0.545317,0.932080,-0.484561,0.785335
Q,Right,legacy_sibi_Q_1,0.000000,0.000000,0.074671,0.287715,-0.049068,0.679699,-0.123985,1.074192,-0.071559,1.400196,-0.745753,0.476913,-0.851177,1.042103,-0.896192,1.396055,-0.972373,1.654597,-0.859683,0.510828,-0.662022,1.087764,-0.389282,0.996744,-0.356799,0.784659,-0.859359,0.592918,-0.654633,1.080643,-0.424814,0.971676,-0.426980,0.803356,-0.807827,0.657798,-0.655126,1.005450,-0.487619,0.926468,-0.424868,0.785489
Q,Right,legacy_sibi_Q_2,0.000000,0.000000,0.087907,0.295899,-0.035538,0.687381,-0.120068,1.083973,-0.076124,1.417170,-0.732116,0.488829,-0.853505,1.060314,-0.901991,1.419644,-0.979417,1.685735,-0.853301,0.521418,-0.654577,1.112715,-0.380619,1.018429,-0.355897,0.803783,-0.857594,0.601478,-0.651017,1.097902,-0.424134,0.985664,-0.437478,0.816010,-0.808501,0.667814,-0.660451,1.021278,-0.494485,0.940323,-0.438208,0.796813
Q,Right,legacy_sibi_Q_3,0.000000,0.000000,0.065129,0.292138,-0.063158,0.667586,-0.147785,1.052056,-0.108650,1.376824,-0.753389,0.461679,-0.865987,1.020540,-0.917018,1.374938,-0.997823,1.640067,-0.870339,0.492453,-0.674715,1.074545,-0.403344,0.981256,-0.375875,0.768340,-0.873751,0.570694,-0.672561,1.062321,-0.447221,0.953189,-0.457117,0.785703,-0.825431,0.636094,-0.685696,0.988874,-0.517955,0.909563,-0.458617,0.765894
Q,Right,legacy_sibi_Q_4,0.000000,0.000000,0.067571,0.292706,-0.060769,0.681110,-0.136643,1.074862,-0.089717,1.400675,-0.749647,0.480640,-0.871158,1.040182,-0.922286,1.392249,-1.000687,1.649736,-0.861150,0.508350,-0.674212,1.093222,-0.401802,1.002398,-0.367007,0.788386,-0.863757,0.584412,-0.666927,1.078103,-0.443399,0.969217,-0.447795,0.798959,-0.815464,0.646124,-0.673397,1.001339,-0.502618,0.923338,-0.436422,0.780814
Q,Right,legacy_sibi_Q_5,0.000000,0.000000,0.065071,0.287343,-0.064668,0.668695,-0.147565,1.062079,-0.104926,1.392206,-0.754211,0.470150,-0.874872,1.031992,-0.926813,1.380758,-1.007831,1.637860,-0.865583,0.500765,-0.679944,1.080940,-0.406880,0.993035,-0.371864,0.783542,-0.868729,0.576969,-0.671609,1.062645,-0.447907,0.958292,-0.455092,0.793299,-0.822408,0.641328,-0.684076,0.991043,-0.519647,0.913960,-0.460852,0.772011
Q,Right,legacy_sibi_Q_6,0.000000,0.000000,0.052613,0.284355,-0.083413,0.664263,-0.164329,1.052774,-0.123446,1.377172,-0.767126,0.453154,-0.889343,1.012006,-0.944600,1.365229,-1.027299,1.627164,-0.875009,0.484107,-0.694311,1.065628,-0.419830,0.977105,-0.382524,0.765167,-0.875027,0.564001,-0.684471,1.054286,-0.459225,0.947658,-0.462311,0.780387,-0.825192,0.629283,-0.689356,0.981935,-0.523686,0.903726,-0.459506,0.762386
Q,Right,legacy_sibi_Q_7,0.000000,0.000000,0.052478,0.286148,-0.080356,0.669646,-0.158662,1.059315,-0.124035,1.385629,-0.765706,0.459005,-0.892132,1.011997,-0.949621,1.368391,-1.033279,1.632213,-0.871360,0.490644,-0.696537,1.073745,-0.416841,0.992733,-0.372543,0.781301,-0.870743,0.572288,-0.687486,1.066151,-0.455350,0.964422,-0.449112,0.795495,-0.819647,0.638130,-0.685684,0.993301,-0.511049,0.920589,-0.437451,0.781772
Q,Right,legacy_sibi_Q_8,0.000000,0.000000,0.056695,0.276595,-0.075589,0.656394,-0.155144,1.047902,-0.119812,1.377072,-0.764523,0.450157,-0.887345,1.001971,-0.944837,1.357096,-1.029974,1.622883,-0.871172,0.490978,-0.685794,1.072455,-0.409459,0.983515,-0.372301,0.768097,-0.867419,0.578569,-0.679052,1.070012,-0.449412,0.961713,-0.449046,0.790424,-0.812562,0.648897,-0.671330,0.997925,-0.500171,0.918762,-0.432516,0.776688
Q,Right,legacy_sibi_Q_9,0.000000,0.000000,0.062109,0.274075,-0.070492,0.648961,-0.154860,1.042264,-0.121907,1.379372,-0.763388,0.448883,-0.887288,1.003055,-0.945470,1.363445,-1.030823,1.631124,-0.869344,0.494208,-0.684958,1.084089,-0.401830,0.999641,-0.356763,0.783503,-0.861980,0.583279,-0.673299,1.082127,-0.437955,0.976807,-0.429940,0.805648,-0.803135,0.653317,-0.657276,1.006558,-0.480187,0.932046,-0.406126,0.792867
