label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
R,Right,legacy_sibi_R_0,0.000000,0.000000,0.326308,-0.262494,0.452589,-0.622983,0.258646,-0.878852,0.016881,-0.983794,0.322165,-0.994233,0.270784,-1.395895,0.208498,-1.644635,0.146452,-1.865431,0.087746,-0.996143,0.127818,-1.450050,0.135117,-1.741936,0.136939,-1.978565,-0.130119,-0.898550,-0.170394,-1.092287,-0.085480,-0.820063,-0.012189,-0.605707,-0.333923,-0.733654,-0.336497,-0.888415,-0.230672,-0.690917,-0.149959,-0.509129
R,Right,legacy_sibi_R_1,0.000000,0.000000,0.334121,-0.228293,0.478468,-0.601650,0.304641,-0.898273,0.050966,-1.012091,0.344966,-0.997901,0.321060,-1.420137,0.254969,-1.686870,0.188082,-1.921042,0.110108,-0.993920,0.135150,-1.447628,0.148720,-1.760148,0.159022,-2.015309,-0.113027,-0.897624,-0.143810,-1.095451,-0.067192,-0.797202,-0.012068,-0.555026,-0.330341,-0.740217,-0.318106,-0.898867,-0.221888,-0.693419,-0.156076,-0.500596
R,Right,legacy_sibi_R_2,0.000000,0.000000,0.333144,-0.225541,0.458652,-0.617690,0.265881,-0.915478,0.005621,-1.031980,0.331959,-1.012654,0.292979,-1.434841,0.216922,-1.704417,0.136256,-1.937158,0.092768,-0.995688,0.127897,-1.452300,0.136764,-1.780072,0.135243,-2.049741,-0.133024,-0.888381,-0.175416,-1.084266,-0.087039,-0.794547,-0.022455,-0.560879,-0.353864,-0.717709,-0.346346,-0.878192,-0.244208,-0.668203,-0.174181,-0.473971
R,Right,legacy_sibi_R_3,0.000000,0.000000,0.342679,-0.226040,0.473190,-0.614449,0.286746,-0.902316,0.039197,-1.016899,0.322348,-1.013325,0.283335,-1.435673,0.209811,-1.705830,0.134882,-1.935913,0.087887,-0.996130,0.105530,-1.459009,0.112385,-1.781275,0.112474,-2.046834,-0.135320,-0.886355,-0.179556,-1.096700,-0.083621,-0.799306,-0.015825,-0.559653,-0.360555,-0.713221,-0.355017,-0.883288,-0.243704,-0.675907,-0.170367,-0.485857
R,Right,legacy_sibi_R_4,0.000000,0.000000,0.348000,-0.224239,0.468477,-0.617389,0.281583,-0.909217,0.036309,-1.021168,0.331354,-1.008489,0.294885,-1.424379,0.221399,-1.694672,0.145604,-1.925543,0.096895,-0.995295,0.116334,-1.456562,0.125170,-1.781578,0.127531,-2.049177,-0.125829,-0.889548,-0.171576,-1.105070,-0.080630,-0.807267,-0.015643,-0.567621,-0.348756,-0.719671,-0.341214,-0.893446,-0.231549,-0.685306,-0.157672,-0.493318
R,Right,legacy_sibi_R_5,0.000000,0.000000,0.344318,-0.227194,0.469292,-0.619741,0.272947,-0.904623,0.026456,-1.022309,0.332462,-1.010188,0.294946,-1.425973,0.221857,-1.693343,0.143697,-1.922260,0.096001,-0.995381,0.120163,-1.459703,0.127302,-1.780835,0.122781,-2.047473,-0.126050,-0.887042,-0.179389,-1.098893,-0.084835,-0.801432,-0.017245,-0.565348,-0.346879,-0.713567,-0.348075,-0.883168,-0.240006,-0.673343,-0.167164,-0.481969
R,Right,legacy_sibi_R_6,0.000000,0.000000,0.342741,-0.223379,0.464570,-0.612956,0.273311,-0.901875,0.026814,-1.017395,0.330097,-1.010986,0.290657,-1.420640,0.213543,-1.685116,0.131395,-1.913969,0.091925,-0.995766,0.113712,-1.456897,0.121298,-1.781200,0.118853,-2.049787,-0.132110,-0.887165,-0.182488,-1.092965,-0.086687,-0.794976,-0.018077,-0.556697,-0.353870,-0.713322,-0.348664,-0.878388,-0.238807,-0.668134,-0.165268,-0.476091
R,Right,legacy_sibi_R_7,0.000000,0.000000,0.335445,-0.222718,0.453629,-0.614451,0.267146,-0.902864,0.021069,-1.016037,0.323867,-1.011339,0.285816,-1.417537,0.209372,-1.677744,0.125885,-1.904237,0.088123,-0.996110,0.113206,-1.456435,0.122690,-1.778648,0.120608,-2.046477,-0.132777,-0.886398,-0.186833,-1.088989,-0.090204,-0.789906,-0.018736,-0.552679,-0.350994,-0.711003,-0.351128,-0.865560,-0.241372,-0.654973,-0.164481,-0.466625
R,Right,legacy_sibi_R_8,0.000000,0.000000,0.337556,-0.226926,0.455903,-0.617092,0.267550,-0.904675,0.022050,-1.015212,0.325045,-1.010546,0.286189,-1.419157,0.209347,-1.681211,0.129812,-1.908563,0.088036,-0.996117,0.107557,-1.454268,0.114260,-1.777122,0.114090,-2.045662,-0.133448,-0.887563,-0.186542,-1.086302,-0.093320,-0.784642,-0.022969,-0.545180,-0.351999,-0.713288,-0.352323,-0.866353,-0.246010,-0.654865,-0.170486,-0.465749
R,Right,legacy_sibi_R_9,0.000000,0.000000,0.338305,-0.227147,0.452195,-0.617458,0.262120,-0.905483,0.016365,-1.015548,0.324987,-1.010479,0.286511,-1.416329,0.209302,-1.676679,0.127286,-1.902222,0.088270,-0.996097,0.107782,-1.455748,0.114699,-1.778257,0.112453,-2.045671,-0.133099,-0.887225,-0.190478,-1.086715,-0.094410,-0.786092,-0.022621,-0.547312,-0.352977,-0.712638,-0.353750,-0.866999,-0.245348,-0.654741,-0.169045,-0.465331
