label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
T,Right,legacy_sibi_T_0,0.000000,0.000000,0.134854,-0.407809,0.210798,-0.811643,0.301565,-1.103529,0.391720,-1.274783,-0.047689,-1.136082,0.162707,-1.532370,0.400541,-1.578055,0.548358,-1.491244,-0.064529,-0.997916,0.492900,-1.195143,0.554079,-0.992983,0.439664,-0.871041,-0.004671,-0.790681,0.552927,-0.918276,0.551784,-0.714967,0.431303,-0.613495,0.093509,-0.551413,0.541820,-0.635349,0.542408,-0.473170,0.437597,-0.386302
T,Right,legacy_sibi_T_1,0.000000,0.000000,0.151799,-0.403870,0.251560,-0.819663,0.366145,-1.120433,0.472495,-1.313975,-0.061135,-1.119104,0.183776,-1.520772,0.498696,-1.567653,0.707165,-1.483004,-0.087112,-0.996198,0.503334,-1.213758,0.613672,-0.977747,0.516323,-0.852205,-0.027598,-0.797255,0.570668,-0.922276,0.589648,-0.693018,0.453519,-0.606490,0.083238,-0.569558,0.568882,-0.642637,0.566337,-0.483620,0.422091,-0.415288
T,Right,legacy_sibi_T_2,0.000000,0.000000,0.164416,-0.403338,0.251517,-0.817175,0.350974,-1.118703,0.448354,-1.310480,-0.066169,-1.119361,0.170060,-1.517922,0.486299,-1.564101,0.695768,-1.479520,-0.098010,-0.995185,0.491767,-1.200256,0.605725,-0.965693,0.507177,-0.840246,-0.041881,-0.794064,0.554154,-0.914611,0.580154,-0.686922,0.449120,-0.601098,0.069085,-0.565160,0.554033,-0.635210,0.563023,-0.478734,0.429036,-0.409926
T,Right,legacy_sibi_T_3,0.000000,0.000000,0.154682,-0.404584,0.245374,-0.815447,0.358314,-1.113714,0.463140,-1.309133,-0.073814,-1.112578,0.169809,-1.509138,0.479388,-1.558924,0.688594,-1.479942,-0.098663,-0.995121,0.482701,-1.198726,0.598470,-0.970899,0.513018,-0.844459,-0.035075,-0.799944,0.551543,-0.915387,0.574923,-0.694418,0.448116,-0.609353,0.080590,-0.576767,0.557707,-0.642230,0.556952,-0.489653,0.420151,-0.421161
T,Right,legacy_sibi_T_4,0.000000,0.000000,0.126868,-0.410405,0.220717,-0.824177,0.343565,-1.125106,0.453950,-1.314180,-0.076517,-1.116821,0.175045,-1.517298,0.485386,-1.566845,0.696568,-1.488463,-0.093894,-0.995582,0.500194,-1.201781,0.602384,-0.975545,0.510479,-0.853576,-0.027107,-0.798851,0.570107,-0.914008,0.579343,-0.694096,0.448337,-0.612851,0.090259,-0.574803,0.571819,-0.645189,0.563298,-0.493150,0.424899,-0.426638
T,Right,legacy_sibi_T_5,0.000000,0.000000,0.163850,-0.420846,0.262282,-0.835719,0.371685,-1.136565,0.467115,-1.329575,-0.067052,-1.125807,0.188151,-1.530870,0.504152,-1.577594,0.713398,-1.497477,-0.087419,-0.996172,0.507656,-1.202627,0.619128,-0.978688,0.526031,-0.855169,-0.020264,-0.793903,0.576551,-0.911251,0.595686,-0.694255,0.464215,-0.611062,0.098406,-0.567700,0.584263,-0.642419,0.578731,-0.491192,0.435196,-0.422090
T,Right,legacy_sibi_T_6,0.000000,0.000000,0.149028,-0.405128,0.246565,-0.818838,0.362116,-1.120723,0.466321,-1.312515,-0.057355,-1.116602,0.193551,-1.522058,0.511461,-1.566604,0.720157,-1.483383,-0.077669,-0.996979,0.517419,-1.205544,0.631458,-0.973361,0.536372,-0.847944,-0.012167,-0.796884,0.584730,-0.912087,0.606935,-0.688823,0.474913,-0.603923,0.106120,-0.568834,0.588340,-0.636294,0.584025,-0.481098,0.440632,-0.412806
T,Right,legacy_sibi_T_7,0.000000,0.000000,0.147926,-0.401454,0.240022,-0.805699,0.353202,-1.102342,0.460279,-1.286478,-0.058130,-1.112717,0.180121,-1.515932,0.497944,-1.565023,0.707504,-1.475362,-0.083325,-0.996522,0.506710,-1.211474,0.620235,-0.975849,0.520616,-0.850232,-0.021448,-0.800156,0.572083,-0.919801,0.597205,-0.693789,0.464739,-0.605855,0.091279,-0.572426,0.573897,-0.637266,0.575457,-0.484512,0.435769,-0.417093
T,Right,legacy_sibi_T_8,0.000000,0.000000,0.121807,-0.412972,0.218009,-0.828370,0.342738,-1.130701,0.452808,-1.320509,-0.066727,-1.118548,0.177813,-1.525233,0.497066,-1.572803,0.706571,-1.483296,-0.083279,-0.996526,0.506856,-1.213143,0.614241,-0.980931,0.508598,-0.860967,-0.017044,-0.797547,0.574580,-0.925495,0.593982,-0.703712,0.456614,-0.620465,0.098361,-0.568948,0.579291,-0.648266,0.580144,-0.497556,0.437687,-0.431479
T,Right,legacy_sibi_T_9,0.000000,0.000000,0.091115,-0.417243,0.192294,-0.838480,0.339760,-1.140927,0.473502,-1.332247,-0.067323,-1.119797,0.183613,-1.530633,0.505491,-1.577557,0.714910,-1.489767,-0.077866,-0.996964,0.515193,-1.222983,0.621723,-0.985364,0.513330,-0.865065,-0.007225,-0.797083,0.585789,-0.936097,0.603707,-0.709046,0.462257,-0.623448,0.110175,-0.567656,0.593027,-0.657348,0.591194,-0.504725,0.444142,-0.436094
T,Right,legacy_sibi_T_10,0.000000,0.000000,0.085806,-0.416035,0.185660,-0.835050,0.334424,-1.133632,0.467354,-1.320165,-0.064917,-1.123212,0.186516,-1.529284,0.505494,-1.576646,0.713974,-1.493900,-0.074992,-0.997184,0.515596,-1.226214,0.623491,-0.989329,0.521651,-0.866420,-0.002637,-0.794261,0.587620,-0.935631,0.604284,-0.709293,0.465718,-0.620977,0.114910,-0.562926,0.594425,-0.659300,0.589066,-0.508213,0.443006,-0.438453
T,Right,legacy_sibi_T_11,0.000000,0.000000,0.087243,-0.416417,0.187257,-0.838216,0.331025,-1.145016,0.453496,-1.337577,-0.076612,-1.124492,0.172720,-1.530760,0.487730,-1.582019,0.697253,-1.501690,-0.084771,-0.996400,0.512494,-1.220282,0.610624,-0.984862,0.503892,-0.868151,-0.012125,-0.793265,0.584651,-0.929651,0.590578,-0.708743,0.447072,-0.629767,0.106850,-0.562458,0.590653,-0.654777,0.579675,-0.504393,0.429360,-0.440406
T,Right,legacy_sibi_T_12,0.000000,0.000000,0.048297,-0.446876,0.165105,-0.889787,0.346810,-1.193373,0.510751,-1.378348,-0.060416,-1.144332,0.183805,-1.558391,0.493887,-1.607076,0.710233,-1.534392,-0.053703,-0.998557,0.550498,-1.207281,0.622758,-0.962143,0.505062,-0.842407,0.026810,-0.776649,0.627559,-0.914927,0.617096,-0.701498,0.470038,-0.625559,0.145048,-0.529526,0.626131,-0.635036,0.612233,-0.493698,0.467701,-0.436118
T,Right,legacy_sibi_T_13,0.000000,0.000000,0.013576,-0.466364,0.181075,-0.976137,0.447959,-1.300133,0.663699,-1.501653,-0.039634,-1.186591,0.257003,-1.661957,0.561149,-1.698382,0.770423,-1.627730,0.010955,-0.999940,0.681331,-1.244670,0.703675,-1.026671,0.538935,-0.895963,0.114434,-0.738270,0.747846,-0.909074,0.698811,-0.718422,0.528701,-0.641496,0.243011,-0.458062,0.741636,-0.601124,0.699119,-0.470693,0.537315,-0.403260
T,Right,legacy_sibi_T_14,-0.003003,0.001756,0.132988,-0.407157,0.199933,-0.805952,0.293963,-1.094271,0.390528,-1.270362,-0.064230,-1.122105,0.172245,-1.542256,0.379385,-1.582421,0.541187,-1.486072,-0.060662,-0.984678,0.505323,-1.175653,0.539572,-0.982265,0.437190,-0.875284,-0.029892,-0.797641,0.570977,-0.913347,0.546853,-0.699960,0.441398,-0.600532,0.090455,-0.555446,0.529185,-0.622933,0.555068,-0.472892,0.432583,-0.356629
T,Right,legacy_sibi_T_15,0.000000,0.000000,0.130537,-0.394755,0.204050,-0.785662,0.291912,-1.068205,0.379181,-1.233977,-0.046163,-1.099716,0.157498,-1.483319,0.387720,-1.527542,0.530805,-1.443509,-0.062464,-0.965973,0.477122,-1.156886,0.536342,-0.961198,0.425590,-0.843159,-0.004521,-0.765372,0.535228,-0.888882,0.534121,-0.692081,0.417497,-0.593857,0.090516,-0.533762,0.524476,-0.615011,0.525046,-0.458023,0.423590,-0.373936
T,Right,legacy_sibi_T_16,-0.017776,0.026452,0.124917,-0.393826,0.207218,-0.818324,0.312304,-1.121470,0.360022,-1.306466,-0.057006,-1.170856,0.157819,-1.540924,0.396606,-1.565175,0.556527,-1.496694,-0.026967,-0.965155,0.484929,-1.204390,0.590255,-1.008399,0.431516,-0.857573,-0.011517,-0.791458,0.563831,-0.900139,0.561308,-0.723472,0.387023,-0.623854,0.106896,-0.554274,0.541823,-0.601130,0.551062,-0.466387,0.431928,-0.374381
T,Right,legacy_sibi_T_17,0.000000,0.000000,0.130509,-0.394669,0.204006,-0.785492,0.291848,-1.067973,0.379099,-1.233709,-0.046153,-1.099477,0.157464,-1.482997,0.387636,-1.527210,0.530689,-1.443196,-0.062450,-0.965763,0.477018,-1.156635,0.536226,-0.960989,0.425498,-0.842976,-0.004520,-0.765206,0.535112,-0.888689,0.534005,-0.691930,0.417407,-0.593728,0.090496,-0.533646,0.524363,-0.614878,0.524932,-0.457924,0.423498,-0.373855
T,Right,legacy_sibi_T_18,-0.000577,0.020754,0.153360,-0.425720,0.202086,-0.824563,0.296644,-1.086958,0.365639,-1.268406,-0.073241,-1.133623,0.152381,-1.527816,0.380549,-1.549216,0.580690,-1.512586,-0.051550,-0.990420,0.501484,-1.209905,0.562101,-1.018273,0.447752,-0.871388,-0.011678,-0.784991,0.564507,-0.909461,0.559997,-0.712941,0.427464,-0.605518,0.094548,-0.549971,0.544517,-0.623633,0.535603,-0.488380,0.405322,-0.378824
