label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
U,Right,legacy_sibi_U_0,0.000000,0.000000,0.283163,-0.201516,0.357362,-0.543984,0.176539,-0.815784,-0.117184,-0.902851,0.244652,-0.983295,0.177363,-1.437202,0.124519,-1.706694,0.073215,-1.942617,0.029562,-0.999563,-0.078128,-1.476262,-0.137488,-1.771585,-0.195231,-2.019838,-0.150329,-0.907950,-0.262617,-1.092853,-0.204372,-0.857268,-0.156923,-0.690833,-0.316551,-0.755629,-0.422055,-0.948728,-0.374779,-0.836398,-0.337227,-0.729119
U,Right,legacy_sibi_U_1,0.000000,0.000000,0.291906,-0.175169,0.448613,-0.527081,0.311593,-0.793567,0.058193,-0.911465,0.334483,-0.988250,0.344018,-1.410587,0.316726,-1.684816,0.289936,-1.920315,0.081248,-0.996694,0.078037,-1.469366,0.070956,-1.796793,0.070602,-2.057136,-0.151277,-0.905449,-0.175452,-1.050986,-0.100354,-0.738700,-0.046953,-0.502952,-0.384493,-0.755927,-0.382435,-0.935769,-0.283845,-0.726261,-0.223334,-0.541104
U,Right,legacy_sibi_U_2,0.000000,0.000000,0.291271,-0.193233,0.423139,-0.530985,0.270862,-0.780284,0.025006,-0.910890,0.301258,-1.002967,0.302328,-1.408174,0.270183,-1.678224,0.235208,-1.907621,0.051366,-0.998680,0.040791,-1.462272,0.030243,-1.787428,0.019516,-2.046337,-0.175424,-0.897504,-0.189285,-1.044942,-0.105475,-0.735296,-0.052900,-0.498282,-0.398049,-0.744073,-0.397711,-0.951305,-0.302606,-0.747856,-0.242792,-0.548332
U,Right,legacy_sibi_U_3,0.000000,0.000000,0.292693,-0.192825,0.425859,-0.534443,0.274323,-0.775545,0.021979,-0.887602,0.293186,-1.001170,0.291771,-1.409962,0.254918,-1.678689,0.215622,-1.907809,0.044357,-0.999016,0.033675,-1.467063,0.020603,-1.789758,0.011003,-2.047183,-0.182492,-0.897942,-0.202424,-1.038873,-0.116105,-0.731307,-0.056927,-0.498027,-0.404907,-0.743183,-0.404390,-0.924397,-0.300741,-0.719224,-0.232454,-0.528002
U,Right,legacy_sibi_U_4,0.000000,0.000000,0.288736,-0.184091,0.434535,-0.528153,0.286199,-0.771230,0.035578,-0.876929,0.291843,-1.000039,0.288904,-1.412746,0.255457,-1.680339,0.217601,-1.907464,0.043906,-0.999036,0.037609,-1.470014,0.026335,-1.788637,0.014871,-2.045041,-0.182544,-0.897654,-0.205330,-1.035972,-0.118089,-0.728963,-0.057495,-0.497940,-0.404593,-0.739916,-0.408228,-0.918632,-0.306733,-0.712593,-0.240059,-0.522988
U,Right,legacy_sibi_U_5,0.000000,0.000000,0.289247,-0.188354,0.436722,-0.533786,0.284341,-0.781802,0.032124,-0.891063,0.293510,-0.999497,0.292871,-1.413106,0.259508,-1.679032,0.221495,-1.905237,0.044653,-0.999003,0.042975,-1.467617,0.033482,-1.784687,0.021957,-2.042349,-0.181029,-0.898686,-0.205017,-1.037755,-0.116268,-0.730522,-0.054996,-0.500521,-0.403157,-0.738472,-0.404078,-0.916957,-0.298993,-0.709009,-0.227799,-0.517426
U,Right,legacy_sibi_U_6,0.000000,0.000000,0.286299,-0.189302,0.422757,-0.534247,0.266968,-0.778603,0.018474,-0.887646,0.288065,-0.999599,0.287996,-1.410557,0.255279,-1.678191,0.216273,-1.904707,0.040512,-0.999179,0.036757,-1.470325,0.027044,-1.786694,0.016073,-2.040748,-0.186388,-0.898508,-0.209541,-1.040313,-0.120941,-0.733672,-0.059847,-0.502786,-0.410246,-0.740424,-0.407837,-0.919909,-0.302592,-0.710700,-0.233642,-0.518880
U,Right,legacy_sibi_U_7,0.000000,0.000000,0.288640,-0.194450,0.422324,-0.537898,0.266567,-0.778988,0.015474,-0.886792,0.289720,-1.002229,0.289602,-1.409371,0.254359,-1.676310,0.212999,-1.902762,0.042331,-0.999104,0.036297,-1.468444,0.024523,-1.785155,0.012324,-2.037093,-0.184921,-0.895700,-0.205450,-1.038931,-0.112826,-0.729541,-0.049973,-0.498151,-0.409323,-0.737049,-0.404017,-0.918409,-0.295279,-0.707444,-0.226030,-0.514915
U,Right,legacy_sibi_U_8,0.000000,0.000000,0.288797,-0.197581,0.421045,-0.540665,0.269182,-0.783292,0.016872,-0.892144,0.289296,-1.002740,0.289238,-1.409463,0.253191,-1.675433,0.211695,-1.901303,0.043287,-0.999063,0.035968,-1.467898,0.023584,-1.785334,0.011261,-2.036883,-0.183180,-0.895744,-0.201379,-1.039848,-0.107699,-0.729958,-0.044794,-0.498172,-0.406925,-0.738847,-0.400527,-0.922463,-0.292044,-0.711108,-0.223674,-0.517332
U,Right,legacy_sibi_U_9,0.000000,0.000000,0.287757,-0.197934,0.420057,-0.542769,0.260377,-0.782091,0.007430,-0.887829,0.284902,-1.002357,0.284008,-1.408206,0.248759,-1.674021,0.208642,-1.899941,0.040832,-0.999166,0.032671,-1.462709,0.021057,-1.777982,0.009066,-2.030183,-0.182491,-0.896116,-0.203582,-1.037358,-0.109957,-0.730833,-0.047414,-0.501895,-0.403874,-0.737463,-0.401425,-0.918385,-0.291664,-0.710067,-0.221144,-0.518387
U,Right,legacy_sibi_U_10,0.000000,0.000000,0.286319,-0.187822,0.429668,-0.532787,0.279374,-0.778775,0.024963,-0.885078,0.287619,-0.999833,0.287958,-1.407155,0.252410,-1.672289,0.211763,-1.898549,0.043869,-0.999037,0.038633,-1.461725,0.027239,-1.774094,0.014197,-2.027667,-0.178750,-0.897944,-0.199635,-1.034149,-0.108482,-0.728844,-0.047122,-0.502462,-0.400201,-0.740036,-0.396502,-0.915074,-0.290714,-0.706039,-0.223015,-0.517121
U,Right,legacy_sibi_U_11,0.000000,0.000000,0.290871,-0.191635,0.429666,-0.539572,0.273688,-0.787073,0.022773,-0.895899,0.290248,-1.003400,0.288224,-1.411397,0.252666,-1.676542,0.213510,-1.902049,0.044676,-0.999002,0.036844,-1.463311,0.025219,-1.777981,0.014127,-2.030362,-0.179160,-0.895951,-0.200062,-1.035678,-0.108298,-0.728875,-0.046200,-0.500121,-0.401544,-0.738617,-0.395417,-0.916407,-0.288939,-0.705442,-0.220992,-0.513957
U,Right,legacy_sibi_U_12,0.000000,0.000000,0.290857,-0.195704,0.422840,-0.544071,0.268145,-0.786901,0.016804,-0.891075,0.287297,-1.004207,0.283395,-1.408232,0.246799,-1.671852,0.207222,-1.896760,0.041907,-0.999122,0.031886,-1.461279,0.019149,-1.777759,0.007082,-2.029531,-0.181977,-0.895802,-0.205150,-1.037206,-0.113011,-0.728450,-0.051171,-0.497005,-0.403634,-0.738110,-0.400016,-0.919447,-0.294442,-0.708045,-0.226340,-0.513843
U,Right,legacy_sibi_U_13,0.000000,0.000000,0.287340,-0.195035,0.417460,-0.540924,0.267088,-0.781060,0.017218,-0.888628,0.279986,-1.006717,0.275755,-1.406271,0.239544,-1.669439,0.201454,-1.894480,0.034127,-0.999418,0.024823,-1.460728,0.011156,-1.777076,-0.000396,-2.028434,-0.189700,-0.894808,-0.213339,-1.037584,-0.119777,-0.725880,-0.054430,-0.491388,-0.410168,-0.736429,-0.406995,-0.914503,-0.300126,-0.697712,-0.230058,-0.501928
U,Right,legacy_sibi_U_14,0.000000,0.000000,0.288687,-0.197950,0.415813,-0.548572,0.253494,-0.788524,-0.001068,-0.890209,0.277288,-1.008049,0.273141,-1.412707,0.236286,-1.678006,0.195079,-1.904039,0.031535,-0.999503,0.019967,-1.464142,0.006540,-1.780080,-0.006302,-2.032335,-0.193073,-0.893417,-0.216145,-1.035373,-0.118698,-0.723269,-0.052499,-0.489610,-0.415401,-0.734280,-0.409522,-0.912543,-0.299986,-0.697431,-0.229978,-0.502197
U,Right,legacy_sibi_U_15,0.000000,0.000000,0.286744,-0.197240,0.416005,-0.544110,0.264579,-0.784146,0.014461,-0.888073,0.276194,-1.009679,0.271260,-1.414446,0.234010,-1.679563,0.193137,-1.904274,0.030139,-0.999546,0.017332,-1.466331,0.002797,-1.782357,-0.009889,-2.032091,-0.194317,-0.891196,-0.215238,-1.038083,-0.120997,-0.728035,-0.057147,-0.496010,-0.415524,-0.729493,-0.413126,-0.914789,-0.304913,-0.701712,-0.235992,-0.507925
