label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
V,Right,legacy_sibi_V_0,0.000000,0.000000,0.269557,-0.262212,0.363864,-0.552028,0.196407,-0.758945,-0.031600,-0.853104,0.287156,-0.976964,0.414584,-1.360950,0.455145,-1.616561,0.478041,-1.838440,0.036558,-0.999332,-0.014259,-1.418993,-0.040464,-1.698760,-0.056415,-1.931421,-0.178080,-0.907706,-0.241870,-1.095475,-0.137378,-0.838150,-0.069402,-0.642800,-0.364648,-0.736536,-0.403443,-0.886561,-0.292292,-0.722086,-0.211695,-0.568424
V,Right,legacy_sibi_V_1,0.000000,0.000000,0.268272,-0.224947,0.354884,-0.541652,0.143096,-0.749099,-0.099437,-0.858120,0.287442,-0.991004,0.416486,-1.378837,0.481202,-1.626425,0.514379,-1.836053,0.019179,-0.999816,-0.028124,-1.455726,-0.063198,-1.742752,-0.110032,-1.985255,-0.204998,-0.886939,-0.293575,-1.098757,-0.175555,-0.816213,-0.099598,-0.607693,-0.400890,-0.693036,-0.436587,-0.854205,-0.322673,-0.677208,-0.239927,-0.521986
V,Right,legacy_sibi_V_2,0.000000,0.000000,0.270012,-0.206941,0.349776,-0.518169,0.128746,-0.722774,-0.124255,-0.828752,0.274570,-0.989647,0.398560,-1.403065,0.453316,-1.659678,0.485667,-1.880771,0.007042,-0.999975,-0.049268,-1.472690,-0.091138,-1.779640,-0.138003,-2.032916,-0.215482,-0.887046,-0.330375,-1.094043,-0.209715,-0.808625,-0.125937,-0.589543,-0.406001,-0.693500,-0.466550,-0.871986,-0.355306,-0.680592,-0.268360,-0.506835
V,Right,legacy_sibi_V_3,0.000000,0.000000,0.264769,-0.213574,0.332310,-0.526365,0.111732,-0.722834,-0.142275,-0.817539,0.254878,-0.993922,0.380368,-1.404857,0.436630,-1.668272,0.467699,-1.894395,-0.014908,-0.999889,-0.066362,-1.467125,-0.111720,-1.778888,-0.164369,-2.042135,-0.242877,-0.881474,-0.350409,-1.082472,-0.227004,-0.797879,-0.143241,-0.579669,-0.434416,-0.679791,-0.487982,-0.851031,-0.366028,-0.659944,-0.271833,-0.484914
V,Right,legacy_sibi_V_4,0.000000,0.000000,0.267506,-0.206830,0.340294,-0.522017,0.117816,-0.721831,-0.140110,-0.822820,0.260917,-0.993072,0.395165,-1.409109,0.453629,-1.675393,0.484815,-1.899663,-0.008245,-0.999966,-0.062250,-1.475209,-0.112048,-1.791154,-0.170164,-2.056997,-0.235546,-0.879996,-0.343979,-1.079928,-0.219184,-0.795572,-0.136009,-0.579502,-0.428905,-0.677063,-0.489969,-0.853129,-0.361138,-0.664327,-0.262409,-0.492073
V,Right,legacy_sibi_V_5,0.000000,0.000000,0.264786,-0.208605,0.331774,-0.522890,0.110929,-0.718373,-0.150107,-0.816840,0.254118,-0.991433,0.391314,-1.409397,0.452874,-1.678755,0.485808,-1.905393,-0.017266,-0.999851,-0.069716,-1.479913,-0.119931,-1.802354,-0.179528,-2.073744,-0.245521,-0.881024,-0.358247,-1.085578,-0.234635,-0.799757,-0.150268,-0.580933,-0.438171,-0.678556,-0.502130,-0.853767,-0.375849,-0.667011,-0.275607,-0.494733
V,Right,legacy_sibi_V_6,0.000000,0.000000,0.263592,-0.210771,0.330821,-0.524364,0.110917,-0.718137,-0.148440,-0.810267,0.253370,-0.990914,0.382799,-1.402665,0.440432,-1.667425,0.472382,-1.891657,-0.016424,-0.999865,-0.072477,-1.474811,-0.121372,-1.793687,-0.177465,-2.059846,-0.244166,-0.881500,-0.352769,-1.084406,-0.231102,-0.800025,-0.150822,-0.580170,-0.436963,-0.678953,-0.499226,-0.854231,-0.374819,-0.666174,-0.280281,-0.492114
V,Right,legacy_sibi_V_7,0.000000,0.000000,0.263411,-0.206249,0.334420,-0.518016,0.113828,-0.715115,-0.144001,-0.812479,0.258817,-0.989654,0.388194,-1.399611,0.444340,-1.663367,0.476352,-1.888541,-0.011382,-0.999935,-0.064044,-1.470263,-0.114263,-1.786050,-0.169298,-2.052524,-0.240333,-0.882613,-0.349870,-1.084314,-0.230894,-0.796663,-0.149015,-0.575809,-0.434096,-0.680665,-0.499376,-0.851396,-0.376799,-0.660422,-0.281192,-0.486091
V,Right,legacy_sibi_V_8,0.000000,0.000000,0.262795,-0.206490,0.332522,-0.518738,0.109872,-0.714506,-0.146686,-0.813619,0.259243,-0.990257,0.388966,-1.402050,0.445121,-1.666756,0.476452,-1.892641,-0.011838,-0.999930,-0.064461,-1.472133,-0.113413,-1.787679,-0.168159,-2.053652,-0.241516,-0.883000,-0.350385,-1.087414,-0.230346,-0.798583,-0.148907,-0.577079,-0.435977,-0.681822,-0.499449,-0.852575,-0.377706,-0.660898,-0.284014,-0.487678
V,Right,legacy_sibi_V_9,0.000000,0.000000,0.266244,-0.205382,0.338359,-0.516420,0.112527,-0.712426,-0.148417,-0.810489,0.261042,-0.989712,0.387008,-1.400430,0.441490,-1.664004,0.472283,-1.890055,-0.009855,-0.999951,-0.064525,-1.471951,-0.114941,-1.788129,-0.170073,-2.054706,-0.238764,-0.882443,-0.349349,-1.086752,-0.230745,-0.799327,-0.148291,-0.578155,-0.433076,-0.680493,-0.497198,-0.845669,-0.376635,-0.653945,-0.282777,-0.480356
