label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
W,Right,legacy_sibi_W_0,0.000000,0.000000,0.295419,-0.183422,0.415475,-0.509969,0.185443,-0.737547,-0.071653,-0.836792,0.313137,-0.959376,0.390861,-1.381255,0.422413,-1.637045,0.427138,-1.867896,0.054351,-0.998522,0.013437,-1.492470,-0.018744,-1.784975,-0.053199,-2.034747,-0.149580,-0.926668,-0.278727,-1.322480,-0.352425,-1.586536,-0.424780,-1.823796,-0.299487,-0.763063,-0.257842,-0.998635,-0.157490,-0.838884,-0.091490,-0.641697
W,Right,legacy_sibi_W_1,0.000000,0.000000,0.295430,-0.204392,0.397112,-0.533223,0.172925,-0.758857,-0.082811,-0.839160,0.288387,-0.969210,0.368979,-1.379070,0.401182,-1.627764,0.404674,-1.852022,0.035741,-0.999361,-0.010462,-1.472678,-0.051222,-1.759084,-0.099405,-1.998024,-0.164981,-0.924869,-0.305190,-1.318075,-0.376316,-1.583777,-0.454382,-1.809876,-0.315932,-0.766674,-0.252860,-1.012246,-0.136061,-0.871305,-0.066819,-0.682440
W,Right,legacy_sibi_W_2,0.000000,0.000000,0.300787,-0.194974,0.405014,-0.509638,0.190923,-0.736000,-0.051012,-0.844112,0.321045,-0.955369,0.422002,-1.373822,0.458459,-1.624039,0.466730,-1.851349,0.065249,-0.997869,0.035603,-1.484372,-0.000048,-1.775024,-0.044487,-2.021664,-0.137515,-0.930424,-0.261027,-1.324123,-0.331126,-1.586667,-0.406090,-1.819627,-0.287340,-0.767442,-0.234364,-1.022238,-0.144897,-0.872081,-0.094543,-0.675993
W,Right,legacy_sibi_W_3,0.000000,0.000000,0.295814,-0.170726,0.421054,-0.490516,0.199215,-0.724231,-0.046116,-0.855721,0.326840,-0.958044,0.441617,-1.372542,0.490329,-1.621386,0.515191,-1.846475,0.068678,-0.997639,0.047406,-1.480298,0.024543,-1.766852,0.002054,-2.008343,-0.129459,-0.927534,-0.251079,-1.318736,-0.317008,-1.577011,-0.379183,-1.805888,-0.270287,-0.764664,-0.219066,-1.005062,-0.143267,-0.828065,-0.096850,-0.617722
W,Right,legacy_sibi_W_4,0.000000,0.000000,0.296898,-0.174742,0.409176,-0.494906,0.190140,-0.732536,-0.066995,-0.858264,0.313978,-0.966223,0.434381,-1.380002,0.479063,-1.632730,0.497146,-1.859780,0.059420,-0.998233,0.039032,-1.484652,0.014166,-1.772789,-0.011395,-2.008678,-0.142030,-0.916542,-0.266705,-1.319912,-0.338346,-1.581190,-0.411329,-1.809265,-0.285566,-0.738426,-0.233145,-0.990588,-0.145611,-0.829171,-0.098701,-0.623009
W,Right,legacy_sibi_W_5,0.000000,0.000000,0.295945,-0.182391,0.404291,-0.494592,0.191423,-0.721144,-0.054609,-0.848920,0.311755,-0.971542,0.430714,-1.384619,0.472695,-1.633502,0.489920,-1.855256,0.058515,-0.998287,0.032400,-1.486487,0.000307,-1.770931,-0.031087,-2.002032,-0.142499,-0.913653,-0.272443,-1.313435,-0.351476,-1.568471,-0.430417,-1.792757,-0.289271,-0.731706,-0.245833,-1.000859,-0.162992,-0.840304,-0.114181,-0.635324
W,Right,legacy_sibi_W_6,0.000000,0.000000,0.289990,-0.184726,0.400946,-0.500540,0.175210,-0.722513,-0.071289,-0.844116,0.309317,-0.973906,0.430740,-1.380238,0.473822,-1.626014,0.491449,-1.845716,0.054303,-0.998524,0.031841,-1.485623,0.002552,-1.767584,-0.029092,-2.000375,-0.146123,-0.912658,-0.273337,-1.301589,-0.353261,-1.554200,-0.434299,-1.779546,-0.294023,-0.732250,-0.249702,-1.000618,-0.169824,-0.840973,-0.121670,-0.639108
W,Right,legacy_sibi_W_7,0.000000,0.000000,0.292726,-0.182426,0.405406,-0.496752,0.172148,-0.715967,-0.076921,-0.835234,0.314846,-0.972967,0.434789,-1.381498,0.477189,-1.628849,0.494113,-1.850718,0.058410,-0.998293,0.038225,-1.486028,0.007745,-1.768476,-0.024529,-2.002137,-0.142323,-0.914738,-0.271899,-1.302785,-0.352655,-1.553225,-0.432352,-1.777689,-0.290121,-0.736589,-0.255005,-1.000611,-0.172778,-0.838638,-0.118624,-0.636187
W,Right,legacy_sibi_W_8,0.000000,0.000000,0.291049,-0.185252,0.398483,-0.498565,0.169012,-0.717459,-0.076363,-0.837014,0.312579,-0.971977,0.433247,-1.379798,0.477344,-1.625094,0.494122,-1.845571,0.057464,-0.998348,0.037254,-1.484028,0.008035,-1.764709,-0.025673,-1.996896,-0.143808,-0.915526,-0.273279,-1.301351,-0.353824,-1.552512,-0.436321,-1.776400,-0.293583,-0.739938,-0.257887,-1.005766,-0.172872,-0.849237,-0.118633,-0.650460
W,Right,legacy_sibi_W_9,0.000000,0.000000,0.289694,-0.181293,0.401221,-0.491059,0.176911,-0.711278,-0.068575,-0.834528,0.314894,-0.969335,0.438594,-1.376511,0.485398,-1.622444,0.506500,-1.844438,0.058295,-0.998299,0.039653,-1.484923,0.013551,-1.767877,-0.015689,-2.004446,-0.142392,-0.916856,-0.269709,-1.301511,-0.345261,-1.554296,-0.422012,-1.779899,-0.290208,-0.741048,-0.250541,-1.002650,-0.167794,-0.846020,-0.116222,-0.646937
