label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
X,Right,legacy_sibi_X_0,0.000000,0.000000,0.270547,-0.328245,0.482574,-0.572833,0.699909,-0.665954,0.910461,-0.708959,0.319672,-1.068147,0.548423,-1.364899,0.785533,-1.338104,0.941845,-1.221971,0.203912,-0.978989,0.760366,-0.865961,0.751442,-0.641826,0.614015,-0.605415,0.138218,-0.782072,0.699542,-0.605052,0.634954,-0.441288,0.483611,-0.435084,0.108264,-0.537207,0.535581,-0.414174,0.509144,-0.304024,0.382483,-0.302411
X,Right,legacy_sibi_X_1,0.000000,0.000000,0.439205,-0.249852,0.689235,-0.479033,0.878339,-0.596940,0.908509,-0.597996,0.353460,-1.062941,0.514620,-1.361899,0.763409,-1.359560,0.949156,-1.246976,0.209054,-0.977904,0.750539,-0.846828,0.751815,-0.597519,0.612980,-0.547419,0.123936,-0.787912,0.663602,-0.602779,0.625852,-0.402926,0.479474,-0.382797,0.079068,-0.552355,0.505530,-0.402179,0.489697,-0.259439,0.363378,-0.243281
X,Right,legacy_sibi_X_2,0.000000,0.000000,0.459951,-0.222919,0.724681,-0.457671,0.916808,-0.587246,0.931332,-0.581708,0.363002,-1.052578,0.508192,-1.368630,0.758930,-1.368843,0.935152,-1.248800,0.202519,-0.979278,0.748677,-0.857196,0.732623,-0.603505,0.574031,-0.571153,0.111441,-0.801543,0.678190,-0.587257,0.614417,-0.382682,0.445607,-0.384100,0.076675,-0.578189,0.516899,-0.393450,0.474841,-0.241888,0.327555,-0.239352
X,Right,legacy_sibi_X_3,0.000000,0.000000,0.450549,-0.214855,0.694034,-0.430711,0.887615,-0.558609,0.947371,-0.623514,0.342554,-1.045811,0.491608,-1.378692,0.749621,-1.394827,0.932175,-1.301440,0.190572,-0.981673,0.762690,-0.883938,0.755720,-0.602896,0.592456,-0.553209,0.115092,-0.808069,0.689839,-0.609074,0.628061,-0.373969,0.449944,-0.363439,0.092855,-0.588452,0.534722,-0.416159,0.501904,-0.250186,0.350174,-0.241113
X,Right,legacy_sibi_X_4,0.000000,0.000000,0.428561,-0.245567,0.655751,-0.472267,0.837381,-0.588140,0.908326,-0.609291,0.301478,-1.067311,0.462724,-1.393506,0.728308,-1.405346,0.916721,-1.308954,0.147874,-0.989006,0.723305,-0.890669,0.735706,-0.608511,0.583966,-0.552175,0.073218,-0.795964,0.653236,-0.606760,0.610752,-0.374309,0.436408,-0.356989,0.055479,-0.559323,0.506096,-0.402572,0.489267,-0.242021,0.340599,-0.228354
X,Right,legacy_sibi_X_5,0.000000,0.000000,0.449025,-0.232014,0.699333,-0.464109,0.876278,-0.590304,0.882282,-0.607877,0.293386,-1.062751,0.452401,-1.387245,0.719948,-1.396214,0.914467,-1.286297,0.139315,-0.990248,0.708755,-0.893437,0.716494,-0.627354,0.561423,-0.581322,0.066850,-0.798488,0.649114,-0.615252,0.594595,-0.392465,0.417885,-0.383787,0.054299,-0.562983,0.504942,-0.396396,0.469356,-0.240767,0.314085,-0.237471
X,Right,legacy_sibi_X_6,0.000000,0.000000,0.430194,-0.243043,0.665444,-0.470676,0.838649,-0.591888,0.875676,-0.626888,0.291865,-1.060922,0.444849,-1.388987,0.704264,-1.401048,0.894428,-1.292892,0.145313,-0.989386,0.708012,-0.894343,0.720055,-0.620116,0.573896,-0.559844,0.078697,-0.800912,0.652542,-0.611023,0.603565,-0.387195,0.435903,-0.369952,0.069082,-0.568893,0.506762,-0.393865,0.472755,-0.240301,0.325428,-0.237578
X,Right,legacy_sibi_X_7,0.000000,0.000000,0.423579,-0.257257,0.659003,-0.491693,0.841971,-0.607631,0.907168,-0.633267,0.299412,-1.065233,0.455926,-1.394136,0.719858,-1.407348,0.910313,-1.309189,0.148629,-0.988893,0.713580,-0.890449,0.736260,-0.611467,0.592732,-0.549752,0.077802,-0.797967,0.654891,-0.612860,0.619221,-0.381566,0.450202,-0.360023,0.065389,-0.565542,0.512843,-0.402313,0.494933,-0.243762,0.348818,-0.231799
X,Right,legacy_sibi_X_8,0.000000,0.000000,0.420917,-0.253542,0.653224,-0.486231,0.830678,-0.601199,0.880626,-0.639850,0.285490,-1.063910,0.439230,-1.388741,0.701492,-1.402448,0.888541,-1.302378,0.135221,-0.990815,0.697036,-0.891324,0.716675,-0.612503,0.570634,-0.555056,0.065068,-0.800635,0.639002,-0.619568,0.602573,-0.386679,0.432237,-0.366510,0.052891,-0.568127,0.497100,-0.415974,0.478343,-0.254095,0.329102,-0.239874
X,Right,legacy_sibi_X_9,0.000000,0.000000,0.418219,-0.252067,0.647013,-0.480489,0.815600,-0.598839,0.867448,-0.645959,0.279724,-1.065565,0.434336,-1.386069,0.693969,-1.398702,0.880540,-1.296426,0.129818,-0.991538,0.691982,-0.893490,0.710739,-0.619498,0.563475,-0.559915,0.061048,-0.799038,0.632940,-0.623545,0.596055,-0.393620,0.426223,-0.370718,0.047718,-0.564760,0.487763,-0.415860,0.467670,-0.255861,0.318711,-0.241665
X,Right,legacy_sibi_X_10,0.000000,0.000000,0.404436,-0.257013,0.631305,-0.488567,0.805446,-0.600610,0.874376,-0.645546,0.279888,-1.065260,0.435435,-1.383475,0.695449,-1.393268,0.880819,-1.289458,0.132492,-0.991184,0.687071,-0.893205,0.708164,-0.626992,0.564117,-0.570685,0.065417,-0.798597,0.632434,-0.628765,0.598656,-0.403419,0.431314,-0.380343,0.054319,-0.566157,0.493520,-0.417169,0.476589,-0.258917,0.330304,-0.244173
