label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Y,Right,legacy_sibi_Y_0,0.000000,0.000000,0.351947,-0.324171,0.522078,-0.727651,0.706717,-1.012196,0.965907,-1.080343,0.230673,-1.084124,0.098840,-1.342834,0.111304,-1.040123,0.134813,-0.795856,-0.028144,-0.999604,-0.181134,-1.204353,-0.089518,-0.848521,-0.027690,-0.631702,-0.262616,-0.882134,-0.402630,-1.057474,-0.270093,-0.751182,-0.170478,-0.555227,-0.485605,-0.740251,-0.628067,-1.031554,-0.643964,-1.116134,-0.655346,-1.232031
Y,Right,legacy_sibi_Y_1,0.000000,0.000000,0.325392,-0.276629,0.493282,-0.686045,0.682771,-0.966396,0.973356,-1.057866,0.166721,-1.068810,0.132101,-1.263169,0.156524,-0.985463,0.192673,-0.729478,-0.106535,-0.994309,-0.149442,-1.167369,-0.061760,-0.820169,0.006330,-0.561623,-0.357088,-0.881332,-0.415543,-0.994715,-0.268792,-0.707161,-0.148177,-0.490775,-0.588595,-0.748064,-0.752907,-1.079329,-0.863973,-1.305957,-0.960064,-1.530413
Y,Right,legacy_sibi_Y_2,0.000000,0.000000,0.349712,-0.279788,0.524267,-0.717915,0.733445,-1.022349,1.029759,-1.111118,0.206933,-1.061313,0.168775,-1.317170,0.184896,-1.019025,0.225769,-0.765799,-0.066126,-0.997811,-0.129633,-1.228170,-0.032134,-0.867142,0.055961,-0.628988,-0.320176,-0.896323,-0.389685,-1.063330,-0.219034,-0.744824,-0.082516,-0.523122,-0.557936,-0.784437,-0.717590,-1.132832,-0.826822,-1.360214,-0.930089,-1.599267
Y,Right,legacy_sibi_Y_3,0.000000,0.000000,0.340133,-0.277799,0.521947,-0.684138,0.695342,-0.984311,0.995883,-1.077886,0.213988,-1.057894,0.166318,-1.301704,0.177927,-0.996114,0.213777,-0.742137,-0.065359,-0.997862,-0.130124,-1.195672,-0.030041,-0.824854,0.050196,-0.592826,-0.320535,-0.897969,-0.396144,-1.061327,-0.225586,-0.724079,-0.091947,-0.491178,-0.559538,-0.783313,-0.710322,-1.129348,-0.813760,-1.349695,-0.913906,-1.579893
Y,Right,legacy_sibi_Y_4,0.000000,0.000000,0.333370,-0.262086,0.510283,-0.670169,0.691320,-0.965722,0.984842,-1.057384,0.222581,-1.058837,0.162069,-1.290980,0.171798,-0.983343,0.213548,-0.739647,-0.060564,-0.998164,-0.134540,-1.187803,-0.033157,-0.813965,0.054048,-0.588591,-0.317413,-0.894097,-0.396841,-1.044699,-0.221156,-0.703627,-0.078999,-0.475103,-0.551186,-0.772412,-0.703011,-1.111987,-0.809273,-1.324531,-0.910291,-1.549988
Y,Right,legacy_sibi_Y_5,0.000000,0.000000,0.340484,-0.266346,0.522655,-0.689680,0.723297,-0.984694,1.027986,-1.070714,0.216223,-1.060098,0.161644,-1.316034,0.172172,-0.989127,0.222265,-0.733731,-0.067174,-0.997741,-0.131183,-1.212657,-0.034707,-0.827832,0.055605,-0.603113,-0.329544,-0.892021,-0.405557,-1.055709,-0.230130,-0.709116,-0.082130,-0.481974,-0.569008,-0.773475,-0.720266,-1.121570,-0.832021,-1.343099,-0.936960,-1.576207
Y,Right,legacy_sibi_Y_6,0.000000,0.000000,0.331552,-0.269994,0.513990,-0.689030,0.710679,-0.982874,1.014356,-1.066580,0.208825,-1.058432,0.155269,-1.310383,0.164159,-0.993737,0.208678,-0.742062,-0.072713,-0.997353,-0.139153,-1.203363,-0.038949,-0.821872,0.050057,-0.599881,-0.331591,-0.891381,-0.410903,-1.044073,-0.231466,-0.700925,-0.084207,-0.477732,-0.569602,-0.771835,-0.716145,-1.114501,-0.823028,-1.332405,-0.925571,-1.563571
Y,Right,legacy_sibi_Y_7,0.000000,0.000000,0.334924,-0.261851,0.518650,-0.679520,0.711413,-0.977678,1.014581,-1.066166,0.216871,-1.061070,0.157363,-1.312170,0.168631,-0.992686,0.216949,-0.738804,-0.063699,-0.997969,-0.135148,-1.203021,-0.030106,-0.819021,0.063833,-0.590629,-0.322029,-0.890841,-0.404304,-1.040430,-0.221774,-0.699538,-0.071516,-0.477879,-0.560750,-0.772229,-0.704605,-1.112129,-0.808233,-1.328707,-0.908226,-1.560278
Y,Right,legacy_sibi_Y_8,0.000000,0.000000,0.335454,-0.262034,0.520904,-0.675979,0.716609,-0.973452,1.022506,-1.061221,0.219431,-1.058230,0.166488,-1.310642,0.173986,-0.993320,0.218210,-0.737288,-0.061522,-0.998106,-0.128393,-1.204318,-0.027695,-0.823246,0.062207,-0.591915,-0.321250,-0.893573,-0.398504,-1.045644,-0.219504,-0.702176,-0.072996,-0.475399,-0.561399,-0.775680,-0.704550,-1.118038,-0.806216,-1.337062,-0.903628,-1.569803
Y,Right,legacy_sibi_Y_9,0.000000,0.000000,0.339601,-0.258084,0.527836,-0.669637,0.719470,-0.969168,1.027877,-1.055486,0.227796,-1.058708,0.171043,-1.310009,0.179779,-0.988949,0.224814,-0.736063,-0.054939,-0.998490,-0.125288,-1.200814,-0.021751,-0.816202,0.068891,-0.590090,-0.315328,-0.894200,-0.396390,-1.045089,-0.215521,-0.698893,-0.068409,-0.474016,-0.555661,-0.777179,-0.698291,-1.120611,-0.798394,-1.338860,-0.894793,-1.572458
